timestamp,sumOpenInterest,sumOpenInterestValue
1715252400000,71346.12900000,4336802989.71660000
1715252700000,71176.92800000,4320851065.00660500
1715253000000,71228.90400000,4329891107.91360000
1715253300000,71114.07000000,4333719871.42800000
1715253600000,71134.11400000,4332935378.79080000
1715253900000,71192.89000000,4338558790.20100000
1715254200000,71137.34200000,4335415512.05060000
1715254500000,71201.49300000,4343782363.30170000
1715254800000,71196.56300000,4345750719.58707000
1715255100000,71034.59300000,4342210891.29594200
1715255400000,71030.92200000,4341317612.44140000
1715255700000,71072.01000000,4341362658.84000000
1715256000000,71071.19400000,4337688183.40200000
1715256300000,70993.65200000,4336577183.83975500
1715256600000,71016.18100000,4342000322.52100000
1715256900000,71055.57700000,4347890575.21161200
1715257200000,71040.27400000,4348737476.93740000
1715257500000,70926.50500000,4338665016.79541800
1715257800000,70926.73300000,4340708966.92670000
1715258100000,70582.77600000,4332263833.94586600
1715258400000,70609.45800000,4330126166.13952700
1715258700000,70797.90400000,4351508001.99198150
1715259000000,70812.24800000,4350903386.53894300
1715259300000,70894.69900000,4359538209.47467800
1715259600000,70840.15100000,4355847666.85378600
1715259900000,70905.13700000,4353263429.19720000
1715260200000,70954.69800000,4358982605.84073800
1715260500000,70956.48200000,4359261141.20740000
1715260800000,70943.40900000,4355851393.59315100
1715261100000,70786.69000000,4344603885.44000000
1715261400000,70919.93800000,4349867305.23620000
1715261700000,70964.27600000,4346064657.31179400
1715262000000,70926.64600000,4334113497.74955750
1715262300000,70988.82000000,4332376695.78000000
1715262600000,71065.81800000,4342330159.78614200
1715262900000,71254.62500000,4354363008.28750000
1715263200000,71246.68000000,4357824556.20400000
1715263500000,71281.85300000,4367517543.34830000
1715263800000,71291.70400000,4371635805.96160000
1715264100000,71353.60200000,4374147051.24480000
1715264400000,71315.24600000,4363487510.23140000
1715264700000,71368.62600000,4368244561.87278700
1715265000000,71501.14000000,4377116584.59516100
1715265300000,71501.60000000,4385886693.52000000
1715265600000,71151.88300000,4369508987.33000200
1715265900000,71365.35400000,4379570453.87820000
1715266200000,71263.62800000,4378068044.50276700
1715266500000,71272.93700000,4376104401.43877400
1715266800000,71081.75500000,4372424834.01823200
1715267100000,71080.22400000,4374808007.66926000
1715267400000,70513.97000000,4362530090.37200000
1715267700000,70691.13500000,4371709447.12400000
1715268000000,70677.73600000,4359939907.27360000
1715268300000,70718.37000000,4374299493.29398100
1715268600000,70847.62600000,4405168485.46087550
1715268900000,70843.44400000,4398594584.57587400
1715269200000,70920.43900000,4396358013.61000000
1715269500000,70858.42400000,4398798845.96880000
1715269800000,71002.93600000,4398230498.04949950
1715270100000,70979.32600000,4401314438.33840000
1715270400000,70978.26500000,4409507044.06755700
1715270700000,71122.27900000,4424811927.23848700
1715271000000,70887.60800000,4420877317.87680000
1715271300000,71165.80400000,4442537931.74090000
1715271600000,71046.98700000,4432652510.53299900
1715271900000,70932.91000000,4441509715.17935850
1715272200000,70959.84800000,4433939523.75621700
1715272500000,71029.50500000,4429272078.69100000
1715272800000,71010.84700000,4428150819.12100900
1715273100000,70958.05600000,4419735751.91963000
1715273400000,70391.02700000,4375316182.54710000
1715273700000,70392.34600000,4364628139.08780000
1715274000000,70000.90500000,4328316958.23150000
1715274300000,69908.44100000,4328114523.46916500
1715274600000,70024.63200000,4336933568.14080000
1715274900000,69993.82900000,4333933348.56623650
1715275200000,69870.67500000,4318002327.52518300
1715275500000,69808.69200000,4320103923.55080000
1715275800000,69858.00300000,4328463871.54586800
1715276100000,69778.07300000,4327498644.45153100
1715276400000,69795.55400000,4326023687.06120900
1715276700000,69787.60700000,4331507403.66900000
1715277000000,69820.65300000,4336007745.57589100
1715277300000,69819.06300000,4334627297.09746800
1715277600000,69804.27100000,4322001243.23600000
1715277900000,69798.09400000,4326238748.20209400
1715278200000,69827.47700000,4328121024.87749500
1715278500000,69803.32500000,4336131905.94500500
1715278800000,69791.82600000,4333433073.75531900
1715279100000,69800.35400000,4333457257.59440000
1715279400000,69855.15600000,4336590917.45177000
1715279700000,69828.91300000,4329581359.49497800
1715280000000,69916.03000000,4335259682.24363600
1715280300000,69896.26400000,4338915432.19600000
1715280600000,69888.83900000,4343895896.11431500
1715280900000,69849.59900000,4342004094.49577600
1715281200000,69843.34400000,4346609717.49280000
1715281500000,69884.68900000,4354167075.19953250
1715281800000,69811.32800000,4341915544.96000000
1715282100000,69767.21900000,4338014049.86960000
1715282400000,69650.14400000,4336425854.18316650
1715282700000,69587.70100000,4332466585.09759900
1715283000000,69583.83700000,4334606039.83993150
1715283300000,69563.82200000,4334695658.37500000
1715283600000,69595.12100000,4337194832.57123000
1715283900000,69642.21300000,4340757647.80586500
1715284200000,69547.41500000,4333144736.83350000
1715284500000,69554.91400000,4342172688.83350000
1715284800000,69648.04600000,4347840570.72174900
1715285100000,69660.80200000,4348731533.40940100
1715285400000,69658.52900000,4356325984.16070000
1715285700000,69610.65900000,4351879326.02552500
1715286000000,69608.29500000,4340070232.42050000
1715286300000,69648.51700000,4345957225.96786400
1715286600000,69663.32800000,4346420950.63266500
1715286900000,69688.99300000,4348984183.19738000
1715287200000,69611.76400000,4348825337.20970700
1715287500000,69598.81800000,4348429750.41300000
1715287800000,69537.18500000,4347179190.34985350
1715288100000,69542.78200000,4348508828.76236900
1715288400000,69475.77100000,4348504720.85989100
1715288700000,69395.51000000,4349987272.78344800
1715289000000,69100.02000000,4337546455.44000000
1715289300000,69097.74600000,4328715588.22553700
1715289600000,68992.06700000,4316771539.32970000
1715289900000,68914.28700000,4309465348.97190000
1715290200000,68957.59700000,4311642710.02200000
1715290500000,68938.17800000,4308077725.75820000
1715290800000,68878.18100000,4298983452.38830000
1715291100000,68706.95600000,4291326540.63040000
1715291400000,68716.31200000,4294893933.05763000
1715291700000,68646.07700000,4294859889.17411400
1715292000000,68679.70500000,4292810258.21042630
1715292300000,68732.92900000,4296778080.57789800
1715292600000,68742.86500000,4301276511.45428100
1715292900000,68747.67400000,4303899498.86065600
1715293200000,68916.13400000,4313710743.84400100
1715293500000,69000.74400000,4322241104.53200000
1715293800000,68922.80600000,4323534512.66060000
1715294100000,68918.35400000,4322210159.35808200
1715294400000,68954.44600000,4333348711.90269600
1715294700000,69127.59400000,4351940413.96476800
1715295000000,69461.76500000,4387885765.25641400
1715295300000,69822.87600000,4422532089.82680000
1715295600000,69720.15700000,4410304361.51977700
1715295900000,69764.53000000,4408685755.91400000
1715296200000,69702.63300000,4398665993.98859200
1715296500000,69500.94300000,4383425567.80112700
1715296800000,69678.15500000,4387494064.04000000
1715297100000,69707.37200000,4383506263.79680000
1715297400000,69694.62200000,4384731007.11790900
1715297700000,69784.96500000,4392730296.19614900
1715298000000,69785.93900000,4387546663.83850000
1715298300000,69797.94100000,4388657217.08060000
1715298600000,69771.77400000,4398345676.30404700
1715298900000,69810.49400000,4403947847.84146800
