timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,117225121.00000000,20724229.14159000,2.0414,0.6712,0.3288,1.2540,0.5563,0.4437,2.4904,0.7135,0.2865,-0.0007,0.1770000,-0.00012082
1715287200000,117338327.00000000,20768883.87900000,2.0257,0.6695,0.3305,1.2532,0.5562,0.4438,2.4795,0.7126,0.2874,-0.0007,0.1770600,-0.00013280
1715287500000,117265735.00000000,20764243.69645000,2.0211,0.6690,0.3310,1.2513,0.5558,0.4442,2.4843,0.7130,0.2870,-0.0012,0.1770000,-0.00021711
1715287800000,117205251.00000000,20756768.65949760,2.0184,0.6687,0.3313,1.2504,0.5556,0.4444,2.4734,0.7121,0.2879,-0.0007,0.1774100,-0.00012100
1715288100000,117266069.00000000,20804173.30129000,2.0093,0.6677,0.3323,1.2519,0.5559,0.4441,2.4435,0.7096,0.2904,-0.0009,0.1775400,-0.00015291
1715288400000,117203099.00000000,20813581.48574341,2.0021,0.6669,0.3331,1.2498,0.5555,0.4445,2.4352,0.7089,0.2911,-0.0010,0.1791100,-0.00017801
1715288700000,117533920.00000000,21052935.50036320,1.8877,0.6537,0.3463,1.2414,0.5539,0.4461,2.3333,0.7000,0.3000,-0.0008,0.1800100,-0.00014671
1715289000000,117873350.00000000,21224275.40100000,1.8653,0.6510,0.3490,1.2408,0.5537,0.4463,2.2949,0.6965,0.3035,-0.0008,0.1787400,-0.00014120
1715289300000,118201900.00000000,21131056.49865300,1.8777,0.6525,0.3475,1.2442,0.5544,0.4456,2.3113,0.6980,0.3020,-0.0007,0.1780700,-0.00012475
1715289600000,118195624.00000000,21051912.41931424,1.8910,0.6541,0.3459,1.2453,0.5546,0.4454,2.3478,0.7013,0.2987,-0.0004,0.1778400,-0.00007146
1715289900000,118010244.00000000,20988121.89540000,1.9061,0.6559,0.3441,1.2459,0.5547,0.4453,2.3704,0.7033,0.2967,-0.0010,0.1783100,-0.00017561
1715290200000,118215828.00000000,21079635.27312924,1.8802,0.6528,0.3472,1.2461,0.5548,0.4452,2.3256,0.6993,0.3007,-0.0011,0.1782100,-0.00020434
1715290500000,118443939.00000000,21110263.24797000,1.8835,0.6532,0.3468,1.2419,0.5540,0.4460,2.3311,0.6998,0.3002,-0.0005,0.1775400,-0.00009237
1715290800000,118436342.00000000,21030191.70431312,1.8960,0.6547,0.3453,1.2445,0.5545,0.4455,2.3602,0.7024,0.2976,-0.0006,0.1782500,-0.00010279
1715291100000,118325030.00000000,21094891.68837600,1.8843,0.6533,0.3467,1.2407,0.5537,0.4463,2.3389,0.7005,0.2995,-0.0006,0.1783700,-0.00009893
1715291400000,118333507.00000000,21106476.69260531,1.8860,0.6535,0.3465,1.2406,0.5537,0.4463,2.3456,0.7011,0.2989,-0.0001,0.1788200,-0.00001345
1715291700000,118250400.00000000,21145536.52800000,1.8918,0.6542,0.3458,1.2407,0.5537,0.4463,2.3378,0.7004,0.2996,-0.0012,0.1787100,-0.00020783
1715292000000,117957130.00000000,21090472.97917140,1.8835,0.6532,0.3468,1.2436,0.5543,0.4457,2.3167,0.6985,0.3015,-0.0003,0.1787500,-0.00005076
1715292300000,118056354.00000000,21094563.15388110,1.8902,0.6540,0.3460,1.2420,0.5540,0.4460,2.3256,0.6993,0.3007,-0.0006,0.1792800,-0.00011574
1715292600000,118345310.00000000,21221120.03243060,1.8810,0.6529,0.3471,1.2413,0.5538,0.4462,2.3179,0.6986,0.3014,-0.0007,0.1795500,-0.00011890
1715292900000,118412856.00000000,21263846.52077280,1.8843,0.6533,0.3467,1.2392,0.5534,0.4466,2.3256,0.6993,0.3007,-0.0008,0.1790600,-0.00014846
1715293200000,118453293.00000000,21216169.30923000,1.9002,0.6552,0.3448,1.2399,0.5536,0.4464,2.3501,0.7015,0.2985,-0.0006,0.1791500,-0.00010077
1715293500000,118516507.00000000,21231047.06398000,1.9002,0.6552,0.3448,1.2392,0.5534,0.4466,2.3512,0.7016,0.2984,-0.0007,0.1797300,-0.00011909
1715293800000,118413201.00000000,21286834.45357941,1.8893,0.6539,0.3461,1.2386,0.5533,0.4467,2.3267,0.6994,0.3006,-0.0006,0.1792500,-0.00010739
1715294100000,118469395.00000000,21235885.47009160,1.8927,0.6543,0.3457,1.2404,0.5536,0.4464,2.3322,0.6999,0.3001,-0.0009,0.1802500,-0.00015597
1715294400000,118519051.00000000,21368837.93167676,1.8877,0.6537,0.3463,1.2369,0.5529,0.4471,2.3322,0.6999,0.3001,-0.0005,0.1809000,-0.00008771
1715294700000,118727337.00000000,21478962.53667000,1.8852,0.6534,0.3466,1.2345,0.5525,0.4475,2.3300,0.6997,0.3003,-0.0009,0.1814800,-0.00017005
1715295000000,118928682.00000000,21595683.74955912,1.8827,0.6531,0.3469,1.2342,0.5524,0.4476,2.3102,0.6979,0.3021,-0.0008,0.1819400,-0.00013757
1715295300000,119147388.00000000,21678867.24660000,1.8810,0.6529,0.3471,1.2335,0.5523,0.4477,2.3212,0.6989,0.3011,-0.0004,0.1814200,-0.00006668
1715295600000,118969407.00000000,21582240.12387000,1.9087,0.6562,0.3438,1.2318,0.5519,0.4481,2.3613,0.7025,0.2975,-0.0004,0.1804200,-0.00006427
1715295900000,118707286.00000000,21417168.54012000,1.9674,0.6630,0.3370,1.2367,0.5529,0.4471,2.4258,0.7081,0.2919,-0.0005,0.1797600,-0.00008932
1715296200000,118566220.00000000,21315175.80341680,1.9700,0.6633,0.3367,1.2392,0.5534,0.4466,2.4329,0.7087,0.2913,-0.0005,0.1794900,-0.00009309
1715296500000,118499839.00000000,21270721.10050000,1.9691,0.6632,0.3368,1.2409,0.5538,0.4462,2.4400,0.7093,0.2907,-0.0002,0.1798000,-0.00003313
1715296800000,118143126.00000000,21242134.05480000,1.9744,0.6638,0.3362,1.2385,0.5533,0.4467,2.4412,0.7094,0.2906,-0.0007,0.1795600,-0.00013240
