,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,19127672424.0,162911724.97227767,1.0678,0.5164,0.4836,2.0171,0.6686,0.3314,1.1739,0.54,0.46,,,,,,,
1,1715287500000,19127207234.0,162828385.0064633,1.0602,0.5146,0.4854,2.0158,0.6684,0.3316,1.164,0.5379,0.4621,,,,,,,
2,1715287800000,19107484571.0,162803411.5387484,1.0619,0.515,0.485,2.0171,0.6686,0.3314,1.1664,0.5384,0.4616,,,,,,,
3,1715288100000,19102750165.0,162942829.38491866,1.0589,0.5143,0.4857,2.0194,0.6688,0.3312,1.1617,0.5374,0.4626,,,,,,,
4,1715288400000,19113969925.0,163368056.64747125,1.0576,0.514,0.486,2.0186,0.6687,0.3313,1.1598,0.537,0.463,,,,,,,
5,1715288700000,19135392682.0,164377998.34047732,1.0542,0.5132,0.4868,2.0194,0.6688,0.3312,1.1505,0.535,0.465,,,,,,,
6,1715289000000,19066760101.0,164277298.3542059,0.9635,0.4907,0.5093,2.0232,0.6692,0.3308,1.0947,0.5226,0.4774,,,,,,,
7,1715289300000,19087671860.0,163694919.487767,0.9677,0.4918,0.5082,2.0237,0.6693,0.3307,1.0991,0.5236,0.4764,,,,,,,
8,1715289600000,19082992128.0,162849674.9022413,0.9701,0.4924,0.5076,2.0267,0.6696,0.3304,1.0978,0.5233,0.4767,,,,,,,
9,1715289900000,19063582363.0,162278744.8650375,0.9728,0.4931,0.5069,2.0276,0.6697,0.3303,1.1017,0.5242,0.4758,,,,,,,
10,1715290200000,19059796580.0,162338577.2047314,0.9724,0.493,0.507,2.0284,0.6698,0.3302,1.1044,0.5248,0.4752,,,,,,,
11,1715290500000,19077306596.0,162409308.05919912,0.9747,0.4936,0.5064,2.0326,0.6703,0.3297,1.1022,0.5243,0.4757,,,,,,,
12,1715290800000,19108157230.0,162477998.4976961,0.9759,0.4939,0.5061,2.0338,0.6704,0.3296,1.1088,0.5258,0.4742,,,,,,,
13,1715291100000,19112334272.0,162765034.49723455,0.9759,0.4939,0.5061,2.0319,0.6702,0.3298,1.1048,0.5249,0.4751,,,,,,,
14,1715291400000,19137729617.0,163579743.9013075,0.9716,0.4928,0.5072,2.0269,0.6696,0.3304,1.1035,0.5246,0.4754,,,,,,,
15,1715291700000,19129375591.0,163905081.11382985,0.9693,0.4922,0.5078,2.0303,0.67,0.33,1.1044,0.5248,0.4752,,,,,,,
16,1715292000000,19126794477.0,163553410.84077176,0.9658,0.4913,0.5087,2.0325,0.6702,0.3298,1.0995,0.5237,0.4763,,,,,,,
17,1715292300000,19139100898.0,163617494.10287628,0.9697,0.4923,0.5077,2.034,0.6704,0.3296,1.0925,0.5221,0.4779,,,,,,,
18,1715292600000,19146752932.0,163854082.2414696,0.9708,0.4926,0.5074,2.0334,0.6703,0.3297,1.0903,0.5216,0.4784,,,,,,,
19,1715292900000,19228135850.0,165099119.6929305,0.9654,0.4912,0.5088,2.033,0.6703,0.3297,1.0859,0.5206,0.4794,,,,,,,
20,1715293200000,19244132691.0,165318068.97132388,0.967,0.4916,0.5084,2.0475,0.6719,0.3281,1.0916,0.5219,0.4781,,,,,,,
21,1715293500000,19271179763.0,165808074.41006622,0.9646,0.491,0.509,2.0482,0.6719,0.3281,1.0855,0.5205,0.4795,,,,,,,
22,1715293800000,19304241840.0,166676877.9373464,0.9585,0.4894,0.5106,2.047,0.6718,0.3282,1.0786,0.5189,0.4811,,,,,,,
23,1715294100000,19338428463.0,166758749.55357233,0.9592,0.4896,0.5104,2.0426,0.6713,0.3287,1.0777,0.5187,0.4813,,,,,,,
24,1715294400000,19366888648.0,168009889.37915128,0.9577,0.4892,0.5108,2.0417,0.6712,0.3288,1.0695,0.5168,0.4832,,,,,,,
25,1715294700000,19438003010.0,168635367.0134055,0.9639,0.4908,0.5092,2.0485,0.672,0.328,1.0768,0.5185,0.4815,,,,,,,
26,1715295000000,19433745719.0,169056874.73398167,0.9585,0.4894,0.5106,2.0422,0.6713,0.3287,1.0794,0.5191,0.4809,,,,,,,
27,1715295300000,19459653251.0,168980428.75998113,0.9608,0.49,0.51,2.0489,0.672,0.328,1.0812,0.5195,0.4805,,,,,,,
28,1715295600000,19458873323.0,168352334.3285991,0.9627,0.4905,0.5095,2.0469,0.6718,0.3282,1.0838,0.5201,0.4799,,,,,,,
29,1715295900000,19493611989.0,167166689.86718994,0.9697,0.4923,0.5077,2.0492,0.6721,0.3279,1.0881,0.5211,0.4789,,,,,,,
30,1715296200000,19443495888.0,166405992.94769472,0.994,0.4985,0.5015,2.0521,0.6724,0.3276,1.0978,0.5233,0.4767,,,,,,,
31,1715296500000,19431070695.0,166024897.3392885,0.9893,0.4973,0.5027,2.0437,0.6715,0.3285,1.1,0.5238,0.4762,,,,,,,
32,1715296800000,19383191694.0,166130816.1943538,0.99,0.4975,0.5025,2.0303,0.67,0.33,1.0982,0.5234,0.4766,,,,,,,
33,1715297100000,19372754920.0,165580873.576732,0.9857,0.4964,0.5036,2.0363,0.6707,0.3293,1.096,0.5229,0.4771,,,,,,,
34,1715297400000,19375085798.0,165604864.5921034,0.9865,0.4966,0.5034,2.038,0.6708,0.3292,1.1039,0.5247,0.4753,,,,,,,
35,1715297700000,19383123162.0,165788892.01660812,0.99,0.4975,0.5025,2.0299,0.67,0.33,1.1106,0.5262,0.4738,,,,,,,
36,1715298000000,19326132127.0,164734210.89865658,0.9928,0.4982,0.5018,2.029,0.6699,0.3301,1.1093,0.5259,0.4741,,,,,,,
37,1715298300000,19325429774.0,164677204.970293,0.9976,0.4994,0.5006,2.0253,0.6695,0.3305,1.1137,0.5269,0.4731,,,,,,,
38,1715298600000,19386865745.0,165992283.1952645,0.9972,0.4993,0.5007,2.0201,0.6689,0.3311,1.1115,0.5264,0.4736,,,,,,,
39,1715298900000,19403749907.0,165934271.9296956,0.9924,0.4981,0.5019,2.0187,0.6687,0.3313,1.1075,0.5255,0.4745,,,,,,,
40,1715299200000,19334471715.0,165083906.5336188,0.9932,0.4983,0.5017,2.0172,0.6686,0.3314,1.1079,0.5256,0.4744,,,,,,,
41,1715299500000,19221441038.0,162840588.61454916,1.002,0.5005,0.4995,2.013,0.6681,0.3319,1.1195,0.5282,0.4718,,,,,,,
42,1715299800000,19195830919.0,162825372.47916126,1.0161,0.504,0.496,2.0163,0.6685,0.3315,1.1331,0.5312,0.4688,,,,,,,
43,1715300100000,19199324600.0,162965595.144014,1.0088,0.5022,0.4978,2.0223,0.6691,0.3309,1.1295,0.5304,0.4696,,,,,,,
44,1715300400000,19168313912.0,162289871.51792184,1.0036,0.5009,0.4991,2.0251,0.6694,0.3306,1.1236,0.5291,0.4709,,,,,,,
45,1715300700000,19143719599.0,161953953.4355801,1.0145,0.5036,0.4964,2.0265,0.6696,0.3304,1.1304,0.5306,0.4694,,,,,,,
46,1715301000000,19145303498.0,162421479.66170275,1.0032,0.5008,0.4992,2.0323,0.6702,0.3298,1.1048,0.5249,0.4751,,,,,,,
47,1715301300000,19145194291.0,162251692.5773668,1.0044,0.5011,0.4989,2.0359,0.6706,0.3294,1.1057,0.5251,0.4749,,,,,,,
48,1715301600000,19123912171.0,162120096.84282684,1.006,0.5015,0.4985,2.0346,0.6705,0.3295,1.1044,0.5248,0.4752,,,,,,,
49,1715301900000,19123713680.0,162358225.5346952,1.0012,0.5003,0.4997,2.0363,0.6707,0.3293,1.0978,0.5233,0.4767,,,,,,,
50,1715302200000,19094792355.0,161480839.987764,1.0008,0.5002,0.4998,2.0278,0.6697,0.3303,1.0995,0.5237,0.4763,,,,,,,
51,1715302500000,19083437009.0,161629268.92579648,1.0048,0.5012,0.4988,2.0239,0.6693,0.3307,1.1035,0.5246,0.4754,,,,,,,
52,1715302800000,19075434177.0,161476030.114748,1.0004,0.5001,0.4999,2.0229,0.6692,0.3308,1.0991,0.5236,0.4764,,,,,,,
53,1715303100000,19091528509.0,161563969.1602634,0.9992,0.4998,0.5002,2.0216,0.669,0.331,1.0995,0.5237,0.4763,,,,,,,
54,1715303400000,19068539461.0,160850757.7693194,1.006,0.5015,0.4985,2.02,0.6689,0.3311,1.1066,0.5253,0.4747,,,,,,,
55,1715303700000,19048778915.0,160669402.09982646,1.0149,0.5037,0.4963,2.0269,0.6696,0.3304,1.1169,0.5276,0.4724,,,,,,,
56,1715304000000,19022142042.0,161027187.9210405,1.0096,0.5024,0.4976,2.0272,0.6697,0.3303,1.1097,0.526,0.474,,,,,,,
57,1715304300000,19020491372.0,161241270.27837327,1.0084,0.5021,0.4979,2.0258,0.6695,0.3305,1.1048,0.5249,0.4751,,,,,,,
58,1715304600000,19050634639.0,162184720.40393066,1.006,0.5015,0.4985,2.0233,0.6692,0.3308,1.1048,0.5249,0.4751,,,,,,,
59,1715304900000,19069263203.0,162260169.90169498,1.004,0.501,0.499,2.018,0.6687,0.3313,1.1022,0.5243,0.4757,,,,,,,
