,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,2142148070.0,49830648.40434,2.0285,0.6698,0.3302,1.3283,0.5705,0.4295,2.7736,0.735,0.265,,,,,,,
1,1715287200000,2142094324.0,49920458.59460124,2.0285,0.6698,0.3302,1.3286,0.5706,0.4294,2.7707,0.7348,0.2652,,,,,,,
2,1715287500000,2143530305.0,49924964.333755,2.0266,0.6696,0.3304,1.3289,0.5706,0.4294,2.7651,0.7344,0.2656,,,,,,,
3,1715287800000,2141866832.0,49894530.82742016,2.0285,0.6698,0.3302,1.3284,0.5705,0.4295,2.7651,0.7344,0.2656,,,,,,,
4,1715288100000,2141776186.0,49896959.805242,2.0285,0.6698,0.3302,1.3266,0.5702,0.4298,2.7636,0.7343,0.2657,,,,,,,
5,1715288400000,2141139927.0,49965705.57066981,2.0211,0.669,0.331,1.3298,0.5708,0.4292,2.7693,0.7347,0.2653,,,,,,,
6,1715288700000,2139803478.0,50065495.52760072,2.0084,0.6676,0.3324,1.3295,0.5707,0.4293,2.7147,0.7308,0.2692,,,,,,,
7,1715289000000,2143320449.0,50258721.208601,2.0175,0.6686,0.3314,1.3256,0.57,0.43,2.723,0.7314,0.2686,,,,,,,
8,1715289300000,2139492596.0,50029146.0424554,2.0166,0.6685,0.3315,1.3283,0.5705,0.4295,2.73,0.7319,0.2681,,,,,,,
9,1715289600000,2139946768.0,49891617.72679456,2.0193,0.6688,0.3312,1.3279,0.5704,0.4296,2.7397,0.7326,0.2674,,,,,,,
10,1715289900000,2141965274.0,49897081.05783,2.023,0.6692,0.3308,1.33,0.5708,0.4292,2.7397,0.7326,0.2674,,,,,,,
11,1715290200000,2141298152.0,49896529.537904,2.0211,0.669,0.331,1.3305,0.5709,0.4291,2.7383,0.7325,0.2675,,,,,,,
12,1715290500000,2141743362.0,49867752.75266664,2.0175,0.6686,0.3314,1.3313,0.5711,0.4289,2.73,0.7319,0.2681,,,,,,,
