timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,2042111.11000000,10878530.09408100,3.4014,0.7728,0.2272,2.4277,0.7083,0.2917,2.8536,0.7405,0.2595,0.0004,5.347800,0.00232548
1715287200000,2043593.77000000,10924433.55553426,3.3937,0.7724,0.2276,2.4278,0.7083,0.2917,2.8270,0.7387,0.2613,0.0005,5.354600,0.00287489
1715287500000,2046482.85000000,10955728.91958564,3.3516,0.7702,0.2298,2.4315,0.7086,0.2914,2.7965,0.7366,0.2634,0.0005,5.375600,0.00283991
1715287800000,2049751.73000000,11018440.42461500,3.3384,0.7695,0.2305,2.4246,0.7080,0.2920,2.8124,0.7377,0.2623,0.0007,5.371500,0.00356596
1715288100000,2048017.68000000,10998264.54513600,3.3384,0.7695,0.2305,2.4306,0.7085,0.2915,2.8052,0.7372,0.2628,0.0002,5.367600,0.00121302
1715288400000,2049992.72000000,11003540.92387200,3.3346,0.7693,0.2307,2.4293,0.7084,0.2916,2.7850,0.7358,0.2642,0.0006,5.401600,0.00338876
1715288700000,2049270.56000000,11068930.00278400,3.3103,0.7680,0.2320,2.4228,0.7078,0.2922,2.8462,0.7400,0.2600,0.0004,5.403400,0.00209699
1715289000000,2045696.23000000,11049887.96158884,3.3234,0.7687,0.2313,2.4396,0.7093,0.2907,2.8551,0.7406,0.2594,-0.0005,5.394500,-0.00258232
1715289300000,2044728.05000000,11033234.90414800,3.3066,0.7678,0.2322,2.4445,0.7097,0.2903,2.8402,0.7396,0.2604,-0.0011,5.390700,-0.00598090
1715289600000,2045331.26000000,11034628.21189970,3.2900,0.7669,0.2331,2.4430,0.7096,0.2904,2.8285,0.7388,0.2612,0.0000,5.402900,-0.00017653
1715289900000,2046068.76000000,11055423.44183114,3.2863,0.7667,0.2333,2.4438,0.7096,0.2904,2.8402,0.7396,0.2604,-0.0005,5.393700,-0.00264206
1715290200000,2044410.57000000,11030617.23043500,3.3346,0.7693,0.2307,2.4481,0.7100,0.2900,2.8139,0.7378,0.2622,-0.0013,5.394700,-0.00692514
1715290500000,2042699.95000000,11029490.39897066,3.3253,0.7688,0.2312,2.4483,0.7100,0.2900,2.8373,0.7394,0.2606,-0.0009,5.388100,-0.00510872
1715290800000,2041731.25000000,11010648.28500000,3.3687,0.7711,0.2289,2.4455,0.7098,0.2902,2.8850,0.7426,0.2574,-0.0002,5.395800,-0.00106572
1715291100000,2041079.80000000,11013258.38484000,3.3783,0.7716,0.2284,2.4458,0.7098,0.2902,2.8625,0.7411,0.2589,0.0005,5.411700,0.00244184
1715291400000,2039432.87000000,11034441.31896994,3.3668,0.7710,0.2290,2.4482,0.7100,0.2900,2.8565,0.7407,0.2593,0.0003,5.417700,0.00189163
1715291700000,2039121.24000000,11046531.49345200,3.3478,0.7700,0.2300,2.4479,0.7100,0.2900,2.8610,0.7410,0.2590,0.0002,5.410600,0.00086389
1715292000000,2038479.67000000,11029282.33724154,3.3554,0.7704,0.2296,2.4523,0.7103,0.2897,2.8314,0.7390,0.2610,0.0006,5.421100,0.00331324
1715292300000,2037135.56000000,11039224.37863022,3.3234,0.7687,0.2313,2.4438,0.7096,0.2904,2.8183,0.7381,0.2619,0.0000,5.424100,0.00002681
1715292600000,2035968.82000000,11043496.96316226,3.3048,0.7677,0.2323,2.4408,0.7094,0.2906,2.8183,0.7381,0.2619,0.0002,5.433400,0.00082222
1715292900000,2037341.04000000,11070190.46122028,3.3253,0.7688,0.2312,2.4400,0.7093,0.2907,2.8285,0.7388,0.2612,0.0009,5.439900,0.00478789
1715293200000,2036098.60000000,11066654.70545852,3.3215,0.7686,0.2314,2.4408,0.7094,0.2906,2.8270,0.7387,0.2613,0.0001,5.424400,0.00069549
1715293500000,2033563.00000000,11029510.49855403,3.3290,0.7690,0.2310,2.4414,0.7094,0.2906,2.8052,0.7372,0.2628,0.0007,5.441800,0.00402400
1715293800000,2032280.52000000,11058451.22152800,3.3159,0.7683,0.2317,2.4429,0.7095,0.2905,2.7908,0.7362,0.2638,0.0000,5.432900,-0.00017129
1715294100000,2032022.57000000,11041604.24086600,3.2882,0.7668,0.2332,2.4374,0.7091,0.2909,2.7779,0.7353,0.2647,0.0002,5.448900,0.00114900
1715294400000,2035802.72000000,11092681.86073600,3.2845,0.7666,0.2334,2.4325,0.7087,0.2913,2.7651,0.7344,0.2656,0.0009,5.466000,0.00473301
1715294700000,2033998.92000000,11118651.69628800,3.2863,0.7667,0.2333,2.4204,0.7076,0.2924,2.7821,0.7356,0.2644,0.0000,5.467700,-0.00000724
1715295000000,2030779.49000000,11104505.32926900,3.3346,0.7693,0.2307,2.4158,0.7072,0.2928,2.8388,0.7395,0.2605,-0.0001,5.471000,-0.00043681
1715295300000,2027458.72000000,11092559.14007549,3.3403,0.7696,0.2304,2.4144,0.7071,0.2929,2.8256,0.7386,0.2614,0.0003,5.470900,0.00145792
1715295600000,2025939.56000000,11083200.43946746,3.3159,0.7683,0.2317,2.4131,0.7070,0.2930,2.8066,0.7373,0.2627,0.0001,5.459000,0.00056656
1715295900000,2021745.98000000,11035330.61405534,3.3197,0.7685,0.2315,2.4114,0.7069,0.2931,2.8052,0.7372,0.2628,-0.0002,5.442200,-0.00112871
1715296200000,2024492.28000000,11016274.74162000,3.3764,0.7715,0.2285,2.3941,0.7054,0.2946,2.8805,0.7423,0.2577,0.0001,5.451400,0.00061332
1715296500000,2022091.72000000,11022353.11349693,3.3271,0.7689,0.2311,2.3955,0.7055,0.2945,2.8551,0.7406,0.2594,0.0016,5.462500,0.00874098
1715296800000,2021732.17000000,11035457.79204258,3.3346,0.7693,0.2307,2.3960,0.7055,0.2945,2.8432,0.7398,0.2602,0.0003,5.444400,0.00155014
1715297100000,2021201.70000000,11004028.41531000,3.3346,0.7693,0.2307,2.3952,0.7055,0.2945,2.8329,0.7391,0.2609,0.0003,5.445700,0.00188287
1715297400000,2020613.02000000,11003652.32301400,3.3384,0.7695,0.2305,2.3942,0.7054,0.2946,2.8432,0.7398,0.2602,-0.0003,5.444700,-0.00172713
1715297700000,2019398.14000000,10998853.90932400,3.3197,0.7685,0.2315,2.3930,0.7053,0.2947,2.8314,0.7390,0.2610,0.0004,5.441000,0.00229131
1715298000000,2018148.81000000,10980539.68479364,3.3029,0.7676,0.2324,2.3933,0.7053,0.2947,2.7951,0.7365,0.2635,-0.0001,5.434100,-0.00069423
1715298300000,2017307.05000000,10963683.33246730,3.3215,0.7686,0.2314,2.3945,0.7054,0.2946,2.7893,0.7361,0.2639,0.0012,5.461600,0.00651499
1715298600000,2015919.33000000,11008165.25899078,3.3103,0.7680,0.2320,2.3924,0.7052,0.2948,2.8037,0.7371,0.2629,0.0006,5.460300,0.00354092
1715298900000,2014604.63000000,11000144.20072600,3.2699,0.7658,0.2342,2.3939,0.7054,0.2946,2.7750,0.7351,0.2649,0.0001,5.458600,0.00074736
