,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,175705507.0,4852458.986819,2.3234,0.6991,0.3009,1.2639,0.5583,0.4417,2.4698,0.7118,0.2882,,,,,,,
1,1715287200000,176819626.0,4893861.54354964,2.2982,0.6968,0.3032,1.258,0.5571,0.4429,2.4495,0.7101,0.2899,,,,,,,
2,1715287500000,176866344.0,4888585.74816,2.2841,0.6955,0.3045,1.257,0.5569,0.4431,2.4423,0.7095,0.2905,,,,,,,
3,1715287800000,176875602.0,4895032.28535,2.2616,0.6934,0.3066,1.2555,0.5566,0.4434,2.4282,0.7083,0.2917,,,,,,,
4,1715288100000,177922281.0,4924892.29652562,2.2436,0.6917,0.3083,1.2522,0.556,0.444,2.4118,0.7069,0.2931,,,,,,,
5,1715288400000,177935156.0,4930723.74153324,2.251,0.6924,0.3076,1.2513,0.5558,0.4442,2.4235,0.7079,0.2921,,,,,,,
6,1715288700000,177860329.0,4953102.46428083,2.2744,0.6946,0.3054,1.2538,0.5563,0.4437,2.4352,0.7089,0.2911,,,,,,,
7,1715289000000,177568442.0,4955999.14085912,2.2531,0.6926,0.3074,1.2476,0.5551,0.4449,2.427,0.7082,0.2918,,,,,,,
8,1715289300000,177439323.0,4951077.00891639,2.2573,0.693,0.307,1.2432,0.5542,0.4458,2.4165,0.7073,0.2927,,,,,,,
9,1715289600000,176503804.0,4905040.71316,2.2852,0.6956,0.3044,1.2428,0.5541,0.4459,2.4626,0.7112,0.2888,,,,,,,
10,1715289900000,176254759.0,4894918.96618656,2.2949,0.6965,0.3035,1.2391,0.5534,0.4466,2.499,0.7142,0.2858,,,,,,,
11,1715290200000,176482055.0,4896487.5566928,2.2895,0.696,0.304,1.2371,0.553,0.447,2.4892,0.7134,0.2866,,,,,,,
12,1715290500000,176506033.0,4902455.066575,2.2798,0.6951,0.3049,1.2351,0.5526,0.4474,2.4831,0.7129,0.2871,,,,,,,
13,1715290800000,176468744.0,4904248.15856632,2.2755,0.6947,0.3053,1.2343,0.5524,0.4476,2.4771,0.7124,0.2876,,,,,,,
14,1715291100000,176256355.0,4896401.5419,2.2733,0.6945,0.3055,1.2327,0.5521,0.4479,2.499,0.7142,0.2858,,,,,,,
15,1715291400000,175698360.0,4886171.3916,2.3025,0.6972,0.3028,1.2326,0.5521,0.4479,2.5336,0.717,0.283,,,,,,,
16,1715291700000,175640030.0,4893197.7493772,2.3058,0.6975,0.3025,1.2327,0.5521,0.4479,2.5298,0.7167,0.2833,,,,,,,
17,1715292000000,175452751.0,4889871.67942502,2.3014,0.6971,0.3029,1.232,0.552,0.448,2.5125,0.7153,0.2847,,,,,,,
18,1715292300000,176082867.0,4912711.9893,2.2563,0.6929,0.3071,1.2307,0.5517,0.4483,2.459,0.7109,0.2891,,,,,,,
19,1715292600000,176415269.0,4924102.988328,2.2541,0.6927,0.3073,1.2242,0.5504,0.4496,2.4722,0.712,0.288,,,,,,,
20,1715292900000,176412958.0,4932506.30568,2.2415,0.6915,0.3085,1.2226,0.5501,0.4499,2.4698,0.7118,0.2882,,,,,,,
21,1715293200000,175344270.0,4903502.51055,2.308,0.6977,0.3023,1.2216,0.5499,0.4501,2.5125,0.7153,0.2847,,,,,,,
22,1715293500000,175099151.0,4894359.21181143,2.3223,0.699,0.301,1.2202,0.5496,0.4504,2.5436,0.7178,0.2822,,,,,,,
23,1715293800000,174893878.0,4893766.8131753,2.3289,0.6996,0.3004,1.2181,0.5492,0.4508,2.5663,0.7196,0.2804,,,,,,,
24,1715294100000,174358452.0,4876059.64826544,2.33,0.6997,0.3003,1.2165,0.5488,0.4512,2.5727,0.7201,0.2799,,,,,,,
25,1715294400000,174311461.0,4889283.08696432,2.358,0.7022,0.2978,1.2162,0.5488,0.4512,2.5958,0.7219,0.2781,,,,,,,
26,1715294700000,173762405.0,4897727.96417175,2.349,0.7014,0.2986,1.2153,0.5486,0.4514,2.5945,0.7218,0.2782,,,,,,,
27,1715295000000,173498765.0,4902034.10631,2.3693,0.7032,0.2968,1.2144,0.5484,0.4516,2.6258,0.7242,0.2758,,,,,,,
28,1715295300000,173406932.0,4909670.465716,2.3422,0.7008,0.2992,1.2152,0.5486,0.4514,2.6101,0.723,0.277,,,,,,,
29,1715295600000,173703269.0,4903738.82066795,2.3523,0.7017,0.2983,1.2189,0.5493,0.4507,2.5997,0.7222,0.2778,,,,,,,
30,1715295900000,173712033.0,4888430.320653,2.3933,0.7053,0.2947,1.2205,0.5496,0.4504,2.647,0.7258,0.2742,,,,,,,
31,1715296200000,173917754.0,4881871.35478,2.4223,0.7078,0.2922,1.2203,0.5496,0.4504,2.663,0.727,0.273,,,,,,,
32,1715296500000,173841093.0,4871548.949139,2.4211,0.7077,0.2923,1.221,0.5497,0.4503,2.6711,0.7276,0.2724,,,,,,,
33,1715296800000,173793781.0,4871787.268992,2.4235,0.7079,0.2921,1.2221,0.55,0.45,2.6684,0.7274,0.2726,,,,,,,
34,1715297100000,173694234.0,4853315.65204248,2.4211,0.7077,0.2923,1.2222,0.55,0.45,2.6563,0.7265,0.2735,,,,,,,
35,1715297400000,173614968.0,4858691.27006592,2.4176,0.7074,0.2926,1.2227,0.5501,0.4499,2.6576,0.7266,0.2734,,,,,,,
36,1715297700000,173628866.0,4852963.26676186,2.4141,0.7071,0.2929,1.2231,0.5502,0.4498,2.6403,0.7253,0.2747,,,,,,,
37,1715298000000,173467555.0,4837316.23873,2.4176,0.7074,0.2926,1.2245,0.5505,0.4495,2.6563,0.7265,0.2735,,,,,,,
38,1715298300000,173382151.0,4832854.076974,2.4258,0.7081,0.2919,1.2252,0.5506,0.4494,2.6576,0.7266,0.2734,,,,,,,
39,1715298600000,173443192.0,4850512.307472,2.4002,0.7059,0.2941,1.2236,0.5503,0.4497,2.6271,0.7243,0.2757,,,,,,,
40,1715298900000,173278886.0,4842278.46927,2.4014,0.706,0.294,1.223,0.5502,0.4498,2.6298,0.7245,0.2755,,,,,,,
41,1715299200000,173201711.0,4839255.80534,2.4025,0.7061,0.2939,1.2221,0.55,0.45,2.6284,0.7244,0.2756,,,,,,,
42,1715299500000,172835565.0,4814853.16977,2.3681,0.7031,0.2969,1.2246,0.5505,0.4495,2.6101,0.723,0.277,,,,,,,
43,1715299800000,172716581.0,4817756.310414,2.3546,0.7019,0.2981,1.2258,0.5507,0.4493,2.5984,0.7221,0.2779,,,,,,,
44,1715300100000,172461756.0,4811510.530644,2.3434,0.7009,0.2991,1.2251,0.5506,0.4494,2.601,0.7223,0.2777,,,,,,,
45,1715300400000,172214972.0,4802903.354108,2.3445,0.701,0.299,1.2284,0.5512,0.4488,2.5984,0.7221,0.2779,,,,,,,
46,1715300700000,172424847.0,4800583.6202352,2.3445,0.701,0.299,1.2283,0.5512,0.4488,2.5714,0.72,0.28,,,,,,,
47,1715301000000,172333432.0,4795005.411968,2.3411,0.7007,0.2993,1.2272,0.551,0.449,2.5625,0.7193,0.2807,,,,,,,
48,1715301300000,172314652.0,4797608.66503528,2.3333,0.7,0.3,1.227,0.551,0.449,2.5765,0.7204,0.2796,,,,,,,
49,1715301600000,172296980.0,4801057.0706698,2.3356,0.7002,0.2998,1.2266,0.5509,0.4491,2.5753,0.7203,0.2797,,,,,,,
50,1715301900000,172019325.0,4814593.841241,2.3256,0.6993,0.3007,1.2243,0.5504,0.4496,2.5765,0.7204,0.2796,,,,,,,
51,1715302200000,172027753.0,4834492.50200394,2.2733,0.6945,0.3055,1.2233,0.5502,0.4498,2.5075,0.7149,0.2851,,,,,,,
52,1715302500000,172113818.0,4826415.684356,2.2862,0.6957,0.3043,1.2183,0.5492,0.4508,2.5137,0.7154,0.2846,,,,,,,
53,1715302800000,172101857.0,4826424.477708,2.2776,0.6949,0.3051,1.2172,0.549,0.451,2.4928,0.7137,0.2863,,,,,,,
54,1715303100000,172073231.0,4841547.06769305,2.2701,0.6942,0.3058,1.2179,0.5491,0.4509,2.4977,0.7141,0.2859,,,,,,,
55,1715303400000,172007208.0,4823567.17264656,2.2895,0.696,0.304,1.2172,0.549,0.451,2.5236,0.7162,0.2838,,,,,,,
56,1715303700000,172031403.0,4814126.781552,2.2916,0.6962,0.3038,1.2146,0.5485,0.4515,2.5386,0.7174,0.2826,,,,,,,
57,1715304000000,172048177.0,4826999.13824793,2.2949,0.6965,0.3035,1.2128,0.5481,0.4519,2.5149,0.7155,0.2845,,,,,,,
58,1715304300000,172467346.0,4845756.38166436,2.2949,0.6965,0.3035,1.2144,0.5484,0.4516,2.5051,0.7147,0.2853,,,,,,,
59,1715304600000,172429396.0,4852359.77295144,2.2927,0.6963,0.3037,1.212,0.5479,0.4521,2.5162,0.7156,0.2844,,,,,,,
60,1715304900000,172364013.0,4868878.31181945,2.2906,0.6961,0.3039,1.21,0.5475,0.4525,2.5051,0.7147,0.2853,,,,,,,
61,1715305200000,172455479.0,4876389.06440938,2.2927,0.6963,0.3037,1.2098,0.5475,0.4525,2.5298,0.7167,0.2833,,,,,,,
62,1715305500000,172503658.0,4865341.47125624,2.2884,0.6959,0.3041,1.2083,0.5472,0.4528,2.5137,0.7154,0.2846,,,,,,,
63,1715305800000,172552521.0,4872042.86226273,2.283,0.6954,0.3046,1.2065,0.5468,0.4532,2.4953,0.7139,0.2861,,,,,,,
64,1715306100000,172180027.0,4866883.68818875,2.2895,0.696,0.304,1.2036,0.5462,0.4538,2.5002,0.7143,0.2857,,,,,,,
65,1715306400000,172120399.0,4860662.8557201,2.3967,0.7056,0.2944,1.2889,0.5631,0.4369,2.5002,0.7143,0.2857,,,,,,,
66,1715306700000,171854265.0,4859309.9521164,2.2798,0.6951,0.3049,1.2924,0.5638,0.4362,2.4783,0.7125,0.2875,,,,,,,
67,1715307000000,172041796.0,4851475.4221224,2.4072,0.7065,0.2935,1.289,0.5631,0.4369,2.5125,0.7153,0.2847,,,,,,,
68,1715307300000,172173602.0,4849786.021136,2.3256,0.6993,0.3007,1.2892,0.5632,0.4368,2.5236,0.7162,0.2838,,,,,,,
69,1715307600000,172033918.0,4857014.68316302,2.3289,0.6996,0.3004,1.288,0.5629,0.4371,2.5261,0.7164,0.2836,,,,,,,
70,1715307900000,172052491.0,4861515.185696,2.4282,0.7083,0.2917,1.2887,0.5631,0.4369,2.5112,0.7152,0.2848,,,,,,,
71,1715308200000,171815671.0,4853316.77634133,2.4095,0.7067,0.2933,1.2885,0.563,0.437,2.51,0.7151,0.2849,,,,,,,
72,1715308500000,171301218.0,4841870.03906232,2.4258,0.7081,0.2919,1.2891,0.5632,0.4368,2.5236,0.7162,0.2838,,,,,,,
73,1715308800000,170980603.0,4822336.927012,2.4459,0.7098,0.2902,1.2901,0.5633,0.4367,2.5261,0.7164,0.2836,,,,,,,
