,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,27637578.4,34430629.29721579,4.2029,0.8078,0.1922,0.9351,0.4832,0.5168,5.3857,0.8434,0.1566,,,,,,,
1,1715287200000,27655343.9,34510910.34195614,4.1921,0.8074,0.1926,0.935,0.4832,0.5168,5.3654,0.8429,0.1571,,,,,,,
2,1715287500000,27644930.1,34509274.33550669,4.2056,0.8079,0.1921,0.9352,0.4833,0.5167,5.398,0.8437,0.1563,,,,,,,
3,1715287800000,27642137.4,34478037.97902,4.2029,0.8078,0.1922,0.9355,0.4833,0.5167,5.3735,0.8431,0.1569,,,,,,,
4,1715288100000,27647971.0,34515726.9964,4.1894,0.8073,0.1927,0.9357,0.4834,0.5166,5.3613,0.8428,0.1572,,,,,,,
5,1715288400000,27656175.0,34576548.97189575,4.2192,0.8084,0.1916,0.9362,0.4835,0.5165,5.3776,0.8432,0.1568,,,,,,,
6,1715288700000,27647684.8,34783552.24688,4.2138,0.8082,0.1918,0.9356,0.4834,0.5166,5.3898,0.8435,0.1565,,,,,,,
7,1715289000000,27674547.9,34842255.8061,4.2549,0.8097,0.1903,0.9364,0.4836,0.5164,5.4226,0.8443,0.1557,,,,,,,
8,1715289300000,27665428.8,34706390.53800663,4.2659,0.8101,0.1899,0.9369,0.4837,0.5163,5.4226,0.8443,0.1557,,,,,,,
9,1715289600000,27670972.2,34646824.29162,4.3305,0.8124,0.1876,0.937,0.4837,0.5163,5.4977,0.8461,0.1539,,,,,,,
10,1715289900000,27638693.1,34576005.0681,4.3107,0.8117,0.1883,0.9368,0.4837,0.5163,5.5062,0.8463,0.1537,,,,,,,
11,1715290200000,27636922.6,34579317.55712,4.3163,0.8119,0.1881,0.9372,0.4838,0.5162,5.5062,0.8463,0.1537,,,,,,,
12,1715290500000,27638971.4,34562533.7357,4.3362,0.8126,0.1874,0.9398,0.4845,0.5155,5.5104,0.8464,0.1536,,,,,,,
13,1715290800000,27694798.1,34577610.40982506,4.3022,0.8114,0.1886,0.9397,0.4844,0.5156,5.4599,0.8452,0.1548,,,,,,,
14,1715291100000,27689855.2,34653853.7828,4.2826,0.8107,0.1893,0.9397,0.4844,0.5156,5.4475,0.8449,0.1551,,,,,,,
15,1715291400000,27678237.6,34642082.18016,4.2549,0.8097,0.1903,0.9396,0.4844,0.5156,5.4267,0.8444,0.1556,,,,,,,
16,1715291700000,27677266.5,34811222.81766149,4.2383,0.8091,0.1909,0.9397,0.4844,0.5156,5.4103,0.844,0.156,,,,,,,
17,1715292000000,27704637.4,34797255.90812229,4.2247,0.8086,0.1914,0.9393,0.4843,0.5157,5.3857,0.8434,0.1566,,,,,,,
18,1715292300000,27701724.6,34829378.33958,4.2826,0.8107,0.1893,0.9401,0.4846,0.5154,5.4599,0.8452,0.1548,,,,,,,
19,1715292600000,27661773.0,34738238.1968103,4.2743,0.8104,0.1896,0.9395,0.4844,0.5156,5.4392,0.8447,0.1553,,,,,,,
20,1715292900000,27705661.3,34959838.19991497,4.2466,0.8094,0.1906,0.9421,0.4851,0.5149,5.3939,0.8436,0.1564,,,,,,,
21,1715293200000,27749178.4,35027787.89432,4.2219,0.8085,0.1915,0.9413,0.4849,0.5151,5.398,0.8437,0.1563,,,,,,,
22,1715293500000,27758103.7,35075139.83532,4.2274,0.8087,0.1913,0.9401,0.4846,0.5154,5.3776,0.8432,0.1568,,,,,,,
23,1715293800000,27788030.0,35221328.025,4.2274,0.8087,0.1913,0.9391,0.4843,0.5157,5.3857,0.8434,0.1566,,,,,,,
24,1715294100000,27780076.8,35241805.42848,4.2356,0.809,0.191,0.9389,0.4843,0.5157,5.4185,0.8442,0.1558,,,,,,,
25,1715294400000,27802494.6,35371854.70459957,4.2632,0.81,0.19,0.9388,0.4842,0.5158,5.4558,0.8451,0.1549,,,,,,,
