,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,59294036.6,11301443.37596,3.1135,0.7569,0.2431,1.6402,0.6212,0.3788,2.8153,0.7379,0.2621,,,,,,,
1,1715287200000,59304833.0,11321745.11557579,3.1102,0.7567,0.2433,1.6391,0.6211,0.3789,2.8139,0.7378,0.2622,,,,,,,
2,1715287500000,59297695.8,11322596.74560013,3.1118,0.7568,0.2432,1.6401,0.6212,0.3788,2.8139,0.7378,0.2622,,,,,,,
3,1715287800000,59362369.8,11326340.15784,3.1528,0.7592,0.2408,1.6384,0.621,0.379,2.8329,0.7391,0.2609,,,,,,,
4,1715288100000,59369900.2,11327776.95816,3.1511,0.7591,0.2409,1.6393,0.6211,0.3789,2.8314,0.739,0.261,,,,,,,
5,1715288400000,59390296.6,11333071.39008569,3.1425,0.7586,0.2414,1.6379,0.6209,0.3791,2.8285,0.7388,0.2612,,,,,,,
6,1715288700000,59401398.9,11363487.60957,3.1374,0.7583,0.2417,1.636,0.6206,0.3794,2.8241,0.7385,0.2615,,,,,,,
7,1715289000000,59351319.6,11364926.01196374,3.1477,0.7589,0.2411,1.6366,0.6207,0.3793,2.8358,0.7393,0.2607,,,,,,,
8,1715289300000,59297751.8,11333406.74507626,3.1528,0.7592,0.2408,1.6385,0.621,0.379,2.8388,0.7395,0.2605,,,,,,,
9,1715289600000,59302196.0,11320789.2164,3.1667,0.76,0.24,1.6411,0.6214,0.3786,2.8491,0.7402,0.2598,,,,,,,
10,1715289900000,59319673.7,11330057.6767,3.1632,0.7598,0.2402,1.6405,0.6213,0.3787,2.8447,0.7399,0.2601,,,,,,,
11,1715290200000,59304233.2,11327108.5412,3.1754,0.7605,0.2395,1.642,0.6215,0.3785,2.8506,0.7403,0.2597,,,,,,,
12,1715290500000,59330143.3,11333939.32244548,3.1684,0.7601,0.2399,1.6409,0.6213,0.3787,2.8447,0.7399,0.2601,,,,,,,
13,1715290800000,59320841.7,11341392.15155883,3.1528,0.7592,0.2408,1.6399,0.6212,0.3788,2.827,0.7387,0.2613,,,,,,,
14,1715291100000,59367634.7,11367205.91172662,3.1339,0.7581,0.2419,1.6379,0.6209,0.3791,2.8183,0.7381,0.2619,,,,,,,
15,1715291400000,59395892.6,11373772.93027734,3.1322,0.758,0.242,1.6369,0.6208,0.3792,2.8226,0.7384,0.2616,,,,,,,
16,1715291700000,59377010.9,11388510.69062,3.1494,0.759,0.241,1.6373,0.6208,0.3792,2.8329,0.7391,0.2609,,,,,,,
17,1715292000000,59317786.2,11389360.77309355,3.1271,0.7577,0.2423,1.6383,0.621,0.379,2.8344,0.7392,0.2608,,,,,,,
18,1715292300000,59248946.6,11369872.85254,3.1237,0.7575,0.2425,1.6378,0.6209,0.3791,2.8388,0.7395,0.2605,,,,,,,
19,1715292600000,59173669.7,11351348.96611428,3.1356,0.7582,0.2418,1.6335,0.6203,0.3797,2.8565,0.7407,0.2593,,,,,,,
20,1715292900000,59168856.6,11360420.4672,3.1391,0.7584,0.2416,1.6326,0.6201,0.3799,2.8655,0.7413,0.2587,,,,,,,
21,1715293200000,59151686.0,11357123.712,3.1374,0.7583,0.2417,1.6348,0.6205,0.3795,2.8655,0.7413,0.2587,,,,,,,
22,1715293500000,59113038.6,11358104.55624583,3.1169,0.7571,0.2429,1.6335,0.6203,0.3797,2.8551,0.7406,0.2594,,,,,,,
23,1715293800000,59206288.6,11397210.5555,3.122,0.7574,0.2426,1.6301,0.6198,0.3802,2.8595,0.7409,0.2591,,,,,,,
24,1715294100000,59220268.7,11398356.07573693,3.1135,0.7569,0.2431,1.6322,0.6201,0.3799,2.858,0.7408,0.2592,,,,,,,
25,1715294400000,59127603.3,11427521.52794307,3.0866,0.7553,0.2447,1.6305,0.6198,0.3802,2.8432,0.7398,0.2602,,,,,,,
26,1715294700000,59089958.7,11457542.99193,3.0535,0.7533,0.2467,1.6301,0.6198,0.3802,2.827,0.7387,0.2613,,,,,,,
27,1715295000000,59106323.4,11485514.16524247,3.0601,0.7537,0.2463,1.6291,0.6196,0.3804,2.8241,0.7385,0.2615,,,,,,,
28,1715295300000,59140289.9,11485477.20550207,3.0568,0.7535,0.2465,1.6296,0.6197,0.3803,2.8197,0.7382,0.2618,,,,,,,
29,1715295600000,59211580.3,11484533.63873207,3.0683,0.7542,0.2458,1.6295,0.6197,0.3803,2.8344,0.7392,0.2608,,,,,,,
30,1715295900000,59105131.8,11461028.23218124,3.0453,0.7528,0.2472,1.6357,0.6206,0.3794,2.785,0.7358,0.2642,,,,,,,
31,1715296200000,59041908.8,11426199.94182307,3.0274,0.7517,0.2483,1.6364,0.6207,0.3793,2.7807,0.7355,0.2645,,,,,,,
32,1715296500000,59230135.1,11431416.0743,3.1017,0.7562,0.2438,1.6573,0.6237,0.3763,2.8835,0.7425,0.2575,,,,,,,
33,1715296800000,59275329.3,11434211.02197,3.1169,0.7571,0.2429,1.6566,0.6236,0.3764,2.9139,0.7445,0.2555,,,,,,,
34,1715297100000,59321947.8,11441291.19102293,3.1305,0.7579,0.2421,1.6607,0.6242,0.3758,2.92,0.7449,0.2551,,,,,,,
35,1715297400000,59331755.6,11451028.8308,3.1339,0.7581,0.2419,1.6597,0.624,0.376,2.92,0.7449,0.2551,,,,,,,
36,1715297700000,59254101.7,11430116.21793,3.1237,0.7575,0.2425,1.6644,0.6247,0.3753,2.9093,0.7442,0.2558,,,,,,,
37,1715298000000,59190524.3,11409817.61570152,3.1068,0.7565,0.2435,1.6672,0.6251,0.3749,2.8941,0.7432,0.2568,,,,,,,
38,1715298300000,59201984.5,11425983.0085,3.1017,0.7562,0.2438,1.6663,0.625,0.375,2.888,0.7428,0.2572,,,,,,,
39,1715298600000,59216297.9,11446510.38407,3.1118,0.7568,0.2432,1.6605,0.6241,0.3759,2.9078,0.7441,0.2559,,,,,,,
40,1715298900000,59210443.0,11457220.7205,3.1135,0.7569,0.2431,1.6615,0.6243,0.3757,2.9063,0.744,0.256,,,,,,,
41,1715299200000,59214844.9,11452151.00366,3.1051,0.7564,0.2436,1.662,0.6243,0.3757,2.9017,0.7437,0.2563,,,,,,,
42,1715299500000,59179713.5,11439438.61955,3.1237,0.7575,0.2425,1.6551,0.6234,0.3766,2.9078,0.7441,0.2559,,,,,,,
43,1715299800000,59162405.4,11449931.64206711,3.1356,0.7582,0.2418,1.6525,0.623,0.377,2.9216,0.745,0.255,,,,,,,
44,1715300100000,59148883.2,11435048.93392013,3.1356,0.7582,0.2418,1.6525,0.623,0.377,2.9262,0.7453,0.2547,,,,,,,
45,1715300400000,59134709.7,11408387.6474376,3.1459,0.7588,0.2412,1.6544,0.6233,0.3767,2.9308,0.7456,0.2544,,,,,,,
46,1715300700000,59187684.9,11417304.41721,3.1459,0.7588,0.2412,1.6546,0.6233,0.3767,2.9293,0.7455,0.2545,,,,,,,
