,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,33843921.0,3737384.19603,3.1135,0.7569,0.2431,1.5556,0.6087,0.3913,2.9651,0.7478,0.2522,,,,,,,
1,1715287200000,33849319.0,3743184.29147306,3.0866,0.7553,0.2447,1.5558,0.6087,0.3913,2.951,0.7469,0.2531,,,,,,,
2,1715287500000,33845658.0,3741024.54703362,3.0866,0.7553,0.2447,1.5556,0.6087,0.3913,2.951,0.7469,0.2531,,,,,,,
3,1715287800000,33856050.0,3744366.3893535,3.085,0.7552,0.2448,1.5557,0.6087,0.3913,2.9463,0.7466,0.2534,,,,,,,
4,1715288100000,33861890.0,3747495.3663,3.0883,0.7554,0.2446,1.5555,0.6087,0.3913,2.9463,0.7466,0.2534,,,,,,,
5,1715288400000,33845171.0,3744629.71944,3.0833,0.7551,0.2449,1.5568,0.6089,0.3911,2.9494,0.7468,0.2532,,,,,,,
6,1715288700000,33813477.0,3748504.5773091,3.1102,0.7567,0.2433,1.5556,0.6087,0.3913,2.9793,0.7487,0.2513,,,,,,,
7,1715289000000,33754786.0,3741042.93238,3.1494,0.759,0.241,1.5553,0.6086,0.3914,3.0032,0.7502,0.2498,,,,,,,
8,1715289300000,33752465.0,3730322.4318,3.1563,0.7594,0.2406,1.5555,0.6087,0.3913,3.0161,0.751,0.249,,,,,,,
9,1715289600000,33776992.0,3734928.0450912,3.1563,0.7594,0.2406,1.5553,0.6087,0.3913,3.0064,0.7504,0.2496,,,,,,,
10,1715289900000,33776473.0,3734239.0360502,3.1442,0.7587,0.2413,1.555,0.6086,0.3914,2.9809,0.7488,0.2512,,,,,,,
11,1715290200000,33781637.0,3734814.68389298,3.1442,0.7587,0.2413,1.5549,0.6086,0.3914,2.9857,0.7491,0.2509,,,,,,,
12,1715290500000,33791812.0,3734490.61396392,3.1374,0.7583,0.2417,1.5547,0.6086,0.3914,2.9714,0.7482,0.2518,,,,,,,
13,1715290800000,33773199.0,3732149.23426176,3.1477,0.7589,0.2411,1.5563,0.6088,0.3912,2.973,0.7483,0.2517,,,,,,,
14,1715291100000,33764017.0,3732119.1247018,3.1203,0.7573,0.2427,1.5556,0.6087,0.3913,2.9667,0.7479,0.2521,,,,,,,
15,1715291400000,33782630.0,3737372.3569,3.1169,0.7571,0.2429,1.5536,0.6084,0.3916,2.9541,0.7471,0.2529,,,,,,,
16,1715291700000,33777737.0,3739195.4859,3.1356,0.7582,0.2418,1.5534,0.6084,0.3916,2.9841,0.749,0.251,,,,,,,
17,1715292000000,33697994.0,3729693.97592,3.1339,0.7581,0.2419,1.5576,0.609,0.391,2.9262,0.7453,0.2547,,,,,,,
18,1715292300000,33678985.0,3731631.538,3.122,0.7574,0.2426,1.557,0.6089,0.3911,2.9216,0.745,0.255,,,,,,,
19,1715292600000,33676325.0,3731336.81,3.1356,0.7582,0.2418,1.5571,0.6089,0.3911,2.92,0.7449,0.2551,,,,,,,
20,1715292900000,33667778.0,3735439.9691,3.1459,0.7588,0.2412,1.5552,0.6086,0.3914,2.9339,0.7458,0.2542,,,,,,,
21,1715293200000,33664305.0,3733018.28594055,3.1237,0.7575,0.2425,1.5561,0.6088,0.3912,2.9093,0.7442,0.2558,,,,,,,
22,1715293500000,33665696.0,3732153.13597408,3.1169,0.7571,0.2429,1.5556,0.6087,0.3913,2.917,0.7447,0.2553,,,,,,,
23,1715293800000,33696185.0,3736906.9165,3.1102,0.7567,0.2433,1.553,0.6083,0.3917,2.9448,0.7465,0.2535,,,,,,,
24,1715294100000,33719583.0,3739001.35608828,3.1034,0.7563,0.2437,1.5542,0.6085,0.3915,2.9541,0.7471,0.2529,,,,,,,
25,1715294400000,33742032.0,3745365.552,3.122,0.7574,0.2426,1.5484,0.6076,0.3924,3.0306,0.7519,0.2481,,,,,,,
26,1715294700000,33718768.0,3751769.299672,3.1152,0.757,0.243,1.5516,0.6081,0.3919,3.0032,0.7502,0.2498,,,,,,,
27,1715295000000,33714331.0,3762182.19629,3.1425,0.7586,0.2414,1.5526,0.6082,0.3918,3.0112,0.7507,0.2493,,,,,,,
28,1715295300000,33853205.0,3783515.77702405,3.1254,0.7576,0.2424,1.5476,0.6075,0.3925,2.992,0.7495,0.2505,,,,,,,
29,1715295600000,33840409.0,3778873.8720075,3.1152,0.757,0.243,1.5496,0.6078,0.3922,2.9872,0.7492,0.2508,,,,,,,
30,1715295900000,33840431.0,3778685.46866166,3.1152,0.757,0.243,1.5527,0.6083,0.3917,2.9793,0.7487,0.2513,,,,,,,
31,1715296200000,33771892.0,3760777.77915224,3.1408,0.7585,0.2415,1.5579,0.6091,0.3909,3.0274,0.7517,0.2483,,,,,,,
32,1715296500000,33767668.0,3756293.77701248,3.1789,0.7607,0.2393,1.5604,0.6094,0.3906,3.0193,0.7512,0.2488,,,,,,,
33,1715296800000,33756521.0,3755093.96212655,3.1701,0.7602,0.2398,1.5613,0.6096,0.3904,3.0209,0.7513,0.2487,,,,,,,
34,1715297100000,33754435.0,3750806.65651835,3.1754,0.7605,0.2395,1.5617,0.6096,0.3904,3.0258,0.7516,0.2484,,,,,,,
35,1715297400000,33747303.0,3755737.35087,3.1667,0.76,0.24,1.562,0.6097,0.3903,3.0258,0.7516,0.2484,,,,,,,
36,1715297700000,33751797.0,3748523.17740768,3.1545,0.7593,0.2407,1.562,0.6097,0.3903,3.0177,0.7511,0.2489,,,,,,,
