,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,172545735.0,7923950.64862095,1.9674,0.663,0.337,1.8439,0.6484,0.3516,1.7337,0.6342,0.3658,,,,,,,
1,1715287200000,172383938.0,7939783.53283936,1.9551,0.6616,0.3384,1.8402,0.6479,0.3521,1.7263,0.6332,0.3668,,,,,,,
2,1715287500000,172322521.0,7935328.01983488,1.9586,0.662,0.338,1.8409,0.648,0.352,1.7285,0.6335,0.3665,,,,,,,
3,1715287800000,172282510.0,7928441.1102,1.9507,0.6611,0.3389,1.8401,0.6479,0.3521,1.742,0.6353,0.3647,,,,,,,
4,1715288100000,172346913.0,7929921.02933907,1.9595,0.6621,0.3379,1.8405,0.6479,0.3521,1.7412,0.6352,0.3648,,,,,,,
5,1715288400000,172471358.0,7942306.0359,1.97,0.6633,0.3367,1.8399,0.6479,0.3521,1.7412,0.6352,0.3648,,,,,,,
6,1715288700000,172293392.0,7953822.78857872,1.9744,0.6638,0.3362,1.8364,0.6474,0.3526,1.7609,0.6378,0.3622,,,,,,,
7,1715289000000,172079495.0,7943189.4892,1.9904,0.6656,0.3344,1.8376,0.6476,0.3524,1.7541,0.6369,0.3631,,,,,,,
8,1715289300000,172248898.0,7928616.77494,2.0057,0.6673,0.3327,1.8417,0.6481,0.3519,1.7655,0.6384,0.3616,,,,,,,
9,1715289600000,172173074.0,7926767.40561522,1.986,0.6651,0.3349,1.8416,0.6481,0.3519,1.7556,0.6371,0.3629,,,,,,,
10,1715289900000,172164251.0,7912668.97596,1.9958,0.6662,0.3338,1.8465,0.6487,0.3513,1.7382,0.6348,0.3652,,,,,,,
11,1715290200000,172253879.0,7906453.0461,1.9958,0.6662,0.3338,1.8487,0.649,0.351,1.7375,0.6347,0.3653,,,,,,,
12,1715290500000,172222923.0,7901641.09634613,2.003,0.667,0.333,1.8535,0.6496,0.3504,1.7211,0.6325,0.3675,,,,,,,
13,1715290800000,171929578.0,7889251.73878434,2.0057,0.6673,0.3327,1.8568,0.65,0.35,1.7337,0.6342,0.3658,,,,,,,
14,1715291100000,171799144.0,7884991.43853608,2.003,0.667,0.333,1.8573,0.65,0.35,1.7189,0.6322,0.3678,,,,,,,
15,1715291400000,171775129.0,7892654.9172404,2.0003,0.6667,0.3333,1.8579,0.6501,0.3499,1.7196,0.6323,0.3677,,,,,,,
16,1715291700000,171537876.0,7904264.62676508,2.0239,0.6693,0.3307,1.8596,0.6503,0.3497,1.733,0.6341,0.3659,,,,,,,
17,1715292000000,171267136.0,7888564.28416,2.0111,0.6679,0.3321,1.8601,0.6504,0.3496,1.7255,0.6331,0.3669,,,,,,,
18,1715292300000,171145969.0,7877848.95307,1.9967,0.6663,0.3337,1.8585,0.6502,0.3498,1.7241,0.6329,0.3671,,,,,,,
19,1715292600000,171026736.0,7874070.92544,1.9886,0.6654,0.3346,1.8557,0.6498,0.3502,1.7174,0.632,0.368,,,,,,,
20,1715292900000,170851082.0,7887379.49627886,1.9895,0.6655,0.3345,1.8515,0.6493,0.3507,1.7174,0.632,0.368,,,,,,,
21,1715293200000,170837025.0,7875586.8525,1.9806,0.6645,0.3355,1.8511,0.6493,0.3507,1.7108,0.6311,0.3689,,,,,,,
22,1715293500000,170846269.0,7880967.542701,2.0003,0.6667,0.3333,1.8535,0.6495,0.3505,1.7241,0.6329,0.3671,,,,,,,
23,1715293800000,171011630.0,7895926.7488481,1.9922,0.6658,0.3342,1.8535,0.6496,0.3504,1.7211,0.6325,0.3675,,,,,,,
24,1715294100000,171076522.0,7893701.6783847,1.9762,0.664,0.336,1.8536,0.6496,0.3504,1.7122,0.6313,0.3687,,,,,,,
25,1715294400000,171210081.0,7943329.37421282,1.9842,0.6649,0.3351,1.8489,0.649,0.351,1.7152,0.6317,0.3683,,,,,,,
26,1715294700000,171351804.0,7964282.77385052,1.9499,0.661,0.339,1.8491,0.649,0.351,1.6853,0.6276,0.3724,,,,,,,
27,1715295000000,171358350.0,7982499.114561,1.9568,0.6618,0.3382,1.8525,0.6494,0.3506,1.6925,0.6286,0.3714,,,,,,,
28,1715295300000,171462310.0,7987302.5155233,1.9612,0.6623,0.3377,1.8507,0.6492,0.3508,1.7071,0.6306,0.3694,,,,,,,
29,1715295600000,171570488.0,7986127.53473848,1.9709,0.6634,0.3366,1.8505,0.6492,0.3508,1.7278,0.6334,0.3666,,,,,,,
30,1715295900000,171778299.0,7970513.0736,1.9833,0.6648,0.3352,1.8482,0.6489,0.3511,1.7435,0.6355,0.3645,,,,,,,
31,1715296200000,171813517.0,7960807.496678,1.9904,0.6656,0.3344,1.8497,0.6491,0.3509,1.736,0.6345,0.3655,,,,,,,
32,1715296500000,171904895.0,7950601.39375,1.9994,0.6666,0.3334,1.8502,0.6491,0.3509,1.751,0.6365,0.3635,,,,,,,
33,1715296800000,171691399.0,7939010.28976,2.0111,0.6679,0.3321,1.8506,0.6492,0.3508,1.7655,0.6384,0.3616,,,,,,,
34,1715297100000,171834032.0,7945605.63968,2.0003,0.6667,0.3333,1.8513,0.6493,0.3507,1.7435,0.6355,0.3645,,,,,,,
35,1715297400000,171682883.0,7944065.72462642,1.9797,0.6644,0.3356,1.8484,0.6489,0.3511,1.739,0.6349,0.3651,,,,,,,
36,1715297700000,171734257.0,7945074.16696889,1.9851,0.665,0.335,1.8507,0.6492,0.3508,1.7337,0.6342,0.3658,,,,,,,
37,1715298000000,171448163.0,7917476.16734,1.9735,0.6637,0.3363,1.8471,0.6488,0.3512,1.7226,0.6327,0.3673,,,,,,,
38,1715298300000,171530787.0,7921291.74366,1.9727,0.6636,0.3364,1.8476,0.6488,0.3512,1.7203,0.6324,0.3676,,,,,,,
