,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,13105382.0,16498614.27100418,3.3611,0.7707,0.2293,1.346,0.5737,0.4263,3.5956,0.7824,0.2176,,,,,,,
1,1715287200000,13100390.0,16511757.3637683,3.3649,0.7709,0.2291,1.3466,0.5738,0.4262,3.5851,0.7819,0.2181,,,,,,,
2,1715287500000,13094549.0,16503060.1047,3.3573,0.7705,0.2295,1.3461,0.5738,0.4262,3.5893,0.7821,0.2179,,,,,,,
3,1715287800000,13091935.0,16499431.96707685,3.3554,0.7704,0.2296,1.3456,0.5737,0.4263,3.5683,0.7811,0.2189,,,,,,,
4,1715288100000,13095217.0,16508337.3350979,3.3516,0.7702,0.2298,1.3455,0.5737,0.4263,3.5641,0.7809,0.2191,,,,,,,
5,1715288400000,13100763.0,16529232.6771,3.3365,0.7694,0.2306,1.3441,0.5734,0.4266,3.56,0.7807,0.2193,,,,,,,
6,1715288700000,13089715.0,16563771.1750025,3.3384,0.7695,0.2305,1.344,0.5734,0.4266,3.5413,0.7798,0.2202,,,,,,,
7,1715289000000,13098207.0,16571851.4964,3.3592,0.7706,0.2294,1.3471,0.5739,0.4261,3.5475,0.7801,0.2199,,,,,,,
8,1715289300000,13099519.0,16513820.07460156,3.3649,0.7709,0.2291,1.3507,0.5746,0.4254,3.5746,0.7814,0.2186,,,,,,,
9,1715289600000,13101498.0,16501518.57979224,3.3649,0.7709,0.2291,1.3526,0.5749,0.4251,3.5851,0.7819,0.2181,,,,,,,
10,1715289900000,13097381.0,16498770.8457,3.3497,0.7701,0.2299,1.3531,0.575,0.425,3.5809,0.7817,0.2183,,,,,,,
11,1715290200000,13100912.0,16507422.9290608,3.3516,0.7702,0.2298,1.3501,0.5745,0.4255,3.5413,0.7798,0.2202,,,,,,,
12,1715290500000,13094832.0,16504332.36025344,3.3573,0.7705,0.2295,1.3488,0.5742,0.4258,3.5269,0.7791,0.2209,,,,,,,
13,1715290800000,13080163.0,16473986.30293094,3.3706,0.7712,0.2288,1.3486,0.5742,0.4258,3.5228,0.7789,0.2211,,,,,,,
14,1715291100000,13082456.0,16483894.56,3.3706,0.7712,0.2288,1.3483,0.5742,0.4258,3.5455,0.78,0.22,,,,,,,
15,1715291400000,13084038.0,16490109.96822222,3.3764,0.7715,0.2285,1.3479,0.5741,0.4259,3.5413,0.7798,0.2202,,,,,,,
16,1715291700000,13080881.0,16501239.54704489,3.3783,0.7716,0.2284,1.3455,0.5737,0.4263,3.5579,0.7806,0.2194,,,,,,,
17,1715292000000,13081810.0,16502168.5306072,3.3649,0.7709,0.2291,1.3454,0.5736,0.4264,3.5809,0.7817,0.2183,,,,,,,
18,1715292300000,13073387.0,16489463.0231,3.3516,0.7702,0.2298,1.345,0.5736,0.4264,3.5788,0.7816,0.2184,,,,,,,
19,1715292600000,13072332.0,16504071.05383764,3.3159,0.7683,0.2317,1.3325,0.5713,0.4287,3.5537,0.7804,0.2196,,,,,,,
20,1715292900000,13092030.0,16590220.416,3.2882,0.7668,0.2332,1.3309,0.571,0.429,3.4763,0.7766,0.2234,,,,,,,
21,1715293200000,13100874.0,16599810.49192218,3.2827,0.7665,0.2335,1.3318,0.5711,0.4289,3.4248,0.774,0.226,,,,,,,
22,1715293500000,13089681.0,16583316.8589,3.1754,0.7605,0.2395,1.3363,0.572,0.428,3.4209,0.7738,0.2262,,,,,,,
23,1715293800000,13043619.0,16585408.17201456,3.1806,0.7608,0.2392,1.3353,0.5718,0.4282,3.3706,0.7712,0.2288,,,,,,,
24,1715294100000,13043652.0,16570444.06320108,3.1597,0.7596,0.2404,1.3333,0.5714,0.4286,3.3917,0.7723,0.2277,,,,,,,
25,1715294400000,13089588.0,16670753.72058144,3.1391,0.7584,0.2416,1.3306,0.5709,0.4291,3.3554,0.7704,0.2296,,,,,,,
26,1715294700000,13083401.0,16725419.4863294,3.1356,0.7582,0.2418,1.3296,0.5707,0.4293,3.3459,0.7699,0.2301,,,,,,,
27,1715295000000,13072081.0,16770172.7149,3.1034,0.7563,0.2437,1.3293,0.5707,0.4293,3.3197,0.7685,0.2315,,,,,,,
28,1715295300000,13078060.0,16826231.996,3.1288,0.7578,0.2422,1.3368,0.5721,0.4279,3.2827,0.7665,0.2335,,,,,,,
29,1715295600000,13081090.0,16805192.604024,3.1102,0.7567,0.2433,1.3378,0.5722,0.4278,3.3029,0.7676,0.2324,,,,,,,
30,1715295900000,13071687.0,16800753.94617279,3.0967,0.7559,0.2441,1.3358,0.5719,0.4281,3.2735,0.766,0.234,,,,,,,
31,1715296200000,13075075.0,16796241.345,3.0783,0.7548,0.2452,1.3347,0.5717,0.4283,3.2571,0.7651,0.2349,,,,,,,
32,1715296500000,13113481.0,16848730.96024126,3.0883,0.7554,0.2446,1.3372,0.5721,0.4279,3.2463,0.7645,0.2355,,,,,,,
33,1715296800000,13101455.0,16826198.6565,3.0883,0.7554,0.2446,1.3396,0.5726,0.4274,3.2499,0.7647,0.2353,,,,,,,
34,1715297100000,13098293.0,16792406.53953395,3.1152,0.757,0.243,1.3382,0.5723,0.4277,3.2391,0.7641,0.2359,,,,,,,
35,1715297400000,13060155.0,16749796.75905615,3.1152,0.757,0.243,1.3395,0.5726,0.4274,3.2717,0.7659,0.2341,,,,,,,
36,1715297700000,13055476.0,16735818.33993328,3.1186,0.7572,0.2428,1.3405,0.5727,0.4273,3.2753,0.7661,0.2339,,,,,,,
37,1715298000000,13021698.0,16649487.32993256,3.1186,0.7572,0.2428,1.341,0.5728,0.4272,3.2772,0.7662,0.2338,,,,,,,
38,1715298300000,13022434.0,16656457.11220278,3.1186,0.7572,0.2428,1.3407,0.5728,0.4272,3.2717,0.7659,0.2341,,,,,,,
39,1715298600000,13019425.0,16693466.635171,3.1135,0.7569,0.2431,1.3393,0.5725,0.4275,3.2717,0.7659,0.2341,,,,,,,
40,1715298900000,13015336.0,16684359.2184,3.1237,0.7575,0.2425,1.3367,0.572,0.428,3.2735,0.766,0.234,,,,,,,
41,1715299200000,13005593.0,16677988.14792685,3.1391,0.7584,0.2416,1.3341,0.5716,0.4284,3.2955,0.7672,0.2328,,,,,,,
42,1715299500000,13010810.0,16649106.7200245,3.1169,0.7571,0.2429,1.3336,0.5715,0.4285,3.3103,0.768,0.232,,,,,,,
43,1715299800000,13002165.0,16679777.31191475,3.0866,0.7553,0.2447,1.3276,0.5704,0.4296,3.29,0.7669,0.2331,,,,,,,
44,1715300100000,13007206.0,16745989.4883164,3.09,0.7555,0.2445,1.3281,0.5705,0.4295,3.2808,0.7664,0.2336,,,,,,,
45,1715300400000,13010457.0,16744458.159,3.1118,0.7568,0.2432,1.3301,0.5708,0.4292,3.2535,0.7649,0.2351,,,,,,,
46,1715300700000,13002309.0,16681962.447,3.1152,0.757,0.243,1.3294,0.5707,0.4293,3.2937,0.7671,0.2329,,,,,,,
47,1715301000000,12998679.0,16696374.86902695,3.1169,0.7571,0.2429,1.33,0.5708,0.4292,3.2735,0.766,0.234,,,,,,,
48,1715301300000,12999515.0,16700931.6435347,3.1051,0.7564,0.2436,1.3288,0.5706,0.4294,3.2717,0.7659,0.2341,,,,,,,
49,1715301600000,13009349.0,16738740.63895188,3.1322,0.758,0.242,1.3247,0.5698,0.4302,3.2717,0.7659,0.2341,,,,,,,
50,1715301900000,12966403.0,16685167.3804,3.1563,0.7594,0.2406,1.3319,0.5712,0.4288,3.3141,0.7682,0.2318,,,,,,,
51,1715302200000,13021576.0,16710717.78504968,3.1511,0.7591,0.2409,1.3315,0.5711,0.4289,3.3178,0.7684,0.2316,,,,,,,
