timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,10211834.00000000,25964262.74299072,2.0367,0.6707,0.3293,2.0558,0.6728,0.3272,1.6144,0.6175,0.3825,-0.0006,2.5450000,-0.00155523
1715287200000,10206448.00000000,25974389.51520000,2.0321,0.6702,0.3298,2.0599,0.6732,0.3268,1.6199,0.6183,0.3817,-0.0005,2.5452000,-0.00130468
1715287500000,10204311.00000000,25969785.67449669,2.0331,0.6703,0.3297,2.0609,0.6733,0.3267,1.6137,0.6174,0.3826,-0.0001,2.5531000,-0.00036900
1715287800000,10203732.00000000,26052168.54240000,2.0175,0.6686,0.3314,2.0624,0.6735,0.3265,1.6103,0.6169,0.3831,-0.0006,2.5606000,-0.00165227
1715288100000,10210487.00000000,26151076.84132860,2.0102,0.6678,0.3322,2.0584,0.6730,0.3270,1.5900,0.6139,0.3861,-0.0014,2.5576000,-0.00370434
1715288400000,10208412.00000000,26126727.95504664,2.0175,0.6686,0.3314,2.0591,0.6731,0.3269,1.5907,0.6140,0.3860,0.0001,2.5842000,0.00028947
1715288700000,10203109.00000000,26369935.21050000,2.0003,0.6667,0.3333,2.0546,0.6726,0.3274,1.5853,0.6132,0.3868,-0.0014,2.5888000,-0.00371041
1715289000000,10189669.00000000,26387152.88255347,2.0093,0.6677,0.3323,2.0496,0.6721,0.3279,1.5893,0.6138,0.3862,0.0000,2.5844000,-0.00012222
1715289300000,10194303.00000000,26342078.95200000,1.9922,0.6658,0.3342,2.0472,0.6718,0.3282,1.5833,0.6129,0.3871,-0.0011,2.5777000,-0.00289194
1715289600000,10197170.00000000,26291607.32730640,1.9815,0.6646,0.3354,2.0482,0.6719,0.3281,1.5947,0.6146,0.3854,-0.0001,2.5845000,-0.00026521
1715289900000,10197879.00000000,26358457.85130000,1.9647,0.6627,0.3373,2.0474,0.6719,0.3281,1.5806,0.6125,0.3875,-0.0008,2.5831000,-0.00204102
1715290200000,10205754.00000000,26377791.78840000,1.9577,0.6619,0.3381,2.0478,0.6719,0.3281,1.5634,0.6099,0.3901,-0.0014,2.5838000,-0.00366352
1715290500000,10214486.00000000,26407949.87869800,1.9490,0.6609,0.3391,2.0470,0.6718,0.3282,1.5523,0.6082,0.3918,-0.0006,2.5913000,-0.00149573
1715290800000,10203843.00000000,26453402.06055729,1.9420,0.6601,0.3399,2.0485,0.6720,0.3280,1.5582,0.6091,0.3909,-0.0002,2.5980000,-0.00059855
1715291100000,10196930.00000000,26492643.83300000,1.9446,0.6604,0.3396,2.0491,0.6720,0.3280,1.5615,0.6096,0.3904,-0.0009,2.6374000,-0.00234237
1715291400000,10347871.00000000,27302047.18824328,1.9036,0.6556,0.3444,2.0401,0.6711,0.3289,1.5183,0.6029,0.3971,-0.0006,2.6426000,-0.00169584
1715291700000,10363143.00000000,27386678.00610000,1.8868,0.6536,0.3464,2.0336,0.6704,0.3296,1.5164,0.6026,0.3974,-0.0014,2.6358000,-0.00380132
1715292000000,10404755.00000000,27427903.38292825,1.8877,0.6537,0.3463,2.0295,0.6699,0.3301,1.5202,0.6032,0.3968,-0.0015,2.6378000,-0.00400241
1715292300000,10414526.00000000,27519212.80009870,1.8986,0.6550,0.3450,2.0257,0.6695,0.3305,1.5432,0.6068,0.3932,-0.0011,2.6503000,-0.00293304
1715292600000,10416940.00000000,27627211.68984620,1.8571,0.6500,0.3500,2.0295,0.6699,0.3301,1.5419,0.6066,0.3934,0.0000,2.6592000,-0.00013290
1715292900000,10427947.00000000,27727911.07300000,1.8571,0.6500,0.3500,2.0255,0.6695,0.3305,1.5452,0.6071,0.3929,-0.0008,2.6534000,-0.00208702
1715293200000,10424604.00000000,27658668.37415784,1.8555,0.6498,0.3502,2.0306,0.6700,0.3300,1.5291,0.6046,0.3954,-0.0002,2.6722000,-0.00045131
1715293500000,10392651.00000000,27775662.51630285,1.8736,0.6520,0.3480,2.0115,0.6679,0.3321,1.5452,0.6071,0.3929,-0.0005,2.6819000,-0.00137181
1715293800000,10426005.00000000,27966818.61240930,1.8703,0.6516,0.3484,2.0106,0.6678,0.3322,1.5549,0.6086,0.3914,-0.0006,2.6714000,-0.00171997
1715294100000,10417799.00000000,27828024.68880000,1.8555,0.6498,0.3502,2.0183,0.6687,0.3313,1.5278,0.6044,0.3956,0.0002,2.6905000,0.00059822
