,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,5400955.0,4500644.966657,2.9968,0.7498,0.2502,1.3772,0.5793,0.4207,2.5817,0.7208,0.2792,,,,,,,
1,1715287200000,5364073.0,4489272.24290259,2.9872,0.7492,0.2508,1.3971,0.5828,0.4172,2.6324,0.7247,0.2753,,,,,,,
2,1715287500000,5261761.0,4423036.2966,3.0601,0.7537,0.2463,1.4008,0.5835,0.4165,2.574,0.7202,0.2798,,,,,,,
3,1715287800000,5250899.0,4413318.1238019,3.0032,0.7502,0.2498,1.3981,0.583,0.417,2.5778,0.7205,0.2795,,,,,,,
4,1715288100000,5244256.0,4400356.93224256,3.0048,0.7503,0.2497,1.3875,0.5812,0.4188,2.5298,0.7167,0.2833,,,,,,,
5,1715288400000,5291514.0,4412553.99699042,2.9308,0.7456,0.2544,1.3755,0.579,0.421,2.3841,0.7045,0.2955,,,,,,,
6,1715288700000,5301177.0,4424694.38992728,2.7481,0.7332,0.2668,1.3765,0.5792,0.4208,2.3921,0.7052,0.2948,,,,,,,
7,1715289000000,5327924.0,4458939.5956,2.7495,0.7333,0.2667,1.3735,0.5787,0.4213,2.391,0.7051,0.2949,,,,,,,
8,1715289300000,5325271.0,4431157.9991,2.7679,0.7346,0.2654,1.3735,0.5787,0.4213,2.3795,0.7041,0.2959,,,,,,,
9,1715289600000,5284250.0,4391188.9748825,2.7722,0.7349,0.2651,1.3838,0.5805,0.4195,2.3761,0.7038,0.2962,,,,,,,
10,1715289900000,5281547.0,4402535.48852257,2.7552,0.7337,0.2663,1.3834,0.5804,0.4196,2.3704,0.7033,0.2967,,,,,,,
11,1715290200000,5272288.0,4379162.4128,2.7651,0.7344,0.2656,1.3852,0.5807,0.4193,2.391,0.7051,0.2949,,,,,,,
12,1715290500000,5260884.0,4363036.75779636,2.7936,0.7364,0.2636,1.3861,0.5809,0.4191,2.375,0.7037,0.2963,,,,,,,
13,1715290800000,5257095.0,4348372.9044096,2.7793,0.7354,0.2646,1.3876,0.5812,0.4188,2.3864,0.7047,0.2953,,,,,,,
14,1715291100000,5257695.0,4351268.382,2.7951,0.7365,0.2635,1.3854,0.5808,0.4192,2.367,0.703,0.297,,,,,,,
15,1715291400000,5255285.0,4353478.094,2.7879,0.736,0.264,1.3817,0.5801,0.4199,2.3512,0.7016,0.2984,,,,,,,
16,1715291700000,5246073.0,4363731.15574284,2.7509,0.7334,0.2666,1.3798,0.5798,0.4202,2.3311,0.6998,0.3002,,,,,,,
17,1715292000000,5249034.0,4362997.0608,2.7481,0.7332,0.2668,1.3785,0.5796,0.4204,2.3625,0.7026,0.2974,,,,,,,
18,1715292300000,5241002.0,4355796.7622,2.7722,0.7349,0.2651,1.3772,0.5793,0.4207,2.3501,0.7015,0.2985,,,,,,,
19,1715292600000,5245869.0,4344104.1189,2.7622,0.7342,0.2658,1.3791,0.5797,0.4203,2.3568,0.7021,0.2979,,,,,,,
20,1715292900000,5259093.0,4371207.90190392,2.7538,0.7336,0.2664,1.3721,0.5784,0.4216,2.3135,0.6982,0.3018,,,,,,,
21,1715293200000,5262172.0,4390158.2709522,2.7175,0.731,0.269,1.3672,0.5776,0.4224,2.308,0.6977,0.3023,,,,,,,
22,1715293500000,5264396.0,4396648.28745716,2.7133,0.7307,0.2693,1.3691,0.5779,0.4221,2.3201,0.6988,0.3012,,,,,,,
23,1715293800000,5262669.0,4391697.2805,2.7147,0.7308,0.2692,1.3682,0.5777,0.4223,2.3069,0.6976,0.3024,,,,,,,
