timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,63548716.00000000,4374058.12228000,2.0941,0.6768,0.3232,1.4794,0.5967,0.4033,1.9019,0.6554,0.3446,-0.0018,0.06895,-0.00012276
1715287200000,63565655.00000000,4384181.70575260,2.0912,0.6765,0.3235,1.4782,0.5965,0.4035,1.9112,0.6565,0.3435,-0.0017,0.06885,-0.00012028
1715287500000,63582962.00000000,4378322.76332000,2.1027,0.6777,0.3223,1.4784,0.5965,0.4035,1.9551,0.6616,0.3384,-0.0016,0.06883,-0.00011254
1715287800000,63526841.00000000,4373823.00285000,2.1162,0.6791,0.3209,1.4794,0.5967,0.4033,1.9568,0.6618,0.3382,-0.0020,0.06880,-0.00013990
1715288100000,63512628.00000000,4370303.93268000,2.1221,0.6797,0.3203,1.4794,0.5967,0.4033,1.9691,0.6632,0.3368,-0.0017,0.06887,-0.00011838
1715288400000,63521212.00000000,4375976.29468000,2.0941,0.6768,0.3232,1.4777,0.5964,0.4036,1.9360,0.6594,0.3406,-0.0017,0.06914,-0.00011770
1715288700000,63498902.00000000,4391698.99533262,2.1182,0.6793,0.3207,1.4775,0.5964,0.4036,1.9490,0.6609,0.3391,-0.0011,0.06928,-0.00007461
1715289000000,63520272.00000000,4401319.64688000,2.1075,0.6782,0.3218,1.4806,0.5969,0.4031,1.9146,0.6569,0.3431,-0.0012,0.06925,-0.00008099
1715289300000,63456557.00000000,4394397.66596293,2.1496,0.6825,0.3175,1.4806,0.5969,0.4031,1.9647,0.6627,0.3373,-0.0018,0.06901,-0.00012630
1715289600000,63390007.00000000,4375379.86336226,2.1211,0.6796,0.3204,1.4808,0.5969,0.4031,1.9360,0.6594,0.3406,-0.0011,0.06903,-0.00007504
1715289900000,63425245.00000000,4377610.40990000,2.0950,0.6769,0.3231,1.4739,0.5958,0.4042,1.9197,0.6575,0.3425,-0.0016,0.06899,-0.00010741
1715290200000,63501957.00000000,4382440.87283433,2.0864,0.6760,0.3240,1.4733,0.5957,0.4043,1.9223,0.6578,0.3422,-0.0013,0.06895,-0.00009028
1715290500000,63484613.00000000,4377264.06635000,2.0969,0.6771,0.3229,1.4737,0.5958,0.4042,1.9386,0.6597,0.3403,-0.0015,0.06887,-0.00010379
1715290800000,63443324.00000000,4370380.29109388,2.1046,0.6779,0.3221,1.4736,0.5957,0.4043,1.9464,0.6606,0.3394,-0.0014,0.06883,-0.00009808
1715291100000,63435578.00000000,4366270.83374000,2.0979,0.6772,0.3228,1.4736,0.5957,0.4043,1.9429,0.6602,0.3398,-0.0010,0.06890,-0.00006579
1715291400000,63441121.00000000,4369824.41448000,2.1017,0.6776,0.3224,1.4728,0.5956,0.4044,1.9542,0.6615,0.3385,-0.0007,0.06907,-0.00004555
1715291700000,63444491.00000000,4382110.99337000,2.0826,0.6756,0.3244,1.4734,0.5957,0.4043,1.9334,0.6591,0.3409,-0.0010,0.06903,-0.00006608
1715292000000,63455801.00000000,4380994.21206209,2.0760,0.6749,0.3251,1.4742,0.5958,0.4042,1.9138,0.6568,0.3432,-0.0010,0.06912,-0.00006919
1715292300000,63458039.00000000,4387712.82333767,2.0572,0.6729,0.3271,1.4726,0.5956,0.4044,1.9053,0.6558,0.3442,-0.0006,0.06926,-0.00004081
1715292600000,63527809.00000000,4402375.51920560,2.0609,0.6733,0.3267,1.4718,0.5954,0.4046,1.9274,0.6584,0.3416,-0.0010,0.06923,-0.00007064
1715292900000,63470162.00000000,4396313.45116446,2.0497,0.6721,0.3279,1.4727,0.5956,0.4044,1.9129,0.6567,0.3433,-0.0010,0.06921,-0.00007197
1715293200000,63419359.00000000,4389707.91900044,2.0469,0.6718,0.3282,1.4718,0.5954,0.4046,1.9248,0.6581,0.3419,-0.0018,0.06919,-0.00012603
1715293500000,63383970.00000000,4389467.32427970,2.0423,0.6713,0.3287,1.4728,0.5956,0.4044,1.9036,0.6556,0.3444,-0.0013,0.06930,-0.00008738
1715293800000,63334822.00000000,4390617.50019402,2.0637,0.6736,0.3264,1.4722,0.5955,0.4045,1.9283,0.6585,0.3415,-0.0011,0.06927,-0.00007304
1715294100000,63306675.00000000,4385253.37725000,2.0628,0.6735,0.3265,1.4719,0.5954,0.4046,1.9472,0.6607,0.3393,-0.0013,0.06942,-0.00008729
1715294400000,63261493.00000000,4393510.68885000,2.0590,0.6731,0.3269,1.4717,0.5954,0.4046,1.9744,0.6638,0.3362,-0.0012,0.06956,-0.00008477
1715294700000,63224445.00000000,4398596.71451730,2.0998,0.6774,0.3226,1.4723,0.5955,0.4045,1.9656,0.6628,0.3372,-0.0007,0.06978,-0.00005194
1715295000000,63129432.00000000,4404702.71328024,2.0084,0.6676,0.3324,1.4785,0.5965,0.4035,1.8498,0.6491,0.3509,-0.0007,0.07002,-0.00004789
1715295300000,63188231.00000000,4425694.85288766,2.0075,0.6675,0.3325,1.4769,0.5963,0.4037,1.8645,0.6509,0.3491,-0.0013,0.06988,-0.00009434
1715295600000,63177707.00000000,4416534.90150378,2.0066,0.6674,0.3326,1.4785,0.5965,0.4035,1.8678,0.6513,0.3487,-0.0007,0.06996,-0.00005060
1715295900000,63082406.00000000,4412614.29970000,2.0066,0.6674,0.3326,1.4829,0.5972,0.4028,1.8686,0.6514,0.3486,-0.0008,0.06980,-0.00005786
1715296200000,63174967.00000000,4410244.44627000,2.0276,0.6697,0.3303,1.4829,0.5972,0.4028,1.8629,0.6507,0.3493,-0.0006,0.06974,-0.00004087
1715296500000,63218927.00000000,4407623.59044000,2.0358,0.6706,0.3294,1.4816,0.5970,0.4030,1.8571,0.6500,0.3500,-0.0006,0.06974,-0.00004407
1715296800000,63218337.00000000,4409340.55759197,2.0432,0.6714,0.3286,1.4821,0.5971,0.4029,1.8662,0.6511,0.3489,-0.0007,0.06963,-0.00005096
1715297100000,63245278.00000000,4403136.25436000,2.0404,0.6711,0.3289,1.4821,0.5971,0.4029,1.8686,0.6514,0.3486,-0.0017,0.06962,-0.00011680
1715297400000,63272311.00000000,4407078.43826616,2.0211,0.6690,0.3310,1.4834,0.5973,0.4027,1.8498,0.6491,0.3509,-0.0018,0.06961,-0.00012272
1715297700000,63249012.00000000,4403786.46184404,2.0111,0.6679,0.3321,1.4826,0.5972,0.4028,1.8401,0.6479,0.3521,-0.0008,0.06952,-0.00005654
1715298000000,63236410.00000000,4396195.22320000,2.0130,0.6681,0.3319,1.4820,0.5971,0.4029,1.8514,0.6493,0.3507,-0.0010,0.06949,-0.00007113
1715298300000,63236192.00000000,4394282.98208000,2.0193,0.6688,0.3312,1.4799,0.5968,0.4032,1.8620,0.6506,0.3494,-0.0004,0.06967,-0.00003116
1715298600000,63273939.00000000,4408295.33013000,2.0084,0.6676,0.3324,1.4799,0.5968,0.4032,1.8531,0.6495,0.3505,-0.0018,0.06966,-0.00012613
1715298900000,63259240.00000000,4409103.23839040,1.9985,0.6665,0.3335,1.4793,0.5967,0.4033,1.8571,0.6500,0.3500,-0.0008,0.06964,-0.00005823
1715299200000,63250740.00000000,4405414.04100000,2.0102,0.6678,0.3322,1.4801,0.5968,0.4032,1.8555,0.6498,0.3502,-0.0018,0.06952,-0.00012622
1715299500000,63137160.00000000,4390725.41987400,1.9985,0.6665,0.3335,1.4789,0.5966,0.4034,1.8523,0.6494,0.3506,-0.0013,0.06968,-0.00009337
1715299800000,63122675.00000000,4400397.18874525,1.9842,0.6649,0.3351,1.4807,0.5969,0.4031,1.8353,0.6473,0.3527,-0.0005,0.06969,-0.00003756
