timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,1054374.50000000,42488202.63205269,0.8615,0.4628,0.5372,1.7655,0.6384,0.3616,0.7637,0.4330,0.5670,-0.0009,40.256,-0.03551425
1715287200000,1055265.60000000,42491566.04160600,0.8608,0.4626,0.5374,1.7650,0.6383,0.3617,0.7615,0.4323,0.5677,-0.0002,40.246,-0.00633700
1715287500000,1056189.90000000,42503594.95941933,0.8619,0.4629,0.5371,1.7667,0.6386,0.3614,0.7627,0.4327,0.5673,-0.0003,40.101,-0.01032305
1715287800000,1055997.10000000,42343371.71580000,0.8594,0.4622,0.5378,1.7671,0.6386,0.3614,0.7652,0.4335,0.5665,-0.0002,40.169,-0.00689022
1715288100000,1056472.40000000,42438496.30800000,0.8546,0.4608,0.5392,1.7680,0.6387,0.3613,0.7652,0.4335,0.5665,-0.0009,40.144,-0.03438921
1715288400000,1055947.00000000,42418878.03792222,0.8584,0.4619,0.5381,1.7656,0.6384,0.3616,0.7624,0.4326,0.5674,-0.0005,40.241,-0.01960254
1715288700000,1056453.30000000,42518019.51180000,0.8591,0.4621,0.5379,1.7645,0.6383,0.3617,0.7671,0.4341,0.5659,-0.0006,40.241,-0.02476008
1715289000000,1056281.10000000,42520595.68050000,0.8636,0.4634,0.5366,1.7661,0.6385,0.3615,0.7680,0.4344,0.5656,-0.0009,40.161,-0.03808622
1715289300000,1056415.10000000,42439089.93668532,0.8713,0.4656,0.5344,1.7683,0.6388,0.3612,0.7724,0.4358,0.5642,0.0001,40.080,0.00360766
1715289600000,1055349.30000000,42296790.58908497,0.8699,0.4652,0.5348,1.7670,0.6386,0.3614,0.7762,0.4370,0.5630,-0.0002,40.117,-0.00628306
1715289900000,1055710.00000000,42350862.36000000,0.8716,0.4657,0.5343,1.7670,0.6386,0.3614,0.7765,0.4371,0.5629,-0.0003,40.109,-0.01359348
1715290200000,1055495.00000000,42336575.54427595,0.8671,0.4644,0.5356,1.7659,0.6385,0.3615,0.7765,0.4371,0.5629,-0.0003,40.169,-0.01032726
1715290500000,1055110.50000000,42390174.78854573,0.8671,0.4644,0.5356,1.7691,0.6389,0.3611,0.7737,0.4362,0.5638,-0.0010,40.113,-0.03999679
1715290800000,1054559.20000000,42315977.33932411,0.8660,0.4641,0.5359,1.7706,0.6391,0.3609,0.7727,0.4359,0.5641,-0.0009,40.218,-0.03703952
