,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,50783379.0,9308593.3707,2.1162,0.6791,0.3209,1.4586,0.5933,0.4067,2.3841,0.7045,0.2955,,,,,,,
1,1715287200000,50796800.0,9316985.490304,2.1017,0.6776,0.3224,1.4601,0.5935,0.4065,2.3704,0.7033,0.2967,,,,,,,
2,1715287500000,50782195.0,9323611.002,2.1616,0.6837,0.3163,1.4661,0.5945,0.4055,2.4376,0.7091,0.2909,,,,,,,
3,1715287800000,50874989.0,9312178.3365556,2.1636,0.6839,0.3161,1.4696,0.5951,0.4049,2.4412,0.7094,0.2906,,,,,,,
4,1715288100000,50796359.0,9306965.27993849,2.1586,0.6834,0.3166,1.4705,0.5952,0.4048,2.4447,0.7097,0.2903,,,,,,,
5,1715288400000,50743224.0,9305662.33522296,2.1646,0.684,0.316,1.4664,0.5946,0.4054,2.4614,0.7111,0.2889,,,,,,,
6,1715288700000,50731982.0,9314391.8952,2.1456,0.6821,0.3179,1.4694,0.595,0.405,2.4376,0.7091,0.2909,,,,,,,
7,1715289000000,50659766.0,9310350.07542604,2.1486,0.6824,0.3176,1.4693,0.595,0.405,2.4447,0.7097,0.2903,,,,,,,
8,1715289300000,50490718.0,9259997.6812,2.1516,0.6827,0.3173,1.4713,0.5953,0.4047,2.4507,0.7102,0.2898,,,,,,,
9,1715289600000,50448052.0,9237914.09938272,2.1486,0.6824,0.3176,1.4734,0.5957,0.4043,2.4471,0.7099,0.2901,,,,,,,
10,1715289900000,50387542.0,9229995.99006504,2.1536,0.6829,0.3171,1.4747,0.5959,0.4041,2.4495,0.7101,0.2899,,,,,,,
11,1715290200000,50365526.0,9211687.99550894,2.1606,0.6836,0.3164,1.4763,0.5962,0.4038,2.4447,0.7097,0.2903,,,,,,,
12,1715290500000,50323196.0,9189900.27138568,2.1606,0.6836,0.3164,1.4777,0.5964,0.4036,2.4471,0.7099,0.2901,,,,,,,
13,1715290800000,50295531.0,9181610.1297492,2.1616,0.6837,0.3163,1.4779,0.5964,0.4036,2.4423,0.7095,0.2905,,,,,,,
14,1715291100000,50282080.0,9195299.1769024,2.1536,0.6829,0.3171,1.4769,0.5963,0.4037,2.44,0.7093,0.2907,,,,,,,
15,1715291400000,50260990.0,9195511.4880876,2.1486,0.6824,0.3176,1.4751,0.596,0.404,2.4352,0.7089,0.2911,,,,,,,
16,1715291700000,50252163.0,9219214.58694678,2.1486,0.6824,0.3176,1.4825,0.5972,0.4028,2.4329,0.7087,0.2913,,,,,,,
17,1715292000000,50081846.0,9189387.20892194,2.1407,0.6816,0.3184,1.4797,0.5967,0.4033,2.4211,0.7077,0.2923,,,,,,,
18,1715292300000,50063906.0,9189176.37792058,2.1476,0.6823,0.3177,1.476,0.5961,0.4039,2.4352,0.7089,0.2911,,,,,,,
19,1715292600000,50149802.0,9219949.32356234,2.1476,0.6823,0.3177,1.4783,0.5965,0.4035,2.4141,0.7071,0.2929,,,,,,,
20,1715292900000,50086060.0,9230531.2917252,2.1427,0.6818,0.3182,1.4772,0.5963,0.4037,2.4188,0.7075,0.2925,,,,,,,
21,1715293200000,50084739.0,9218291.04258471,2.1456,0.6821,0.3179,1.4799,0.5968,0.4032,2.4141,0.7071,0.2929,,,,,,,
22,1715293500000,50051048.0,9211731.71747304,2.1466,0.6822,0.3178,1.477,0.5963,0.4037,2.413,0.707,0.293,,,,,,,
23,1715293800000,50016626.0,9213752.23847254,2.1338,0.6809,0.3191,1.478,0.5964,0.4036,2.3727,0.7035,0.2965,,,,,,,
24,1715294100000,50040594.0,9216518.13661302,2.1417,0.6817,0.3183,1.4765,0.5962,0.4038,2.4223,0.7078,0.2922,,,,,,,
25,1715294400000,49954804.0,9221798.19049532,2.1201,0.6795,0.3205,1.4762,0.5962,0.4038,2.3807,0.7042,0.2958,,,,,,,
26,1715294700000,49849769.0,9232177.2188,2.124,0.6799,0.3201,1.4744,0.5959,0.4041,2.399,0.7058,0.2942,,,,,,,
27,1715295000000,49630211.0,9226256.2249,2.1162,0.6791,0.3209,1.4817,0.597,0.403,2.3659,0.7029,0.2971,,,,,,,
28,1715295300000,49451826.0,9193094.4534,2.1066,0.6781,0.3219,1.4787,0.5966,0.4034,2.3557,0.702,0.298,,,,,,,
29,1715295600000,49491716.0,9193637.58471624,2.1172,0.6792,0.3208,1.4794,0.5967,0.4033,2.4083,0.7066,0.2934,,,,,,,
30,1715295900000,49444767.0,9165447.40794813,2.1075,0.6782,0.3218,1.4789,0.5966,0.4034,2.3875,0.7048,0.2952,,,,,,,
31,1715296200000,49366934.0,9133917.0272673,2.1114,0.6786,0.3214,1.4797,0.5967,0.4033,2.4037,0.7062,0.2938,,,,,,,
32,1715296500000,49360285.0,9120498.2877957,2.0969,0.6771,0.3229,1.4796,0.5967,0.4033,2.3841,0.7045,0.2955,,,,,,,
33,1715296800000,49349950.0,9130009.213728,2.1124,0.6787,0.3213,1.482,0.5971,0.4029,2.4376,0.7091,0.2909,,,,,,,
34,1715297100000,49400297.0,9125506.91354775,2.1075,0.6782,0.3218,1.481,0.5969,0.4031,2.4352,0.7089,0.2911,,,,,,,
35,1715297400000,49397427.0,9129861.16822701,2.1027,0.6777,0.3223,1.4896,0.5983,0.4017,2.3795,0.7041,0.2959,,,,,,,
36,1715297700000,49359479.0,9130298.75011761,2.1221,0.6797,0.3203,1.4898,0.5984,0.4016,2.3933,0.7053,0.2947,,,,,,,
37,1715298000000,49407869.0,9133887.97697383,2.1162,0.6791,0.3209,1.4875,0.598,0.402,2.3887,0.7049,0.2951,,,,,,,
38,1715298300000,49399819.0,9134175.72055338,2.1162,0.6791,0.3209,1.4855,0.5977,0.4023,2.4025,0.7061,0.2939,,,,,,,
39,1715298600000,49400141.0,9153846.1273,2.1153,0.679,0.321,1.4856,0.5977,0.4023,2.4118,0.7069,0.2931,,,,,,,
40,1715298900000,49403078.0,9148371.57640726,2.1037,0.6778,0.3222,1.4843,0.5975,0.4025,2.4223,0.7078,0.2922,,,,,,,
41,1715299200000,49397520.0,9143480.952,2.1046,0.6779,0.3221,1.4995,0.5999,0.4001,2.4554,0.7106,0.2894,,,,,,,
42,1715299500000,49403640.0,9080282.3201376,2.0893,0.6763,0.3237,1.5079,0.6013,0.3987,2.3704,0.7033,0.2967,,,,,,,
43,1715299800000,49073221.0,9103082.4955,2.0864,0.676,0.324,1.5145,0.6023,0.3977,2.3875,0.7048,0.2952,,,,,,,
44,1715300100000,48901526.0,9016968.51664358,2.1046,0.6779,0.3221,1.519,0.603,0.397,2.4282,0.7083,0.2917,,,,,,,
45,1715300400000,48956906.0,9003344.89386382,2.0941,0.6768,0.3232,1.5233,0.6037,0.3963,2.399,0.7058,0.2942,,,,,,,
46,1715300700000,48950043.0,8991506.61805863,2.0874,0.6761,0.3239,1.5225,0.6036,0.3964,2.4153,0.7072,0.2928,,,,,,,
47,1715301000000,48940850.0,8989033.457873,2.0855,0.6759,0.3241,1.5256,0.6041,0.3959,2.406,0.7064,0.2936,,,,,,,
48,1715301300000,48991354.0,8993768.58864626,2.0931,0.6767,0.3233,1.5222,0.6035,0.3965,2.4002,0.7059,0.2941,,,,,,,
49,1715301600000,49002354.0,9006632.6652,2.075,0.6748,0.3252,1.5208,0.6033,0.3967,2.3613,0.7025,0.2975,,,,,,,
50,1715301900000,48987182.0,9031492.90699262,2.0741,0.6747,0.3253,1.5234,0.6037,0.3963,2.367,0.703,0.297,,,,,,,
51,1715302200000,48983156.0,9017310.16770312,2.0731,0.6746,0.3254,1.5228,0.6036,0.3964,2.3535,0.7018,0.2982,,,,,,,
52,1715302500000,49043713.0,9040931.39457155,2.0779,0.6751,0.3249,1.5228,0.6036,0.3964,2.3602,0.7024,0.2976,,,,,,,
53,1715302800000,49068691.0,9048266.6204,2.0779,0.6751,0.3249,1.5205,0.6032,0.3968,2.3625,0.7026,0.2974,,,,,,,
54,1715303100000,49056893.0,9060808.1371,2.0779,0.6751,0.3249,1.5214,0.6034,0.3966,2.3613,0.7025,0.2975,,,,,,,
55,1715303400000,49071965.0,9043963.1495,2.0921,0.6766,0.3234,1.5191,0.603,0.397,2.3693,0.7032,0.2968,,,,,,,
56,1715303700000,49040760.0,9047959.4094576,2.0989,0.6773,0.3227,1.5196,0.6031,0.3969,2.3944,0.7054,0.2946,,,,,,,
57,1715304000000,49040658.0,9047636.53850448,2.1027,0.6777,0.3223,1.5203,0.6032,0.3968,2.3921,0.7052,0.2948,,,,,,,
58,1715304300000,49022867.0,9064328.1083,2.075,0.6748,0.3252,1.5151,0.6024,0.3976,2.3422,0.7008,0.2992,,,,,,,
59,1715304600000,49141695.0,9155097.7785,2.0581,0.673,0.327,1.5115,0.6018,0.3982,2.3289,0.6996,0.3004,,,,,,,
60,1715304900000,49230444.0,9195908.23374528,2.0609,0.6733,0.3267,1.5159,0.6025,0.3975,2.3289,0.6996,0.3004,,,,,,,
61,1715305200000,49264047.0,9216113.95960542,2.1037,0.6778,0.3222,1.5374,0.6059,0.3941,2.3807,0.7042,0.2958,,,,,,,
62,1715305500000,49442953.0,9170375.34270858,2.1172,0.6792,0.3208,1.5356,0.6056,0.3944,2.3921,0.7052,0.2948,,,,,,,
63,1715305800000,49507422.0,9173111.89964142,2.1192,0.6794,0.3206,1.5361,0.6057,0.3943,2.3807,0.7042,0.2958,,,,,,,
