,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,4720515.14,42594775.27204133,2.6377,0.7251,0.2749,1.1055,0.5251,0.4749,2.7994,0.7368,0.2632,,,,,,,
1,1715287200000,4720801.03,42652437.30605,2.639,0.7252,0.2748,1.1059,0.5251,0.4749,2.8008,0.7369,0.2631,,,,,,,
2,1715287500000,4721783.54,42639021.13840126,2.6456,0.7257,0.2743,1.1063,0.5252,0.4748,2.8008,0.7369,0.2631,,,,,,,
3,1715287800000,4717854.3,42515695.4842829,2.651,0.7261,0.2739,1.108,0.5256,0.4744,2.8095,0.7375,0.2625,,,,,,,
4,1715288100000,4715814.61,42461194.74844,2.6603,0.7268,0.2732,1.1083,0.5257,0.4743,2.8139,0.7378,0.2622,,,,,,,
5,1715288400000,4713348.69,42500265.13773,2.647,0.7258,0.2742,1.1096,0.526,0.474,2.8037,0.7371,0.2629,,,,,,,
6,1715288700000,4716575.73,42633128.02347,2.6311,0.7246,0.2754,1.1093,0.5259,0.4741,2.7879,0.736,0.264,,,,,,,
7,1715289000000,4715507.16,42614038.20492,2.6337,0.7248,0.2752,1.1078,0.5256,0.4744,2.7893,0.7361,0.2639,,,,,,,
8,1715289300000,4715664.35,42551573.22101173,2.6377,0.7251,0.2749,1.1082,0.5257,0.4743,2.7922,0.7363,0.2637,,,,,,,
9,1715289600000,4715238.26,42543947.03281766,2.6364,0.725,0.275,1.109,0.5258,0.4742,2.785,0.7358,0.2642,,,,,,,
10,1715289900000,4714449.81,42584809.48676837,2.6284,0.7244,0.2756,1.1071,0.5254,0.4746,2.7893,0.7361,0.2639,,,,,,,
11,1715290200000,4715721.1,42543140.14490037,2.6284,0.7244,0.2756,1.108,0.5256,0.4744,2.7879,0.736,0.264,,,,,,,
12,1715290500000,4714980.83,42546603.35164563,2.6298,0.7245,0.2755,1.1074,0.5255,0.4745,2.7893,0.7361,0.2639,,,,,,,
