,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,2048539.0,70588520.47994736,2.1348,0.681,0.319,1.2499,0.5555,0.4445,2.4542,0.7105,0.2895,,,,,,,
1,1715287200000,2048217.0,70669631.151,2.1348,0.681,0.319,1.2527,0.5561,0.4439,2.4471,0.7099,0.2901,,,,,,,
2,1715287500000,2046512.0,70551454.688,2.1368,0.6812,0.3188,1.2519,0.5559,0.4441,2.4542,0.7105,0.2895,,,,,,,
3,1715287800000,2046839.0,70607633.47103651,2.1358,0.6811,0.3189,1.2524,0.556,0.444,2.4483,0.71,0.29,,,,,,,
4,1715288100000,2046290.0,70614624.2526386,2.1338,0.6809,0.3191,1.252,0.556,0.444,2.4447,0.7097,0.2903,,,,,,,
5,1715288400000,2047049.0,70679878.15878662,2.1299,0.6805,0.3195,1.2503,0.5556,0.4444,2.4483,0.71,0.29,,,,,,,
6,1715288700000,2047877.0,70909379.2832486,2.1368,0.6812,0.3188,1.2497,0.5555,0.4445,2.4578,0.7108,0.2892,,,,,,,
7,1715289000000,2051806.0,71265377.798,2.126,0.6801,0.3199,1.2447,0.5545,0.4455,2.4435,0.7096,0.2904,,,,,,,
8,1715289300000,2048964.0,70906121.76354516,2.1348,0.681,0.319,1.2455,0.5547,0.4453,2.4614,0.7111,0.2889,,,,,,,
9,1715289600000,2047990.0,70718236.249626,2.1427,0.6818,0.3182,1.2447,0.5545,0.4455,2.4686,0.7117,0.2883,,,,,,,
10,1715289900000,2047427.0,70652610.916,2.1476,0.6823,0.3177,1.2461,0.5548,0.4452,2.4722,0.712,0.288,,,,,,,
11,1715290200000,2048103.0,70719610.2905224,2.1456,0.6821,0.3179,1.2471,0.555,0.445,2.4698,0.7118,0.2882,,,,,,,
12,1715290500000,2048543.0,70752578.134,2.1348,0.681,0.319,1.2463,0.5548,0.4452,2.4566,0.7107,0.2893,,,,,,,
13,1715290800000,2048168.0,70787216.53011896,2.1299,0.6805,0.3195,1.2452,0.5546,0.4454,2.4554,0.7106,0.2894,,,,,,,
14,1715291100000,2047986.0,70802971.992,2.1289,0.6804,0.3196,1.2444,0.5545,0.4455,2.4518,0.7103,0.2897,,,,,,,
15,1715291400000,2049632.0,70829133.024,2.1377,0.6813,0.3187,1.2456,0.5547,0.4453,2.4602,0.711,0.289,,,,,,,
16,1715291700000,2050686.0,70984495.89,2.1358,0.6811,0.3189,1.243,0.5542,0.4458,2.4698,0.7118,0.2882,,,,,,,
17,1715292000000,2050564.0,70945969.87709215,2.1328,0.6808,0.3192,1.2428,0.5541,0.4459,2.4638,0.7113,0.2887,,,,,,,
18,1715292300000,2049187.0,70918174.9047273,2.1289,0.6804,0.3196,1.2423,0.554,0.446,2.4566,0.7107,0.2893,,,,,,,
19,1715292600000,2049002.0,70911861.216,2.1319,0.6807,0.3193,1.2419,0.554,0.446,2.4554,0.7106,0.2894,,,,,,,
20,1715292900000,2051031.0,71176113.07746099,2.123,0.6798,0.3202,1.2396,0.5535,0.4465,2.4447,0.7097,0.2903,,,,,,,
21,1715293200000,2056777.0,71464051.81611185,2.1172,0.6792,0.3208,1.2404,0.5536,0.4464,2.4388,0.7092,0.2908,,,,,,,
