,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,3982318.3,4390505.92575,2.1056,0.678,0.322,1.2537,0.5563,0.4437,1.9438,0.6603,0.3397,,,,,,,
1,1715287200000,3991878.7,4402251.85403619,2.0998,0.6774,0.3226,1.2528,0.5561,0.4439,1.9386,0.6597,0.3403,,,,,,,
2,1715287500000,3993056.1,4401574.24945055,2.0969,0.6771,0.3229,1.2515,0.5559,0.4441,1.9455,0.6605,0.3395,,,,,,,
3,1715287800000,3990850.5,4399513.5912,2.0826,0.6756,0.3244,1.2502,0.5556,0.4444,1.9369,0.6595,0.3405,,,,,,,
4,1715288100000,3993469.8,4398407.63772,2.0874,0.6761,0.3239,1.2494,0.5554,0.4446,1.9377,0.6596,0.3404,,,,,,,
5,1715288400000,3997597.6,4401869.00867538,2.0572,0.6729,0.3271,1.2488,0.5553,0.4447,1.9257,0.6582,0.3418,,,,,,,
6,1715288700000,3999311.5,4412723.48921109,2.0684,0.6741,0.3259,1.2464,0.5548,0.4452,1.942,0.6601,0.3399,,,,,,,
7,1715289000000,4004694.3,4423184.85435,2.0656,0.6738,0.3262,1.2477,0.5551,0.4449,1.9283,0.6585,0.3415,,,,,,,
8,1715289300000,3999293.9,4410505.17811308,2.0386,0.6709,0.3291,1.2482,0.5552,0.4448,1.8918,0.6542,0.3458,,,,,,,
9,1715289600000,4000833.3,4406207.97208925,2.046,0.6717,0.3283,1.2494,0.5554,0.4446,1.9129,0.6567,0.3433,,,,,,,
10,1715289900000,3997411.0,4401890.99076639,2.0367,0.6707,0.3293,1.2495,0.5555,0.4445,1.9019,0.6554,0.3446,,,,,,,
11,1715290200000,3997807.9,4400875.60769922,2.0111,0.6679,0.3321,1.2498,0.5555,0.4445,1.8694,0.6515,0.3485,,,,,,,
12,1715290500000,3997136.6,4400800.90990134,2.023,0.6692,0.3308,1.2484,0.5552,0.4448,1.9189,0.6574,0.3426,,,,,,,
13,1715290800000,3997179.2,4403201.95069574,2.0211,0.669,0.331,1.2485,0.5553,0.4447,1.9155,0.657,0.343,,,,,,,
14,1715291100000,3999154.0,4402668.6386,2.0386,0.6709,0.3291,1.249,0.5553,0.4447,1.9317,0.6589,0.3411,,,,,,,
15,1715291400000,3999325.3,4405656.75048,2.046,0.6717,0.3283,1.2492,0.5554,0.4446,1.9121,0.6566,0.3434,,,,,,,
16,1715291700000,3999606.2,4410714.52240064,2.0386,0.6709,0.3291,1.2494,0.5554,0.4446,1.8944,0.6545,0.3455,,,,,,,
17,1715292000000,4003694.1,4423681.61109,2.0525,0.6724,0.3276,1.2485,0.5553,0.4447,1.9516,0.6612,0.3388,,,,,,,
18,1715292300000,4013538.6,4427232.48577956,2.0694,0.6742,0.3258,1.2496,0.5555,0.4445,1.9551,0.6616,0.3384,,,,,,,
19,1715292600000,4018775.6,4433111.36436,2.0656,0.6738,0.3262,1.2488,0.5553,0.4447,1.9507,0.6611,0.3389,,,,,,,
20,1715292900000,4023586.8,4449807.96505542,2.0562,0.6728,0.3272,1.2485,0.5553,0.4447,1.9455,0.6605,0.3395,,,,,,,
21,1715293200000,4024721.4,4450939.39626,2.0581,0.673,0.327,1.2504,0.5556,0.4444,1.9464,0.6606,0.3394,,,,,,,
