,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,1939379.0,14238011.65045649,3.0967,0.7559,0.2441,1.1727,0.5397,0.4603,3.0634,0.7539,0.2461,,,,,,,
1,1715287200000,1937557.0,14242042.1793664,3.1017,0.7562,0.2438,1.1692,0.539,0.461,3.07,0.7543,0.2457,,,,,,,
2,1715287500000,1937800.0,14243952.08309,3.1135,0.7569,0.2431,1.1687,0.5389,0.4611,3.08,0.7549,0.2451,,,,,,,
3,1715287800000,1935770.0,14233813.5985,3.1135,0.7569,0.2431,1.1693,0.539,0.461,3.075,0.7546,0.2454,,,,,,,
4,1715288100000,1934949.0,14214135.354,3.1135,0.7569,0.2431,1.1697,0.5391,0.4609,3.0717,0.7544,0.2456,,,,,,,
5,1715288400000,1935300.0,14229726.892671,3.1477,0.7589,0.2411,1.1687,0.5389,0.4611,3.1408,0.7585,0.2415,,,,,,,
6,1715288700000,1934614.0,14291210.60430624,3.1254,0.7576,0.2424,1.1688,0.5389,0.4611,3.1237,0.7575,0.2425,,,,,,,
7,1715289000000,1934098.0,14318127.494,3.0933,0.7557,0.2443,1.1672,0.5386,0.4614,3.095,0.7558,0.2442,,,,,,,
8,1715289300000,1933932.0,14267647.59456036,3.1102,0.7567,0.2433,1.168,0.5387,0.4613,3.0917,0.7556,0.2444,,,,,,,
9,1715289600000,1934572.0,14251991.924,3.1374,0.7583,0.2417,1.1673,0.5386,0.4614,3.1169,0.7571,0.2429,,,,,,,
10,1715289900000,1934827.0,14248066.028,3.1339,0.7581,0.2419,1.1661,0.5383,0.4617,3.1254,0.7576,0.2424,,,,,,,
11,1715290200000,1934531.0,14240082.691,3.1356,0.7582,0.2418,1.1667,0.5385,0.4615,3.1118,0.7568,0.2432,,,,,,,
12,1715290500000,1933424.0,14225757.33501296,3.1305,0.7579,0.2421,1.1672,0.5386,0.4614,3.1017,0.7562,0.2438,,,,,,,
13,1715290800000,1933055.0,14215528.1527955,3.1288,0.7578,0.2422,1.1669,0.5385,0.4615,3.0984,0.756,0.244,,,,,,,
14,1715291100000,1933278.0,14230859.358,3.1322,0.758,0.242,1.1666,0.5384,0.4616,3.1102,0.7567,0.2433,,,,,,,
15,1715291400000,1933517.0,14228751.603,3.1374,0.7583,0.2417,1.1661,0.5383,0.4617,3.1152,0.757,0.243,,,,,,,
16,1715291700000,1933488.0,14263340.976,3.1477,0.7589,0.2411,1.1651,0.5381,0.4619,3.1118,0.7568,0.2432,,,,,,,
17,1715292000000,1931889.0,14243558.08635063,3.1339,0.7581,0.2419,1.1664,0.5384,0.4616,3.0967,0.7559,0.2441,,,,,,,
18,1715292300000,1935154.0,14279501.366,3.1425,0.7586,0.2414,1.1645,0.538,0.462,3.1152,0.757,0.243,,,,,,,
19,1715292600000,1934138.0,14268136.026,3.1339,0.7581,0.2419,1.1647,0.538,0.462,3.0933,0.7557,0.2443,,,,,,,
20,1715292900000,1934857.0,14293150.03224189,3.1563,0.7594,0.2406,1.1642,0.5379,0.4621,3.1085,0.7566,0.2434,,,,,,,
21,1715293200000,1935798.0,14316873.78703578,3.1322,0.758,0.242,1.1649,0.5381,0.4619,3.0617,0.7538,0.2462,,,,,,,
22,1715293500000,1935810.0,14304936.8402928,3.1288,0.7578,0.2422,1.1639,0.5379,0.4621,3.0584,0.7536,0.2464,,,,,,,
23,1715293800000,1935033.0,14320258.02183969,3.1102,0.7567,0.2433,1.1633,0.5377,0.4623,3.0601,0.7537,0.2463,,,,,,,
24,1715294100000,1935279.0,14321071.87664904,3.1186,0.7572,0.2428,1.1639,0.5379,0.4621,3.0617,0.7538,0.2462,,,,,,,
25,1715294400000,1935977.0,14368821.294,3.1271,0.7577,0.2423,1.163,0.5377,0.4623,3.0783,0.7548,0.2452,,,,,,,
26,1715294700000,1935905.0,14389878.1746193,3.1271,0.7577,0.2423,1.1628,0.5376,0.4624,3.0816,0.755,0.245,,,,,,,
27,1715295000000,1936406.0,14450740.20024586,3.0933,0.7557,0.2443,1.1617,0.5374,0.4626,3.0733,0.7545,0.2455,,,,,,,
28,1715295300000,1934168.0,14448234.96,3.1237,0.7575,0.2425,1.1628,0.5376,0.4624,3.1,0.7561,0.2439,,,,,,,
29,1715295600000,1933289.0,14420402.651,3.1322,0.758,0.242,1.1637,0.5378,0.4622,3.1477,0.7589,0.2411,,,,,,,
30,1715295900000,1935559.0,14452819.053,3.1118,0.7568,0.2432,1.1645,0.538,0.462,3.1085,0.7566,0.2434,,,,,,,
31,1715296200000,1936879.0,14444365.69159325,3.1034,0.7563,0.2437,1.1645,0.538,0.462,3.0984,0.756,0.244,,,,,,,
32,1715296500000,1935617.0,14435831.586,3.0933,0.7557,0.2443,1.1655,0.5382,0.4618,3.065,0.754,0.246,,,,,,,
33,1715296800000,1931820.0,14392059.0,3.095,0.7558,0.2442,1.1657,0.5383,0.4617,3.0617,0.7538,0.2462,,,,,,,
34,1715297100000,1931054.0,14368840.4402483,3.095,0.7558,0.2442,1.1665,0.5384,0.4616,3.0519,0.7532,0.2468,,,,,,,
35,1715297400000,1929753.0,14369749.26942429,3.1,0.7561,0.2439,1.1677,0.5387,0.4613,3.065,0.754,0.246,,,,,,,
36,1715297700000,1930697.0,14371652.36014072,3.1051,0.7564,0.2436,1.1691,0.539,0.461,3.0766,0.7547,0.2453,,,,,,,
37,1715298000000,1932159.0,14361737.847,3.1051,0.7564,0.2436,1.1685,0.5389,0.4611,3.08,0.7549,0.2451,,,,,,,
38,1715298300000,1932702.0,14367706.668,3.0984,0.756,0.244,1.1687,0.5389,0.4611,3.065,0.754,0.246,,,,,,,
39,1715298600000,1934362.0,14422634.46669526,3.0667,0.7541,0.2459,1.1682,0.5388,0.4612,3.0355,0.7522,0.2478,,,,,,,
