timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,926178.00000000,4250230.84200000,3.8379,0.7933,0.2067,1.8789,0.6526,0.3474,2.9698,0.7481,0.2519,-0.0004,4.598000,-0.00168420
1715287200000,925207.00000000,4254101.78600000,3.7893,0.7912,0.2088,1.8822,0.6530,0.3470,2.9479,0.7467,0.2533,-0.0008,4.597000,-0.00368138
1715287500000,924380.00000000,4249209.97833940,3.8333,0.7931,0.2069,1.8820,0.6530,0.3470,2.9573,0.7473,0.2527,-0.0012,4.605000,-0.00533208
1715287800000,922915.00000000,4252819.55522165,3.7824,0.7909,0.2091,1.8843,0.6533,0.3467,2.9170,0.7447,0.2553,-0.0009,4.604000,-0.00419253
1715288100000,924696.00000000,4258913.56240680,3.8077,0.7920,0.2080,1.8862,0.6535,0.3465,2.9448,0.7465,0.2535,-0.0017,4.594000,-0.00763538
1715288400000,924196.00000000,4246965.78991776,3.6751,0.7861,0.2139,1.8772,0.6524,0.3476,2.8895,0.7429,0.2571,-0.0002,4.623000,-0.00113794
1715288700000,923379.00000000,4268781.11700000,3.6147,0.7833,0.2167,1.8833,0.6532,0.3468,2.8565,0.7407,0.2593,0.0005,4.646000,0.00218656
1715289000000,921510.00000000,4279861.39417380,3.5998,0.7826,0.2174,1.8798,0.6528,0.3472,2.8270,0.7387,0.2613,0.0008,4.647000,0.00376700
1715289300000,921935.00000000,4281700.57885115,3.6211,0.7836,0.2164,1.8646,0.6509,0.3491,2.8941,0.7432,0.2568,-0.0022,4.659000,-0.01047955
1715289600000,920579.00000000,4293384.98946093,3.5683,0.7811,0.2189,1.8660,0.6511,0.3489,2.8402,0.7396,0.2604,-0.0015,4.655000,-0.00684123
1715289900000,920847.00000000,4288082.07284520,3.6773,0.7862,0.2138,1.8794,0.6527,0.3473,2.9002,0.7436,0.2564,-0.0020,4.634000,-0.00915434
1715290200000,921383.00000000,4269688.82200000,3.6425,0.7846,0.2154,1.8835,0.6532,0.3468,2.8911,0.7430,0.2570,-0.0015,4.616000,-0.00716355
1715290500000,924398.00000000,4269136.22759992,3.5935,0.7823,0.2177,1.8767,0.6524,0.3476,2.8285,0.7388,0.2612,-0.0012,4.619000,-0.00572041
1715290800000,919313.00000000,4248182.51324520,3.5372,0.7796,0.2204,1.8641,0.6509,0.3491,2.8256,0.7386,0.2614,0.0001,4.639000,0.00034293
1715291100000,921021.00000000,4272882.33618312,3.5372,0.7796,0.2204,1.8621,0.6506,0.3494,2.8256,0.7386,0.2614,0.0001,4.637000,0.00041650
1715291400000,921796.00000000,4274179.57237188,3.5662,0.7810,0.2190,1.8570,0.6500,0.3500,2.8447,0.7399,0.2601,0.0006,4.647000,0.00265857
1715291700000,921145.00000000,4278890.14352495,3.5872,0.7820,0.2180,1.8594,0.6503,0.3497,2.8565,0.7407,0.2593,-0.0001,4.640000,-0.00024657
1715292000000,919623.00000000,4267369.53490164,3.5475,0.7801,0.2199,1.8544,0.6497,0.3503,2.8373,0.7394,0.2606,0.0005,4.638000,0.00243096
1715292300000,920078.00000000,4265645.34508088,3.5475,0.7801,0.2199,1.8456,0.6486,0.3514,2.8595,0.7409,0.2591,0.0008,4.653000,0.00353695
1715292600000,921431.00000000,4284803.87332319,3.5830,0.7818,0.2182,1.8402,0.6479,0.3521,2.8447,0.7399,0.2601,0.0007,4.662000,0.00322225
1715292900000,923079.00000000,4303394.29800000,3.5579,0.7806,0.2194,1.8372,0.6475,0.3525,2.8595,0.7409,0.2591,-0.0005,4.657000,-0.00234182
1715293200000,921173.00000000,4289902.66100000,3.5662,0.7810,0.2190,1.8409,0.6480,0.3520,2.8344,0.7392,0.2608,-0.0009,4.659000,-0.00406272
1715293500000,922479.00000000,4300964.70588150,3.5517,0.7803,0.2197,1.8376,0.6476,0.3524,2.8506,0.7403,0.2597,-0.0004,4.671000,-0.00196209
1715293800000,924722.00000000,4320604.46507434,3.5208,0.7788,0.2212,1.8393,0.6478,0.3522,2.8447,0.7399,0.2601,-0.0001,4.673000,-0.00050461
1715294100000,923904.00000000,4317689.28485376,3.5249,0.7790,0.2210,1.8500,0.6491,0.3509,2.7922,0.7363,0.2637,-0.0005,4.683000,-0.00256946
1715294400000,923600.00000000,4326818.93700000,3.5249,0.7790,0.2210,1.8423,0.6482,0.3518,2.8373,0.7394,0.2606,0.0003,4.697000,0.00144971
1715294700000,922839.00000000,4333304.65199913,3.5413,0.7798,0.2202,1.8517,0.6493,0.3507,2.8580,0.7408,0.2592,0.0006,4.711000,0.00277888
1715295000000,919648.00000000,4329969.29799040,3.4643,0.7760,0.2240,1.8583,0.6501,0.3499,2.7693,0.7347,0.2653,-0.0004,4.751000,-0.00204429
1715295300000,920870.00000000,4376703.59666610,3.4623,0.7759,0.2241,1.8561,0.6499,0.3501,2.7979,0.7367,0.2633,-0.0003,4.753000,-0.00124868
1715295600000,923549.00000000,4388704.84800000,3.3478,0.7700,0.2300,1.8636,0.6508,0.3492,2.7037,0.7300,0.2700,-0.0016,4.740000,-0.00752437
1715295900000,922697.00000000,4376351.87100000,3.3706,0.7712,0.2288,1.8768,0.6524,0.3476,2.7230,0.7314,0.2686,-0.0014,4.732000,-0.00683771
1715296200000,917091.00000000,4345177.15800000,3.3821,0.7718,0.2282,1.8762,0.6523,0.3477,2.8023,0.7370,0.2630,-0.0009,4.722000,-0.00404589
