,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,1024688.2,3644759.09819243,3.3995,0.7727,0.2273,1.5217,0.6034,0.3966,2.9793,0.7487,0.2513,,,,,,,
1,1715287200000,1023461.4,3647898.34204263,3.3535,0.7703,0.2297,1.5226,0.6036,0.3964,2.9494,0.7468,0.2532,,,,,,,
2,1715287500000,1023457.1,3648021.92949038,3.3573,0.7705,0.2295,1.5225,0.6036,0.3964,2.9463,0.7466,0.2534,,,,,,,
3,1715287800000,1024512.6,3651841.89677588,3.3668,0.771,0.229,1.5257,0.6041,0.3959,2.9448,0.7465,0.2535,,,,,,,
4,1715288100000,1023570.7,3651076.6869,3.386,0.772,0.228,1.5258,0.6041,0.3959,2.9604,0.7475,0.2525,,,,,,,
5,1715288400000,1023644.8,3653526.15568166,3.384,0.7719,0.2281,1.5251,0.604,0.396,2.9714,0.7482,0.2518,,,,,,,
6,1715288700000,1024560.6,3664095.97247812,3.3611,0.7707,0.2293,1.5262,0.6041,0.3959,2.9386,0.7461,0.2539,,,,,,,
7,1715289000000,1025520.3,3676490.2755,3.3029,0.7676,0.2324,1.5269,0.6043,0.3957,2.8926,0.7431,0.2569,,,,,,,
8,1715289300000,1024480.0,3664905.4561728,3.3215,0.7686,0.2314,1.5251,0.604,0.396,2.9417,0.7463,0.2537,,,,,,,
9,1715289600000,1026200.5,3672771.5895,3.3103,0.768,0.232,1.5272,0.6043,0.3957,2.8986,0.7435,0.2565,,,,,,,
10,1715289900000,1026713.6,3672521.08660378,3.3346,0.7693,0.2307,1.5268,0.6042,0.3958,2.917,0.7447,0.2553,,,,,,,
11,1715290200000,1027225.6,3673358.7456,3.3085,0.7679,0.2321,1.5254,0.604,0.396,2.9078,0.7441,0.2559,,,,,,,
