,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,16353716.3,3995212.89209,3.1135,0.7569,0.2431,1.3039,0.5659,0.4341,2.6684,0.7274,0.2726,,,,,,,
1,1715287200000,16388965.8,4013657.72442,3.0833,0.7551,0.2449,1.3032,0.5658,0.4342,2.6324,0.7247,0.2753,,,,,,,
2,1715287500000,16385580.1,4010742.68214327,3.0833,0.7551,0.2449,1.3034,0.5659,0.4341,2.6271,0.7243,0.2757,,,,,,,
3,1715287800000,16382468.2,4007151.72172,3.0883,0.7554,0.2446,1.302,0.5656,0.4344,2.6337,0.7248,0.2752,,,,,,,
4,1715288100000,16378336.7,4007778.99049,3.0933,0.7557,0.2443,1.3015,0.5655,0.4345,2.639,0.7252,0.2748,,,,,,,
5,1715288400000,16380538.2,4010282.05168094,3.0866,0.7553,0.2447,1.3015,0.5655,0.4345,2.6603,0.7268,0.2732,,,,,,,
6,1715288700000,16380406.6,4018113.73898,3.0404,0.7525,0.2475,1.3027,0.5657,0.4343,2.6271,0.7243,0.2757,,,,,,,
7,1715289000000,16366010.5,4018005.65406629,3.0469,0.7529,0.2471,1.3022,0.5656,0.4344,2.6496,0.726,0.274,,,,,,,
8,1715289300000,16367291.4,4014896.58042,3.0161,0.751,0.249,1.3041,0.566,0.434,2.6114,0.7231,0.2769,,,,,,,
9,1715289600000,16390030.2,4017196.40202,3.0096,0.7506,0.2494,1.3054,0.5662,0.4338,2.56,0.7191,0.2809,,,,,,,
10,1715289900000,16379990.4,4016373.64608,3.0967,0.7559,0.2441,1.3058,0.5663,0.4337,2.6219,0.7239,0.2761,,,,,,,
11,1715290200000,16384585.3,4017500.31556,3.0967,0.7559,0.2441,1.3065,0.5664,0.4336,2.6219,0.7239,0.2761,,,,,,,
12,1715290500000,16381712.7,4016908.168772,3.0984,0.756,0.244,1.3063,0.5664,0.4336,2.6219,0.7239,0.2761,,,,,,,
13,1715290800000,16385276.2,4017511.77017743,3.0933,0.7557,0.2443,1.3071,0.5666,0.4334,2.6206,0.7238,0.2762,,,,,,,
14,1715291100000,16370720.8,4016646.22353719,3.0933,0.7557,0.2443,1.3057,0.5663,0.4337,2.6232,0.724,0.276,,,,,,,
15,1715291400000,16382415.1,4021615.87368387,3.0933,0.7557,0.2443,1.3062,0.5664,0.4336,2.6179,0.7236,0.2764,,,,,,,
16,1715291700000,16346317.1,4015605.85463619,3.0833,0.7551,0.2449,1.304,0.566,0.434,2.614,0.7233,0.2767,,,,,,,
17,1715292000000,16320694.3,4007206.52530273,3.1118,0.7568,0.2432,1.3044,0.5661,0.4339,2.6284,0.7244,0.2756,,,,,,,
18,1715292300000,16287840.3,3998664.79365,3.1356,0.7582,0.2418,1.3053,0.5662,0.4338,2.651,0.7261,0.2739,,,,,,,
19,1715292600000,16282500.0,3999396.55245,3.1288,0.7578,0.2422,1.3042,0.566,0.434,2.6523,0.7262,0.2738,,,,,,,
20,1715292900000,16279565.1,4003255.75913268,3.1135,0.7569,0.2431,1.3045,0.5661,0.4339,2.639,0.7252,0.2748,,,,,,,
21,1715293200000,16273331.2,4001612.14208,3.0323,0.752,0.248,1.3064,0.5664,0.4336,2.5625,0.7193,0.2807,,,,,,,
22,1715293500000,16271880.1,4004875.97263105,3.0355,0.7522,0.2478,1.3046,0.5661,0.4339,2.5651,0.7195,0.2805,,,,,,,
23,1715293800000,16271769.1,4009607.00647035,3.0323,0.752,0.248,1.3035,0.5659,0.4341,2.5651,0.7195,0.2805,,,,,,,
24,1715294100000,16303754.8,4013984.43176,3.0584,0.7536,0.2464,1.3,0.5652,0.4348,2.6075,0.7228,0.2772,,,,,,,
25,1715294400000,16288771.9,4020811.02136776,3.0683,0.7542,0.2458,1.3002,0.5653,0.4347,2.6232,0.724,0.276,,,,,,,
26,1715294700000,16281326.7,4029628.35825,3.07,0.7543,0.2457,1.3,0.5652,0.4348,2.6179,0.7236,0.2764,,,,,,,
27,1715295000000,16273253.4,4039021.49388,3.0371,0.7523,0.2477,1.3009,0.5654,0.4346,2.5804,0.7207,0.2793,,,,,,,
28,1715295300000,16265564.1,4037113.00962,2.9968,0.7498,0.2502,1.2989,0.565,0.435,2.5524,0.7185,0.2815,,,,,,,
29,1715295600000,16267879.4,4036060.87914,2.992,0.7495,0.2505,1.2999,0.5652,0.4348,2.5474,0.7181,0.2819,,,,,,,
30,1715295900000,16328628.4,4040557.63314302,3.0388,0.7524,0.2476,1.3014,0.5655,0.4345,2.5651,0.7195,0.2805,,,,,,,
31,1715296200000,16324671.3,4032857.57223506,3.0388,0.7524,0.2476,1.3013,0.5655,0.4345,2.5575,0.7189,0.2811,,,,,,,
32,1715296500000,16314134.7,4025178.1343223,3.0617,0.7538,0.2462,1.3012,0.5654,0.4346,2.5817,0.7208,0.2792,,,,,,,
33,1715296800000,16307519.6,4023065.08532,3.042,0.7526,0.2474,1.3006,0.5653,0.4347,2.5817,0.7208,0.2792,,,,,,,
34,1715297100000,16306243.1,4021348.48811312,3.0568,0.7535,0.2465,1.3023,0.5656,0.4344,2.5817,0.7208,0.2792,,,,,,,
35,1715297400000,16286909.8,4019283.11183671,3.0634,0.7539,0.2461,1.3009,0.5654,0.4346,2.5932,0.7217,0.2783,,,,,,,
36,1715297700000,16287570.7,4015249.71612802,3.0733,0.7545,0.2455,1.302,0.5656,0.4344,2.5958,0.7219,0.2781,,,,,,,
37,1715298000000,16291867.0,4014316.0288,3.075,0.7546,0.2454,1.3032,0.5658,0.4342,2.5932,0.7217,0.2783,,,,,,,
38,1715298300000,16299111.3,4019397.68257154,3.0733,0.7545,0.2455,1.3045,0.5661,0.4339,2.5702,0.7199,0.2801,,,,,,,
39,1715298600000,16281118.2,4024692.41904,3.0469,0.7529,0.2471,1.3001,0.5652,0.4348,2.5714,0.72,0.28,,,,,,,
40,1715298900000,16278156.0,4025195.02411416,3.0453,0.7528,0.2472,1.3012,0.5655,0.4345,2.5714,0.72,0.28,,,,,,,
41,1715299200000,16277288.5,4022906.13465917,3.0323,0.752,0.248,1.3014,0.5655,0.4345,2.5575,0.7189,0.2811,,,,,,,
42,1715299500000,16279250.8,4016133.8239971,3.0584,0.7536,0.2464,1.3022,0.5656,0.4344,2.574,0.7202,0.2798,,,,,,,
43,1715299800000,16275218.6,4027037.39375463,3.0339,0.7521,0.2479,1.3001,0.5652,0.4348,2.56,0.7191,0.2809,,,,,,,
44,1715300100000,16273304.8,4028764.65689986,3.0274,0.7517,0.2483,1.2988,0.565,0.435,2.5562,0.7188,0.2812,,,,,,,
45,1715300400000,16270099.3,4025870.11677214,3.0323,0.752,0.248,1.3001,0.5652,0.4348,2.5524,0.7185,0.2815,,,,,,,
46,1715300700000,16274342.3,4023274.38842492,3.0371,0.7523,0.2477,1.3006,0.5653,0.4347,2.5511,0.7184,0.2816,,,,,,,
47,1715301000000,16269004.1,4021861.80508133,3.0225,0.7514,0.2486,1.3045,0.5661,0.4339,2.5286,0.7166,0.2834,,,,,,,
