,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,196215698.0,4788169.26770084,2.465,0.7114,0.2886,1.6366,0.6207,0.3793,2.269,0.6941,0.3059,,,,,,,
1,1715287500000,196151023.0,4782479.70539726,2.4364,0.709,0.291,1.6365,0.6207,0.3793,2.2584,0.6931,0.3069,,,,,,,
2,1715287800000,196132003.0,4781806.10574165,2.4423,0.7095,0.2905,1.6365,0.6207,0.3793,2.2765,0.6948,0.3052,,,,,,,
3,1715288100000,196090289.0,4778916.433219,2.4305,0.7085,0.2915,1.6366,0.6207,0.3793,2.2906,0.6961,0.3039,,,,,,,
4,1715288400000,196263861.0,4789703.73202701,2.4364,0.709,0.291,1.6361,0.6206,0.3794,2.2798,0.6951,0.3049,,,,,,,
5,1715288700000,196535636.0,4820720.41691328,2.4037,0.7062,0.2938,1.6385,0.621,0.379,2.2446,0.6918,0.3082,,,,,,,
6,1715289000000,196071009.0,4816092.194067,2.4188,0.7075,0.2925,1.6405,0.6213,0.3787,2.2279,0.6902,0.3098,,,,,,,
7,1715289300000,196045055.0,4801535.48706,2.4471,0.7099,0.2901,1.6352,0.6205,0.3795,2.2798,0.6951,0.3049,,,,,,,
8,1715289600000,195843386.0,4790797.28725254,2.4495,0.7101,0.2899,1.6342,0.6204,0.3796,2.2723,0.6944,0.3056,,,,,,,
9,1715289900000,195733126.0,4784304.798818,2.4602,0.711,0.289,1.634,0.6204,0.3796,2.2787,0.695,0.305,,,,,,,
10,1715290200000,195591042.0,4782056.23952892,2.5199,0.7159,0.2841,1.6363,0.6207,0.3793,2.3478,0.7013,0.2987,,,,,,,
11,1715290500000,195370005.0,4777773.472275,2.5088,0.715,0.285,1.6384,0.621,0.379,2.3256,0.6993,0.3007,,,,,,,
12,1715290800000,195225522.0,4771009.1581209,2.4904,0.7135,0.2865,1.6394,0.6211,0.3789,2.3135,0.6982,0.3018,,,,,,,
13,1715291100000,195093291.0,4775493.577098,2.499,0.7142,0.2858,1.639,0.6211,0.3789,2.3333,0.7,0.3,,,,,,,
14,1715291400000,195008790.0,4776545.30226,2.4686,0.7117,0.2883,1.6396,0.6212,0.3788,2.3256,0.6993,0.3007,,,,,,,
15,1715291700000,194942409.0,4790514.758766,2.4734,0.7121,0.2879,1.6385,0.621,0.379,2.3311,0.6998,0.3002,,,,,,,
16,1715292000000,194944693.0,4781667.76165269,2.4662,0.7115,0.2885,1.6391,0.6211,0.3789,2.3523,0.7017,0.2983,,,,,,,
17,1715292300000,195034186.0,4792656.96693612,2.4843,0.713,0.287,1.6378,0.6209,0.3791,2.3434,0.7009,0.2991,,,,,,,
18,1715292600000,194810885.0,4784165.71383,2.4412,0.7094,0.2906,1.6357,0.6206,0.3794,2.33,0.6997,0.3003,,,,,,,
19,1715292900000,194759134.0,4796962.26502082,2.453,0.7104,0.2896,1.6305,0.6198,0.3802,2.3602,0.7024,0.2976,,,,,,,
20,1715293200000,194920448.0,4805178.884096,2.4471,0.7099,0.2901,1.6319,0.6201,0.3799,2.367,0.703,0.297,,,,,,,
21,1715293500000,194890359.0,4803267.787914,2.4141,0.7071,0.2929,1.6312,0.6199,0.3801,2.3113,0.698,0.302,,,,,,,
22,1715293800000,194976187.0,4813570.15489413,2.4176,0.7074,0.2926,1.6332,0.6202,0.3798,2.3091,0.6978,0.3022,,,,,,,
23,1715294100000,194930205.0,4811267.31981,2.427,0.7082,0.2918,1.6324,0.6201,0.3799,2.3135,0.6982,0.3018,,,,,,,
24,1715294400000,195921339.0,4861300.18315089,2.406,0.7064,0.2936,1.6364,0.6207,0.3793,2.3014,0.6971,0.3029,,,,,,,
25,1715294700000,195576735.0,4865425.0211502,2.375,0.7037,0.2963,1.6286,0.6196,0.3804,2.283,0.6954,0.3046,,,,,,,
26,1715295000000,195827082.0,4882752.462588,2.4341,0.7088,0.2912,1.6282,0.6195,0.3805,2.319,0.6987,0.3013,,,,,,,
27,1715295300000,196001422.0,4893175.50023,2.4602,0.711,0.289,1.6248,0.619,0.381,2.3546,0.7019,0.2981,,,,,,,
28,1715295600000,195893358.0,4884992.668446,2.4554,0.7106,0.2894,1.6192,0.6182,0.3818,2.34,0.7006,0.2994,,,,,,,
29,1715295900000,195539566.0,4861895.769024,2.4376,0.7091,0.2909,1.6233,0.6188,0.3812,2.3201,0.6988,0.3012,,,,,,,
30,1715296200000,195049928.0,4830906.89373712,2.4928,0.7137,0.2863,1.6256,0.6191,0.3809,2.391,0.7051,0.2949,,,,,,,
31,1715296500000,195158294.0,4831723.18810318,2.5461,0.718,0.282,1.6283,0.6195,0.3805,2.459,0.7109,0.2891,,,,,,,
32,1715296800000,195240680.0,4832987.79272,2.5907,0.7215,0.2785,1.6321,0.6201,0.3799,2.4831,0.7129,0.2871,,,,,,,
33,1715297100000,195324348.0,4823980.11337344,2.5855,0.7211,0.2789,1.6329,0.6202,0.3798,2.4843,0.713,0.287,,,,,,,
