,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,62568165.0,24069973.0755,3.3975,0.7726,0.2274,1.4174,0.5863,0.4137,3.6707,0.7859,0.2141,,,,,,,
1,1715287500000,62574996.0,24048428.2402452,3.3802,0.7717,0.2283,1.4164,0.5862,0.4138,3.6685,0.7858,0.2142,,,,,,,
2,1715287800000,62609716.0,24048391.9156,3.3725,0.7713,0.2287,1.4163,0.5861,0.4139,3.6041,0.7828,0.2172,,,,,,,
3,1715288100000,62572628.0,24077947.2544,3.5935,0.7823,0.2177,1.4209,0.5869,0.4131,3.7778,0.7907,0.2093,,,,,,,
4,1715288400000,62554117.0,24083335.045,3.5725,0.7813,0.2187,1.4213,0.587,0.413,3.7619,0.79,0.21,,,,,,,
5,1715288700000,62531627.0,24155967.5101,3.5537,0.7804,0.2196,1.4223,0.5872,0.4128,3.8263,0.7928,0.2072,,,,,,,
6,1715289000000,62669413.0,24202927.3006,3.5372,0.7796,0.2204,1.4217,0.5871,0.4129,3.7393,0.789,0.211,,,,,,,
7,1715289300000,62634159.0,24192026.14390947,3.5331,0.7794,0.2206,1.4228,0.5873,0.4127,3.7642,0.7901,0.2099,,,,,,,
8,1715289600000,62630487.0,24344106.41377053,3.5147,0.7785,0.2215,1.425,0.5876,0.4124,3.7059,0.7875,0.2125,,,,,,,
9,1715289900000,62756688.0,24351034.58242272,3.3365,0.7694,0.2306,1.4235,0.5874,0.4126,3.5228,0.7789,0.2211,,,,,,,
10,1715290200000,62814700.0,24435573.457321,3.3403,0.7696,0.2304,1.4243,0.5875,0.4125,3.4663,0.7761,0.2239,,,,,,,
11,1715290500000,62873843.0,24659121.2246,3.3497,0.7701,0.2299,1.424,0.5875,0.4125,3.4964,0.7776,0.2224,,,,,,,
12,1715290800000,63397339.0,24948533.55995689,3.3011,0.7675,0.2325,1.4217,0.5871,0.4129,3.4111,0.7733,0.2267,,,,,,,
13,1715291100000,63527287.0,24877285.5892,3.2717,0.7659,0.2341,1.4272,0.588,0.412,3.3178,0.7684,0.2316,,,,,,,
14,1715291400000,63393958.0,24501764.767,3.2699,0.7658,0.2342,1.4307,0.5886,0.4114,3.3516,0.7702,0.2298,,,,,,,
15,1715291700000,63420425.0,24600408.04278825,3.344,0.7698,0.2302,1.4281,0.5882,0.4118,3.0634,0.7539,0.2461,,,,,,,
16,1715292000000,63451068.0,24572959.06080288,3.344,0.7698,0.2302,1.4217,0.5871,0.4129,3.08,0.7549,0.2451,,,,,,,
17,1715292300000,63423573.0,24570292.1802,3.344,0.7698,0.2302,1.4233,0.5873,0.4127,3.0833,0.7551,0.2449,,,,,,,
18,1715292600000,63417345.0,24604488.38374815,3.3253,0.7688,0.2312,1.4233,0.5873,0.4127,3.0683,0.7542,0.2458,,,,,,,
19,1715292900000,63415371.0,24638306.72334573,3.3048,0.7677,0.2323,1.4224,0.5872,0.4128,3.0469,0.7529,0.2471,,,,,,,
20,1715293200000,63399015.0,24617837.5245,3.3011,0.7675,0.2325,1.4239,0.5874,0.4126,3.0883,0.7554,0.2446,,,,,,,
21,1715293500000,63396516.0,24604187.8596,3.2863,0.7667,0.2333,1.4241,0.5875,0.4125,3.029,0.7518,0.2482,,,,,,,
22,1715293800000,63416580.0,24630999.672,3.2827,0.7665,0.2335,1.4248,0.5876,0.4124,3.0241,0.7515,0.2485,,,,,,,
23,1715294100000,63394495.0,24616082.4085,3.2699,0.7658,0.2342,1.4238,0.5874,0.4126,3.0145,0.7509,0.2491,,,,,,,
24,1715294400000,63400589.0,24641433.95823606,3.2808,0.7664,0.2336,1.4231,0.5873,0.4127,3.08,0.7549,0.2451,,,,,,,
25,1715294700000,63364375.0,24722153.93894375,3.2863,0.7667,0.2333,1.4238,0.5874,0.4126,3.0733,0.7545,0.2455,,,,,,,
26,1715295000000,63145510.0,24715740.4986981,3.2717,0.7659,0.2341,1.4245,0.5875,0.4125,3.0048,0.7503,0.2497,,,,,,,
27,1715295300000,63090223.0,24683304.02231414,3.3141,0.7682,0.2318,1.4243,0.5875,0.4125,3.0783,0.7548,0.2452,,,,,,,
28,1715295600000,63066584.0,24744808.68223504,3.2827,0.7665,0.2335,1.4272,0.588,0.412,3.0568,0.7535,0.2465,,,,,,,
29,1715295900000,63056935.0,24647737.6315158,3.2248,0.7633,0.2367,1.4265,0.5879,0.4121,2.9825,0.7489,0.2511,,,,,,,
30,1715296200000,63048674.0,24670946.1362,3.3011,0.7675,0.2325,1.4302,0.5885,0.4115,3.0552,0.7534,0.2466,,,,,,,
31,1715296500000,63006137.0,24541168.21856417,3.2571,0.7651,0.2349,1.43,0.5885,0.4115,3.0225,0.7514,0.2486,,,,,,,
32,1715296800000,62969593.0,24558121.74942617,3.2937,0.7671,0.2329,1.4306,0.5886,0.4114,3.0453,0.7528,0.2472,,,,,,,
33,1715297100000,62967190.0,24554376.2434971,3.3141,0.7682,0.2318,1.4323,0.5889,0.4111,3.042,0.7526,0.2474,,,,,,,
34,1715297400000,62971057.0,24586295.44209771,3.29,0.7669,0.2331,1.4317,0.5888,0.4112,3.0274,0.7517,0.2483,,,,,,,
35,1715297700000,63002578.0,24539504.131,3.2753,0.7661,0.2339,1.4321,0.5888,0.4112,3.0258,0.7516,0.2484,,,,,,,
36,1715298000000,63003580.0,24531629.6003756,3.2772,0.7662,0.2338,1.4318,0.5888,0.4112,3.0339,0.7521,0.2479,,,,,,,
37,1715298300000,63000287.0,24524826.06369866,3.2753,0.7661,0.2339,1.4325,0.5889,0.4111,3.0258,0.7516,0.2484,,,,,,,
38,1715298600000,62988585.0,24590743.584,3.2772,0.7662,0.2338,1.433,0.589,0.411,3.0274,0.7517,0.2483,,,,,,,
39,1715298900000,63005592.0,24584781.9984,3.2699,0.7658,0.2342,1.4326,0.5889,0.4111,3.0096,0.7506,0.2494,,,,,,,
40,1715299200000,63019159.0,24566086.96873506,3.2626,0.7654,0.2346,1.4321,0.5888,0.4112,3.0128,0.7508,0.2492,,,,,,,
41,1715299500000,62989409.0,24543084.98097652,3.29,0.7669,0.2331,1.4318,0.5888,0.4112,3.0634,0.7539,0.2461,,,,,,,
42,1715299800000,62944234.0,24630078.7642,3.223,0.7632,0.2368,1.4301,0.5885,0.4115,3.0258,0.7516,0.2484,,,,,,,
43,1715300100000,62965278.0,24589083.8787957,3.2265,0.7634,0.2366,1.4298,0.5885,0.4115,3.0112,0.7507,0.2493,,,,,,,
44,1715300400000,62935073.0,24576146.0065,3.2571,0.7651,0.2349,1.432,0.5888,0.4112,3.0371,0.7523,0.2477,,,,,,,
45,1715300700000,63218789.0,24554177.6476,3.29,0.7669,0.2331,1.4289,0.5883,0.4117,3.0917,0.7556,0.2444,,,,,,,
46,1715301000000,63143864.0,24585639.95187832,3.2882,0.7668,0.2332,1.4387,0.5899,0.4101,3.0306,0.7519,0.2481,,,,,,,
47,1715301300000,63149585.0,24604230.79592625,3.2355,0.7639,0.2361,1.435,0.5893,0.4107,3.0437,0.7527,0.2473,,,,,,,
48,1715301600000,63167339.0,24628945.4761,3.2301,0.7636,0.2364,1.4351,0.5893,0.4107,2.9936,0.7496,0.2504,,,,,,,
49,1715301900000,63129619.0,24601617.57466952,3.2445,0.7644,0.2356,1.4351,0.5893,0.4107,3.042,0.7526,0.2474,,,,,,,
50,1715302200000,63101811.0,24555686.09163912,3.2626,0.7654,0.2346,1.4351,0.5893,0.4107,3.0241,0.7515,0.2485,,,,,,,
51,1715302500000,63109385.0,24600038.273,3.268,0.7657,0.2343,1.4345,0.5892,0.4108,3.0193,0.7512,0.2488,,,,,,,
52,1715302800000,63118933.0,24591136.2968,3.2937,0.7671,0.2329,1.4346,0.5893,0.4107,3.042,0.7526,0.2474,,,,,,,
53,1715303100000,63105546.0,24601572.79017438,3.3011,0.7675,0.2325,1.4349,0.5893,0.4107,3.0535,0.7533,0.2467,,,,,,,
54,1715303400000,63101915.0,24559265.318,3.3159,0.7683,0.2317,1.4352,0.5893,0.4107,3.0535,0.7533,0.2467,,,,,,,
55,1715303700000,63097207.0,24576180.40654384,3.329,0.769,0.231,1.4355,0.5894,0.4106,3.065,0.754,0.246,,,,,,,
56,1715304000000,63082418.0,24589526.5364,3.3234,0.7687,0.2313,1.4336,0.5891,0.4109,3.0486,0.753,0.247,,,,,,,
57,1715304300000,63132278.0,24724190.36688282,3.3384,0.7695,0.2305,1.4316,0.5887,0.4113,3.0733,0.7545,0.2455,,,,,,,
58,1715304600000,63136174.0,24749380.208,3.2992,0.7674,0.2326,1.4294,0.5884,0.4116,3.1,0.7561,0.2439,,,,,,,
59,1715304900000,63168746.0,24850584.6764,3.3048,0.7677,0.2323,1.4285,0.5882,0.4118,3.1085,0.7566,0.2434,,,,,,,
60,1715305200000,63110695.0,24868178.01753785,3.3103,0.768,0.232,1.4266,0.5879,0.4121,3.0241,0.7515,0.2485,,,,,,,
61,1715305500000,63119948.0,24849374.20358208,3.3271,0.7689,0.2311,1.4279,0.5881,0.4119,3.0388,0.7524,0.2476,,,,,,,
