timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,83176012.00000000,31359851.80436000,1.1701,0.5392,0.4608,4.8934,0.8303,0.1697,1.0760,0.5183,0.4817,-0.0008,0.37697,-0.00030116
1715287200000,83171186.00000000,31419828.44877800,1.1687,0.5389,0.4611,4.8941,0.8303,0.1697,1.0738,0.5178,0.4822,-0.0010,0.37759,-0.00036500
1715287500000,83177711.00000000,31350511.05301000,1.1734,0.5399,0.4601,4.8915,0.8303,0.1697,1.0687,0.5166,0.4834,-0.0011,0.37685,-0.00041479
1715287800000,83184009.00000000,31385326.59570000,1.1749,0.5402,0.4598,4.8871,0.8301,0.1699,1.0730,0.5176,0.4824,-0.0005,0.37729,-0.00019631
1715288100000,83197926.00000000,31355634.35088000,1.1706,0.5393,0.4607,4.8898,0.8302,0.1698,1.0674,0.5163,0.4837,-0.0008,0.37689,-0.00028812
1715288400000,83190797.00000000,31384825.45486243,1.1678,0.5387,0.4613,4.8924,0.8303,0.1697,1.0760,0.5183,0.4817,-0.0010,0.37707,-0.00035999
1715288700000,83171883.00000000,31426807.88611125,1.1673,0.5386,0.4614,4.8960,0.8304,0.1696,1.0799,0.5192,0.4808,-0.0008,0.37765,-0.00028376
1715289000000,83140575.00000000,31493238.26415375,1.1594,0.5369,0.4631,4.9028,0.8306,0.1694,1.0734,0.5177,0.4823,0.0002,0.37886,0.00008749
1715289300000,83112792.00000000,31474814.33040000,1.1547,0.5359,0.4641,4.9135,0.8309,0.1691,1.0653,0.5158,0.4842,0.0001,0.37861,0.00002590
1715289600000,83102723.00000000,31427736.26045174,1.1529,0.5355,0.4645,4.9154,0.8309,0.1691,1.0559,0.5136,0.4864,-0.0001,0.37813,-0.00003677
1715289900000,83095051.00000000,31453026.52620115,1.1556,0.5361,0.4639,4.9154,0.8310,0.1690,1.0551,0.5134,0.4866,0.0007,0.37877,0.00028374
1715290200000,83100190.00000000,31448435.90360000,1.1542,0.5358,0.4642,4.9161,0.8310,0.1690,1.0619,0.5150,0.4850,0.0002,0.37845,0.00007071
1715290500000,83114562.00000000,31409607.19641318,1.1612,0.5373,0.4627,4.9165,0.8310,0.1690,1.0661,0.5160,0.4840,-0.0003,0.37786,-0.00013143
1715290800000,83123551.00000000,31401130.00668154,1.1515,0.5352,0.4648,4.9092,0.8308,0.1692,1.0542,0.5132,0.4868,-0.0002,0.37769,-0.00008061
1715291100000,83124774.00000000,31460233.21578000,1.1496,0.5348,0.4652,4.9054,0.8307,0.1693,1.0623,0.5151,0.4849,0.0002,0.37848,0.00007459
1715291400000,83116218.00000000,31463808.89401164,1.1524,0.5354,0.4646,4.9081,0.8307,0.1693,1.0636,0.5154,0.4846,0.0002,0.37856,0.00008921
1715291700000,83093730.00000000,31475653.14999810,1.1716,0.5395,0.4605,4.9137,0.8309,0.1691,1.0738,0.5178,0.4822,0.0001,0.37882,0.00003290
1715292000000,83016099.00000000,31308230.00734956,1.1978,0.5450,0.4550,4.9318,0.8314,0.1686,1.0969,0.5231,0.4769,-0.0007,0.37703,-0.00026811
1715292300000,82991556.00000000,31269809.93409468,1.2022,0.5459,0.4541,4.9368,0.8316,0.1684,1.1004,0.5239,0.4761,-0.0010,0.37659,-0.00039114
1715292600000,82946424.00000000,31306007.62820256,1.2002,0.5455,0.4545,4.9489,0.8319,0.1681,1.1026,0.5244,0.4756,-0.0002,0.37734,-0.00008363
1715292900000,82926132.00000000,31327453.51601412,1.1906,0.5435,0.4565,4.9621,0.8323,0.1677,1.0969,0.5231,0.4769,-0.0003,0.37766,-0.00011190
1715293200000,82904883.00000000,31278471.15412503,1.1906,0.5435,0.4565,4.9662,0.8324,0.1676,1.0925,0.5221,0.4779,-0.0014,0.37697,-0.00054586
1715293500000,82897105.00000000,31236458.13505000,1.1954,0.5445,0.4555,4.9687,0.8325,0.1675,1.1017,0.5242,0.4758,-0.0006,0.37683,-0.00022976
1715293800000,82889685.00000000,31275857.19899925,1.1964,0.5447,0.4553,4.9685,0.8325,0.1675,1.0964,0.5230,0.4770,-0.0009,0.37724,-0.00035292
1715294100000,82890347.00000000,31289448.18556000,1.1949,0.5444,0.4556,4.9672,0.8324,0.1676,1.0942,0.5225,0.4775,-0.0005,0.37743,-0.00018466
1715294400000,82880991.00000000,31319546.27358816,1.1949,0.5444,0.4556,4.9688,0.8325,0.1675,1.1079,0.5256,0.4744,-0.0006,0.37787,-0.00021403
1715294700000,82864829.00000000,31341964.27267000,1.1915,0.5437,0.4563,4.9694,0.8325,0.1675,1.0969,0.5231,0.4769,-0.0001,0.37823,-0.00005011
1715295000000,82864320.00000000,31442904.34158720,1.1829,0.5419,0.4581,4.9715,0.8325,0.1675,1.0903,0.5216,0.4784,-0.0002,0.37937,-0.00007595
1715295300000,82812483.00000000,31312095.44715720,1.2041,0.5463,0.4537,4.9714,0.8325,0.1675,1.1004,0.5239,0.4761,-0.0012,0.37786,-0.00046616
1715295600000,82804056.00000000,31235540.59385160,1.2139,0.5483,0.4517,4.9737,0.8326,0.1674,1.1169,0.5276,0.4724,-0.0009,0.37717,-0.00035156
1715295900000,82781486.00000000,31158123.51554000,1.2153,0.5486,0.4514,4.9813,0.8328,0.1672,1.1142,0.5270,0.4730,-0.0013,0.37638,-0.00047338
1715296200000,82763596.00000000,31150562.26248000,1.2153,0.5486,0.4514,4.9850,0.8329,0.1671,1.1142,0.5270,0.4730,-0.0008,0.37638,-0.00030276
1715296500000,82730542.00000000,31129021.03834000,1.2109,0.5477,0.4523,4.9955,0.8332,0.1668,1.0960,0.5229,0.4771,-0.0002,0.37630,-0.00007575
1715296800000,82688140.00000000,31075856.77480000,1.2046,0.5464,0.4536,5.0063,0.8335,0.1665,1.0973,0.5232,0.4768,-0.0003,0.37585,-0.00011374
1715297100000,82693146.00000000,31089068.74458492,1.2060,0.5467,0.4533,5.0042,0.8334,0.1666,1.0982,0.5234,0.4766,-0.0004,0.37591,-0.00013268
1715297400000,82691308.00000000,31103771.54947944,1.2095,0.5474,0.4526,5.0048,0.8335,0.1665,1.0925,0.5221,0.4779,-0.0004,0.37605,-0.00016301
1715297700000,82671584.00000000,31086999.03838336,1.2080,0.5471,0.4529,5.0039,0.8334,0.1666,1.0973,0.5232,0.4768,-0.0005,0.37583,-0.00019809
1715298000000,82590874.00000000,30857602.34388000,1.2563,0.5568,0.4432,5.0089,0.8336,0.1664,1.1322,0.5310,0.4690,-0.0007,0.37362,-0.00026228
1715298300000,82605073.00000000,30930643.53412000,1.2533,0.5562,0.4438,5.0022,0.8334,0.1666,1.1308,0.5307,0.4693,-0.0001,0.37444,-0.00003556
1715298600000,82599437.00000000,30945831.16437654,1.2553,0.5566,0.4434,5.0019,0.8334,0.1666,1.1349,0.5316,0.4684,-0.0002,0.37473,-0.00006472
1715298900000,82581146.00000000,30834974.10494000,1.2543,0.5564,0.4436,5.0066,0.8335,0.1665,1.1304,0.5306,0.4694,-0.0004,0.37343,-0.00016009
1715299200000,82581728.00000000,30841983.76504800,1.2578,0.5571,0.4429,5.0075,0.8335,0.1665,1.1259,0.5296,0.4704,-0.0005,0.37341,-0.00018944
1715299500000,82504648.00000000,30706942.91309120,1.2563,0.5568,0.4432,5.0215,0.8339,0.1661,1.1222,0.5288,0.4712,-0.0006,0.37211,-0.00022245
1715299800000,82454575.00000000,30796215.65047825,1.2411,0.5538,0.4462,5.0265,0.8341,0.1659,1.1044,0.5248,0.4752,0.0003,0.37355,0.00011443
1715300100000,82412981.00000000,30866957.90374000,1.2492,0.5554,0.4446,5.0358,0.8343,0.1657,1.1142,0.5270,0.4730,0.0001,0.37464,0.00005581
1715300400000,82388822.00000000,30888393.25602000,1.2548,0.5565,0.4435,5.0447,0.8346,0.1654,1.1124,0.5266,0.4734,0.0000,0.37492,-0.00000083
1715300700000,82373666.00000000,30815428.30967120,1.2538,0.5563,0.4437,5.0487,0.8347,0.1653,1.1119,0.5265,0.4735,-0.0007,0.37408,-0.00024401
1715301000000,82366553.00000000,30789224.55289561,1.2558,0.5567,0.4433,5.0509,0.8347,0.1653,1.1128,0.5267,0.4733,-0.0010,0.37375,-0.00036523
