timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,24009210.20000000,22782750.83655073,1.0371,0.5091,0.4909,2.0806,0.6754,0.3246,0.9771,0.4942,0.5058,-0.0001,0.949500,-0.00008007
1715287200000,24006513.00000000,22794184.09350000,1.0338,0.5083,0.4917,2.0820,0.6755,0.3245,0.9732,0.4932,0.5068,-0.0002,0.949800,-0.00015674
1715287500000,24006381.70000000,22805911.13473147,1.0350,0.5086,0.4914,2.0826,0.6756,0.3244,0.9763,0.4940,0.5060,-0.0005,0.949200,-0.00045139
1715287800000,24004918.90000000,22789792.54582308,1.0338,0.5083,0.4917,2.0831,0.6756,0.3244,0.9743,0.4935,0.5065,-0.0008,0.948200,-0.00073287
1715288100000,24001477.40000000,22758526.09069877,1.0392,0.5096,0.4904,2.0833,0.6757,0.3243,0.9818,0.4954,0.5046,-0.0006,0.948800,-0.00057267
1715288400000,24004456.50000000,22778979.78653918,1.0396,0.5097,0.4903,2.0827,0.6756,0.3244,0.9798,0.4949,0.5051,0.0000,0.951400,-0.00004603
1715288700000,24020895.70000000,22851842.90472909,1.0329,0.5081,0.4919,2.0830,0.6756,0.3244,0.9720,0.4929,0.5071,-0.0001,0.952300,-0.00006931
1715289000000,24015184.70000000,22871910.85276824,1.0284,0.5070,0.4930,2.0836,0.6757,0.3243,0.9716,0.4928,0.5072,-0.0008,0.949800,-0.00080442
1715289300000,24002964.70000000,22807617.05794000,1.0325,0.5080,0.4920,2.0859,0.6759,0.3241,0.9743,0.4935,0.5065,-0.0011,0.950000,-0.00099890
1715289600000,24009752.40000000,22827457.44958853,1.0325,0.5080,0.4920,2.0837,0.6757,0.3243,0.9861,0.4965,0.5035,-0.0007,0.950200,-0.00070534
1715289900000,24006973.70000000,22813692.42798754,1.0305,0.5075,0.4925,2.0845,0.6758,0.3242,0.9814,0.4953,0.5047,-0.0011,0.949600,-0.00104841
1715290200000,23999961.10000000,22801836.00196425,1.0296,0.5073,0.4927,2.0848,0.6758,0.3242,0.9829,0.4957,0.5043,-0.0005,0.950800,-0.00048784
1715290500000,24007028.30000000,22828283.21047000,1.0263,0.5065,0.4935,2.0838,0.6757,0.3243,0.9790,0.4947,0.5053,-0.0006,0.951000,-0.00053197
1715290800000,24002736.80000000,22830295.51785668,1.0251,0.5062,0.4938,2.0842,0.6758,0.3242,0.9736,0.4933,0.5067,-0.0006,0.951800,-0.00052806
1715291100000,23996894.20000000,22835444.52072000,1.0218,0.5054,0.4946,2.0839,0.6757,0.3243,0.9767,0.4941,0.5059,-0.0008,0.951500,-0.00071990
1715291400000,23996130.50000000,22834685.62898513,1.0214,0.5053,0.4947,2.0840,0.6757,0.3243,0.9763,0.4940,0.5060,-0.0007,0.952500,-0.00066705
1715291700000,23990719.60000000,22854432.75315344,1.0235,0.5058,0.4942,2.0838,0.6757,0.3243,0.9877,0.4969,0.5031,-0.0008,0.951900,-0.00077894
1715292000000,23987612.10000000,22833807.95799000,1.0346,0.5085,0.4915,2.0853,0.6759,0.3241,0.9972,0.4993,0.5007,-0.0010,0.951400,-0.00095410
1715292300000,23983638.60000000,22827627.21948000,1.0379,0.5093,0.4907,2.0873,0.6761,0.3239,0.9944,0.4986,0.5014,-0.0001,0.952900,-0.00007840
1715292600000,23985354.70000000,22846050.35175000,1.0280,0.5069,0.4931,2.0868,0.6760,0.3240,0.9865,0.4966,0.5034,-0.0005,0.954300,-0.00045315
1715292900000,23969160.10000000,22883348.03918916,1.0235,0.5058,0.4942,2.0899,0.6764,0.3236,0.9736,0.4933,0.5067,0.0003,0.956200,0.00033324
1715293200000,23967817.40000000,22910517.16165406,1.0141,0.5035,0.4965,2.0908,0.6765,0.3235,0.9782,0.4945,0.5055,-0.0001,0.955400,-0.00010656
1715293500000,23960251.80000000,22891624.56972000,1.0153,0.5038,0.4962,2.0913,0.6765,0.3235,0.9822,0.4955,0.5045,0.0000,0.956600,-0.00003629
1715293800000,23961728.40000000,22916997.04176000,1.0161,0.5040,0.4960,2.0910,0.6765,0.3235,0.9826,0.4956,0.5044,-0.0001,0.957400,-0.00004896
1715294100000,23962048.00000000,22942845.05226560,1.0161,0.5040,0.4960,2.0933,0.6767,0.3233,0.9755,0.4938,0.5062,0.0000,0.957400,-0.00001893
1715294400000,23946765.20000000,22927468.50511783,1.0194,0.5048,0.4952,2.0937,0.6768,0.3232,0.9873,0.4968,0.5032,-0.0005,0.958300,-0.00047711
1715294700000,23947232.00000000,22955816.59520000,1.0206,0.5051,0.4949,2.0936,0.6768,0.3232,0.9877,0.4969,0.5031,0.0000,0.959800,-0.00000961
1715295000000,23956137.40000000,22990705.06278000,1.0313,0.5077,0.4923,2.0947,0.6769,0.3231,0.9920,0.4980,0.5020,-0.0003,0.959200,-0.00032552
1715295300000,23943770.50000000,22968467.69903497,1.0300,0.5074,0.4926,2.0977,0.6772,0.3228,0.9853,0.4963,0.5037,0.0000,0.961700,0.00001197
1715295600000,23931966.90000000,23016778.09214604,1.0161,0.5040,0.4960,2.1003,0.6774,0.3226,0.9643,0.4909,0.5091,-0.0004,0.960800,-0.00041342
1715295900000,23929475.20000000,22993832.71968000,1.0149,0.5037,0.4963,2.1008,0.6775,0.3225,0.9662,0.4914,0.5086,-0.0009,0.957900,-0.00085477
1715296200000,23929393.90000000,22924359.35620000,1.0235,0.5058,0.4942,2.1004,0.6775,0.3225,0.9869,0.4967,0.5033,-0.0014,0.956300,-0.00133695
1715296500000,23926767.60000000,22883773.00233629,1.0296,0.5073,0.4927,2.1009,0.6775,0.3225,0.9900,0.4975,0.5025,-0.0004,0.956300,-0.00040021
1715296800000,23930345.60000000,22884589.49728000,1.0321,0.5079,0.4921,2.1014,0.6776,0.3224,0.9841,0.4960,0.5040,-0.0006,0.956500,-0.00054443
1715297100000,23933699.40000000,22894976.84604000,1.0325,0.5080,0.4920,2.1016,0.6776,0.3224,0.9794,0.4948,0.5052,-0.0004,0.957600,-0.00034802
1715297400000,23934295.70000000,22926979.21979098,1.0280,0.5069,0.4931,2.1016,0.6776,0.3224,0.9775,0.4943,0.5057,-0.0002,0.958200,-0.00023900
1715297700000,23936942.00000000,22937362.11145504,1.0235,0.5058,0.4942,2.1014,0.6776,0.3224,0.9739,0.4934,0.5066,-0.0001,0.957900,-0.00006421
1715298000000,23938180.80000000,22930383.38832000,1.0214,0.5053,0.4947,2.1018,0.6776,0.3224,0.9704,0.4925,0.5075,-0.0002,0.957900,-0.00017276
1715298300000,23939984.30000000,22933120.74950777,1.0247,0.5061,0.4939,2.1024,0.6777,0.3223,0.9736,0.4933,0.5067,-0.0002,0.960300,-0.00015205
1715298600000,23947333.60000000,23001188.33891749,1.0222,0.5055,0.4945,2.1031,0.6777,0.3223,0.9689,0.4921,0.5079,-0.0004,0.959700,-0.00042724
1715298900000,23938131.60000000,22975048.61998643,1.0268,0.5066,0.4934,2.1027,0.6777,0.3223,0.9790,0.4947,0.5053,-0.0007,0.959000,-0.00071107
1715299200000,23935077.40000000,22954809.84261210,1.0268,0.5066,0.4934,2.1032,0.6778,0.3222,0.9814,0.4953,0.5047,-0.0002,0.959000,-0.00023157
1715299500000,23923270.00000000,22942095.83664740,1.0210,0.5052,0.4948,2.1038,0.6778,0.3222,0.9708,0.4926,0.5074,-0.0009,0.959200,-0.00088211
1715299800000,23914943.50000000,22957284.89310634,1.0243,0.5060,0.4940,2.1047,0.6779,0.3221,0.9767,0.4941,0.5059,-0.0003,0.958200,-0.00025263
1715300100000,23914851.90000000,22912819.60539000,1.0259,0.5064,0.4936,2.1006,0.6775,0.3225,0.9980,0.4995,0.5005,-0.0011,0.951900,-0.00109197
1715300400000,23967223.00000000,22815777.44935027,1.0551,0.5134,0.4866,2.0912,0.6765,0.3235,1.0235,0.5058,0.4942,-0.0010,0.948700,-0.00096821
1715300700000,24011111.90000000,22783004.03431699,1.0730,0.5176,0.4824,2.0845,0.6758,0.3242,1.0280,0.5069,0.4931,-0.0010,0.944500,-0.00097323
1715301000000,24057138.10000000,22726949.16875051,1.0816,0.5196,0.4804,2.0777,0.6751,0.3249,1.0342,0.5084,0.4916,-0.0010,0.940700,-0.00094423
1715301300000,24199756.30000000,22767013.60021951,1.0929,0.5222,0.4778,2.0604,0.6733,0.3267,1.0251,0.5062,0.4938,-0.0002,0.937400,-0.00017725
