,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,4498277839.0,50074828.903748,2.7369,0.7324,0.2676,1.7866,0.6411,0.3589,3.1649,0.7599,0.2401,,,,,,,
1,1715287200000,4499892333.0,50141940.27523236,2.7369,0.7324,0.2676,1.7872,0.6412,0.3588,3.1771,0.7606,0.2394,,,,,,,
2,1715287500000,4501469034.0,50038329.781944,2.7272,0.7317,0.2683,1.7848,0.6409,0.3591,3.1701,0.7602,0.2398,,,,,,,
3,1715287800000,4503268441.0,50050181.07427779,2.73,0.7319,0.2681,1.7872,0.6412,0.3588,3.158,0.7595,0.2405,,,,,,,
4,1715288100000,4502860632.0,49978285.81251336,2.73,0.7319,0.2681,1.7898,0.6416,0.3584,3.1649,0.7599,0.2401,,,,,,,
5,1715288400000,4500791326.0,50063067.05362342,2.7147,0.7308,0.2692,1.7906,0.6417,0.3583,3.1494,0.759,0.241,,,,,,,
6,1715288700000,4505624939.0,50233257.50116039,2.7037,0.73,0.27,1.7877,0.6413,0.3587,3.1254,0.7576,0.2424,,,,,,,
7,1715289000000,4505776167.0,50527458.53240631,2.7037,0.73,0.27,1.7859,0.641,0.359,3.1237,0.7575,0.2425,,,,,,,
8,1715289300000,4503061099.0,50259295.35449286,2.7175,0.731,0.269,1.7859,0.641,0.359,3.1511,0.7591,0.2409,,,,,,,
9,1715289600000,4499174401.0,50044226.87883498,2.7216,0.7313,0.2687,1.789,0.6414,0.3586,3.1477,0.7589,0.2411,,,,,,,
10,1715289900000,4495852136.0,50016489.88856408,2.723,0.7314,0.2686,1.7911,0.6417,0.3583,3.1391,0.7584,0.2416,,,,,,,
11,1715290200000,4494977087.0,49961670.322005,2.7175,0.731,0.269,1.7917,0.6418,0.3582,3.122,0.7574,0.2426,,,,,,,
12,1715290500000,4493013766.0,49916484.3375068,2.7175,0.731,0.269,1.7924,0.6419,0.3581,3.1305,0.7579,0.2421,,,,,,,
13,1715290800000,4491659326.0,49848435.199948,2.7037,0.73,0.27,1.7915,0.6418,0.3582,3.1374,0.7583,0.2417,,,,,,,
14,1715291100000,4489889286.0,49896139.635318,2.6982,0.7296,0.2704,1.792,0.6418,0.3582,3.1305,0.7579,0.2421,,,,,,,
15,1715291400000,4490445556.0,50050506.167176,2.6982,0.7296,0.2704,1.7935,0.642,0.358,3.1305,0.7579,0.2421,,,,,,,
16,1715291700000,4488567096.0,50185501.67293104,2.7037,0.73,0.27,1.7937,0.642,0.358,3.1322,0.758,0.242,,,,,,,
17,1715292000000,4500911039.0,50199741.03661636,2.6887,0.7289,0.2711,1.7934,0.642,0.358,3.1305,0.7579,0.2421,,,,,,,
18,1715292300000,4498888791.0,50220510.71839017,2.6724,0.7277,0.2723,1.7968,0.6425,0.3575,3.1,0.7561,0.2439,,,,,,,
19,1715292600000,4508111399.0,50397980.5739806,2.6697,0.7275,0.2725,1.793,0.642,0.358,3.0833,0.7551,0.2449,,,,,,,
20,1715292900000,4506419850.0,50617099.167567,2.6751,0.7279,0.2721,1.7934,0.642,0.358,3.0833,0.7551,0.2449,,,,,,,
21,1715293200000,4506686478.0,50624465.47780482,2.6832,0.7285,0.2715,1.7937,0.642,0.358,3.1169,0.7571,0.2429,,,,,,,
22,1715293500000,4505406133.0,50497853.45238124,2.6697,0.7275,0.2725,1.7918,0.6418,0.3582,3.1051,0.7564,0.2436,,,,,,,
23,1715293800000,4506179022.0,50665449.1428081,2.6751,0.7279,0.2721,1.793,0.642,0.358,3.0984,0.756,0.244,,,,,,,
24,1715294100000,4497946769.0,50477487.94361946,2.6805,0.7283,0.2717,1.7924,0.6419,0.3581,3.0984,0.756,0.244,,,,,,,
25,1715294400000,4495898287.0,50737560.9382811,2.6496,0.726,0.274,1.7917,0.6418,0.3582,3.0371,0.7523,0.2477,,,,,,,
