,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,1326167.2,4180479.64951112,3.415,0.7735,0.2265,3.647,0.7848,0.2152,2.6563,0.7265,0.2735,,,,,,,
1,1715287500000,1325499.8,4172673.3704,3.4267,0.7741,0.2259,3.6408,0.7845,0.2155,2.659,0.7267,0.2733,,,,,,,
2,1715287800000,1324792.1,4169120.7387,3.4248,0.774,0.226,3.6494,0.7849,0.2151,2.6576,0.7266,0.2734,,,,,,,
3,1715288100000,1325342.9,4178929.80493914,3.4072,0.7731,0.2269,3.6661,0.7857,0.2143,2.6657,0.7272,0.2728,,,,,,,
4,1715288400000,1325325.6,4182667.37080474,3.3687,0.7711,0.2289,3.662,0.7855,0.2145,2.6417,0.7254,0.2746,,,,,,,
5,1715288700000,1324146.8,4191233.79703633,3.363,0.7708,0.2292,3.663,0.7855,0.2145,2.6337,0.7248,0.2752,,,,,,,
6,1715289000000,1324303.7,4192307.60669552,3.3668,0.771,0.229,3.6712,0.7859,0.2141,2.6324,0.7247,0.2753,,,,,,,
7,1715289300000,1324031.6,4186587.9192,3.3554,0.7704,0.2296,3.6632,0.7856,0.2144,2.6536,0.7263,0.2737,,,,,,,
8,1715289600000,1322610.4,4177089.657699,3.3554,0.7704,0.2296,3.6652,0.7856,0.2144,2.663,0.727,0.273,,,,,,,
9,1715289900000,1322642.5,4182195.585,3.3649,0.7709,0.2291,3.6869,0.7866,0.2134,2.6298,0.7245,0.2755,,,,,,,
10,1715290200000,1322443.0,4181993.99132451,3.3403,0.7696,0.2304,3.6929,0.7869,0.2131,2.6245,0.7241,0.2759,,,,,,,
11,1715290500000,1321926.0,4181251.938,3.344,0.7698,0.2302,3.6925,0.7869,0.2131,2.6219,0.7239,0.2761,,,,,,,
12,1715290800000,1322216.1,4174236.2277,3.3554,0.7704,0.2296,3.6947,0.787,0.213,2.6311,0.7246,0.2754,,,,,,,
13,1715291100000,1322143.5,4174148.7236189,3.3879,0.7721,0.2279,3.6956,0.787,0.213,2.6456,0.7257,0.2743,,,,,,,
14,1715291400000,1322445.1,4178134.397834,3.3956,0.7725,0.2275,3.6848,0.7865,0.2135,2.6941,0.7293,0.2707,,,,,,,
15,1715291700000,1322045.7,4185439.60072993,3.3687,0.7711,0.2289,3.6811,0.7864,0.2136,2.6928,0.7292,0.2708,,,,,,,
16,1715292000000,1322176.1,4182043.0043,3.386,0.772,0.228,3.6847,0.7865,0.2135,2.7175,0.731,0.269,,,,,,,
17,1715292300000,1322443.7,4177599.6483,3.3975,0.7726,0.2274,3.6801,0.7863,0.2137,2.7369,0.7324,0.2676,,,,,,,
18,1715292600000,1322434.8,4177907.31262007,3.3687,0.7711,0.2289,3.6868,0.7866,0.2134,2.7037,0.73,0.27,,,,,,,
19,1715292900000,1322365.4,4201154.8758,3.3497,0.7701,0.2299,3.6803,0.7863,0.2137,2.6941,0.7293,0.2707,,,,,,,
20,1715293200000,1322750.0,4195049.058915,3.279,0.7663,0.2337,3.6889,0.7867,0.2133,2.647,0.7258,0.2742,,,,,,,
21,1715293500000,1322117.5,4190020.1415215,3.2445,0.7644,0.2356,3.6827,0.7864,0.2136,2.6443,0.7256,0.2744,,,,,,,
22,1715293800000,1321910.0,4189132.79,3.2337,0.7638,0.2362,3.6863,0.7866,0.2134,2.6364,0.725,0.275,,,,,,,
23,1715294100000,1321930.6,4185283.25324394,3.2445,0.7644,0.2356,3.6884,0.7867,0.2133,2.643,0.7255,0.2745,,,,,,,
24,1715294400000,1323131.2,4198429.21170875,3.2535,0.7649,0.2351,3.689,0.7867,0.2133,2.6496,0.726,0.274,,,,,,,
25,1715294700000,1325702.6,4213303.80439532,3.2481,0.7646,0.2354,3.6838,0.7865,0.2135,2.6496,0.726,0.274,,,,,,,
26,1715295000000,1318453.0,4187406.728,3.2481,0.7646,0.2354,3.679,0.7863,0.2137,2.6563,0.7265,0.2735,,,,,,,
27,1715295300000,1319541.1,4193623.62057011,3.3649,0.7709,0.2291,3.7523,0.7896,0.2104,2.6982,0.7296,0.2704,,,,,,,
28,1715295600000,1320380.8,4194851.49168742,3.3403,0.7696,0.2304,3.7455,0.7893,0.2107,2.6819,0.7284,0.2716,,,,,,,
29,1715295900000,1321498.5,4181221.254,3.3478,0.77,0.23,3.7378,0.7889,0.2111,2.6941,0.7293,0.2707,,,,,,,
30,1715296200000,1321573.2,4176171.312,3.3745,0.7714,0.2286,3.7316,0.7887,0.2113,2.7023,0.7299,0.2701,,,,,,,
31,1715296500000,1321770.4,4172829.1528,3.3725,0.7713,0.2287,3.7326,0.7887,0.2113,2.6969,0.7295,0.2705,,,,,,,
32,1715296800000,1321488.4,4176679.29555871,3.3516,0.7702,0.2298,3.7281,0.7885,0.2115,2.6887,0.7289,0.2711,,,,,,,
33,1715297100000,1323026.8,4184462.65374814,3.3384,0.7695,0.2305,3.7287,0.7885,0.2115,2.6805,0.7283,0.2717,,,,,,,
34,1715297400000,1323085.5,4181157.01795622,3.2992,0.7674,0.2326,3.7236,0.7883,0.2117,2.6337,0.7248,0.2752,,,,,,,
35,1715297700000,1323600.3,4179365.4568841,3.3159,0.7683,0.2317,3.7289,0.7885,0.2115,2.6417,0.7254,0.2746,,,,,,,
36,1715298000000,1323465.6,4172887.0368,3.3328,0.7692,0.2308,3.7246,0.7883,0.2117,2.6536,0.7263,0.2737,,,,,,,
37,1715298300000,1323367.9,4171255.6208,3.3346,0.7693,0.2307,3.7279,0.7885,0.2115,2.655,0.7264,0.2736,,,,,,,
38,1715298600000,1323689.1,4180210.1778,3.3403,0.7696,0.2304,3.7302,0.7886,0.2114,2.651,0.7261,0.2739,,,,,,,
39,1715298900000,1323123.3,4180059.15873579,3.3384,0.7695,0.2305,3.724,0.7883,0.2117,2.6576,0.7266,0.2734,,,,,,,
40,1715299200000,1322826.6,4177614.14816476,3.3403,0.7696,0.2304,3.7379,0.7889,0.2111,2.6377,0.7251,0.2749,,,,,,,
41,1715299500000,1322626.6,4159424.47556804,3.3384,0.7695,0.2305,3.7373,0.7889,0.2111,2.6536,0.7263,0.2737,,,,,,,
42,1715299800000,1320369.4,4160863.21589907,3.4092,0.7732,0.2268,3.7447,0.7892,0.2108,2.7467,0.7331,0.2669,,,,,,,
43,1715300100000,1319905.9,4161663.3027,3.4366,0.7746,0.2254,3.7607,0.7899,0.2101,2.7636,0.7343,0.2657,,,,,,,
44,1715300400000,1320053.4,4162633.60743832,3.4189,0.7737,0.2263,3.7582,0.7898,0.2102,2.7383,0.7325,0.2675,,,,,,,
45,1715300700000,1319104.9,4157818.6448,3.4228,0.7739,0.2261,3.7584,0.7898,0.2102,2.7467,0.7331,0.2669,,,,,,,
46,1715301000000,1320103.7,4155686.4476,3.4405,0.7748,0.2252,3.778,0.7907,0.2093,2.7244,0.7315,0.2685,,,,,,,
47,1715301300000,1319449.8,4155707.05383886,3.4563,0.7756,0.2244,3.7865,0.7911,0.2089,2.7341,0.7322,0.2678,,,,,,,
48,1715301600000,1319131.4,4154241.80741734,3.4248,0.774,0.226,3.7958,0.7915,0.2085,2.7202,0.7312,0.2688,,,,,,,
49,1715301900000,1318097.9,4156138.27570224,3.4346,0.7745,0.2255,3.8,0.7917,0.2083,2.7175,0.731,0.269,,,,,,,
50,1715302200000,1317066.0,4143999.11664078,3.4346,0.7745,0.2255,3.8097,0.7921,0.2079,2.7175,0.731,0.269,,,,,,,
51,1715302500000,1313282.5,4132462.58623208,3.4484,0.7752,0.2248,3.8227,0.7926,0.2074,2.7272,0.7317,0.2683,,,,,,,
52,1715302800000,1313316.9,4130788.03014837,3.4366,0.7746,0.2254,3.8355,0.7932,0.2068,2.7355,0.7323,0.2677,,,,,,,
53,1715303100000,1313027.0,4131138.39153917,3.4543,0.7755,0.2245,3.826,0.7928,0.2072,2.7552,0.7337,0.2663,,,,,,,
54,1715303400000,1313032.7,4118983.5799,3.4425,0.7749,0.2251,3.8321,0.793,0.207,2.7439,0.7329,0.2671,,,,,,,
55,1715303700000,1311359.5,4112311.96578329,3.4444,0.775,0.225,3.8373,0.7933,0.2067,2.7523,0.7335,0.2665,,,,,,,
56,1715304000000,1310428.2,4114394.2967507,3.4248,0.774,0.226,3.8507,0.7938,0.2062,2.7509,0.7334,0.2666,,,,,,,
57,1715304300000,1310848.6,4126551.3928,3.417,0.7736,0.2264,3.8628,0.7944,0.2056,2.7258,0.7316,0.2684,,,,,,,
58,1715304600000,1312494.4,4140919.832,3.4053,0.773,0.227,3.8628,0.7944,0.2056,2.7216,0.7313,0.2687,,,,,,,
59,1715304900000,1313052.5,4153039.3611946,3.3821,0.7718,0.2282,3.8417,0.7935,0.2065,2.7202,0.7312,0.2688,,,,,,,
60,1715305200000,1312052.4,4144918.35594391,3.3821,0.7718,0.2282,3.8411,0.7934,0.2066,2.712,0.7306,0.2694,,,,,,,
61,1715305500000,1312234.9,4141413.3444,3.3995,0.7727,0.2273,3.8587,0.7942,0.2058,2.712,0.7306,0.2694,,,,,,,
62,1715305800000,1311826.7,4139090.38812691,3.3937,0.7724,0.2276,3.8613,0.7943,0.2057,2.6751,0.7279,0.2721,,,,,,,
63,1715306100000,1312761.2,4148954.61157077,3.3937,0.7724,0.2276,3.8657,0.7945,0.2055,2.6603,0.7268,0.2732,,,,,,,
64,1715306400000,1312886.0,4152658.418,3.3821,0.7718,0.2282,4.3179,0.812,0.188,2.6496,0.726,0.274,,,,,,,
65,1715306700000,1313698.9,4152553.86564349,3.3611,0.7707,0.2293,4.3169,0.8119,0.1881,2.6337,0.7248,0.2752,,,,,,,
66,1715307000000,1315541.8,4166320.8806,3.3459,0.7699,0.2301,4.3104,0.8117,0.1883,2.6232,0.724,0.276,,,,,,,
67,1715307300000,1315130.4,4159757.4552,3.279,0.7663,0.2337,4.2845,0.8108,0.1892,2.5894,0.7214,0.2786,,,,,,,
68,1715307600000,1314721.7,4162408.9022,3.2882,0.7668,0.2332,4.2873,0.8109,0.1891,2.614,0.7233,0.2767,,,,,,,
69,1715307900000,1315043.1,4161997.98903263,3.2882,0.7668,0.2332,4.2932,0.8111,0.1889,2.6258,0.7242,0.2758,,,,,,,
70,1715308200000,1315569.6,4166408.9232,3.3937,0.7724,0.2276,4.2933,0.8111,0.1889,2.6232,0.724,0.276,,,,,,,
71,1715308500000,1315313.2,4165596.9044,3.384,0.7719,0.2281,4.2933,0.8111,0.1889,2.6179,0.7236,0.2764,,,,,,,
72,1715308800000,1315561.2,4162058.37331468,3.384,0.7719,0.2281,4.2971,0.8112,0.1888,2.6219,0.7239,0.2761,,,,,,,
73,1715309100000,1315218.0,4161994.62968976,3.3764,0.7715,0.2285,4.2933,0.8111,0.1889,2.6153,0.7234,0.2766,,,,,,,
74,1715309400000,1315190.3,4160528.73278491,3.3802,0.7717,0.2283,4.2983,0.8113,0.1887,2.6166,0.7235,0.2765,,,,,,,
75,1715309700000,1327034.7,4184549.77276426,3.3725,0.7713,0.2287,4.2956,0.8112,0.1888,2.6258,0.7242,0.2758,,,,,,,
76,1715310000000,1326498.2,4186428.3192,3.3422,0.7697,0.2303,4.3676,0.8137,0.1863,2.6232,0.724,0.276,,,,,,,
77,1715310300000,1328040.9,4184142.79126761,3.3459,0.7699,0.2301,4.3753,0.814,0.186,2.6271,0.7243,0.2757,,,,,,,
78,1715310600000,1327635.2,4186823.91441293,3.3122,0.7681,0.2319,4.3589,0.8134,0.1866,2.5907,0.7215,0.2785,,,,,,,
79,1715310900000,1327006.1,4177415.2028,3.3141,0.7682,0.2318,4.3638,0.8136,0.1864,2.5855,0.7211,0.2789,,,,,,,
