,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,93931.9,5996612.496,1.2894,0.5632,0.4368,1.2277,0.5511,0.4489,1.3883,0.5813,0.4187,,,,,,,
1,1715287200000,93974.8,6008748.712,1.2815,0.5617,0.4383,1.2271,0.551,0.449,1.3878,0.5812,0.4188,,,,,,,
2,1715287500000,93958.5,6004887.735,1.2769,0.5608,0.4392,1.2272,0.551,0.449,1.3747,0.5789,0.4211,,,,,,,
3,1715287800000,93933.9,6003494.02341,1.2805,0.5615,0.4385,1.2266,0.5509,0.4491,1.3838,0.5805,0.4195,,,,,,,
4,1715288100000,94131.8,6016449.68594711,1.2789,0.5612,0.4388,1.2225,0.5501,0.4499,1.3923,0.582,0.418,,,,,,,
5,1715288400000,94802.7,6070216.881,1.2578,0.5571,0.4429,1.2106,0.5476,0.4524,1.3613,0.5765,0.4235,,,,,,,
6,1715288700000,94905.4,6092926.68,1.2558,0.5567,0.4433,1.2089,0.5473,0.4527,1.3669,0.5775,0.4225,,,,,,,
7,1715289000000,95025.2,6113604.61765008,1.2422,0.554,0.446,1.2097,0.5475,0.4525,1.3463,0.5738,0.4262,,,,,,,
8,1715289300000,95068.6,6098650.69,1.2517,0.5559,0.4441,1.21,0.5475,0.4525,1.3524,0.5749,0.4251,,,,,,,
9,1715289600000,95124.7,6094515.86689,1.2517,0.5559,0.4441,1.2093,0.5474,0.4526,1.3579,0.5759,0.4241,,,,,,,
10,1715289900000,95177.4,6094208.922,1.2635,0.5582,0.4418,1.2089,0.5473,0.4527,1.3719,0.5784,0.4216,,,,,,,
11,1715290200000,95553.6,6128457.54048149,1.2523,0.556,0.444,1.2097,0.5475,0.4525,1.3524,0.5749,0.4251,,,,,,,
12,1715290500000,95551.5,6131539.755,1.2523,0.556,0.444,1.2079,0.5471,0.4529,1.3568,0.5757,0.4243,,,,,,,
13,1715290800000,95560.6,6134990.52,1.2553,0.5566,0.4434,1.2075,0.547,0.453,1.3602,0.5763,0.4237,,,,,,,
14,1715291100000,95560.2,6132098.034,1.2568,0.5569,0.4431,1.2074,0.547,0.453,1.3585,0.576,0.424,,,,,,,
15,1715291400000,95572.7,6137678.794,1.2604,0.5576,0.4424,1.2073,0.547,0.453,1.3657,0.5773,0.4227,,,,,,,
16,1715291700000,95549.1,6144020.5226715,1.2568,0.5569,0.4431,1.2069,0.5469,0.4531,1.3657,0.5773,0.4227,,,,,,,
17,1715292000000,95576.4,6147474.048,1.2462,0.5548,0.4452,1.2072,0.5469,0.4531,1.3474,0.574,0.426,,,,,,,
18,1715292300000,95678.9,6147640.41489774,1.2467,0.5549,0.4451,1.206,0.5467,0.4533,1.3674,0.5776,0.4224,,,,,,,
19,1715292600000,95642.6,6156514.162,1.2391,0.5534,0.4466,1.2111,0.5477,0.4523,1.3507,0.5746,0.4254,,,,,,,
20,1715292900000,95812.1,6189461.66,1.2351,0.5526,0.4474,1.2105,0.5476,0.4524,1.3425,0.5731,0.4269,,,,,,,
21,1715293200000,95781.3,6179071.95999,1.2442,0.5544,0.4456,1.211,0.5477,0.4523,1.3635,0.5769,0.4231,,,,,,,
22,1715293500000,95723.5,6170874.84211922,1.2507,0.5557,0.4443,1.2128,0.5481,0.4519,1.3708,0.5782,0.4218,,,,,,,
23,1715293800000,95965.5,6198008.5899,1.2457,0.5547,0.4453,1.2141,0.5483,0.4517,1.3568,0.5757,0.4243,,,,,,,
