timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,69688.99300000,4348984183.19738000,1.7747,0.6396,0.3604,1.1648,0.5381,0.4619,1.8369,0.6475,0.3525,-0.0005,62403.00,-32.44085106
1715287200000,69611.76400000,4348825337.20970700,1.7709,0.6391,0.3609,1.1638,0.5379,0.4621,1.8345,0.6472,0.3528,-0.0007,62465.20,-41.62702128
1715287500000,69598.81800000,4348429750.41300000,1.7685,0.6388,0.3612,1.1639,0.5379,0.4621,1.8321,0.6469,0.3531,-0.0005,62478.60,-32.06021277
1715287800000,69537.18500000,4347179190.34985350,1.7678,0.6387,0.3613,1.1636,0.5378,0.4622,1.8297,0.6466,0.3534,-0.0007,62507.30,-42.40872340
1715288100000,69542.78200000,4348508828.76236900,1.7670,0.6386,0.3614,1.1630,0.5377,0.4623,1.8289,0.6465,0.3535,-0.0007,62527.30,-43.10872340
1715288400000,69475.77100000,4348504720.85989100,1.7685,0.6388,0.3612,1.1610,0.5373,0.4627,1.8321,0.6469,0.3531,-0.0008,62580.10,-47.74978723
1715288700000,69395.51000000,4349987272.78344800,1.7778,0.6400,0.3600,1.1619,0.5375,0.4625,1.8588,0.6502,0.3498,-0.0006,62684.60,-36.85723404
1715289000000,69100.02000000,4337546455.44000000,1.7770,0.6399,0.3601,1.1591,0.5368,0.4632,1.8645,0.6509,0.3491,-0.0005,62776.60,-33.34468085
1715289300000,69097.74600000,4328715588.22553700,1.7770,0.6399,0.3601,1.1531,0.5356,0.4644,1.8588,0.6502,0.3498,-0.0009,62636.00,-56.95063830
1715289600000,68992.06700000,4316771539.32970000,1.7732,0.6394,0.3606,1.1541,0.5358,0.4642,1.8466,0.6487,0.3513,-0.0006,62569.10,-38.89574468
1715289900000,68914.28700000,4309465348.97190000,1.7716,0.6392,0.3608,1.1559,0.5362,0.4638,1.8425,0.6482,0.3518,-0.0005,62535.20,-29.93446809
1715290200000,68957.59700000,4311642710.02200000,1.7701,0.6390,0.3610,1.1564,0.5363,0.4637,1.8409,0.6480,0.3520,-0.0005,62522.50,-33.69702128
1715290500000,68938.17800000,4308077725.75820000,1.7693,0.6389,0.3611,1.1567,0.5363,0.4637,1.8393,0.6478,0.3522,-0.0005,62491.80,-29.34914894
1715290800000,68878.18100000,4298983452.38830000,1.7685,0.6388,0.3612,1.1570,0.5364,0.4636,1.8345,0.6472,0.3528,-0.0006,62414.40,-35.44212766
