timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715287200000,17813425.00000000,4975289.60250000,3.2337,0.7638,0.2362,1.8277,0.6464,0.3536,3.0339,0.7521,0.2479,-0.0010,0.2792,-0.00026759
1715287500000,17803088.00000000,4967561.81877280,3.2337,0.7638,0.2362,1.8285,0.6465,0.3535,3.0306,0.7519,0.2481,-0.0004,0.2791,-0.00012103
1715287800000,17845912.00000000,4982578.63040000,3.2034,0.7621,0.2379,1.8173,0.6451,0.3549,3.0274,0.7517,0.2483,-0.0003,0.2792,-0.00009221
1715288100000,17840895.00000000,4982961.97350000,3.1964,0.7617,0.2383,1.8155,0.6448,0.3552,3.0388,0.7524,0.2476,-0.0008,0.2792,-0.00022726
1715288400000,17840499.00000000,4987875.61202838,3.1964,0.7617,0.2383,1.8149,0.6448,0.3552,3.0388,0.7524,0.2476,-0.0007,0.2795,-0.00019723
1715288700000,17846351.00000000,5005262.37767069,3.1824,0.7609,0.2391,1.8127,0.6445,0.3555,3.0420,0.7526,0.2474,0.0002,0.2805,0.00004604
1715289000000,17851689.00000000,5010969.10230000,3.1824,0.7609,0.2391,1.8119,0.6444,0.3556,3.0404,0.7525,0.2475,0.0001,0.2808,0.00003864
1715289300000,17855394.00000000,5000841.61817664,3.1894,0.7613,0.2387,1.8152,0.6448,0.3552,3.0404,0.7525,0.2475,-0.0011,0.2799,-0.00029819
1715289600000,17858769.00000000,4998669.44310000,3.1894,0.7613,0.2387,1.8152,0.6448,0.3552,3.0371,0.7523,0.2477,-0.0008,0.2798,-0.00022937
1715289900000,17858440.00000000,4995948.05787880,3.1824,0.7609,0.2391,1.8137,0.6446,0.3554,3.0371,0.7523,0.2477,-0.0004,0.2798,-0.00012277
1715290200000,17850675.00000000,4989807.39406050,3.1876,0.7612,0.2388,1.8138,0.6446,0.3554,3.0486,0.7530,0.2470,-0.0005,0.2795,-0.00014900
1715290500000,17851548.00000000,4992523.50651912,3.1876,0.7612,0.2388,1.8160,0.6449,0.3551,3.0420,0.7526,0.2474,-0.0007,0.2796,-0.00020753
1715290800000,17851357.00000000,4993024.55290000,3.1754,0.7605,0.2395,1.8164,0.6449,0.3551,3.0225,0.7514,0.2486,-0.0008,0.2795,-0.00021291
1715291100000,17836836.00000000,4984983.98782512,3.1859,0.7611,0.2389,1.8209,0.6455,0.3545,3.0225,0.7514,0.2486,-0.0006,0.2794,-0.00016946
1715291400000,17818911.00000000,4987964.72010474,3.1754,0.7605,0.2395,1.8215,0.6456,0.3544,3.0241,0.7515,0.2485,-0.0004,0.2799,-0.00011192
1715291700000,17822498.00000000,4996953.82607826,3.1754,0.7605,0.2395,1.8210,0.6455,0.3545,3.0241,0.7515,0.2485,0.0003,0.2805,0.00008131
1715292000000,17893583.00000000,5017360.67320000,3.1615,0.7597,0.2403,1.8100,0.6441,0.3559,2.9777,0.7486,0.2514,-0.0003,0.2804,-0.00007927
1715292300000,17952594.00000000,5039088.83528028,3.1356,0.7582,0.2418,1.7979,0.6426,0.3574,2.9635,0.7477,0.2523,0.0002,0.2807,0.00006274
1715292600000,17933167.00000000,5028460.02680000,3.1356,0.7582,0.2418,1.7990,0.6427,0.3573,2.9761,0.7485,0.2515,-0.0003,0.2804,-0.00009295
1715292900000,17931688.00000000,5039556.92094536,3.1288,0.7578,0.2422,1.7971,0.6425,0.3575,2.9793,0.7487,0.2513,-0.0001,0.2810,-0.00003311
1715293200000,17924498.00000000,5040279.57359996,3.1322,0.7580,0.2420,1.7977,0.6426,0.3574,2.9746,0.7484,0.2516,0.0000,0.2812,0.00001084
1715293500000,17923086.00000000,5036387.16600000,3.1615,0.7597,0.2403,1.7988,0.6427,0.3573,3.0209,0.7513,0.2487,0.0002,0.2811,0.00004292
1715293800000,17919238.00000000,5044453.64899900,3.1545,0.7593,0.2407,1.7976,0.6426,0.3574,3.0209,0.7513,0.2487,-0.0001,0.2815,-0.00002955
1715294100000,17921638.00000000,5047571.63502564,3.1580,0.7595,0.2405,1.7983,0.6426,0.3574,3.0177,0.7511,0.2489,0.0008,0.2818,0.00022191
1715294400000,17910292.00000000,5063239.54840000,3.1615,0.7597,0.2403,1.7974,0.6425,0.3575,3.0177,0.7511,0.2489,-0.0001,0.2826,-0.00004188
1715294700000,17900627.00000000,5072437.12576415,3.1719,0.7603,0.2397,1.7970,0.6425,0.3575,3.0388,0.7524,0.2476,0.0011,0.2835,0.00032024
1715295000000,17896364.00000000,5086146.64880000,3.1684,0.7601,0.2399,1.7966,0.6424,0.3576,3.0519,0.7532,0.2468,-0.0005,0.2841,-0.00015391
1715295300000,17886919.00000000,5088828.45550000,3.1719,0.7603,0.2397,1.8021,0.6431,0.3569,3.0404,0.7525,0.2475,0.0000,0.2846,0.00000391
1715295600000,17924474.00000000,5095927.95820000,3.1684,0.7601,0.2399,1.8075,0.6438,0.3562,3.0355,0.7522,0.2478,-0.0005,0.2843,-0.00014927
1715295900000,17936022.00000000,5103222.26656008,3.1494,0.7590,0.2410,1.8036,0.6433,0.3567,2.9793,0.7487,0.2513,-0.0002,0.2844,-0.00006071
1715296200000,17979731.00000000,5101530.39731566,3.1254,0.7576,0.2424,1.7985,0.6427,0.3573,2.9604,0.7475,0.2525,-0.0011,0.2836,-0.00031370
1715296500000,17955493.00000000,5084995.61760000,3.1459,0.7588,0.2412,1.8001,0.6429,0.3571,2.9746,0.7484,0.2516,-0.0009,0.2832,-0.00025079
1715296800000,17921741.00000000,5075437.05120000,3.1580,0.7595,0.2405,1.8003,0.6429,0.3571,2.9952,0.7497,0.2503,-0.0007,0.2832,-0.00020773
1715297100000,17916859.00000000,5063304.35340000,3.1667,0.7600,0.2400,1.8009,0.6430,0.3570,2.9857,0.7491,0.2509,-0.0009,0.2826,-0.00025518
1715297400000,17918298.00000000,5072670.16380000,3.1615,0.7597,0.2403,1.8002,0.6429,0.3571,2.9825,0.7489,0.2511,-0.0012,0.2829,-0.00032579
1715297700000,17930449.00000000,5070258.68917334,3.1615,0.7597,0.2403,1.8009,0.6430,0.3570,2.9714,0.7482,0.2518,-0.0019,0.2826,-0.00053585
1715298000000,17906952.00000000,5056923.24480000,3.1719,0.7603,0.2397,1.8027,0.6432,0.3568,2.9904,0.7494,0.2506,-0.0006,0.2825,-0.00018271
1715298300000,17910677.00000000,5055381.36055686,3.1894,0.7613,0.2387,1.8042,0.6434,0.3566,3.0145,0.7509,0.2491,-0.0016,0.2823,-0.00044987
1715298600000,17905969.00000000,5071213.58385902,3.1684,0.7601,0.2399,1.8020,0.6431,0.3569,2.9714,0.7482,0.2518,-0.0008,0.2833,-0.00023132
1715298900000,17913064.00000000,5072213.04566080,3.1649,0.7599,0.2401,1.8028,0.6432,0.3568,2.9667,0.7479,0.2521,-0.0010,0.2832,-0.00028461
1715299200000,17911092.00000000,5070297.35711064,3.1511,0.7591,0.2409,1.8032,0.6433,0.3567,2.9557,0.7472,0.2528,-0.0014,0.2830,-0.00039732
1715299500000,17916981.00000000,5060555.60677146,3.1719,0.7603,0.2397,1.8018,0.6431,0.3569,2.9777,0.7486,0.2514,-0.0010,0.2825,-0.00029579
1715299800000,17915103.00000000,5066680.99476654,3.1667,0.7600,0.2400,1.8014,0.6430,0.3570,2.9730,0.7483,0.2517,-0.0014,0.2827,-0.00038859
1715300100000,17927460.00000000,5070773.99364300,3.1736,0.7604,0.2396,1.8021,0.6431,0.3569,2.9809,0.7488,0.2512,-0.0012,0.2828,-0.00035032
1715300400000,17915798.00000000,5071368.14678034,3.1649,0.7599,0.2401,1.8050,0.6435,0.3565,2.9714,0.7482,0.2518,-0.0011,0.2830,-0.00030974
1715300700000,17913012.00000000,5057236.29908328,3.1684,0.7601,0.2399,1.8045,0.6434,0.3566,2.9746,0.7484,0.2516,-0.0010,0.2823,-0.00028809
1715301000000,17911848.00000000,5057320.36532304,3.1754,0.7605,0.2395,1.8041,0.6434,0.3566,2.9857,0.7491,0.2509,-0.0017,0.2822,-0.00049111
1715301300000,17901132.00000000,5055279.67680000,3.1806,0.7608,0.2392,1.8031,0.6433,0.3567,2.9825,0.7489,0.2511,-0.0012,0.2823,-0.00032942
1715301600000,17895956.00000000,5055607.57000000,3.1806,0.7608,0.2392,1.8038,0.6433,0.3567,2.9777,0.7486,0.2514,-0.0007,0.2825,-0.00019670
1715301900000,17896846.00000000,5060336.24896382,3.1841,0.7610,0.2390,1.8048,0.6435,0.3565,2.9809,0.7488,0.2512,-0.0010,0.2826,-0.00027015
1715302200000,17895373.00000000,5048670.54754188,3.1911,0.7614,0.2386,1.8048,0.6435,0.3565,2.9746,0.7484,0.2516,-0.0016,0.2820,-0.00044107
1715302500000,17903701.00000000,5052887.94901889,3.1929,0.7615,0.2385,1.8042,0.6434,0.3566,2.9777,0.7486,0.2514,-0.0010,0.2822,-0.00028641
1715302800000,17891914.00000000,5051549.50193714,3.1946,0.7616,0.2384,1.8025,0.6432,0.3568,2.9888,0.7493,0.2507,-0.0014,0.2823,-0.00040185
1715303100000,17743369.00000000,5028031.62621725,3.2070,0.7623,0.2377,1.8219,0.6456,0.3544,3.0016,0.7501,0.2499,-0.0006,0.2833,-0.00016684
1715303400000,17735894.00000000,5012178.01047414,3.2088,0.7624,0.2376,1.8254,0.6461,0.3539,2.9888,0.7493,0.2507,-0.0014,0.2826,-0.00040386
1715303700000,17717263.00000000,5008670.25010000,3.2088,0.7624,0.2376,1.8271,0.6463,0.3537,2.9904,0.7494,0.2506,-0.0013,0.2827,-0.00036184
1715304000000,17715847.00000000,5013584.70100000,3.2301,0.7636,0.2364,1.8270,0.6463,0.3537,3.0535,0.7533,0.2467,-0.0003,0.2831,-0.00007162
1715304300000,17710540.00000000,5014865.50004480,3.2373,0.7640,0.2360,1.8270,0.6463,0.3537,3.0584,0.7536,0.2464,-0.0011,0.2831,-0.00030828
1715304600000,17703428.00000000,5028089.38115552,3.2409,0.7642,0.2358,1.8278,0.6464,0.3536,3.0469,0.7529,0.2471,0.0004,0.2841,0.00010524
1715304900000,17670796.00000000,5027341.46200000,3.2481,0.7646,0.2354,1.8267,0.6462,0.3538,3.0766,0.7547,0.2453,-0.0002,0.2845,-0.00006808
1715305200000,17663254.00000000,5034414.03863006,3.2301,0.7636,0.2364,1.8282,0.6464,0.3536,3.0404,0.7525,0.2475,-0.0010,0.2850,-0.00029185
1715305500000,17653246.00000000,5026821.28993902,3.2337,0.7638,0.2362,1.8304,0.6467,0.3533,3.0437,0.7527,0.2473,-0.0016,0.2846,-0.00046409
1715305800000,17640459.00000000,5015182.49370000,3.3159,0.7683,0.2317,1.8288,0.6465,0.3535,3.0967,0.7559,0.2441,-0.0013,0.2843,-0.00036827
1715306100000,17627344.00000000,5008182.61670048,3.2337,0.7638,0.2362,1.8290,0.6465,0.3535,3.1000,0.7561,0.2439,-0.0019,0.2840,-0.00053040
1715306400000,17614471.00000000,5003269.82842365,3.2955,0.7672,0.2328,1.8552,0.6498,0.3502,3.1017,0.7562,0.2438,-0.0019,0.2839,-0.00053615
1715306700000,17621499.00000000,4990022.60597190,3.2517,0.7648,0.2352,1.8567,0.6500,0.3500,3.1254,0.7576,0.2424,-0.0013,0.2831,-0.00038257
1715307000000,17619162.00000000,4993285.83947094,3.2535,0.7649,0.2351,1.8583,0.6501,0.3499,3.1186,0.7572,0.2428,-0.0010,0.2834,-0.00028831
1715307300000,17613988.00000000,4986815.91779840,3.2644,0.7655,0.2345,1.8589,0.6502,0.3498,3.1305,0.7579,0.2421,-0.0012,0.2831,-0.00035312
1715307600000,17606776.00000000,4994496.36507624,3.2589,0.7652,0.2348,1.8573,0.6500,0.3500,3.1356,0.7582,0.2418,-0.0019,0.2835,-0.00053035
1715307900000,17600547.00000000,4994143.94689992,3.3103,0.7680,0.2320,1.8583,0.6501,0.3499,3.1237,0.7575,0.2425,-0.0015,0.2837,-0.00043296
1715308200000,17606078.00000000,5000149.92020530,3.3668,0.7710,0.2290,1.8587,0.6502,0.3498,3.1563,0.7594,0.2406,-0.0019,0.2838,-0.00053503
1715308500000,17612269.00000000,5005671.03383500,3.3630,0.7708,0.2292,1.8584,0.6501,0.3499,3.1528,0.7592,0.2408,-0.0009,0.2843,-0.00025106
1715308800000,17602982.00000000,5001007.18620000,3.3611,0.7707,0.2293,1.8608,0.6504,0.3496,3.1408,0.7585,0.2415,-0.0010,0.2840,-0.00028936
1715309100000,17581000.00000000,4998278.30000000,3.3611,0.7707,0.2293,1.8587,0.6502,0.3498,3.1615,0.7597,0.2403,-0.0014,0.2843,-0.00041172
1715309400000,17576194.00000000,4984956.97856508,3.3668,0.7710,0.2290,1.8597,0.6503,0.3497,3.1667,0.7600,0.2400,-0.0019,0.2836,-0.00053905
1715309700000,17554295.00000000,4971376.34400000,3.3764,0.7715,0.2285,1.8611,0.6505,0.3495,3.1684,0.7601,0.2399,-0.0022,0.2831,-0.00061190
1715310000000,17553079.00000000,4974943.85198594,3.3802,0.7717,0.2283,1.8611,0.6505,0.3495,3.1754,0.7605,0.2395,-0.0022,0.2833,-0.00061869
1715310300000,17551546.00000000,4967087.51800000,3.3668,0.7710,0.2290,1.8620,0.6506,0.3494,3.1597,0.7596,0.2404,-0.0017,0.2830,-0.00049552
1715310600000,17537923.00000000,4970247.37820000,3.3346,0.7693,0.2307,1.8583,0.6501,0.3499,3.1459,0.7588,0.2412,-0.0016,0.2833,-0.00045194
1715310900000,17520950.00000000,4946247.75993150,3.3706,0.7712,0.2288,1.8597,0.6503,0.3497,3.1736,0.7604,0.2396,-0.0024,0.2823,-0.00067020
1715311200000,17520026.00000000,4957231.61341134,3.3821,0.7718,0.2282,1.8600,0.6503,0.3497,3.1736,0.7604,0.2396,-0.0019,0.2829,-0.00055048
1715311500000,17526658.00000000,4963148.71093154,3.3630,0.7708,0.2292,1.8592,0.6503,0.3497,3.1632,0.7598,0.2402,-0.0020,0.2831,-0.00058151
