,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,2608452.0,7079599.5732,3.0617,0.7538,0.2462,2.394,0.7054,0.2946,2.3523,0.7017,0.2983,,,,,,,
1,1715287500000,2608339.0,7078211.74946789,3.0617,0.7538,0.2462,2.3937,0.7053,0.2947,2.3478,0.7013,0.2987,,,,,,,
2,1715287800000,2608410.0,7078230.8314536,3.0535,0.7533,0.2467,2.3927,0.7052,0.2948,2.3422,0.7008,0.2992,,,,,,,
3,1715288100000,2607551.0,7076177.09366479,3.0667,0.7541,0.2459,2.3959,0.7055,0.2945,2.3356,0.7002,0.2998,,,,,,,
4,1715288400000,2607700.0,7079807.241864,3.0634,0.7539,0.2461,2.3959,0.7055,0.2945,2.3378,0.7004,0.2996,,,,,,,
5,1715288700000,2608188.0,7095575.454,3.0833,0.7551,0.2449,2.3945,0.7054,0.2946,2.3411,0.7007,0.2993,,,,,,,
6,1715289000000,2608207.0,7103347.82745105,3.0766,0.7547,0.2453,2.3941,0.7054,0.2946,2.3636,0.7027,0.2973,,,,,,,
7,1715289300000,2608477.0,7093031.93152473,3.0833,0.7551,0.2449,2.3967,0.7056,0.2944,2.3647,0.7028,0.2972,,,,,,,
8,1715289600000,2608210.0,7082628.3964689,3.0933,0.7557,0.2443,2.3965,0.7056,0.2944,2.3568,0.7021,0.2979,,,,,,,
9,1715289900000,2608295.0,7084202.27834295,3.0984,0.756,0.244,2.3966,0.7056,0.2944,2.3411,0.7007,0.2993,,,,,,,
10,1715290200000,2608489.0,7079406.2790386,3.0984,0.756,0.244,2.3966,0.7056,0.2944,2.3411,0.7007,0.2993,,,,,,,
11,1715290500000,2608278.0,7075381.65001254,3.0816,0.755,0.245,2.3975,0.7057,0.2943,2.3333,0.7,0.3,,,,,,,
12,1715290800000,2608497.0,7071968.02862241,3.0783,0.7548,0.2452,2.3971,0.7056,0.2944,2.33,0.6997,0.3003,,,,,,,
13,1715291100000,2609361.0,7076631.80863476,3.1,0.7561,0.2439,2.3929,0.7053,0.2947,2.3356,0.7002,0.2998,,,,,,,
14,1715291400000,2609461.0,7079341.10804689,3.1068,0.7565,0.2435,2.3928,0.7053,0.2947,2.3602,0.7024,0.2976,,,,,,,
15,1715291700000,2609244.0,7089822.97629408,3.1135,0.7569,0.2431,2.3938,0.7053,0.2947,2.3647,0.7028,0.2972,,,,,,,
16,1715292000000,2608893.0,7087647.9660966,3.0933,0.7557,0.2443,2.3957,0.7055,0.2945,2.375,0.7037,0.2963,,,,,,,
