,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,299251149.0,8188109.938938,1.8137,0.6446,0.3554,2.4149,0.7072,0.2928,1.4355,0.5894,0.4106,,,,,,,
1,1715287200000,299435779.0,8183579.84007,1.8233,0.6458,0.3542,2.4204,0.7076,0.2924,1.4432,0.5907,0.4093,,,,,,,
2,1715287500000,299181839.0,8190802.92812826,1.8217,0.6456,0.3544,2.4164,0.7073,0.2927,1.4426,0.5906,0.4094,,,,,,,
3,1715287800000,299115320.0,8213706.6872,1.8289,0.6465,0.3535,2.4206,0.7077,0.2923,1.4414,0.5904,0.4096,,,,,,,
4,1715288100000,299024448.0,8169347.91936,1.8369,0.6475,0.3525,2.4246,0.708,0.292,1.4594,0.5934,0.4066,,,,,,,
5,1715288400000,298936509.0,8177390.26750446,1.8321,0.6469,0.3531,2.4287,0.7083,0.2917,1.457,0.593,0.407,,,,,,,
6,1715288700000,299218828.0,8210367.15589352,1.8482,0.6489,0.3511,2.4273,0.7082,0.2918,1.4361,0.5895,0.4105,,,,,,,
7,1715289000000,299097296.0,8347805.53136,1.8417,0.6481,0.3519,2.4361,0.709,0.291,1.4534,0.5924,0.4076,,,,,,,
8,1715289300000,299192095.0,8336868.050337,1.8209,0.6455,0.3545,2.4379,0.7091,0.2909,1.4414,0.5904,0.4096,,,,,,,
9,1715289600000,299655118.0,8329809.97361282,1.8281,0.6464,0.3536,2.4388,0.7092,0.2908,1.4576,0.5931,0.4069,,,,,,,
10,1715289900000,300614353.0,8335618.15473933,1.8193,0.6453,0.3547,2.4152,0.7072,0.2928,1.4722,0.5955,0.4045,,,,,,,
11,1715290200000,300762558.0,8327937.78111078,1.8137,0.6446,0.3554,2.412,0.7069,0.2931,1.4643,0.5942,0.4058,,,,,,,
12,1715290500000,300938267.0,8325544.42865243,1.8137,0.6446,0.3554,2.4124,0.707,0.293,1.4558,0.5928,0.4072,,,,,,,
13,1715290800000,301213410.0,8354051.5137906,1.8121,0.6444,0.3556,2.4127,0.707,0.293,1.4474,0.5914,0.4086,,,,,,,
14,1715291100000,301070247.0,8350899.84773286,1.8169,0.645,0.355,2.4107,0.7068,0.2932,1.4643,0.5942,0.4058,,,,,,,
15,1715291400000,300941951.0,8357157.97927,1.8281,0.6464,0.3536,2.4105,0.7068,0.2932,1.4746,0.5959,0.4041,,,,,,,
16,1715291700000,300395829.0,8333647.17520038,1.8265,0.6462,0.3538,2.4104,0.7068,0.2932,1.4771,0.5963,0.4037,,,,,,,
17,1715292000000,300253121.0,8327688.45268276,1.8265,0.6462,0.3538,2.4164,0.7073,0.2927,1.4734,0.5957,0.4043,,,,,,,
18,1715292300000,300209220.0,8323678.8881172,1.8337,0.6471,0.3529,2.4147,0.7071,0.2929,1.4795,0.5967,0.4033,,,,,,,
19,1715292600000,300358263.0,8373988.37244,1.8385,0.6477,0.3523,2.4125,0.707,0.293,1.4925,0.5988,0.4012,,,,,,,
20,1715292900000,300242897.0,8380707.00582173,1.8305,0.6467,0.3533,2.4158,0.7072,0.2928,1.4845,0.5975,0.4025,,,,,,,
21,1715293200000,300191640.0,8357335.2576,1.8393,0.6478,0.3522,2.4152,0.7072,0.2928,1.4994,0.5999,0.4001,,,,,,,
22,1715293500000,300265986.0,8373154.22973894,1.8433,0.6483,0.3517,2.4179,0.7074,0.2926,1.4988,0.5998,0.4002,,,,,,,
23,1715293800000,300563694.0,8391738.33648,1.8425,0.6482,0.3518,2.414,0.7071,0.2929,1.4994,0.5999,0.4001,,,,,,,
24,1715294100000,300659469.0,8385669.19712148,1.8458,0.6486,0.3514,2.4163,0.7073,0.2927,1.5063,0.601,0.399,,,,,,,
25,1715294400000,300582788.0,8400342.0888178,1.8401,0.6479,0.3521,2.4156,0.7072,0.2928,1.5038,0.6006,0.3994,,,,,,,
26,1715294700000,300258942.0,8401779.65807676,1.8498,0.6491,0.3509,2.419,0.7075,0.2925,1.5145,0.6023,0.3977,,,,,,,
27,1715295000000,300281627.0,8392871.47465,1.8736,0.652,0.348,2.4193,0.7075,0.2925,1.5316,0.605,0.395,,,,,,,
28,1715295300000,299611787.0,8425475.94188097,1.8433,0.6483,0.3517,2.4226,0.7078,0.2922,1.4938,0.599,0.401,,,,,,,
29,1715295600000,299586780.0,8410158.8691534,1.8417,0.6481,0.3519,2.4291,0.7084,0.2916,1.4938,0.599,0.401,,,,,,,
30,1715295900000,299542786.0,8414156.85874,1.8498,0.6491,0.3509,2.4375,0.7091,0.2909,1.5013,0.6002,0.3998,,,,,,,
31,1715296200000,299232552.0,8423728.48693272,1.8385,0.6477,0.3523,2.4532,0.7104,0.2896,1.4931,0.5989,0.4011,,,,,,,
32,1715296500000,307398050.0,8760647.690248,1.7579,0.6374,0.3626,2.3951,0.7055,0.2945,1.4073,0.5846,0.4154,,,,,,,
33,1715296800000,307034098.0,8746858.00166654,1.7609,0.6378,0.3622,2.3911,0.7051,0.2949,1.4213,0.587,0.413,,,,,,,
34,1715297100000,306985040.0,8750516.469688,1.7495,0.6363,0.3637,2.3879,0.7048,0.2952,1.4125,0.5855,0.4145,,,,,,,
35,1715297400000,307033321.0,8778082.64739,1.7495,0.6363,0.3637,2.3911,0.7051,0.2949,1.4125,0.5855,0.4145,,,,,,,
36,1715297700000,301770821.0,8503367.60142683,1.8369,0.6475,0.3525,2.4382,0.7092,0.2908,1.4888,0.5982,0.4018,,,,,,,
37,1715298000000,301521583.0,8471227.76787419,1.876,0.6523,0.3477,2.4583,0.7108,0.2892,1.4956,0.5993,0.4007,,,,,,,
38,1715298300000,301437442.0,8497611.9212126,1.8662,0.6511,0.3489,2.4578,0.7108,0.2892,1.4839,0.5974,0.4026,,,,,,,
39,1715298600000,301121538.0,8529773.44803384,1.8539,0.6496,0.3504,2.4537,0.7105,0.2895,1.4832,0.5973,0.4027,,,,,,,
40,1715298900000,301126220.0,8503804.4528,1.8482,0.6489,0.3511,2.4523,0.7103,0.2897,1.4771,0.5963,0.4037,,,,,,,
41,1715299200000,301226422.0,8484771.14357124,1.8337,0.6471,0.3529,2.4527,0.7104,0.2896,1.4771,0.5963,0.4037,,,,,,,
42,1715299500000,300242245.0,8441325.73028725,1.7762,0.6398,0.3602,2.4679,0.7116,0.2884,1.4402,0.5902,0.4098,,,,,,,
43,1715299800000,299649041.0,8369197.71513,1.8233,0.6458,0.3542,2.4714,0.7119,0.2881,1.4498,0.5918,0.4082,,,,,,,
44,1715300100000,299393649.0,8383354.49895039,1.805,0.6435,0.3565,2.4716,0.7119,0.2881,1.4313,0.5887,0.4113,,,,,,,
45,1715300400000,299032976.0,8346010.36016,1.7972,0.6425,0.3575,2.478,0.7125,0.2875,1.4343,0.5892,0.4108,,,,,,,
46,1715300700000,298924468.0,8319390.78286544,1.7972,0.6425,0.3575,2.4865,0.7132,0.2868,1.4284,0.5882,0.4118,,,,,,,
47,1715301000000,298559467.0,8302938.77727,1.8121,0.6444,0.3556,2.4858,0.7131,0.2869,1.4361,0.5895,0.4105,,,,,,,
48,1715301300000,298315668.0,8310051.28773876,1.8201,0.6454,0.3546,2.488,0.7133,0.2867,1.4378,0.5898,0.4102,,,,,,,
49,1715301600000,298059337.0,8309846.62606608,1.8129,0.6445,0.3555,2.4831,0.7129,0.2871,1.4325,0.5889,0.4111,,,,,,,
50,1715301900000,297897900.0,8294398.040511,1.8137,0.6446,0.3554,2.4898,0.7134,0.2866,1.4355,0.5894,0.4106,,,,,,,
51,1715302200000,297704514.0,8275831.22082834,1.8345,0.6472,0.3528,2.5011,0.7144,0.2856,1.445,0.591,0.409,,,,,,,
52,1715302500000,297466853.0,8281477.18752,1.8185,0.6452,0.3548,2.4998,0.7143,0.2857,1.4384,0.5899,0.4101,,,,,,,
53,1715302800000,297115294.0,8282608.7720145,1.8066,0.6437,0.3563,2.5023,0.7145,0.2855,1.4343,0.5892,0.4108,,,,,,,
54,1715303100000,296821625.0,8272032.8206375,1.8377,0.6476,0.3524,2.5086,0.715,0.285,1.4456,0.5911,0.4089,,,,,,,
55,1715303400000,296498614.0,8282359.66862846,1.8161,0.6449,0.3551,2.5091,0.715,0.285,1.4319,0.5888,0.4112,,,,,,,
56,1715303700000,296036655.0,8279280.8133174,1.8011,0.643,0.357,2.5041,0.7146,0.2854,1.4564,0.5929,0.4071,,,,,,,
57,1715304000000,295977032.0,8304073.67876736,1.798,0.6426,0.3574,2.5045,0.7147,0.2853,1.4474,0.5914,0.4086,,,,,,,
58,1715304300000,296162419.0,8319948.67900588,1.8043,0.6434,0.3566,2.5034,0.7146,0.2854,1.454,0.5925,0.4075,,,,,,,
59,1715304600000,296472458.0,8371386.06646112,1.7988,0.6427,0.3573,2.5069,0.7149,0.2851,1.4319,0.5888,0.4112,,,,,,,
60,1715304900000,296779156.0,8402856.633406,1.8177,0.6451,0.3549,2.5078,0.7149,0.2851,1.4361,0.5895,0.4105,,,,,,,
61,1715305200000,296825155.0,8387352.7858164,1.8321,0.6469,0.3531,2.5029,0.7145,0.2855,1.4462,0.5912,0.4088,,,,,,,
62,1715305500000,296618312.0,8385399.68024,1.8137,0.6446,0.3554,2.4992,0.7142,0.2858,1.4337,0.5891,0.4109,,,,,,,
