,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,26083159.0,7326759.3631,2.7078,0.7303,0.2697,2.6105,0.723,0.277,2.1338,0.6809,0.3191,,,,,,,
1,1715287200000,26082417.0,7348960.42633806,2.7189,0.7311,0.2689,2.611,0.7231,0.2769,2.1407,0.6816,0.3184,,,,,,,
2,1715287500000,26123918.0,7346045.7416,2.7495,0.7333,0.2667,2.6065,0.7227,0.2773,2.1686,0.6844,0.3156,,,,,,,
3,1715287800000,26119206.0,7347332.6478,2.7327,0.7321,0.2679,2.6086,0.7229,0.2771,2.1596,0.6835,0.3165,,,,,,,
4,1715288100000,26141081.0,7351091.30086959,2.6941,0.7293,0.2707,2.6092,0.7229,0.2771,2.1387,0.6814,0.3186,,,,,,,
5,1715288400000,26141141.0,7354991.17845713,2.686,0.7287,0.2713,2.6093,0.7229,0.2771,2.1289,0.6804,0.3196,,,,,,,
6,1715288700000,26142751.0,7377979.99875896,2.6684,0.7274,0.2726,2.6101,0.723,0.277,2.1201,0.6795,0.3205,,,,,,,
7,1715289000000,26069799.0,7357483.8482775,2.7679,0.7346,0.2654,2.6138,0.7233,0.2767,2.1726,0.6848,0.3152,,,,,,,
8,1715289300000,26049620.0,7330363.068,2.8197,0.7382,0.2618,2.618,0.7236,0.2764,2.2,0.6875,0.3125,,,,,,,
9,1715289600000,26044239.0,7326034.51413366,2.8373,0.7394,0.2606,2.6221,0.7239,0.2761,2.2092,0.6884,0.3116,,,,,,,
10,1715289900000,26044004.0,7320839.04393996,2.8183,0.7381,0.2619,2.6229,0.724,0.276,2.199,0.6874,0.3126,,,,,,,
11,1715290200000,26046383.0,7321638.2613,2.8081,0.7374,0.2626,2.623,0.724,0.276,2.1847,0.686,0.314,,,,,,,
12,1715290500000,26047806.0,7323083.82553284,2.7965,0.7366,0.2634,2.6236,0.724,0.276,2.1756,0.6851,0.3149,,,,,,,
13,1715290800000,26032348.0,7312150.99623428,2.8168,0.738,0.262,2.6238,0.724,0.276,2.1827,0.6858,0.3142,,,,,,,
14,1715291100000,26026122.0,7324084.90620648,2.7979,0.7367,0.2633,2.6219,0.7239,0.2761,2.1867,0.6862,0.3138,,,,,,,
15,1715291400000,26026613.0,7322883.22987368,2.7936,0.7364,0.2636,2.6214,0.7239,0.2761,2.1847,0.686,0.314,,,,,,,
16,1715291700000,26030785.0,7333180.07868655,2.7936,0.7364,0.2636,2.6181,0.7236,0.2764,2.2082,0.6883,0.3117,,,,,,,
17,1715292000000,26025616.0,7332405.26086416,2.7965,0.7366,0.2634,2.6192,0.7237,0.2763,2.2103,0.6885,0.3115,,,,,,,
18,1715292300000,26029252.0,7337646.1388,2.8212,0.7383,0.2617,2.6156,0.7234,0.2766,2.2103,0.6885,0.3115,,,,,,,
19,1715292600000,26010778.0,7327203.90923528,2.8447,0.7399,0.2601,2.6101,0.723,0.277,2.231,0.6905,0.3095,,,,,,,
20,1715292900000,26008504.0,7336984.15355272,2.8373,0.7394,0.2606,2.6059,0.7227,0.2773,2.2279,0.6902,0.3098,,,,,,,
21,1715293200000,26036090.0,7351546.7273474,2.8197,0.7382,0.2618,2.6079,0.7228,0.2772,2.202,0.6877,0.3123,,,,,,,
22,1715293500000,26027233.0,7337234.96800431,2.8212,0.7383,0.2617,2.6082,0.7229,0.2771,2.2331,0.6907,0.3093,,,,,,,
23,1715293800000,26011124.0,7347160.610069,2.8329,0.7391,0.2609,2.6069,0.7228,0.2772,2.2712,0.6943,0.3057,,,,,,,
24,1715294100000,25980195.0,7332988.75874085,2.8373,0.7394,0.2606,2.6132,0.7232,0.2768,2.2808,0.6952,0.3048,,,,,,,
25,1715294400000,25957074.0,7351715.38544586,2.8183,0.7381,0.2619,2.6177,0.7236,0.2764,2.2798,0.6951,0.3049,,,,,,,
26,1715294700000,25944863.0,7376045.41906785,2.785,0.7358,0.2642,2.6167,0.7235,0.2765,2.2383,0.6912,0.3088,,,,,,,
27,1715295000000,25976568.0,7400132.21721528,2.861,0.741,0.259,2.6175,0.7236,0.2764,2.2352,0.6909,0.3091,,,,,,,
28,1715295300000,26031052.0,7428253.537535,2.7893,0.7361,0.2639,2.6157,0.7234,0.2766,2.1939,0.6869,0.3131,,,,,,,
29,1715295600000,26012128.0,7410357.65519136,2.8139,0.7378,0.2622,2.6197,0.7237,0.2763,2.2092,0.6884,0.3116,,,,,,,
30,1715295900000,25988980.0,7401106.8991668,2.8008,0.7369,0.2631,2.6262,0.7242,0.2758,2.2216,0.6896,0.3104,,,,,,,
31,1715296200000,25929616.0,7353639.0976,2.8329,0.7391,0.2609,2.6262,0.7242,0.2758,2.2531,0.6926,0.3074,,,,,,,
32,1715296500000,25910721.0,7335272.25722916,2.8506,0.7403,0.2597,2.6293,0.7245,0.2755,2.2626,0.6935,0.3065,,,,,,,
33,1715296800000,25911055.0,7340601.8815,2.8521,0.7404,0.2596,2.6306,0.7246,0.2754,2.2362,0.691,0.309,,,,,,,
34,1715297100000,25945308.0,7343305.7123016,2.8476,0.7401,0.2599,2.6308,0.7246,0.2754,2.23,0.6904,0.3096,,,,,,,
35,1715297400000,25940444.0,7346333.7408,2.8256,0.7386,0.2614,2.6303,0.7245,0.2755,2.231,0.6905,0.3095,,,,,,,
36,1715297700000,25882221.0,7311859.69064931,2.8551,0.7406,0.2594,2.6318,0.7247,0.2753,2.2584,0.6931,0.3069,,,,,,,
37,1715298000000,26057948.0,7345735.5412,2.9047,0.7439,0.2561,2.6047,0.7226,0.2774,2.3267,0.6994,0.3006,,,,,,,
38,1715298300000,25822441.0,7287556.62124036,2.858,0.7408,0.2592,2.6488,0.7259,0.2741,2.2938,0.6964,0.3036,,,,,,,
39,1715298600000,25814609.0,7304581.27163572,2.864,0.7412,0.2588,2.6473,0.7258,0.2742,2.3025,0.6972,0.3028,,,,,,,
40,1715298900000,25820341.0,7301992.4348,2.8551,0.7406,0.2594,2.6494,0.726,0.274,2.2906,0.6961,0.3039,,,,,,,
41,1715299200000,25811353.0,7290306.18225916,2.8462,0.74,0.26,2.6497,0.726,0.274,2.2723,0.6944,0.3056,,,,,,,
42,1715299500000,25807568.0,7272620.92255216,2.882,0.7424,0.2576,2.6549,0.7264,0.2736,2.2971,0.6967,0.3033,,,,,,,
43,1715299800000,25811764.0,7298341.05852764,2.8462,0.74,0.26,2.6514,0.7261,0.2739,2.2819,0.6953,0.3047,,,,,,,
44,1715300100000,25803767.0,7297305.3076,2.8551,0.7406,0.2594,2.6534,0.7263,0.2737,2.2873,0.6958,0.3042,,,,,,,
45,1715300400000,25858644.0,7327129.00788792,2.8491,0.7402,0.2598,2.6533,0.7263,0.2737,2.2744,0.6946,0.3054,,,,,,,
46,1715300700000,25869237.0,7313233.2999,2.8417,0.7397,0.2603,2.6555,0.7264,0.2736,2.269,0.6941,0.3059,,,,,,,
47,1715301000000,25837809.0,7299181.0425,2.885,0.7426,0.2574,2.6509,0.7261,0.2739,2.2862,0.6957,0.3043,,,,,,,
48,1715301300000,25841767.0,7298672.43826735,2.9293,0.7455,0.2545,2.6516,0.7261,0.2739,2.3102,0.6979,0.3021,,,,,,,
49,1715301600000,25846504.0,7301637.38,2.9339,0.7458,0.2542,2.6494,0.726,0.274,2.3201,0.6988,0.3012,,,,,,,
50,1715301900000,25841166.0,7297135.6959189,2.9293,0.7455,0.2545,2.6495,0.726,0.274,2.3167,0.6985,0.3015,,,,,,,
51,1715302200000,25830453.0,7282943.23477446,2.9604,0.7475,0.2525,2.6492,0.726,0.274,2.33,0.6997,0.3003,,,,,,,
52,1715302500000,25824650.0,7293935.838706,2.9541,0.7471,0.2529,2.6488,0.7259,0.2741,2.3234,0.6991,0.3009,,,,,,,
53,1715302800000,25826166.0,7290726.6618,2.9401,0.7462,0.2538,2.6468,0.7258,0.2742,2.3156,0.6984,0.3016,,,,,,,
54,1715303100000,25834706.0,7318162.80846102,2.9246,0.7452,0.2548,2.6449,0.7256,0.2744,2.3091,0.6978,0.3022,,,,,,,
55,1715303400000,25835316.0,7290726.1752,2.9246,0.7452,0.2548,2.6456,0.7257,0.2743,2.3069,0.6976,0.3024,,,,,,,
56,1715303700000,25796845.0,7272698.13609,2.9761,0.7485,0.2515,2.6401,0.7253,0.2747,2.3456,0.7011,0.2989,,,,,,,
57,1715304000000,25790608.0,7283267.6992,3.0016,0.7501,0.2499,2.6448,0.7256,0.2744,2.3535,0.7018,0.2982,,,,,,,
58,1715304300000,25782423.0,7291269.2244,2.9541,0.7471,0.2529,2.6461,0.7257,0.2743,2.3014,0.6971,0.3029,,,,,,,
59,1715304600000,25784622.0,7303944.89669256,2.9308,0.7456,0.2544,2.6496,0.726,0.274,2.3014,0.6971,0.3029,,,,,,,
60,1715304900000,25780850.0,7337903.5636105,2.9714,0.7482,0.2518,2.6539,0.7263,0.2737,2.3102,0.6979,0.3021,,,,,,,
61,1715305200000,25793902.0,7339189.2341689,2.937,0.746,0.254,2.6512,0.7261,0.2739,2.3135,0.6982,0.3018,,,,,,,
62,1715305500000,25838047.0,7344694.04322689,2.9494,0.7468,0.2532,2.6537,0.7263,0.2737,2.3146,0.6983,0.3017,,,,,,,
63,1715305800000,25820942.0,7346057.999,2.8745,0.7419,0.2581,2.6517,0.7262,0.2738,2.2669,0.6939,0.3061,,,,,,,
64,1715306100000,25808546.0,7339950.4824,2.8805,0.7423,0.2577,2.6526,0.7262,0.2738,2.2776,0.6949,0.3051,,,,,,,
65,1715306400000,25827033.0,7329711.9654,2.9793,0.7487,0.2513,2.6555,0.7264,0.2736,2.3124,0.6981,0.3019,,,,,,,
66,1715306700000,25820560.0,7320128.76,2.973,0.7483,0.2517,2.655,0.7264,0.2736,2.3124,0.6981,0.3019,,,,,,,
67,1715307000000,25739510.0,7290216.3462158,2.9984,0.7499,0.2501,2.6589,0.7267,0.2733,2.391,0.7051,0.2949,,,,,,,
68,1715307300000,25712519.0,7276642.877,3.0,0.75,0.25,2.6598,0.7268,0.2732,2.3887,0.7049,0.2951,,,,,,,
69,1715307600000,25690614.0,7270899.51349236,3.008,0.7505,0.2495,2.6627,0.727,0.273,2.3956,0.7055,0.2945,,,,,,,
70,1715307900000,25688697.0,7271171.81395362,3.0634,0.7539,0.2461,2.6648,0.7271,0.2729,2.3875,0.7048,0.2952,,,,,,,
71,1715308200000,25686442.0,7280681.9937911,3.0617,0.7538,0.2462,2.6648,0.7271,0.2729,2.3841,0.7045,0.2955,,,,,,,
72,1715308500000,25685512.0,7287826.60573064,3.0683,0.7542,0.2458,2.665,0.7271,0.2729,2.3864,0.7047,0.2953,,,,,,,
73,1715308800000,25686763.0,7266785.2527,3.0984,0.756,0.244,2.6668,0.7273,0.2727,2.399,0.7058,0.2942,,,,,,,
74,1715309100000,25690427.0,7270390.841,3.0683,0.7542,0.2458,2.6621,0.7269,0.2731,2.391,0.7051,0.2949,,,,,,,
75,1715309400000,25705061.0,7269798.41896624,3.008,0.7505,0.2495,2.6682,0.7274,0.2726,2.3014,0.6971,0.3029,,,,,,,
76,1715309700000,25710895.0,7247901.3005,3.0096,0.7506,0.2494,2.6623,0.7269,0.2731,2.3058,0.6975,0.3025,,,,,,,
77,1715310000000,25721138.0,7261806.4516623,3.008,0.7505,0.2495,2.6599,0.7268,0.2732,2.3036,0.6973,0.3027,,,,,,,
78,1715310300000,25711331.0,7245453.0758,3.0161,0.751,0.249,2.6646,0.7271,0.2729,2.3156,0.6984,0.3016,,,,,,,
79,1715310600000,25666106.0,7230142.0602,3.0258,0.7516,0.2484,2.6726,0.7277,0.2723,2.3201,0.6988,0.3012,,,,,,,
80,1715310900000,25675485.0,7219946.382,3.1442,0.7587,0.2413,2.6857,0.7287,0.2713,2.4165,0.7073,0.2927,,,,,,,
81,1715311200000,25666601.0,7220014.8613,3.1824,0.7609,0.2391,2.6837,0.7285,0.2715,2.4388,0.7092,0.2908,,,,,,,
82,1715311500000,25664602.0,7222019.0028,3.0355,0.7522,0.2478,2.6869,0.7288,0.2712,2.3647,0.7028,0.2972,,,,,,,
