timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,140841160.00000000,17678824.64444240,3.1220,0.7574,0.2426,1.4063,0.5844,0.4156,2.9635,0.7477,0.2523,0.0026,0.12584,0.00032015
1715287200000,141221469.00000000,17771309.65896000,3.0064,0.7504,0.2496,1.4094,0.5850,0.4150,2.8358,0.7393,0.2607,0.0032,0.12625,0.00040085
1715287500000,141170177.00000000,17825527.19235106,2.9841,0.7490,0.2510,1.4123,0.5855,0.4145,2.8241,0.7385,0.2615,0.0007,0.12641,0.00008960
1715287800000,141514788.00000000,17878678.30456944,2.9510,0.7469,0.2531,1.4134,0.5857,0.4143,2.8270,0.7387,0.2613,-0.0004,0.12628,-0.00005288
1715288100000,141258688.00000000,17843500.82491520,2.9557,0.7472,0.2528,1.4098,0.5850,0.4150,2.8447,0.7399,0.2601,-0.0028,0.12600,-0.00035950
1715288400000,141357871.00000000,17817848.65223380,2.9002,0.7436,0.2564,1.4104,0.5851,0.4149,2.7908,0.7362,0.2638,-0.0003,0.12605,-0.00004142
1715288700000,141326345.00000000,17812133.72872060,2.9262,0.7453,0.2547,1.4089,0.5849,0.4151,2.8212,0.7383,0.2617,0.0023,0.12642,0.00029212
1715289000000,141207940.00000000,17850095.69540000,2.9216,0.7450,0.2550,1.4092,0.5849,0.4151,2.8095,0.7375,0.2625,-0.0001,0.12642,-0.00001565
1715289300000,141121056.00000000,17839112.68896000,2.9185,0.7448,0.2552,1.4105,0.5851,0.4149,2.7994,0.7368,0.2632,0.0014,0.12660,0.00017497
1715289600000,141085126.00000000,17863552.48424292,2.9231,0.7451,0.2549,1.4094,0.5850,0.4150,2.8270,0.7387,0.2613,-0.0032,0.12622,-0.00041118
1715289900000,140966317.00000000,17794178.19491000,2.9262,0.7453,0.2547,1.4114,0.5853,0.4147,2.8124,0.7377,0.2623,-0.0022,0.12603,-0.00027241
1715290200000,140852013.00000000,17750429.84596392,2.9216,0.7450,0.2550,1.4135,0.5857,0.4143,2.7951,0.7365,0.2635,-0.0034,0.12570,-0.00043343
1715290500000,140447564.00000000,17652854.31916000,2.9417,0.7463,0.2537,1.4148,0.5859,0.4141,2.7994,0.7368,0.2632,-0.0005,0.12568,-0.00005817
1715290800000,140260249.00000000,17631700.73145296,2.9308,0.7456,0.2544,1.4153,0.5860,0.4140,2.7965,0.7366,0.2634,-0.0002,0.12574,-0.00002451
1715291100000,140237072.00000000,17636529.70813200,2.9463,0.7466,0.2534,1.4153,0.5860,0.4140,2.8110,0.7376,0.2624,0.0024,0.12609,0.00030056
1715291400000,140278261.00000000,17683772.16600810,2.9185,0.7448,0.2552,1.4100,0.5851,0.4149,2.7793,0.7354,0.2646,0.0004,0.12606,0.00005007
1715291700000,140155020.00000000,17667941.82120000,2.9185,0.7448,0.2552,1.4078,0.5847,0.4153,2.7864,0.7359,0.2641,-0.0008,0.12593,-0.00009587
1715292000000,140060491.00000000,17636417.02672000,2.9262,0.7453,0.2547,1.4084,0.5848,0.4152,2.7793,0.7354,0.2646,0.0008,0.12600,0.00009732
1715292300000,139955055.00000000,17631103.96822950,2.9262,0.7453,0.2547,1.4087,0.5848,0.4152,2.7908,0.7362,0.2638,0.0008,0.12604,0.00010402
1715292600000,139851671.00000000,17628303.12955000,2.9246,0.7452,0.2548,1.4100,0.5851,0.4149,2.7793,0.7354,0.2646,-0.0007,0.12591,-0.00008299
1715292900000,139811384.00000000,17605254.99601448,2.9370,0.7460,0.2540,1.4097,0.5850,0.4150,2.7908,0.7362,0.2638,-0.0017,0.12570,-0.00021871
1715293200000,139780954.00000000,17571863.72734000,2.9386,0.7461,0.2539,1.4093,0.5849,0.4151,2.7965,0.7366,0.2634,-0.0037,0.12536,-0.00046372
1715293500000,139624892.00000000,17503376.46112000,2.9635,0.7477,0.2523,1.4150,0.5859,0.4141,2.8008,0.7369,0.2631,0.0005,0.12559,0.00006851
1715293800000,139517054.00000000,17521946.81186000,2.9557,0.7472,0.2528,1.4146,0.5859,0.4141,2.8066,0.7373,0.2627,-0.0023,0.12545,-0.00028422
