,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,722598259.0,12568874.117046,1.9231,0.6579,0.3421,1.8208,0.6455,0.3545,2.0321,0.6702,0.3298,,,,,,,
1,1715287200000,721770108.0,12608832.98308656,1.9257,0.6582,0.3418,1.8145,0.6447,0.3553,2.0628,0.6735,0.3265,,,,,,,
2,1715287500000,721025693.0,12557145.53080931,1.9412,0.66,0.34,1.8164,0.6449,0.3551,2.0572,0.6729,0.3271,,,,,,,
3,1715287800000,720792140.0,12559817.4553428,1.9464,0.6606,0.3394,1.8181,0.6452,0.3548,2.0534,0.6725,0.3275,,,,,,,
4,1715288100000,720637907.0,12546550.97775838,1.9403,0.6599,0.3401,1.8175,0.6451,0.3549,2.0684,0.6741,0.3259,,,,,,,
5,1715288400000,720203656.0,12549973.62595704,1.9412,0.66,0.34,1.8164,0.6449,0.3551,2.0303,0.67,0.33,,,,,,,
6,1715288700000,721042611.0,12613623.80936349,1.9197,0.6575,0.3425,1.8137,0.6446,0.3554,2.0432,0.6714,0.3286,,,,,,,
7,1715289000000,721389013.0,12630324.11186842,1.9146,0.6569,0.3431,1.812,0.6444,0.3556,2.0414,0.6712,0.3288,,,,,,,
8,1715289300000,720707299.0,12580601.74768709,1.9231,0.6579,0.3421,1.8127,0.6445,0.3555,2.0294,0.6699,0.3301,,,,,,,
9,1715289600000,720269718.0,12552212.4025578,1.9172,0.6572,0.3428,1.814,0.6446,0.3554,2.0285,0.6698,0.3302,,,,,,,
10,1715289900000,720748659.0,12540442.86018621,1.9206,0.6576,0.3424,1.8155,0.6448,0.3552,2.0544,0.6726,0.3274,,,,,,,
11,1715290200000,720171750.0,12517550.045145,1.9317,0.6589,0.3411,1.8152,0.6448,0.3552,2.0021,0.6669,0.3331,,,,,,,
12,1715290500000,718817120.0,12511321.0649616,1.9019,0.6554,0.3446,1.8181,0.6452,0.3548,1.978,0.6642,0.3358,,,,,,,
13,1715290800000,717896598.0,12508730.82907572,1.8818,0.653,0.347,1.8219,0.6456,0.3544,1.9762,0.664,0.336,,,,,,,
14,1715291100000,717236430.0,12542026.556838,1.8571,0.65,0.35,1.8178,0.6451,0.3549,1.97,0.6633,0.3367,,,,,,,
15,1715291400000,716890624.0,12524796.091904,1.8531,0.6495,0.3505,1.8187,0.6452,0.3548,2.0048,0.6672,0.3328,,,,,,,
16,1715291700000,717317238.0,12566042.28018018,1.8653,0.651,0.349,1.8169,0.645,0.355,1.9869,0.6652,0.3348,,,,,,,
17,1715292000000,718585049.0,12591794.55702896,1.8596,0.6503,0.3497,1.8167,0.645,0.355,1.9718,0.6635,0.3365,,,,,,,
18,1715292300000,720542076.0,12616612.49113164,1.862,0.6506,0.3494,1.8176,0.6451,0.3549,1.9735,0.6637,0.3363,,,,,,,
19,1715292600000,721791008.0,12650578.3703632,1.8653,0.651,0.349,1.8141,0.6446,0.3554,1.9656,0.6628,0.3372,,,,,,,
20,1715292900000,722002296.0,12686439.52345224,1.8353,0.6473,0.3527,1.812,0.6444,0.3556,1.9735,0.6637,0.3363,,,,,,,
21,1715293200000,721653925.0,12678016.1544,1.8345,0.6472,0.3528,1.8123,0.6444,0.3556,1.956,0.6617,0.3383,,,,,,,
22,1715293500000,721722612.0,12705731.71915476,1.8289,0.6465,0.3535,1.8116,0.6443,0.3557,1.9472,0.6607,0.3393,,,,,,,
23,1715293800000,721670162.0,12720879.945574,1.8321,0.6469,0.3531,1.8092,0.644,0.356,1.963,0.6625,0.3375,,,,,,,
24,1715294100000,721612243.0,12709756.435959,1.8588,0.6502,0.3498,1.8087,0.644,0.356,1.9815,0.6646,0.3354,,,,,,,
25,1715294400000,720850251.0,12758141.17138374,1.8563,0.6499,0.3501,1.809,0.644,0.356,1.9647,0.6627,0.3373,,,,,,,
26,1715294700000,720601642.0,12795968.36155228,1.8417,0.6481,0.3519,1.8107,0.6442,0.3558,1.9412,0.66,0.34,,,,,,,
27,1715295000000,718839560.0,12907245.9223052,1.7996,0.6428,0.3572,1.8013,0.643,0.357,1.8719,0.6518,0.3482,,,,,,,
28,1715295300000,713712910.0,12890575.8442539,1.7624,0.638,0.362,1.7843,0.6408,0.3592,1.8977,0.6549,0.3451,,,,,,,
29,1715295600000,712971048.0,12835838.79816888,1.7778,0.64,0.36,1.7936,0.642,0.358,1.9172,0.6572,0.3428,,,,,,,
30,1715295900000,713847439.0,12765733.751637,1.7972,0.6425,0.3575,1.805,0.6435,0.3565,1.9334,0.6591,0.3409,,,,,,,
31,1715296200000,715719055.0,12754113.5601,1.8011,0.643,0.357,1.8007,0.6429,0.3571,1.9274,0.6584,0.3416,,,,,,,
32,1715296500000,716205981.0,12773282.99904165,1.7878,0.6413,0.3587,1.803,0.6432,0.3568,2.0003,0.6667,0.3333,,,,,,,
33,1715296800000,712821836.0,12686803.037128,1.8629,0.6507,0.3493,1.8122,0.6444,0.3556,2.0003,0.6667,0.3333,,,,,,,
34,1715297100000,712983849.0,12635499.771978,1.8531,0.6495,0.3505,1.8136,0.6446,0.3554,1.9904,0.6656,0.3344,,,,,,,
35,1715297400000,712794590.0,12673437.9145787,1.8482,0.6489,0.3511,1.8126,0.6445,0.3555,1.986,0.6651,0.3349,,,,,,,
36,1715297700000,715263746.0,12670897.26039,1.8433,0.6483,0.3517,1.8127,0.6445,0.3555,2.0479,0.6719,0.3281,,,,,,,
