timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,4696759.30000000,3268474.79687000,2.0321,0.6702,0.3298,1.7948,0.6422,0.3578,1.4372,0.5897,0.4103,-0.0005,0.696400,-0.00033221
1715287200000,4694441.00000000,3270147.60060000,2.0276,0.6697,0.3303,1.7944,0.6421,0.3579,1.4355,0.5894,0.4106,-0.0008,0.693900,-0.00054396
1715287500000,4614774.60000000,3202761.51197789,2.0423,0.6713,0.3287,1.8084,0.6439,0.3561,1.4522,0.5922,0.4078,0.0015,0.694900,0.00100939
1715287800000,4614223.60000000,3202989.70529899,2.0750,0.6748,0.3252,1.8102,0.6441,0.3559,1.4649,0.5943,0.4057,-0.0005,0.694300,-0.00037749
1715288100000,4588024.20000000,3186661.85053184,2.1182,0.6793,0.3207,1.8202,0.6454,0.3546,1.4746,0.5959,0.4041,-0.0002,0.694800,-0.00013249
1715288400000,4588936.40000000,3189120.58658622,2.1085,0.6783,0.3217,1.8191,0.6453,0.3547,1.4710,0.5953,0.4047,0.0003,0.697200,0.00021494
1715288700000,4586570.60000000,3197913.19504893,2.1221,0.6797,0.3203,1.8144,0.6447,0.3553,1.4643,0.5942,0.4058,0.0002,0.698000,0.00016021
1715289000000,4584211.20000000,3199779.41760000,2.0760,0.6749,0.3251,1.8141,0.6446,0.3554,1.4522,0.5922,0.4078,-0.0006,0.695900,-0.00039575
1715289300000,4583294.40000000,3191141.87163672,2.0788,0.6752,0.3248,1.8154,0.6448,0.3552,1.4444,0.5909,0.4091,0.0003,0.695800,0.00024195
1715289600000,4582977.80000000,3188188.60762575,2.0807,0.6754,0.3246,1.8135,0.6446,0.3554,1.4462,0.5912,0.4088,-0.0003,0.694700,-0.00018234
1715289900000,4587708.30000000,3186622.18518000,2.0931,0.6767,0.3233,1.8086,0.6440,0.3560,1.4600,0.5935,0.4065,-0.0003,0.694500,-0.00017578
1715290200000,4586943.70000000,3185632.39965000,2.0807,0.6754,0.3246,1.8107,0.6442,0.3558,1.4540,0.5925,0.4075,-0.0004,0.694800,-0.00027274
1715290500000,4586014.20000000,3187078.90985776,2.0807,0.6754,0.3246,1.8116,0.6443,0.3557,1.4570,0.5930,0.4070,-0.0006,0.694600,-0.00042988
1715290800000,4581274.40000000,3184051.67835136,2.0741,0.6747,0.3253,1.8129,0.6445,0.3555,1.4600,0.5935,0.4065,-0.0003,0.694700,-0.00021165
1715291100000,4577132.50000000,3179987.38357653,2.0760,0.6749,0.3251,1.8171,0.6450,0.3550,1.4558,0.5928,0.4072,0.0000,0.695400,0.00002203
1715291400000,4574806.40000000,3181155.81477379,2.0779,0.6751,0.3249,1.8156,0.6448,0.3552,1.4564,0.5929,0.4071,0.0002,0.696700,0.00012573
1715291700000,4577965.40000000,3189293.61590172,2.0883,0.6762,0.3238,1.8128,0.6445,0.3555,1.4534,0.5924,0.4076,0.0007,0.697200,0.00052025
1715292000000,4578536.20000000,3190303.64967391,2.0826,0.6756,0.3244,1.8158,0.6449,0.3551,1.4546,0.5926,0.4074,0.0000,0.696300,0.00000268
1715292300000,4571552.10000000,3183583.98979838,2.0788,0.6752,0.3248,1.8233,0.6458,0.3542,1.4242,0.5875,0.4125,0.0000,0.696300,-0.00003281
1715292600000,4555379.30000000,3172366.14452000,2.0760,0.6749,0.3251,1.8176,0.6451,0.3549,1.4492,0.5917,0.4083,0.0004,0.696600,0.00026140
1715292900000,4546066.40000000,3165880.64096000,2.0998,0.6774,0.3226,1.8175,0.6451,0.3549,1.4710,0.5953,0.4047,0.0001,0.696700,0.00005455
1715293200000,4542940.60000000,3165066.71602000,2.0902,0.6764,0.3236,1.8226,0.6457,0.3543,1.4558,0.5928,0.4072,0.0002,0.696300,0.00015214
1715293500000,4546895.50000000,3165771.71779323,2.0883,0.6762,0.3238,1.8183,0.6452,0.3548,1.4655,0.5944,0.4056,0.0010,0.697500,0.00072399
1715293800000,4548964.70000000,3171988.94575212,2.0874,0.6761,0.3239,1.8155,0.6448,0.3552,1.4673,0.5947,0.4053,0.0005,0.697500,0.00032611
1715294100000,4552446.90000000,3175331.71275000,2.0807,0.6754,0.3246,1.8151,0.6448,0.3552,1.4802,0.5968,0.4032,-0.0006,0.699000,-0.00045159
1715294400000,4556318.40000000,3186977.23053562,2.0788,0.6752,0.3248,1.8106,0.6442,0.3558,1.4704,0.5952,0.4048,0.0006,0.700800,0.00041242
1715294700000,4549496.30000000,3188327.95250670,2.0979,0.6772,0.3228,1.8150,0.6448,0.3552,1.4661,0.5945,0.4055,0.0000,0.705600,-0.00001057
1715295000000,4543078.10000000,3205690.67596917,2.0414,0.6712,0.3288,1.7975,0.6425,0.3575,1.5700,0.6109,0.3891,-0.0002,0.705200,-0.00014842
1715295300000,4537980.70000000,3200542.80777395,2.0414,0.6712,0.3288,1.8016,0.6431,0.3569,1.5773,0.6120,0.3880,0.0002,0.703500,0.00016654
1715295600000,4533888.60000000,3189460.23546386,2.0572,0.6729,0.3271,1.8024,0.6432,0.3568,1.5860,0.6133,0.3867,-0.0005,0.701900,-0.00038536
1715295900000,4534565.10000000,3182960.06811658,2.0788,0.6752,0.3248,1.8024,0.6432,0.3568,1.5954,0.6147,0.3853,-0.0009,0.700500,-0.00063832
1715296200000,4530317.00000000,3174393.12190000,2.0779,0.6751,0.3249,1.8075,0.6438,0.3562,1.5733,0.6114,0.3886,-0.0005,0.700300,-0.00037275
1715296500000,4528115.70000000,3170641.99199501,2.0883,0.6762,0.3238,1.8074,0.6438,0.3562,1.5860,0.6133,0.3867,-0.0007,0.700000,-0.00051018
1715296800000,4527642.20000000,3169626.31476769,2.0998,0.6774,0.3226,1.8075,0.6438,0.3562,1.5860,0.6133,0.3867,-0.0010,0.699000,-0.00069038
1715297100000,4526795.90000000,3165135.69328000,2.0989,0.6773,0.3227,1.8100,0.6441,0.3559,1.5833,0.6129,0.3871,-0.0007,0.698900,-0.00049776
1715297400000,4525645.30000000,3164331.19376000,2.0998,0.6774,0.3226,1.8078,0.6439,0.3561,1.5954,0.6147,0.3853,-0.0014,0.698900,-0.00099269
1715297700000,4525525.20000000,3164930.66465570,2.1017,0.6776,0.3224,1.8076,0.6438,0.3562,1.5913,0.6141,0.3859,-0.0004,0.697300,-0.00025750
1715298000000,4522941.50000000,3153847.10795000,2.1417,0.6817,0.3183,1.8127,0.6445,0.3555,1.6008,0.6155,0.3845,-0.0005,0.697500,-0.00033831
1715298300000,4528496.70000000,3158626.44825000,2.1466,0.6822,0.3178,1.8103,0.6442,0.3558,1.6178,0.6180,0.3820,-0.0004,0.699100,-0.00024611
1715298600000,4528443.40000000,3166740.46962000,2.1270,0.6802,0.3198,1.8070,0.6438,0.3562,1.6164,0.6178,0.3822,-0.0002,0.699200,-0.00014858
1715298900000,4535261.30000000,3171081.59505951,2.1221,0.6797,0.3203,1.8014,0.6430,0.3570,1.6028,0.6158,0.3842,-0.0003,0.698500,-0.00020172
1715299200000,4520098.20000000,3156945.87885448,2.1847,0.6860,0.3140,1.8073,0.6438,0.3562,1.6274,0.6194,0.3806,-0.0003,0.697000,-0.00020996
1715299500000,4524213.60000000,3153376.87920000,2.1928,0.6868,0.3132,1.8042,0.6434,0.3566,1.6504,0.6227,0.3773,-0.0009,0.697500,-0.00060753
1715299800000,4515242.50000000,3151309.69744993,2.1980,0.6873,0.3127,1.8029,0.6432,0.3568,1.6681,0.6252,0.3748,-0.0008,0.697600,-0.00058950
1715300100000,4513375.30000000,3148981.94681000,2.2020,0.6877,0.3123,1.8048,0.6435,0.3565,1.6631,0.6245,0.3755,0.0000,0.697300,0.00002430
1715300400000,4514166.60000000,3147728.37018000,2.1928,0.6868,0.3132,1.8061,0.6436,0.3564,1.6624,0.6244,0.3756,-0.0008,0.695600,-0.00055326
1715300700000,4510748.80000000,3137718.58970640,2.1908,0.6866,0.3134,1.8041,0.6434,0.3566,1.6638,0.6246,0.3754,-0.0007,0.694600,-0.00046226
1715301000000,4502127.50000000,3126840.23700133,2.2206,0.6895,0.3105,1.8092,0.6440,0.3560,1.6882,0.6280,0.3720,-0.0011,0.694300,-0.00078733
