,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,179392.985,10396765.81595484,3.1118,0.7568,0.2432,0.8165,0.4495,0.5505,2.8241,0.7385,0.2615,,,,,,,
1,1715287200000,179346.474,10399211.52716603,3.1102,0.7567,0.2433,0.8159,0.4493,0.5507,2.8197,0.7382,0.2618,,,,,,,
2,1715287500000,179354.699,10393604.80705,3.122,0.7574,0.2426,0.8159,0.4493,0.5507,2.8197,0.7382,0.2618,,,,,,,
3,1715287800000,179117.643,10395987.99972,3.1102,0.7567,0.2433,0.817,0.4496,0.5504,2.8329,0.7391,0.2609,,,,,,,
4,1715288100000,179120.142,10387177.03458,3.1203,0.7573,0.2427,0.817,0.4496,0.5504,2.8388,0.7395,0.2605,,,,,,,
5,1715288400000,179073.915,10398822.24405,3.1477,0.7589,0.2411,0.8172,0.4497,0.5503,2.861,0.741,0.259,,,,,,,
6,1715288700000,179530.743,10433502.70114348,3.1999,0.7619,0.2381,0.8201,0.4506,0.5494,2.8911,0.743,0.257,,,,,,,
7,1715289000000,179238.858,10423295.55578974,3.1964,0.7617,0.2383,0.8169,0.4496,0.5504,2.8865,0.7427,0.2573,,,,,,,
8,1715289300000,179704.8,10419434.0879508,3.2123,0.7626,0.2374,0.82,0.4505,0.5495,2.9124,0.7444,0.2556,,,,,,,
9,1715289600000,179695.853,10405208.80942304,3.2212,0.7631,0.2369,0.8194,0.4504,0.5496,2.917,0.7447,0.2553,,,,,,,
10,1715289900000,179694.337,10402505.16893,3.2319,0.7637,0.2363,0.8192,0.4503,0.5497,2.9231,0.7451,0.2549,,,,,,,
11,1715290200000,179710.051,10396226.45035,3.2355,0.7639,0.2361,0.8192,0.4503,0.5497,2.9246,0.7452,0.2548,,,,,,,
12,1715290500000,179714.192,10392871.72336,3.2517,0.7648,0.2352,0.8194,0.4504,0.5496,2.9293,0.7455,0.2545,,,,,,,
13,1715290800000,179782.888,10398369.08519346,3.2499,0.7647,0.2353,0.8192,0.4503,0.5497,2.92,0.7449,0.2551,,,,,,,
14,1715291100000,179559.066,10395323.41162532,3.2373,0.764,0.236,0.8175,0.4498,0.5502,2.9078,0.7441,0.2559,,,,,,,
15,1715291400000,179527.468,10395944.41830239,3.2301,0.7636,0.2364,0.8173,0.4497,0.5503,2.9032,0.7438,0.2562,,,,,,,
16,1715291700000,179451.248,10398824.44727395,3.2391,0.7641,0.2359,0.8162,0.4494,0.5506,2.9108,0.7443,0.2557,,,,,,,
17,1715292000000,179435.943,10407111.88103766,3.2373,0.764,0.236,0.8164,0.4495,0.5505,2.9139,0.7445,0.2555,,,,,,,
18,1715292300000,179325.946,10394538.01684913,3.2159,0.7628,0.2372,0.8161,0.4494,0.5506,2.8911,0.743,0.257,,,,,,,
19,1715292600000,179222.051,10400255.61953,3.2248,0.7633,0.2367,0.8156,0.4492,0.5508,2.9032,0.7438,0.2562,,,,,,,
20,1715292900000,179174.268,10407246.13557668,3.2194,0.763,0.237,0.8155,0.4492,0.5508,2.9324,0.7457,0.2543,,,,,,,
21,1715293200000,179244.021,10408700.29947,3.2248,0.7633,0.2367,0.8164,0.4495,0.5505,2.9308,0.7456,0.2544,,,,,,,
22,1715293500000,179245.851,10406599.59406727,3.2212,0.7631,0.2369,0.8161,0.4494,0.5506,2.9262,0.7453,0.2547,,,,,,,
23,1715293800000,179184.906,10424977.83108,3.2017,0.762,0.238,0.8157,0.4493,0.5507,2.9246,0.7452,0.2548,,,,,,,
24,1715294100000,179066.627,10425259.02394,3.1824,0.7609,0.2391,0.8165,0.4495,0.5505,2.8835,0.7425,0.2575,,,,,,,
25,1715294400000,178925.677,10443605.87546478,3.1946,0.7616,0.2384,0.8166,0.4495,0.5505,2.9047,0.7439,0.2561,,,,,,,
26,1715294700000,178724.193,10448728.39440158,3.207,0.7623,0.2377,0.8157,0.4492,0.5508,2.9262,0.7453,0.2547,,,,,,,
27,1715295000000,178586.269,10461583.63802,3.2017,0.762,0.238,0.8158,0.4493,0.5507,2.92,0.7449,0.2551,,,,,,,
28,1715295300000,178775.558,10472672.18764,3.1649,0.7599,0.2401,0.8153,0.4491,0.5509,2.876,0.742,0.258,,,,,,,
29,1715295600000,178788.971,10477033.7006,3.1442,0.7587,0.2413,0.8158,0.4493,0.5507,2.8625,0.7411,0.2589,,,,,,,
30,1715295900000,178605.139,10441256.42594,3.1459,0.7588,0.2412,0.8158,0.4493,0.5507,2.8655,0.7413,0.2587,,,,,,,
31,1715296200000,178434.864,10411674.3144,3.1528,0.7592,0.2408,0.8156,0.4492,0.5508,2.8805,0.7423,0.2577,,,,,,,
32,1715296500000,178391.557,10396659.94196,3.1632,0.7598,0.2402,0.8155,0.4492,0.5508,2.882,0.7424,0.2576,,,,,,,
33,1715296800000,178331.787,10391393.22849,3.1684,0.7601,0.2399,0.8159,0.4493,0.5507,2.8911,0.743,0.257,,,,,,,
34,1715297100000,178379.566,10378123.14988,3.1859,0.7611,0.2389,0.8162,0.4494,0.5506,2.8986,0.7435,0.2565,,,,,,,
35,1715297400000,178372.179,10389404.17666702,3.1771,0.7606,0.2394,0.8162,0.4494,0.5506,2.8971,0.7434,0.2566,,,,,,,
36,1715297700000,178285.309,10363420.96262118,3.1894,0.7613,0.2387,0.8154,0.4492,0.5508,2.9032,0.7438,0.2562,,,,,,,
37,1715298000000,178277.533,10354987.20265096,3.1894,0.7613,0.2387,0.8149,0.449,0.551,2.9017,0.7437,0.2563,,,,,,,
38,1715298300000,178373.823,10366533.57861282,3.1754,0.7605,0.2395,0.8155,0.4492,0.5508,2.8805,0.7423,0.2577,,,,,,,
39,1715298600000,178363.994,10391486.29044,3.1701,0.7602,0.2398,0.8156,0.4492,0.5508,2.888,0.7428,0.2572,,,,,,,
40,1715298900000,178287.878,10399722.84866279,3.1632,0.7598,0.2402,0.8166,0.4495,0.5505,2.8256,0.7386,0.2614,,,,,,,
41,1715299200000,178255.839,10385586.87254295,3.1649,0.7599,0.2401,0.8161,0.4494,0.5506,2.8153,0.7379,0.2621,,,,,,,
42,1715299500000,178275.66,10370094.22909669,3.1894,0.7613,0.2387,0.8168,0.4496,0.5504,2.8358,0.7393,0.2607,,,,,,,
43,1715299800000,178177.64,10381453.81273844,3.2553,0.765,0.235,0.8162,0.4494,0.5506,2.8805,0.7423,0.2577,,,,,,,
44,1715300100000,178240.843,10372542.84959945,3.2535,0.7649,0.2351,0.8162,0.4494,0.5506,2.8865,0.7427,0.2573,,,,,,,
45,1715300400000,178253.452,10376133.44092,3.2355,0.7639,0.2361,0.8164,0.4495,0.5505,2.858,0.7408,0.2592,,,,,,,
46,1715300700000,178258.918,10370093.33686823,3.2427,0.7643,0.2357,0.8166,0.4495,0.5505,2.8595,0.7409,0.2591,,,,,,,
47,1715301000000,178270.319,10360569.4373494,3.2553,0.765,0.235,0.8164,0.4494,0.5506,2.867,0.7414,0.2586,,,,,,,
48,1715301300000,178255.235,10370889.5723,3.2571,0.7651,0.2349,0.8165,0.4495,0.5505,2.8595,0.7409,0.2591,,,,,,,
49,1715301600000,178303.423,10380825.28706,3.2517,0.7648,0.2352,0.8169,0.4496,0.5504,2.8565,0.7407,0.2593,,,,,,,
50,1715301900000,178399.062,10395019.46774916,3.2319,0.7637,0.2363,0.8175,0.4498,0.5502,2.8476,0.7401,0.2599,,,,,,,
51,1715302200000,178464.408,10381274.61336,3.268,0.7657,0.2343,0.8182,0.45,0.55,2.87,0.7416,0.2584,,,,,,,
52,1715302500000,178487.166,10385917.77383097,3.2553,0.765,0.235,0.8175,0.4498,0.5502,2.8655,0.7413,0.2587,,,,,,,
53,1715302800000,178471.165,10383452.3797,3.2626,0.7654,0.2346,0.8175,0.4498,0.5502,2.8685,0.7415,0.2585,,,,,,,
54,1715303100000,178435.277,10380386.31932042,3.268,0.7657,0.2343,0.8175,0.4498,0.5502,2.885,0.7426,0.2574,,,,,,,
55,1715303400000,178464.18,10359842.56692361,3.2735,0.766,0.234,0.8179,0.4499,0.5501,2.8926,0.7431,0.2569,,,,,,,
56,1715303700000,178337.108,10345335.63508,3.2717,0.7659,0.2341,0.8172,0.4497,0.5503,2.937,0.746,0.254,,,,,,,
57,1715304000000,178249.284,10363413.37176,3.2735,0.766,0.234,0.8166,0.4495,0.5505,2.9386,0.7461,0.2539,,,,,,,
58,1715304300000,178116.011,10361033.46710291,3.2918,0.767,0.233,0.8163,0.4494,0.5506,2.9698,0.7481,0.2519,,,,,,,
59,1715304600000,178179.524,10368609.84103018,3.2882,0.7668,0.2332,0.8167,0.4495,0.5505,2.9588,0.7474,0.2526,,,,,,,
60,1715304900000,178466.556,10393892.22144,3.3085,0.7679,0.2321,0.818,0.4499,0.5501,2.9651,0.7478,0.2522,,,,,,,
61,1715305200000,178504.909,10405051.14561,3.2827,0.7665,0.2335,0.8179,0.4499,0.5501,2.9401,0.7462,0.2538,,,,,,,
62,1715305500000,178513.032,10399134.57743114,3.2937,0.7671,0.2329,0.818,0.45,0.55,2.9432,0.7464,0.2536,,,,,,,
63,1715305800000,178516.614,10398592.7655,3.2735,0.766,0.234,0.818,0.4499,0.5501,2.9386,0.7461,0.2539,,,,,,,
64,1715306100000,178534.672,10403602.57557287,3.3271,0.7689,0.2311,0.8662,0.4641,0.5359,2.9308,0.7456,0.2544,,,,,,,
65,1715306400000,178598.347,10410303.96029465,3.2571,0.7651,0.2349,0.8662,0.4642,0.5358,2.9246,0.7452,0.2548,,,,,,,
66,1715306700000,178692.252,10387380.60876,3.2808,0.7664,0.2336,0.866,0.4641,0.5359,2.9401,0.7462,0.2538,,,,,,,
67,1715307000000,178664.956,10380551.02631897,3.3234,0.7687,0.2313,0.8657,0.464,0.536,2.9216,0.745,0.255,,,,,,,
68,1715307300000,178725.912,10380013.64488707,3.3159,0.7683,0.2317,0.8663,0.4642,0.5358,2.9093,0.7442,0.2558,,,,,,,
69,1715307600000,178945.814,10412581.49221038,3.2283,0.7635,0.2365,0.8669,0.4644,0.5356,2.8835,0.7425,0.2575,,,,,,,
70,1715307900000,179096.666,10432108.73233661,3.2974,0.7673,0.2327,0.8673,0.4645,0.5355,2.879,0.7422,0.2578,,,,,,,
