,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,814346.0,6674351.21616848,3.686,0.7866,0.2134,0.8966,0.4727,0.5273,3.6339,0.7842,0.2158,,,,,,,
1,1715287200000,813580.7,6686819.7733,3.649,0.7849,0.2151,0.8965,0.4727,0.5273,3.5788,0.7816,0.2184,,,,,,,
2,1715287500000,813595.7,6682061.4841,3.6642,0.7856,0.2144,0.897,0.4729,0.5271,3.5746,0.7814,0.2186,,,,,,,
3,1715287800000,813213.4,6683971.99403869,3.6189,0.7835,0.2165,0.8966,0.4727,0.5273,3.5249,0.779,0.221,,,,,,,
4,1715288100000,812307.1,6676932.59453823,3.6019,0.7827,0.2173,0.8968,0.4728,0.5272,3.5025,0.7779,0.2221,,,,,,,
5,1715288400000,812215.6,6682097.7412,3.6147,0.7833,0.2167,0.8966,0.4727,0.5273,3.531,0.7793,0.2207,,,,,,,
6,1715288700000,811943.6,6694069.89521852,3.649,0.7849,0.2151,0.8957,0.4725,0.5275,3.6189,0.7835,0.2165,,,,,,,
7,1715289000000,812081.1,6702266.19156591,3.6577,0.7853,0.2147,0.8962,0.4726,0.5274,3.5872,0.782,0.218,,,,,,,
8,1715289300000,812035.6,6689633.10735534,3.6577,0.7853,0.2147,0.8966,0.4727,0.5273,3.5788,0.7816,0.2184,,,,,,,
9,1715289600000,811682.9,6680150.267,3.6425,0.7846,0.2154,0.8956,0.4725,0.5275,3.5434,0.7799,0.2201,,,,,,,
10,1715289900000,811183.2,6670079.38448837,3.6664,0.7857,0.2143,0.895,0.4723,0.5277,3.5851,0.7819,0.2181,,,,,,,
11,1715290200000,810807.3,6664025.1987,3.6664,0.7857,0.2143,0.8953,0.4724,0.5276,3.5809,0.7817,0.2183,,,,,,,
12,1715290500000,810715.9,6661009.13373312,3.6729,0.786,0.214,0.8952,0.4723,0.5277,3.5788,0.7816,0.2184,,,,,,,
13,1715290800000,810687.3,6665428.08713496,3.6751,0.7861,0.2139,0.8954,0.4724,0.5276,3.583,0.7818,0.2182,,,,,,,
