,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,20963555.7,3115184.37702,2.9872,0.7492,0.2508,1.9462,0.6606,0.3394,2.4223,0.7078,0.2922,,,,,,,
1,1715287200000,20953317.5,3119948.97575,2.9857,0.7491,0.2509,1.9478,0.6608,0.3392,2.4223,0.7078,0.2922,,,,,,,
2,1715287500000,20951771.6,3117623.61408,2.9857,0.7491,0.2509,1.9487,0.6609,0.3391,2.4072,0.7065,0.2935,,,,,,,
3,1715287800000,20932504.4,3116849.90516,2.992,0.7495,0.2505,1.9571,0.6618,0.3382,2.4037,0.7062,0.2938,,,,,,,
4,1715288100000,20925874.6,3123312.13003885,2.9809,0.7488,0.2512,1.954,0.6615,0.3385,2.3979,0.7057,0.2943,,,,,,,
5,1715288400000,20909563.6,3121797.84548,2.9777,0.7486,0.2514,1.9509,0.6611,0.3389,2.3921,0.7052,0.2948,,,,,,,
6,1715288700000,20887606.4,3128650.75125219,2.9809,0.7488,0.2512,1.9499,0.661,0.339,2.3967,0.7056,0.2944,,,,,,,
7,1715289000000,20904293.4,3133553.58066,2.9777,0.7486,0.2514,1.9517,0.6612,0.3388,2.3979,0.7057,0.2943,,,,,,,
8,1715289300000,20906993.7,3129738.48802159,2.962,0.7476,0.2524,1.9531,0.6614,0.3386,2.391,0.7051,0.2949,,,,,,,
9,1715289600000,20898154.3,3124274.06785,2.9683,0.748,0.252,1.9552,0.6616,0.3384,2.3875,0.7048,0.2952,,,,,,,
10,1715289900000,20872738.9,3116541.83281385,2.973,0.7483,0.2517,1.9558,0.6617,0.3383,2.3875,0.7048,0.2952,,,,,,,
11,1715290200000,20874493.6,3116561.89448,2.9777,0.7486,0.2514,1.9557,0.6617,0.3383,2.3898,0.705,0.295,,,,,,,
12,1715290500000,20871602.4,3114043.28679602,2.9825,0.7489,0.2511,1.9553,0.6616,0.3384,2.3944,0.7054,0.2946,,,,,,,
13,1715290800000,20868511.7,3113553.14709385,2.9714,0.7482,0.2518,1.9523,0.6613,0.3387,2.3921,0.7052,0.2948,,,,,,,
14,1715291100000,20879793.7,3116598.18606981,2.9683,0.748,0.252,1.9514,0.6612,0.3388,2.391,0.7051,0.2949,,,,,,,
15,1715291400000,20880864.6,3115537.96379749,2.9667,0.7479,0.2521,1.9504,0.6611,0.3389,2.391,0.7051,0.2949,,,,,,,
16,1715291700000,20883054.6,3123978.83451022,2.9698,0.7481,0.2519,1.9518,0.6612,0.3388,2.3887,0.7049,0.2951,,,,,,,
17,1715292000000,20874301.7,3121544.53741912,2.9872,0.7492,0.2508,1.9564,0.6618,0.3382,2.3591,0.7023,0.2977,,,,,,,
18,1715292300000,20841706.3,3120260.20293162,2.951,0.7469,0.2531,1.9536,0.6614,0.3386,2.3422,0.7008,0.2992,,,,,,,
19,1715292600000,20819874.4,3121388.02321091,2.9604,0.7475,0.2525,1.9525,0.6613,0.3387,2.3411,0.7007,0.2993,,,,,,,
20,1715292900000,20808210.5,3122082.00656314,2.9448,0.7465,0.2535,1.9554,0.6616,0.3384,2.3333,0.7,0.3,,,,,,,
21,1715293200000,20804532.4,3122753.23969898,2.9448,0.7465,0.2535,1.956,0.6617,0.3383,2.3367,0.7003,0.2997,,,,,,,
22,1715293500000,20797784.3,3123770.6318867,2.9417,0.7463,0.2537,1.9495,0.661,0.339,2.3535,0.7018,0.2982,,,,,,,
23,1715293800000,20799546.8,3128251.83872,2.9401,0.7462,0.2538,1.9532,0.6614,0.3386,2.3378,0.7004,0.2996,,,,,,,
24,1715294100000,20775112.0,3128911.36416768,2.9324,0.7457,0.2543,1.9515,0.6612,0.3388,2.3344,0.7001,0.2999,,,,,,,
25,1715294400000,20757063.8,3134172.78734787,2.9017,0.7437,0.2563,1.9525,0.6613,0.3387,2.3456,0.7011,0.2989,,,,,,,
26,1715294700000,20742565.3,3139362.9893536,2.9002,0.7436,0.2564,1.9263,0.6583,0.3417,2.3069,0.6976,0.3024,,,,,,,
27,1715295000000,20839258.0,3169651.1418,2.8805,0.7423,0.2577,1.9152,0.657,0.343,2.3278,0.6995,0.3005,,,,,,,
28,1715295300000,20898484.6,3182690.40736965,2.8685,0.7415,0.2585,1.9154,0.657,0.343,2.3025,0.6972,0.3028,,,,,,,
29,1715295600000,20892262.0,3176558.12595664,2.8595,0.7409,0.2591,1.9146,0.6569,0.3431,2.2992,0.6969,0.3031,,,,,,,
30,1715295900000,20898724.4,3172180.59492106,2.858,0.7408,0.2592,1.916,0.6571,0.3429,2.2938,0.6964,0.3036,,,,,,,
31,1715296200000,20887784.2,3165959.15353774,2.8625,0.7411,0.2589,1.9149,0.6569,0.3431,2.2982,0.6968,0.3032,,,,,,,
32,1715296500000,20890310.8,3164207.12025805,2.8551,0.7406,0.2594,1.9144,0.6569,0.3431,2.2971,0.6967,0.3033,,,,,,,
33,1715296800000,20873424.0,3162323.736,2.8476,0.7401,0.2599,1.918,0.6573,0.3427,2.2873,0.6958,0.3042,,,,,,,
34,1715297100000,20870600.1,3157721.79513,2.8491,0.7402,0.2598,1.9187,0.6574,0.3426,2.3014,0.6971,0.3029,,,,,,,
35,1715297400000,20859876.7,3154013.35704,2.87,0.7416,0.2584,1.9215,0.6577,0.3423,2.3201,0.6988,0.3012,,,,,,,
36,1715297700000,20853489.1,3150962.20301,2.864,0.7412,0.2588,1.9194,0.6575,0.3425,2.3124,0.6981,0.3019,,,,,,,
37,1715298000000,20855906.1,3149241.8211,2.858,0.7408,0.2592,1.9189,0.6574,0.3426,2.2971,0.6967,0.3033,,,,,,,
38,1715298300000,20859066.3,3145547.19804,2.8865,0.7427,0.2573,1.9039,0.6556,0.3444,2.3367,0.7003,0.2997,,,,,,,
39,1715298600000,20850496.2,3154680.07506,2.885,0.7426,0.2574,1.906,0.6559,0.3441,2.3322,0.6999,0.3001,,,,,,,
40,1715298900000,20856872.3,3155644.77899,2.8685,0.7415,0.2585,1.9057,0.6558,0.3442,2.3267,0.6994,0.3006,,,,,,,
41,1715299200000,20850533.9,3152600.72568,2.9526,0.747,0.253,1.9135,0.6568,0.3432,2.406,0.7064,0.2936,,,,,,,
