timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,880.12200000,820194.42263664,2.4270,0.7082,0.2918,0.9641,0.4909,0.5091,1.9958,0.6662,0.3338,0.0005,932.4,0.46960236
1715287200000,879.99700000,821732.44639624,2.4388,0.7092,0.2908,0.9636,0.4907,0.5093,1.9940,0.6660,0.3340,-0.0006,933.2,-0.59626926
1715287500000,881.48500000,822571.19119930,2.4223,0.7078,0.2922,0.9645,0.4910,0.5090,1.9940,0.6660,0.3340,0.0001,933.2,0.07263470
1715287800000,881.51000000,823765.49512839,2.3990,0.7058,0.2942,0.9633,0.4906,0.5094,1.9771,0.6641,0.3359,-0.0004,934.3,-0.35530763
1715288100000,876.56200000,818277.04711540,2.4602,0.7110,0.2890,0.9617,0.4903,0.5097,2.0166,0.6685,0.3315,-0.0011,933.4,-1.00627527
1715288400000,875.36800000,816967.10516786,2.4686,0.7117,0.2883,0.9628,0.4905,0.5095,2.0148,0.6683,0.3317,-0.0006,933.2,-0.52556236
1715288700000,874.95300000,818201.76727818,2.4566,0.7107,0.2893,0.9650,0.4911,0.5089,2.0193,0.6688,0.3312,0.0001,935.2,0.09803940
1715289000000,874.53200000,818733.54471954,2.4471,0.7099,0.2901,0.9644,0.4909,0.5091,2.0130,0.6681,0.3319,-0.0001,936.3,-0.12076621
1715289300000,875.42500000,818697.46000000,2.4200,0.7076,0.2924,0.9629,0.4905,0.5095,1.9913,0.6657,0.3343,-0.0009,935.1,-0.87359094
1715289600000,874.35800000,816802.96095360,2.3967,0.7056,0.2944,0.9650,0.4911,0.5089,1.9940,0.6660,0.3340,0.0002,934.3,0.16839810
1715289900000,874.17000000,816437.72325185,2.4083,0.7066,0.2934,0.9654,0.4912,0.5088,1.9833,0.6648,0.3352,-0.0002,934.0,-0.14593560
1715290200000,873.96600000,816165.12134174,2.4083,0.7066,0.2934,0.9652,0.4911,0.5089,1.9833,0.6648,0.3352,-0.0003,933.9,-0.24506726
1715290500000,873.87800000,815772.69811248,2.4165,0.7073,0.2927,0.9651,0.4911,0.5089,1.9727,0.6636,0.3364,-0.0002,933.5,-0.21512510
1715290800000,874.49200000,816283.93485823,2.4165,0.7073,0.2927,0.9631,0.4906,0.5094,2.0021,0.6669,0.3331,-0.0008,933.2,-0.75446097
1715291100000,874.75900000,816250.24997618,2.3967,0.7056,0.2944,0.9624,0.4904,0.5096,1.9851,0.6650,0.3350,-0.0007,933.2,-0.63766589
1715291400000,873.77100000,816643.20533335,2.4048,0.7063,0.2937,0.9633,0.4907,0.5093,1.9709,0.6634,0.3366,-0.0005,934.4,-0.49233894
1715291700000,873.67500000,817497.69750000,2.3967,0.7056,0.2944,0.9646,0.4910,0.5090,1.9542,0.6615,0.3385,-0.0004,935.4,-0.38636664
1715292000000,873.96900000,816898.82430000,2.4048,0.7063,0.2937,0.9649,0.4911,0.5089,1.9771,0.6641,0.3359,-0.0004,934.4,-0.39350339
1715292300000,874.46500000,817837.86136070,2.4048,0.7063,0.2937,0.9630,0.4906,0.5094,1.9878,0.6653,0.3347,-0.0009,934.9,-0.87546515
1715292600000,874.04200000,817841.09940000,2.3967,0.7056,0.2944,0.9631,0.4906,0.5094,1.9771,0.6641,0.3359,-0.0011,935.3,-1.02089566
1715292900000,875.93600000,820831.32855026,2.4002,0.7059,0.2941,0.9660,0.4914,0.5086,1.9727,0.6636,0.3364,0.0004,937.4,0.32997062
1715293200000,873.40900000,817947.52850000,2.3852,0.7046,0.2954,0.9647,0.4910,0.5090,1.9586,0.6620,0.3380,-0.0006,936.4,-0.53205495
1715293500000,873.50300000,817673.81749329,2.3852,0.7046,0.2954,0.9657,0.4913,0.5087,1.9586,0.6620,0.3380,-0.0005,936.0,-0.46866682
1715293800000,872.05200000,816763.90320000,2.4130,0.7070,0.2930,0.9621,0.4904,0.5096,2.0084,0.6676,0.3324,-0.0004,936.8,-0.40575216
1715294100000,870.37800000,815107.85793631,2.3967,0.7056,0.2944,0.9655,0.4912,0.5088,1.9789,0.6643,0.3357,-0.0002,936.3,-0.18210776
1715294400000,869.68900000,816581.74303187,2.3772,0.7039,0.2961,0.9664,0.4915,0.5085,1.9438,0.6603,0.3397,0.0002,939.1,0.21531063
1715294700000,868.38900000,818711.78746238,2.3625,0.7026,0.2974,0.9656,0.4912,0.5088,1.9560,0.6617,0.3383,-0.0002,942.6,-0.14591395
1715295000000,868.96300000,821234.63741989,2.3738,0.7036,0.2964,0.9623,0.4904,0.5096,2.0148,0.6683,0.3317,-0.0003,944.8,-0.32381543
1715295300000,867.55300000,820878.64860000,2.3422,0.7008,0.2992,0.9610,0.4900,0.5100,2.0003,0.6667,0.3333,0.0003,946.6,0.28487594
1715295600000,870.10500000,822830.99689348,2.3344,0.7001,0.2999,0.9625,0.4905,0.5095,1.9744,0.6638,0.3362,0.0003,945.9,0.31148739
1715295900000,874.40400000,825000.17400000,2.3852,0.7046,0.2954,0.9610,0.4901,0.5099,2.0130,0.6681,0.3319,0.0001,943.5,0.05107700
1715296200000,874.23600000,822939.43549671,2.4270,0.7082,0.2918,0.9620,0.4903,0.5097,2.0084,0.6676,0.3324,0.0001,941.4,0.12857776
1715296500000,874.21500000,822374.05050000,2.4317,0.7086,0.2914,0.9616,0.4902,0.5098,2.0211,0.6690,0.3310,0.0001,940.6,0.06939227
1715296800000,876.26200000,824441.32092262,2.4602,0.7110,0.2890,0.9569,0.4890,0.5110,2.0544,0.6726,0.3274,-0.0003,940.6,-0.25382070
1715297100000,876.47800000,822775.80072486,2.4602,0.7110,0.2890,0.9570,0.4890,0.5110,2.0544,0.6726,0.3274,0.0000,938.7,-0.02462187
1715297400000,876.51200000,822909.30461306,2.4662,0.7115,0.2885,0.9575,0.4891,0.5109,2.0722,0.6745,0.3255,-0.0007,938.6,-0.66494297
1715297700000,877.90000000,823855.83517690,2.4258,0.7081,0.2919,0.9638,0.4908,0.5092,2.0386,0.6709,0.3291,-0.0003,938.3,-0.32144981
1715298000000,878.49200000,824010.27120654,2.4176,0.7074,0.2926,0.9640,0.4908,0.5092,2.0211,0.6690,0.3310,0.0004,938.1,0.35202058
1715298300000,879.49600000,824897.47970191,2.4258,0.7081,0.2919,0.9629,0.4905,0.5095,2.0193,0.6688,0.3312,0.0001,938.0,0.08225859
1715298600000,880.47300000,828260.95110000,2.4037,0.7062,0.2938,0.9640,0.4908,0.5092,2.0239,0.6693,0.3307,0.0003,940.8,0.26605207
1715298900000,880.85200000,828773.71792869,2.3841,0.7045,0.2955,0.9643,0.4909,0.5091,1.9913,0.6657,0.3343,-0.0001,940.8,-0.07639538
1715299200000,883.50300000,831472.54085004,2.4130,0.7070,0.2930,0.9635,0.4907,0.5093,2.0230,0.6692,0.3308,0.0004,941.1,0.38157337
1715299500000,885.47000000,831593.17487260,2.4364,0.7090,0.2910,0.9620,0.4903,0.5097,2.0628,0.6735,0.3265,0.0003,939.3,0.23603460
1715299800000,884.80600000,834116.49274080,2.4329,0.7087,0.2913,0.9598,0.4897,0.5103,2.0581,0.6730,0.3270,-0.0003,942.5,-0.29070154
1715300100000,884.74200000,833323.72052752,2.4602,0.7110,0.2890,0.9600,0.4898,0.5102,2.0845,0.6758,0.3242,-0.0009,941.5,-0.80422917
1715300400000,884.54800000,833647.74090651,2.4247,0.7080,0.2920,0.9597,0.4897,0.5103,2.0340,0.6704,0.3296,-0.0001,942.9,-0.07423811
1715300700000,885.14800000,833498.90578065,2.4247,0.7080,0.2920,0.9592,0.4896,0.5104,2.0628,0.6735,0.3265,-0.0006,941.6,-0.54102396
1715301000000,886.08400000,832475.31091727,2.4602,0.7110,0.2890,0.9607,0.4900,0.5100,2.0798,0.6753,0.3247,0.0001,939.5,0.08875493
1715301300000,880.45500000,827891.83650000,2.4650,0.7114,0.2886,0.9596,0.4897,0.5103,2.0694,0.6742,0.3258,-0.0003,939.9,-0.30211443
1715301600000,880.65900000,828657.48201781,2.4566,0.7107,0.2893,0.9593,0.4896,0.5104,2.0713,0.6744,0.3256,-0.0002,940.7,-0.16533915
1715301900000,881.58100000,830008.51150000,2.4447,0.7097,0.2903,0.9586,0.4894,0.5106,2.0600,0.6732,0.3268,0.0000,941.8,0.00615667
1715302200000,881.38100000,828762.55430000,2.4566,0.7107,0.2893,0.9590,0.4895,0.5105,2.0912,0.6765,0.3235,-0.0010,939.7,-0.95186292
1715302500000,880.57500000,828268.84500000,2.4294,0.7084,0.2916,0.9602,0.4899,0.5101,2.0404,0.6711,0.3289,0.0001,940.8,0.07651268
1715302800000,883.21500000,831360.99398691,2.4095,0.7067,0.2933,0.9590,0.4895,0.5105,2.0102,0.6678,0.3322,0.0005,941.5,0.42807558
1715303100000,885.25000000,835295.02851068,2.3979,0.7057,0.2943,0.9590,0.4895,0.5105,2.0276,0.6697,0.3303,0.0001,943.6,0.07920941
1715303400000,885.61400000,833937.24442747,2.3864,0.7047,0.2953,0.9589,0.4895,0.5105,2.0166,0.6685,0.3315,-0.0002,941.8,-0.17065955
1715303700000,885.57100000,833524.67478632,2.4758,0.7123,0.2877,0.9587,0.4894,0.5106,2.1056,0.6780,0.3220,0.0004,941.5,0.35089725
1715304000000,885.08700000,834322.94157326,2.4734,0.7121,0.2879,0.9583,0.4893,0.5107,2.1056,0.6780,0.3220,0.0000,942.6,0.04347034
1715304300000,883.26900000,833365.54261660,2.4662,0.7115,0.2885,0.9597,0.4897,0.5103,2.0941,0.6768,0.3232,-0.0001,943.5,-0.10490803
1715304600000,883.67500000,835660.27691595,2.4614,0.7111,0.2889,0.9585,0.4894,0.5106,2.0826,0.6756,0.3244,-0.0006,945.3,-0.60641864
1715304900000,884.11200000,837425.91713357,2.4495,0.7101,0.2899,0.9584,0.4894,0.5106,2.0807,0.6754,0.3246,-0.0006,947.1,-0.57424992
1715305200000,883.86100000,837821.97023113,2.4364,0.7090,0.2910,0.9612,0.4901,0.5099,2.0826,0.6756,0.3244,0.0001,947.9,0.06357786
1715305500000,883.43600000,835442.38241513,2.4294,0.7084,0.2916,0.9608,0.4900,0.5100,2.0665,0.6739,0.3261,-0.0005,945.1,-0.50955955
1715305800000,883.08500000,834460.23244414,2.4459,0.7098,0.2902,0.9614,0.4902,0.5098,2.0600,0.6732,0.3268,0.0004,945.1,0.35752413
1715306100000,884.41700000,836080.29912673,2.4855,0.7131,0.2869,0.9618,0.4903,0.5097,2.0893,0.6763,0.3237,0.0005,945.5,0.49565730
1715306400000,884.97300000,836639.83420850,2.4977,0.7141,0.2859,0.9734,0.4933,0.5067,2.0941,0.6768,0.3232,-0.0002,945.0,-0.14653736
1715306700000,885.32400000,836011.45320000,2.4977,0.7141,0.2859,0.9712,0.4927,0.5073,2.1046,0.6779,0.3221,-0.0006,944.0,-0.60095567
1715307000000,885.07900000,834984.76768405,2.4638,0.7113,0.2887,0.9712,0.4927,0.5073,2.0931,0.6767,0.3233,-0.0007,943.4,-0.65477184
1715307300000,884.68200000,834166.65780000,2.4602,0.7110,0.2890,0.9715,0.4928,0.5072,2.0779,0.6751,0.3249,-0.0006,942.9,-0.56298106
1715307600000,883.70900000,834613.12966320,2.4459,0.7098,0.2902,0.9721,0.4929,0.5071,2.0665,0.6739,0.3261,-0.0008,944.3,-0.74730662
1715307900000,883.49400000,834503.49079187,2.4165,0.7073,0.2927,0.9710,0.4927,0.5073,2.0826,0.6756,0.3244,-0.0010,944.3,-0.90124800
1715308200000,883.11800000,834342.68670118,2.4048,0.7063,0.2937,0.9723,0.4930,0.5070,2.0469,0.6718,0.3282,-0.0016,943.9,-1.55391223
1715308500000,881.96900000,832778.87863218,2.4048,0.7063,0.2937,0.9745,0.4935,0.5065,2.0534,0.6725,0.3275,-0.0005,944.1,-0.44772969
1715308800000,881.91900000,831816.76110220,2.4048,0.7063,0.2937,0.9752,0.4937,0.5063,2.0534,0.6725,0.3275,0.0000,943.1,-0.01825891
1715309100000,882.28100000,832854.27099575,2.3807,0.7042,0.2958,0.9752,0.4937,0.5063,2.0084,0.6676,0.3324,-0.0001,943.9,-0.07449754
1715309400000,881.66400000,831756.41265583,2.3852,0.7046,0.2954,0.9745,0.4935,0.5065,2.0432,0.6714,0.3286,-0.0005,943.1,-0.50486848
1715309700000,882.42300000,831242.46600000,2.3967,0.7056,0.2944,0.9730,0.4932,0.5068,2.0600,0.6732,0.3268,-0.0006,941.9,-0.58724008
1715310000000,881.93900000,831519.43273092,2.3967,0.7056,0.2944,0.9733,0.4932,0.5068,2.0469,0.6718,0.3282,-0.0008,942.5,-0.73660426
1715310300000,880.59200000,828725.13120000,2.4530,0.7104,0.2896,0.9762,0.4940,0.5060,2.0779,0.6751,0.3249,0.0004,941.4,0.33121895
1715310600000,880.38300000,829347.68512534,2.3933,0.7053,0.2947,0.9755,0.4938,0.5062,2.0211,0.6690,0.3310,-0.0007,941.5,-0.62324189
1715310900000,881.29000000,829007.30322558,2.4002,0.7059,0.2941,0.9740,0.4934,0.5066,2.0404,0.6711,0.3289,-0.0005,940.3,-0.51598609
1715311200000,881.27500000,830026.28610558,2.4083,0.7066,0.2934,0.9734,0.4933,0.5067,2.0609,0.6733,0.3267,-0.0008,941.6,-0.77862751
1715311500000,879.89300000,828947.19530000,2.4037,0.7062,0.2938,0.9757,0.4938,0.5062,2.0497,0.6721,0.3279,-0.0002,942.1,-0.21930128
1715311800000,879.86100000,829543.27376918,2.3681,0.7031,0.2969,0.9763,0.4940,0.5060,2.0039,0.6671,0.3329,0.0003,942.8,0.23992551
1715312100000,879.90100000,827596.89860865,2.3715,0.7034,0.2966,0.9762,0.4940,0.5060,2.0404,0.6711,0.3289,0.0000,940.3,-0.01876409
1715312400000,883.53000000,829845.29140346,2.5765,0.7204,0.2796,0.9753,0.4937,0.5063,2.1726,0.6848,0.3152,0.0004,939.4,0.40889181
1715312700000,885.14700000,831163.37480971,2.5689,0.7198,0.2802,0.9756,0.4938,0.5062,2.1576,0.6833,0.3167,0.0003,938.9,0.23718250
1715313000000,885.47500000,832080.85750000,2.5817,0.7208,0.2792,0.9762,0.4940,0.5060,2.1646,0.6840,0.3160,0.0004,939.8,0.39663329
1715313300000,885.55700000,833105.56433327,2.5714,0.7200,0.2800,0.9764,0.4940,0.5060,2.1576,0.6833,0.3167,0.0004,940.7,0.38348566
1715313600000,886.09400000,833637.23520000,2.5714,0.7200,0.2800,0.9763,0.4940,0.5060,2.1506,0.6826,0.3174,0.0006,941.0,0.53765113
1715313900000,886.61800000,834443.05882030,2.5587,0.7190,0.2810,0.9761,0.4940,0.5060,2.1387,0.6814,0.3186,0.0004,941.2,0.33743658
1715314200000,886.83700000,833451.26874984,2.5461,0.7180,0.2820,0.9743,0.4935,0.5065,2.1368,0.6812,0.3188,0.0000,939.8,0.01389183
1715314500000,886.75700000,834091.91842578,2.5336,0.7170,0.2830,0.9743,0.4935,0.5065,2.1162,0.6791,0.3209,0.0001,940.7,0.13474684
1715314800000,887.00500000,834814.67731782,2.5373,0.7173,0.2827,0.9753,0.4937,0.5063,2.1066,0.6781,0.3219,0.0001,941.2,0.08301794
