timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,3550150766.00000000,4671998.40805600,2.7313,0.7320,0.2680,4.6465,0.8229,0.1771,2.2103,0.6885,0.3115,0.0002,0.001318,0.00000026
1715287200000,3551015023.00000000,4680486.37136561,2.7355,0.7323,0.2677,4.6308,0.8224,0.1776,2.2144,0.6889,0.3111,-0.0009,0.001318,-0.00000118
1715287500000,3550629194.00000000,4683279.90688600,2.7355,0.7323,0.2677,4.6307,0.8224,0.1776,2.2185,0.6893,0.3107,0.0001,0.001318,0.00000019
1715287800000,3547342111.00000000,4674900.27440246,2.7481,0.7332,0.2668,4.6224,0.8221,0.1779,2.2362,0.6910,0.3090,0.0009,0.001319,0.00000117
1715288100000,3547034431.00000000,4674565.73592628,2.7439,0.7329,0.2671,4.6179,0.8220,0.1780,2.2331,0.6907,0.3093,-0.0001,0.001319,-0.00000008
1715288400000,3547370390.00000000,4679442.70256070,2.7258,0.7316,0.2684,4.6159,0.8219,0.1781,2.2113,0.6886,0.3114,0.0017,0.001324,0.00000230
1715288700000,3550373880.00000000,4697925.72549360,2.7327,0.7321,0.2679,4.6159,0.8219,0.1781,2.2103,0.6885,0.3115,0.0010,0.001325,0.00000134
1715289000000,3553314170.00000000,4708141.27525000,2.7538,0.7336,0.2664,4.5973,0.8213,0.1787,2.2300,0.6904,0.3096,-0.0016,0.001320,-0.00000212
1715289300000,3553771690.00000000,4693572.88413370,2.7665,0.7345,0.2655,4.5995,0.8214,0.1786,2.2446,0.6918,0.3082,-0.0004,0.001319,-0.00000052
1715289600000,3553477721.00000000,4687179.25310784,2.7850,0.7358,0.2642,4.5991,0.8214,0.1786,2.2352,0.6909,0.3091,-0.0008,0.001319,-0.00000106
1715289900000,3553525336.00000000,4690404.69674648,2.7707,0.7348,0.2652,4.5944,0.8213,0.1787,2.2342,0.6908,0.3092,-0.0008,0.001319,-0.00000110
1715290200000,3553205746.00000000,4686678.37897400,2.7665,0.7345,0.2655,4.5971,0.8213,0.1787,2.2289,0.6903,0.3097,-0.0008,0.001318,-0.00000104
1715290500000,3553861490.00000000,4684167.13689450,2.7679,0.7346,0.2654,4.6121,0.8218,0.1782,2.2289,0.6903,0.3097,-0.0018,0.001316,-0.00000237
1715290800000,3553976876.00000000,4683608.42603660,2.7651,0.7344,0.2656,4.6135,0.8219,0.1781,2.2248,0.6899,0.3101,-0.0006,0.001317,-0.00000083
1715291100000,3555028055.00000000,4683145.10769315,2.7908,0.7362,0.2638,4.6238,0.8222,0.1778,2.2383,0.6912,0.3088,0.0004,0.001319,0.00000057
1715291400000,3549438347.00000000,4680608.85380543,2.7893,0.7361,0.2639,4.6603,0.8233,0.1767,2.2352,0.6909,0.3091,-0.0002,0.001321,-0.00000025
1715291700000,3553952990.00000000,4694771.89979000,2.7951,0.7365,0.2635,4.6098,0.8217,0.1783,2.2300,0.6904,0.3096,-0.0002,0.001323,-0.00000028
