,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,13443586.1,28689497.99754468,5.1387,0.8371,0.1629,2.2209,0.6895,0.3105,4.3937,0.8146,0.1854,,,,,,,
1,1715287500000,13443759.5,28675539.0135,5.1312,0.8369,0.1631,2.2208,0.6895,0.3105,4.3908,0.8145,0.1855,,,,,,,
2,1715287800000,13438951.6,28678722.7144,5.1387,0.8371,0.1629,2.2213,0.6896,0.3104,4.3908,0.8145,0.1855,,,,,,,
3,1715288100000,13438329.6,28668671.20282368,5.1387,0.8371,0.1629,2.2218,0.6896,0.3104,4.4025,0.8149,0.1851,,,,,,,
4,1715288400000,13434610.5,28709762.6385,5.1387,0.8371,0.1629,2.2216,0.6896,0.3104,4.3967,0.8147,0.1853,,,,,,,
5,1715288700000,13432559.3,28768131.30542825,5.135,0.837,0.163,2.2231,0.6897,0.3103,4.4054,0.815,0.185,,,,,,,
6,1715289000000,13432782.3,28802506.52433802,5.1275,0.8368,0.1632,2.2228,0.6897,0.3103,4.4083,0.8151,0.1849,,,,,,,
7,1715289300000,13430492.1,28741253.094,5.1275,0.8368,0.1632,2.2232,0.6897,0.3103,4.3996,0.8148,0.1852,,,,,,,
8,1715289600000,13426968.1,28720284.7659,5.1576,0.8376,0.1624,2.2249,0.6899,0.3101,4.3967,0.8147,0.1853,,,,,,,
9,1715289900000,13424827.6,28662006.926,5.169,0.8379,0.1621,2.2244,0.6899,0.3101,4.4113,0.8152,0.1848,,,,,,,
10,1715290200000,13423241.0,28645196.294,5.1767,0.8381,0.1619,2.2249,0.6899,0.3101,4.4201,0.8155,0.1845,,,,,,,
11,1715290500000,13427189.9,28640550.13169766,5.1958,0.8386,0.1614,2.2258,0.69,0.31,4.4289,0.8158,0.1842,,,,,,,
12,1715290800000,13423016.3,28684985.8331,5.192,0.8385,0.1615,2.2261,0.69,0.31,4.4318,0.8159,0.1841,,,,,,,
13,1715291100000,13421163.1,28694446.7078,5.1767,0.8381,0.1619,2.2268,0.6901,0.3099,4.423,0.8156,0.1844,,,,,,,
