timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,3332850.50000000,10025214.30400000,4.6275,0.8223,0.1777,1.3472,0.5740,0.4260,3.3649,0.7709,0.2291,-0.0009,3.012000,-0.00257724
1715287200000,3332683.20000000,10037979.07730218,4.6433,0.8228,0.1772,1.3475,0.5740,0.4260,3.3725,0.7713,0.2287,-0.0018,3.006000,-0.00541017
1715287500000,3333728.60000000,10022035.83877112,4.5772,0.8207,0.1793,1.3483,0.5742,0.4258,3.3384,0.7695,0.2305,-0.0012,3.008000,-0.00350891
1715287800000,3334643.30000000,10030607.04640000,4.5835,0.8209,0.1791,1.3485,0.5742,0.4258,3.3234,0.7687,0.2313,-0.0015,3.010000,-0.00440702
1715288100000,3333248.30000000,10033826.99721019,4.5710,0.8205,0.1795,1.3492,0.5743,0.4257,3.3011,0.7675,0.2325,-0.0013,3.014000,-0.00405651
1715288400000,3330113.00000000,10041296.58893278,4.5835,0.8209,0.1791,1.3495,0.5744,0.4256,3.3346,0.7693,0.2307,-0.0005,3.025000,-0.00151974
1715288700000,3329361.40000000,10068663.30233880,4.5835,0.8209,0.1791,1.3491,0.5743,0.4257,3.3328,0.7692,0.2308,-0.0003,3.028000,-0.00096119
1715289000000,3329937.00000000,10076947.12644750,4.5991,0.8214,0.1786,1.3502,0.5745,0.4255,3.3197,0.7685,0.2315,-0.0021,3.019000,-0.00625711
1715289300000,3326232.40000000,10046737.61210468,4.6211,0.8221,0.1779,1.3505,0.5746,0.4254,3.3403,0.7696,0.2304,-0.0009,3.020000,-0.00275257
1715289600000,3323883.50000000,10038128.17000000,4.5991,0.8214,0.1786,1.3496,0.5744,0.4256,3.3309,0.7691,0.2309,-0.0003,3.021000,-0.00079396
1715289900000,3321037.80000000,10032855.19380000,4.6022,0.8215,0.1785,1.3499,0.5745,0.4255,3.3309,0.7691,0.2309,-0.0011,3.015000,-0.00334705
1715290200000,3321730.70000000,10018339.79120000,4.5960,0.8213,0.1787,1.3507,0.5746,0.4254,3.2974,0.7673,0.2327,-0.0016,3.016000,-0.00487500
1715290500000,3322030.50000000,10023916.82254191,4.5897,0.8211,0.1789,1.3503,0.5745,0.4255,3.2992,0.7674,0.2326,-0.0009,3.018000,-0.00275322
1715290800000,3321314.40000000,10023726.85920000,4.5991,0.8214,0.1786,1.3497,0.5744,0.4256,3.3066,0.7678,0.2322,-0.0004,3.026000,-0.00129027
1715291100000,3320501.40000000,10047837.23640000,4.5835,0.8209,0.1791,1.3500,0.5745,0.4255,3.3029,0.7676,0.2324,-0.0001,3.029000,-0.00039706
1715291400000,3319673.80000000,10055291.94020000,4.5648,0.8203,0.1797,1.3493,0.5743,0.4257,3.3085,0.7679,0.2321,0.0003,3.036000,0.00105789
1715291700000,3322519.90000000,10083918.13457069,4.5804,0.8208,0.1792,1.3497,0.5744,0.4256,3.3234,0.7687,0.2313,-0.0001,3.032000,-0.00020262
1715292000000,3322503.80000000,10074120.91168098,4.5866,0.8210,0.1790,1.3482,0.5741,0.4259,3.3917,0.7723,0.2277,-0.0003,3.030000,-0.00077983
1715292300000,3321704.00000000,10067769.66072448,4.5960,0.8213,0.1787,1.3493,0.5743,0.4257,3.3917,0.7723,0.2277,0.0003,3.032000,0.00099044
1715292600000,3321929.50000000,10069283.14713391,4.5928,0.8212,0.1788,1.3498,0.5744,0.4256,3.3956,0.7725,0.2275,0.0004,3.036000,0.00117387
1715292900000,3321833.50000000,10083087.59269138,4.5617,0.8202,0.1798,1.3494,0.5744,0.4256,3.3573,0.7705,0.2295,0.0003,3.033000,0.00085057
1715293200000,3320948.30000000,10069115.24560000,4.5835,0.8209,0.1791,1.3538,0.5751,0.4249,3.3592,0.7706,0.2294,0.0008,3.041000,0.00252745
1715293500000,3340970.40000000,10156541.63016430,4.5310,0.8192,0.1808,1.3461,0.5738,0.4262,3.3745,0.7714,0.2286,0.0001,3.040000,0.00027853
1715293800000,3376671.50000000,10264333.32596261,4.5157,0.8187,0.1813,1.3468,0.5739,0.4261,3.3422,0.7697,0.2303,-0.0006,3.037000,-0.00187758
1715294100000,3377236.80000000,10260877.27936858,4.5279,0.8191,0.1809,1.3478,0.5741,0.4259,3.3271,0.7689,0.2311,-0.0001,3.046000,-0.00017608
1715294400000,3376927.30000000,10286886.88191219,4.5402,0.8195,0.1805,1.3477,0.5741,0.4259,3.3403,0.7696,0.2304,0.0009,3.055000,0.00271533
1715294700000,3375268.40000000,10304695.87656541,4.5648,0.8203,0.1797,1.3483,0.5742,0.4258,3.3668,0.7710,0.2290,-0.0001,3.061000,-0.00033936
1715295000000,3373239.70000000,10326782.11320959,4.5679,0.8204,0.1796,1.3486,0.5742,0.4258,3.3630,0.7708,0.2292,-0.0002,3.065000,-0.00076475
1715295300000,3370463.20000000,10330821.68547198,4.5741,0.8206,0.1794,1.3492,0.5743,0.4257,3.3745,0.7714,0.2286,-0.0005,3.061000,-0.00161026
1715295600000,3369838.30000000,10317030.95784609,4.6529,0.8231,0.1769,1.3497,0.5744,0.4256,3.4623,0.7759,0.2241,-0.0016,3.051000,-0.00473943
1715295900000,3356992.00000000,10246733.66605440,4.6085,0.8217,0.1783,1.3511,0.5747,0.4253,3.3821,0.7718,0.2282,-0.0013,3.046000,-0.00410385
1715296200000,3364732.70000000,10252340.53690000,4.5741,0.8206,0.1794,1.3496,0.5744,0.4256,3.4033,0.7729,0.2271,-0.0007,3.047000,-0.00204901
1715296500000,3365382.00000000,10255996.89981138,4.5772,0.8207,0.1793,1.3496,0.5744,0.4256,3.4326,0.7744,0.2256,0.0003,3.050000,0.00085273
1715296800000,3364548.40000000,10258508.07160000,4.5741,0.8206,0.1794,1.3503,0.5745,0.4255,3.4131,0.7734,0.2266,-0.0010,3.047000,-0.00301235
1715297100000,3364559.20000000,10252511.20602972,4.5463,0.8197,0.1803,1.3520,0.5748,0.4252,3.3178,0.7684,0.2316,-0.0005,3.050000,-0.00161045
1715297400000,3367777.10000000,10275087.93210000,4.4526,0.8166,0.1834,1.3505,0.5746,0.4254,3.2882,0.7668,0.2332,-0.0013,3.048000,-0.00399948
1715297700000,3374118.00000000,10289954.91009618,4.4675,0.8171,0.1829,1.3500,0.5745,0.4255,3.3403,0.7696,0.2304,-0.0009,3.041000,-0.00266632
1715298000000,3372254.60000000,10255026.23860000,4.4915,0.8179,0.1821,1.3497,0.5744,0.4256,3.3384,0.7695,0.2305,-0.0006,3.041000,-0.00168678
