,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,6994894.0,3711863.79409702,4.1256,0.8049,0.1951,2.6116,0.7231,0.2769,3.0984,0.756,0.244,,,,,,,
1,1715287200000,6998560.0,3720214.8112016,4.0633,0.8025,0.1975,2.5918,0.7216,0.2784,3.1203,0.7573,0.2427,,,,,,,
2,1715287500000,7000824.0,3717539.12595624,4.0891,0.8035,0.1965,2.5914,0.7216,0.2784,3.1322,0.758,0.242,,,,,,,
3,1715287800000,6986357.0,3718139.1954,4.01,0.8004,0.1996,2.5878,0.7213,0.2787,3.0833,0.7551,0.2449,,,,,,,
4,1715288100000,6992384.0,3720867.92634368,3.948,0.7979,0.2021,2.5934,0.7217,0.2783,3.0437,0.7527,0.2473,,,,,,,
5,1715288400000,6988551.0,3719350.24110171,3.9652,0.7986,0.2014,2.5835,0.7209,0.2791,3.0634,0.7539,0.2461,,,,,,,
6,1715288700000,6983757.0,3731421.3651,3.8924,0.7956,0.2044,2.5932,0.7217,0.2783,3.0339,0.7521,0.2479,,,,,,,
7,1715289000000,6991696.0,3738870.12392128,3.9505,0.798,0.202,2.573,0.7201,0.2799,3.1118,0.7568,0.2432,,,,,,,
8,1715289300000,6999808.0,3737897.472,3.9237,0.7969,0.2031,2.5773,0.7205,0.2795,3.0883,0.7554,0.2446,,,,,,,
9,1715289600000,7001079.0,3733675.4307,3.8924,0.7956,0.2044,2.5751,0.7203,0.2797,3.075,0.7546,0.2454,,,,,,,
10,1715289900000,6995194.0,3726644.4844987,3.902,0.796,0.204,2.5775,0.7205,0.2795,3.085,0.7552,0.2448,,,,,,,
11,1715290200000,6995889.0,3724919.89226379,3.8924,0.7956,0.2044,2.5798,0.7207,0.2793,3.0568,0.7535,0.2465,,,,,,,
12,1715290500000,6989700.0,3723413.19,3.8733,0.7948,0.2052,2.5919,0.7216,0.2784,3.0388,0.7524,0.2476,,,,,,,
13,1715290800000,6998665.0,3730988.3115,3.8054,0.7919,0.2081,2.5765,0.7204,0.2796,2.9293,0.7455,0.2545,,,,,,,
14,1715291100000,6999860.0,3738847.6115522,3.7939,0.7914,0.2086,2.5715,0.72,0.28,2.9154,0.7446,0.2554,,,,,,,
15,1715291400000,6998838.0,3740206.81258686,3.7939,0.7914,0.2086,2.5708,0.72,0.28,2.9154,0.7446,0.2554,,,,,,,
16,1715291700000,7017875.0,3755008.7600625,3.878,0.795,0.205,2.5562,0.7188,0.2812,2.9872,0.7492,0.2508,,,,,,,
17,1715292000000,7020546.0,3751779.7824,3.9164,0.7966,0.2034,2.5557,0.7188,0.2812,3.0225,0.7514,0.2486,,,,,,,
18,1715292300000,7013148.0,3751506.440613,3.8876,0.7954,0.2046,2.5612,0.7192,0.2808,2.992,0.7495,0.2505,,,,,,,
19,1715292600000,7018021.0,3760957.4539,3.8614,0.7943,0.2057,2.5605,0.7191,0.2809,2.9984,0.7499,0.2501,,,,,,,
20,1715292900000,7017108.0,3766783.5744,3.8544,0.794,0.206,2.5548,0.7187,0.2813,3.0209,0.7513,0.2487,,,,,,,
21,1715293200000,7013613.0,3759403.94641503,3.8733,0.7948,0.2052,2.5665,0.7196,0.2804,3.0323,0.752,0.248,,,,,,,
22,1715293500000,7008024.0,3757786.00444608,3.8804,0.7951,0.2049,2.5572,0.7189,0.2811,3.0453,0.7528,0.2472,,,,,,,
23,1715293800000,7004833.0,3761305.3209138,3.8733,0.7948,0.2052,2.5564,0.7188,0.2812,3.0437,0.7527,0.2473,,,,,,,
24,1715294100000,7004184.0,3762216.39719112,3.8852,0.7953,0.2047,2.5601,0.7191,0.2809,3.0339,0.7521,0.2479,,,,,,,
25,1715294400000,7004251.0,3769465.29310322,3.8996,0.7959,0.2041,2.5718,0.72,0.28,3.0535,0.7533,0.2467,,,,,,,
26,1715294700000,6998408.0,3776497.51118696,3.9068,0.7962,0.2038,2.563,0.7193,0.2807,3.0306,0.7519,0.2481,,,,,,,
27,1715295000000,7021208.0,3804255.07151552,3.89,0.7955,0.2045,2.5634,0.7194,0.2806,3.008,0.7505,0.2495,,,,,,,
28,1715295300000,7020794.0,3809356.0990683,3.8591,0.7942,0.2058,2.5665,0.7196,0.2804,3.0177,0.7511,0.2489,,,,,,,
29,1715295600000,7021920.0,3808689.408,3.8828,0.7952,0.2048,2.5608,0.7192,0.2808,3.0225,0.7514,0.2486,,,,,,,
30,1715295900000,7022825.0,3807073.4325,3.8709,0.7947,0.2053,2.5599,0.7191,0.2809,3.0274,0.7517,0.2483,,,,,,,
31,1715296200000,7024213.0,3802401.27832649,3.9237,0.7969,0.2031,2.5752,0.7203,0.2797,3.065,0.754,0.246,,,,,,,
