,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,182000.4,7296396.036,3.008,0.7505,0.2495,1.655,0.6234,0.3766,2.8329,0.7391,0.2609,,,,,,,
1,1715287200000,181849.3,7301429.26759811,3.0032,0.7502,0.2498,1.653,0.6231,0.3769,2.8344,0.7392,0.2608,,,,,,,
2,1715287500000,181650.7,7297474.0703815,2.9952,0.7497,0.2503,1.6541,0.6232,0.3768,2.8256,0.7386,0.2614,,,,,,,
3,1715287800000,181660.9,7305978.0481722,2.9793,0.7487,0.2513,1.6548,0.6233,0.3767,2.8081,0.7374,0.2626,,,,,,,
4,1715288100000,181547.6,7304100.68021566,2.9714,0.7482,0.2518,1.6578,0.6238,0.3762,2.8037,0.7371,0.2629,,,,,,,
5,1715288400000,181571.9,7304674.90994418,2.9651,0.7478,0.2522,1.6575,0.6237,0.3763,2.8008,0.7369,0.2631,,,,,,,
6,1715288700000,181591.2,7317306.77229317,3.0209,0.7513,0.2487,1.6565,0.6236,0.3764,2.8329,0.7391,0.2609,,,,,,,
7,1715289000000,181873.9,7334921.01610405,3.0128,0.7508,0.2492,1.6551,0.6234,0.3766,2.83,0.7389,0.2611,,,,,,,
8,1715289300000,181926.1,7327750.85738351,3.0258,0.7516,0.2484,1.6557,0.6234,0.3766,2.8285,0.7388,0.2612,,,,,,,
9,1715289600000,182108.3,7329859.075,2.973,0.7483,0.2517,1.6517,0.6229,0.3771,2.8037,0.7371,0.2629,,,,,,,
10,1715289900000,182250.4,7342888.17146792,2.9541,0.7471,0.2529,1.6517,0.6229,0.3771,2.7965,0.7366,0.2634,,,,,,,
11,1715290200000,182199.3,7340809.797,2.9463,0.7466,0.2534,1.655,0.6234,0.3766,2.7922,0.7363,0.2637,,,,,,,
