,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,864050.6,12463929.905,3.0306,0.7519,0.2481,2.4443,0.7097,0.2903,2.5039,0.7146,0.2854,,,,,,,
1,1715287200000,864172.2,12475808.12527532,3.0339,0.7521,0.2479,2.4456,0.7098,0.2902,2.5063,0.7148,0.2852,,,,,,,
2,1715287500000,864008.4,12474553.2792,3.1017,0.7562,0.2438,2.4468,0.7099,0.2901,2.5932,0.7217,0.2783,,,,,,,
3,1715287800000,864008.6,12467004.61931488,3.1305,0.7579,0.2421,2.4514,0.7103,0.2897,2.6206,0.7238,0.2762,,,,,,,
4,1715288100000,862482.9,12447479.71316694,3.122,0.7574,0.2426,2.4535,0.7104,0.2896,2.5958,0.7219,0.2781,,,,,,,
5,1715288400000,863029.2,12471467.99031038,3.0552,0.7534,0.2466,2.4514,0.7103,0.2897,2.5499,0.7183,0.2817,,,,,,,
6,1715288700000,863343.8,12508317.81087117,3.0016,0.7501,0.2499,2.4494,0.7101,0.2899,2.5224,0.7161,0.2839,,,,,,,
7,1715289000000,863297.1,12525886.02815601,2.9968,0.7498,0.2502,2.4521,0.7103,0.2897,2.5174,0.7157,0.2843,,,,,,,
8,1715289300000,861948.8,12498921.80912579,2.9777,0.7486,0.2514,2.4467,0.7099,0.2901,2.4904,0.7135,0.2865,,,,,,,
9,1715289600000,861993.7,12488477.23323945,2.9809,0.7488,0.2512,2.4435,0.7096,0.2904,2.4843,0.713,0.287,,,,,,,
10,1715289900000,862114.1,12494619.6513,2.9793,0.7487,0.2513,2.4461,0.7098,0.2902,2.4904,0.7135,0.2865,,,,,,,
11,1715290200000,861805.3,12476355.3281,2.9888,0.7493,0.2507,2.446,0.7098,0.2902,2.5002,0.7143,0.2857,,,,,,,
12,1715290500000,861857.6,12479177.6669997,2.9857,0.7491,0.2509,2.4434,0.7096,0.2904,2.4941,0.7138,0.2862,,,,,,,
