timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,2831652.52000000,78074323.28144000,1.6724,0.6258,0.3742,1.8917,0.6542,0.3458,1.8098,0.6441,0.3559,-0.0005,27.569,-0.01500956
1715287200000,2830646.57000000,78106031.06076819,1.6681,0.6252,0.3748,1.8914,0.6541,0.3459,1.8019,0.6431,0.3569,-0.0003,27.593,-0.00765868
1715287500000,2830655.67000000,78044007.47757000,1.6717,0.6257,0.3743,1.8912,0.6541,0.3459,1.8137,0.6446,0.3554,-0.0004,27.571,-0.00967216
1715287800000,2828861.40000000,77957815.70037155,1.6831,0.6273,0.3727,1.8958,0.6547,0.3453,1.8217,0.6456,0.3544,-0.0006,27.551,-0.01779282
1715288100000,2819780.68000000,77612894.82678798,1.7064,0.6305,0.3695,1.8921,0.6542,0.3458,1.8482,0.6489,0.3511,-0.0006,27.516,-0.01697567
1715288400000,2819138.80000000,77714690.72696048,1.7034,0.6301,0.3699,1.8919,0.6542,0.3458,1.8450,0.6485,0.3515,-0.0011,27.546,-0.02902218
1715288700000,2818099.88000000,77786564.51333359,1.7005,0.6297,0.3703,1.8896,0.6539,0.3461,1.8450,0.6485,0.3515,-0.0004,27.597,-0.01207717
1715289000000,2818370.88000000,77877224.15616000,1.7071,0.6306,0.3694,1.8894,0.6539,0.3461,1.8409,0.6480,0.3520,-0.0004,27.632,-0.01129790
1715289300000,2818178.95000000,77700758.22514491,1.7078,0.6307,0.3693,1.8893,0.6539,0.3461,1.8401,0.6479,0.3521,-0.0009,27.569,-0.02593343
1715289600000,2816098.60000000,77577884.23280000,1.7078,0.6307,0.3693,1.8896,0.6539,0.3461,1.8369,0.6475,0.3525,-0.0002,27.548,-0.00578842
1715289900000,2816298.63000000,77490456.80445000,1.7137,0.6315,0.3685,1.8898,0.6540,0.3460,1.8458,0.6486,0.3514,-0.0003,27.515,-0.00865649
1715290200000,2816450.51000000,77521496.13034135,1.7122,0.6313,0.3687,1.8920,0.6542,0.3458,1.8425,0.6482,0.3518,-0.0009,27.515,-0.02381669
1715290500000,2815602.69000000,77459385.76809959,1.7144,0.6316,0.3684,1.8908,0.6541,0.3459,1.8531,0.6495,0.3505,-0.0006,27.509,-0.01731487
1715290800000,2814442.70000000,77416833.41370377,1.7152,0.6317,0.3683,1.8906,0.6541,0.3459,1.8474,0.6488,0.3512,-0.0004,27.504,-0.01154423
1715291100000,2815474.81000000,77428372.74981000,1.7189,0.6322,0.3678,1.8924,0.6543,0.3457,1.8450,0.6485,0.3515,-0.0005,27.501,-0.01335319
1715291400000,2814767.53000000,77476168.97507875,1.7137,0.6315,0.3685,1.8935,0.6544,0.3456,1.8401,0.6479,0.3521,-0.0006,27.519,-0.01553889
1715291700000,2812649.91000000,77508193.56987000,1.7189,0.6322,0.3678,1.8940,0.6545,0.3455,1.8433,0.6483,0.3517,-0.0001,27.557,-0.00267739
1715292000000,2812908.37000000,77436554.51773000,1.7159,0.6318,0.3682,1.8952,0.6546,0.3454,1.8458,0.6486,0.3514,-0.0004,27.530,-0.01065472
1715292300000,2812010.49000000,77396235.01388875,1.7034,0.6301,0.3699,1.8946,0.6545,0.3455,1.8337,0.6471,0.3529,-0.0006,27.518,-0.01685645
1715292600000,2816076.43000000,77540936.27958626,1.6925,0.6286,0.3714,1.8977,0.6549,0.3451,1.8233,0.6458,0.3542,-0.0009,27.530,-0.02380195
1715292900000,2816979.36000000,77666937.93456000,1.6903,0.6283,0.3717,1.8991,0.6551,0.3449,1.8193,0.6453,0.3547,-0.0004,27.571,-0.01033774
1715293200000,2815558.11000000,77616211.56549479,1.6853,0.6276,0.3724,1.8982,0.6550,0.3450,1.8145,0.6447,0.3553,-0.0007,27.565,-0.01957820
1715293500000,2814768.27000000,77552495.37504000,1.6860,0.6277,0.3723,1.8967,0.6548,0.3452,1.8153,0.6448,0.3552,-0.0006,27.551,-0.01597749
1715293800000,2813649.48000000,77600452.65840000,1.6810,0.6270,0.3730,1.8931,0.6544,0.3456,1.8121,0.6444,0.3556,-0.0005,27.579,-0.01321204
1715294100000,2813693.28000000,77578049.69592555,1.6838,0.6274,0.3726,1.8923,0.6543,0.3457,1.8121,0.6444,0.3556,-0.0008,27.566,-0.02182661
1715294400000,2807096.72000000,77562013.29122078,1.6969,0.6292,0.3708,1.8902,0.6540,0.3460,1.8257,0.6461,0.3539,-0.0008,27.622,-0.02239007
1715294700000,2808620.04000000,77768777.66974898,1.6940,0.6288,0.3712,1.8898,0.6540,0.3460,1.8281,0.6464,0.3536,-0.0006,27.686,-0.01657022
1715295000000,2798555.96000000,77646024.16025065,1.6860,0.6277,0.3723,1.8839,0.6532,0.3468,1.8217,0.6456,0.3544,-0.0007,27.740,-0.02035387
1715295300000,2806100.48000000,78012399.44448000,1.6681,0.6252,0.3748,1.8894,0.6539,0.3461,1.7988,0.6427,0.3573,-0.0005,27.794,-0.01315731
1715295600000,2806287.22000000,77908959.62493380,1.6638,0.6246,0.3754,1.8875,0.6537,0.3463,1.7894,0.6415,0.3585,-0.0008,27.759,-0.02173813
1715295900000,2809412.39000000,78000525.59596000,1.6759,0.6263,0.3737,1.8905,0.6540,0.3460,1.7910,0.6417,0.3583,-0.0004,27.765,-0.01011534
1715296200000,2804861.08000000,77706993.36084922,1.6802,0.6269,0.3731,1.8910,0.6541,0.3459,1.7964,0.6424,0.3576,-0.0008,27.702,-0.02129156
1715296500000,2799759.31000000,77479232.63725800,1.6788,0.6267,0.3733,1.8906,0.6540,0.3460,1.7988,0.6427,0.3573,-0.0004,27.677,-0.01084893
1715296800000,2803628.24000000,77572462.15328187,1.6846,0.6275,0.3725,1.8932,0.6544,0.3456,1.7980,0.6426,0.3574,-0.0005,27.667,-0.01266216
1715297100000,2801930.74000000,77421334.41828017,1.6874,0.6279,0.3721,1.8926,0.6543,0.3457,1.8035,0.6433,0.3567,-0.0007,27.629,-0.02011665
1715297400000,2802790.36000000,77520643.94831410,1.6802,0.6269,0.3731,1.8932,0.6544,0.3456,1.7949,0.6422,0.3578,-0.0006,27.652,-0.01627844
1715297700000,2803334.18000000,77452120.26022430,1.6860,0.6277,0.3723,1.8943,0.6545,0.3455,1.8066,0.6437,0.3563,-0.0008,27.622,-0.02212007
1715298000000,2801193.19000000,77232807.44230346,1.6918,0.6285,0.3715,1.8923,0.6543,0.3457,1.8090,0.6440,0.3560,-0.0005,27.570,-0.01274205
1715298300000,2799844.81000000,77160923.11879000,1.6983,0.6294,0.3706,1.8919,0.6542,0.3458,1.8185,0.6452,0.3548,-0.0003,27.558,-0.00773299
1715298600000,2800678.16000000,77416345.69872000,1.6932,0.6287,0.3713,1.8943,0.6545,0.3455,1.8106,0.6442,0.3558,-0.0004,27.641,-0.00975986
1715298900000,2799805.35000000,77411818.12215000,1.6947,0.6289,0.3711,1.8929,0.6543,0.3457,1.8090,0.6440,0.3560,-0.0004,27.650,-0.01147032
1715299200000,2805571.22000000,77566587.24914294,1.6925,0.6286,0.3714,1.8947,0.6545,0.3455,1.8121,0.6444,0.3556,-0.0009,27.639,-0.02438830
1715299500000,2810239.22000000,77410858.63119268,1.6918,0.6285,0.3715,1.8946,0.6545,0.3455,1.8169,0.6450,0.3550,-0.0006,27.546,-0.01786371
1715299800000,2816959.36000000,77665600.07584588,1.6954,0.6290,0.3710,1.8917,0.6542,0.3458,1.8217,0.6456,0.3544,-0.0008,27.560,-0.02305253
1715300100000,2817110.64000000,77687460.11928000,1.6954,0.6290,0.3710,1.8895,0.6539,0.3461,1.8145,0.6447,0.3553,-0.0003,27.578,-0.00874004
1715300400000,2816223.37000000,77615116.07720000,1.6961,0.6291,0.3709,1.8927,0.6543,0.3457,1.8169,0.6450,0.3550,-0.0005,27.559,-0.01313702
