,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,10076064.7,38108606.11160793,1.886,0.6535,0.3465,0.9287,0.4815,0.5185,2.3445,0.701,0.299,,,,,,,
1,1715287200000,10065596.0,38069300.59993256,1.9265,0.6583,0.3417,0.9258,0.4807,0.5193,2.406,0.7064,0.2936,,,,,,,
2,1715287500000,10011932.9,37775022.8317,1.9429,0.6602,0.3398,0.9238,0.4802,0.5198,2.427,0.7082,0.2918,,,,,,,
3,1715287800000,10001508.4,37715688.1764,1.9248,0.6581,0.3419,0.925,0.4805,0.5195,2.4048,0.7063,0.2937,,,,,,,
4,1715288100000,10005372.5,37730811.79395455,1.9283,0.6585,0.3415,0.9235,0.4801,0.5199,2.4165,0.7073,0.2927,,,,,,,
5,1715288400000,10002936.7,37761340.11709218,1.9377,0.6596,0.3404,0.925,0.4805,0.5195,2.4176,0.7074,0.2926,,,,,,,
6,1715288700000,10010396.1,37875354.80485616,1.9326,0.659,0.341,0.9227,0.4799,0.5201,2.4247,0.708,0.292,,,,,,,
7,1715289000000,10006121.7,37873170.6345,1.9525,0.6613,0.3387,0.923,0.48,0.52,2.4352,0.7089,0.2911,,,,,,,
8,1715289300000,9994682.8,37754322.69172507,1.9481,0.6608,0.3392,0.9222,0.4798,0.5202,2.4247,0.708,0.292,,,,,,,
9,1715289600000,9989480.6,37684694.6173859,1.9412,0.66,0.34,0.922,0.4797,0.5203,2.4211,0.7077,0.2923,,,,,,,
10,1715289900000,9986336.1,37663884.72904251,1.9317,0.6589,0.3411,0.9229,0.4799,0.5201,2.4106,0.7068,0.2932,,,,,,,
11,1715290200000,9994453.6,37600029.94624256,1.93,0.6587,0.3413,0.922,0.4797,0.5203,2.406,0.7064,0.2936,,,,,,,
12,1715290500000,9991636.3,37620833.92477248,1.9351,0.6593,0.3407,0.9218,0.4796,0.5204,2.4037,0.7062,0.2938,,,,,,,
13,1715290800000,9991603.9,37575935.15785721,1.9283,0.6585,0.3415,0.9202,0.4792,0.5208,2.3956,0.7055,0.2945,,,,,,,
14,1715291100000,9989957.6,37637908.21114671,1.9291,0.6586,0.3414,0.92,0.4792,0.5208,2.4002,0.7059,0.2941,,,,,,,
15,1715291400000,9986704.5,37672803.54105815,1.9257,0.6582,0.3418,0.9189,0.4789,0.5211,2.4037,0.7062,0.2938,,,,,,,
16,1715291700000,9981973.8,37811823.96079861,1.9231,0.6579,0.3421,0.9201,0.4792,0.5208,2.3956,0.7055,0.2945,,,,,,,
17,1715292000000,9983353.7,37776802.74704304,1.9138,0.6568,0.3432,0.9192,0.4789,0.5211,2.3956,0.7055,0.2945,,,,,,,
18,1715292300000,9973201.2,37779663.28253764,1.9095,0.6563,0.3437,0.9189,0.4789,0.5211,2.3944,0.7054,0.2946,,,,,,,
19,1715292600000,9966722.2,37814116.98154473,1.9112,0.6565,0.3435,0.9196,0.4791,0.5209,2.391,0.7051,0.2949,,,,,,,
20,1715292900000,9977760.6,37945423.5618,1.8877,0.6537,0.3463,0.919,0.4789,0.5211,2.3613,0.7025,0.2975,,,,,,,
21,1715293200000,9977693.0,37965121.865,1.9061,0.6559,0.3441,0.9179,0.4786,0.5214,2.3887,0.7049,0.2951,,,,,,,
22,1715293500000,9974555.5,37943209.122,1.8927,0.6543,0.3457,0.9195,0.479,0.521,2.3591,0.7023,0.2977,,,,,,,
23,1715293800000,9997268.3,38219556.7109,1.8927,0.6543,0.3457,0.9212,0.4795,0.5205,2.3704,0.7033,0.2967,,,,,,,
24,1715294100000,10063874.5,38462332.9437892,1.8986,0.655,0.345,0.919,0.4789,0.5211,2.391,0.7051,0.2949,,,,,,,
25,1715294400000,10052307.3,38564510.98932628,1.8935,0.6544,0.3456,0.9194,0.479,0.521,2.3681,0.7031,0.2969,,,,,,,
26,1715294700000,10036785.1,38688317.47289569,1.8744,0.6521,0.3479,0.9108,0.4767,0.5233,2.3647,0.7028,0.2972,,,,,,,
27,1715295000000,10057702.0,38856493.02330592,1.886,0.6535,0.3465,0.9138,0.4775,0.5225,2.3898,0.705,0.295,,,,,,,
28,1715295300000,10019314.6,38754661.58163509,1.8944,0.6545,0.3455,0.9145,0.4777,0.5223,2.4037,0.7062,0.2938,,,,,,,
29,1715295600000,10019470.4,38635451.88923004,1.9163,0.6571,0.3429,0.9152,0.4779,0.5221,2.4364,0.709,0.291,,,,,,,
30,1715295900000,10006148.0,38403596.024,1.936,0.6594,0.3406,0.9181,0.4787,0.5213,2.4614,0.7111,0.2889,,,,,,,
31,1715296200000,9997709.4,38191249.908,1.8994,0.6551,0.3449,0.9162,0.4781,0.5219,2.4282,0.7083,0.2917,,,,,,,
32,1715296500000,9978183.0,38127327.33413628,1.8986,0.655,0.345,0.9154,0.4779,0.5221,2.4188,0.7075,0.2925,,,,,,,
33,1715296800000,9934048.7,37977868.1801,1.9044,0.6557,0.3443,0.9144,0.4776,0.5224,2.4258,0.7081,0.2919,,,,,,,
34,1715297100000,9929289.0,37890166.824,1.8835,0.6532,0.3468,0.9156,0.478,0.522,2.3944,0.7054,0.2946,,,,,,,
35,1715297400000,9919903.5,37943630.8875,1.8818,0.653,0.347,0.9165,0.4782,0.5218,2.3795,0.7041,0.2959,,,,,,,
36,1715297700000,9911704.9,37912271.2425,1.8827,0.6531,0.3469,0.9163,0.4782,0.5218,2.3841,0.7045,0.2955,,,,,,,
37,1715298000000,9897311.0,37768138.776,1.891,0.6541,0.3459,0.916,0.4781,0.5219,2.3967,0.7056,0.2944,,,,,,,
38,1715298300000,9872941.3,37675144.0008,1.8902,0.654,0.346,0.9153,0.4779,0.5221,2.4025,0.7061,0.2939,,,,,,,
39,1715298600000,9856529.5,37681512.2785,1.891,0.6541,0.3459,0.9152,0.4779,0.5221,2.4083,0.7066,0.2934,,,,,,,
40,1715298900000,9859300.4,37662527.528,1.8994,0.6551,0.3449,0.9161,0.4781,0.5219,2.4188,0.7075,0.2925,,,,,,,
41,1715299200000,9853477.2,37600868.9952,1.9231,0.6579,0.3421,0.9177,0.4785,0.5215,2.4518,0.7103,0.2897,,,,,,,
42,1715299500000,9820845.6,37289750.7432,1.9231,0.6579,0.3421,0.9181,0.4786,0.5214,2.4352,0.7089,0.2911,,,,,,,
43,1715299800000,9820362.8,37366480.454,1.9274,0.6584,0.3416,0.917,0.4784,0.5216,2.453,0.7104,0.2896,,,,,,,
44,1715300100000,9817423.4,37320119.71808663,1.924,0.658,0.342,0.9171,0.4784,0.5216,2.4376,0.7091,0.2909,,,,,,,
45,1715300400000,9824248.9,37312497.3222,1.9308,0.6588,0.3412,0.9158,0.478,0.522,2.4674,0.7116,0.2884,,,,,,,
46,1715300700000,9816278.9,37154615.6365,1.9455,0.6605,0.3395,0.9158,0.478,0.522,2.4771,0.7124,0.2876,,,,,,,
47,1715301000000,9835791.6,37159620.6648,1.9394,0.6598,0.3402,0.9151,0.4778,0.5222,2.4554,0.7106,0.2894,,,,,,,
48,1715301300000,9836041.6,37208073.83589049,1.9438,0.6603,0.3397,0.9149,0.4778,0.5222,2.4614,0.7111,0.2889,,,,,,,
49,1715301600000,9845727.9,37143703.02039607,1.9455,0.6605,0.3395,0.9137,0.4774,0.5226,2.4614,0.7111,0.2889,,,,,,,
50,1715301900000,9844517.4,37251653.8416,1.9377,0.6596,0.3404,0.9156,0.478,0.522,2.4352,0.7089,0.2911,,,,,,,
51,1715302200000,9867847.0,37263650.24883732,1.9257,0.6582,0.3418,0.9146,0.4777,0.5223,2.4282,0.7083,0.2917,,,,,,,
52,1715302500000,9870129.1,37338698.3853,1.9308,0.6588,0.3412,0.9143,0.4776,0.5224,2.4376,0.7091,0.2909,,,,,,,
53,1715302800000,9874790.9,37385958.3474,1.9112,0.6565,0.3435,0.9161,0.4781,0.5219,2.413,0.707,0.293,,,,,,,
54,1715303100000,9902200.2,37669844.93849587,1.9155,0.657,0.343,0.9175,0.4785,0.5215,2.4048,0.7063,0.2937,,,,,,,
55,1715303400000,9915620.6,37570286.4534,1.9172,0.6572,0.3428,0.9164,0.4782,0.5218,2.42,0.7076,0.2924,,,,,,,
56,1715303700000,9918241.4,37520707.2162,1.924,0.658,0.342,0.9148,0.4778,0.5222,2.4106,0.7068,0.2932,,,,,,,
57,1715304000000,9904874.1,37557987.2277652,1.9257,0.6582,0.3418,0.916,0.4781,0.5219,2.4106,0.7068,0.2932,,,,,,,
58,1715304300000,9907919.9,37612210.21128237,1.9334,0.6591,0.3409,0.9148,0.4777,0.5223,2.427,0.7082,0.2918,,,,,,,
59,1715304600000,9891316.8,37626569.1072,1.9283,0.6585,0.3415,0.9158,0.478,0.522,2.4095,0.7067,0.2933,,,,,,,
