timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,740366.36700000,2233834939.33529000,3.6577,0.7853,0.2147,2.1027,0.6777,0.3223,3.6904,0.7868,0.2132,-0.0005,3017.11,-1.38136364
1715287200000,740742.31600000,2236205406.45986000,3.6642,0.7856,0.2144,2.1024,0.6777,0.3223,3.6948,0.7870,0.2130,-0.0006,3018.29,-1.66818182
1715287500000,740298.86800000,2234444589.25050200,3.6447,0.7847,0.2153,2.1012,0.6775,0.3225,3.6838,0.7865,0.2135,-0.0005,3018.11,-1.47090909
1715287800000,739985.42500000,2233756605.15288970,3.6664,0.7857,0.2143,2.1006,0.6775,0.3225,3.6926,0.7869,0.2131,-0.0006,3018.16,-1.73477273
1715288100000,739768.13200000,2232621085.44128660,3.6577,0.7853,0.2147,2.1002,0.6774,0.3226,3.6882,0.7867,0.2133,-0.0005,3017.87,-1.56886364
1715288400000,739494.55600000,2234172073.01759400,3.6664,0.7857,0.2143,2.1028,0.6777,0.3223,3.6904,0.7868,0.2132,-0.0005,3020.66,-1.49340909
1715288700000,739173.68000000,2236451305.94469900,3.6598,0.7854,0.2146,2.1012,0.6775,0.3225,3.6904,0.7868,0.2132,-0.0006,3025.06,-1.74681818
1715289000000,737479.86900000,2233081668.53331000,3.6598,0.7854,0.2146,2.0964,0.6770,0.3230,3.7015,0.7873,0.2127,-0.0004,3028.06,-1.18431818
1715289300000,737713.77700000,2228657541.91688600,3.6751,0.7861,0.2139,2.0980,0.6772,0.3228,3.7103,0.7877,0.2123,-0.0007,3020.62,-2.23159091
1715289600000,737478.05600000,2226925611.80040000,3.6642,0.7856,0.2144,2.0950,0.6769,0.3231,3.6970,0.7871,0.2129,-0.0005,3019.66,-1.52454545
1715289900000,737558.39200000,2226957435.50159360,3.6512,0.7850,0.2150,2.0966,0.6771,0.3229,3.6838,0.7865,0.2135,-0.0005,3019.30,-1.40250000
