,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,1147884.0,4080950.81456496,1.8523,0.6494,0.3506,1.4145,0.5858,0.4142,2.0349,0.6705,0.3295,,,,,,,
1,1715287200000,1148101.0,4086091.459,1.8458,0.6486,0.3514,1.4138,0.5857,0.4143,2.0441,0.6715,0.3285,,,,,,,
2,1715287500000,1148072.0,4084149.41551976,1.8433,0.6483,0.3517,1.4138,0.5857,0.4143,2.0479,0.6719,0.3281,,,,,,,
3,1715287800000,1148449.0,4082081.57907,1.867,0.6512,0.3488,1.413,0.5856,0.4144,2.0618,0.6734,0.3266,,,,,,,
4,1715288100000,1147414.0,4079056.77,1.9002,0.6552,0.3448,1.4122,0.5854,0.4146,2.0912,0.6765,0.3235,,,,,,,
5,1715288400000,1147457.0,4085572.92664092,1.8977,0.6549,0.3451,1.4122,0.5854,0.4146,2.0836,0.6757,0.3243,,,,,,,
6,1715288700000,1147332.0,4099417.236,1.9002,0.6552,0.3448,1.4124,0.5855,0.4145,2.0798,0.6753,0.3247,,,,,,,
7,1715289000000,1147378.0,4097286.838,1.8868,0.6536,0.3464,1.411,0.5852,0.4148,2.0836,0.6757,0.3243,,,,,,,
8,1715289300000,1147572.0,4087497.81558492,1.8588,0.6502,0.3498,1.4123,0.5855,0.4145,2.0423,0.6713,0.3287,,,,,,,
9,1715289600000,1147594.0,4081991.858,1.8612,0.6505,0.3495,1.4129,0.5856,0.4144,2.0349,0.6705,0.3295,,,,,,,
10,1715289900000,1147444.0,4081247.30452284,1.8694,0.6515,0.3485,1.4128,0.5855,0.4145,2.0525,0.6724,0.3276,,,,,,,
11,1715290200000,1147280.0,4077860.1605616,1.867,0.6512,0.3488,1.413,0.5856,0.4144,2.046,0.6717,0.3283,,,,,,,
12,1715290500000,1146130.0,4070680.0643135,1.8918,0.6542,0.3458,1.412,0.5854,0.4146,2.0488,0.672,0.328,,,,,,,
13,1715290800000,1145654.0,4074776.22315,1.8868,0.6536,0.3464,1.4128,0.5855,0.4145,2.0488,0.672,0.328,,,,,,,
14,1715291100000,1148016.0,4081976.88799104,1.8852,0.6534,0.3466,1.4143,0.5858,0.4142,2.0404,0.6711,0.3289,,,,,,,
15,1715291400000,1147843.0,4083962.262635,1.8571,0.65,0.35,1.4146,0.5859,0.4141,2.0175,0.6686,0.3314,,,,,,,
16,1715291700000,1147526.0,4088002.72494614,1.8588,0.6502,0.3498,1.4139,0.5857,0.4143,2.0193,0.6688,0.3312,,,,,,,
17,1715292000000,1147423.0,4091710.418,1.8612,0.6505,0.3495,1.4139,0.5857,0.4143,2.0312,0.6701,0.3299,,,,,,,
18,1715292300000,1147341.0,4095818.67829914,1.8369,0.6475,0.3525,1.4072,0.5846,0.4154,2.0175,0.6686,0.3314,,,,,,,
19,1715292600000,1147097.0,4094637.47486955,1.8409,0.648,0.352,1.408,0.5847,0.4153,2.0404,0.6711,0.3289,,,,,,,
20,1715292900000,1147163.0,4103402.051,1.8409,0.648,0.352,1.4085,0.5848,0.4152,2.0294,0.6699,0.3301,,,,,,,
21,1715293200000,1147410.0,4099695.93,1.8539,0.6496,0.3504,1.4093,0.585,0.415,2.0618,0.6734,0.3266,,,,,,,
22,1715293500000,1147475.0,4097633.225,1.8629,0.6507,0.3493,1.4104,0.5851,0.4149,2.0544,0.6726,0.3274,,,,,,,
23,1715293800000,1148181.0,4104747.075,1.8719,0.6518,0.3482,1.4103,0.5851,0.4149,2.0562,0.6728,0.3272,,,,,,,
24,1715294100000,1147861.0,4089828.743,1.8827,0.6531,0.3469,1.4111,0.5852,0.4148,2.0817,0.6755,0.3245,,,,,,,
25,1715294400000,1147966.0,4115458.11,1.8944,0.6545,0.3455,1.4109,0.5852,0.4148,2.06,0.6732,0.3268,,,,,,,
26,1715294700000,1147407.0,4123525.13866854,1.8852,0.6534,0.3466,1.411,0.5852,0.4148,2.0581,0.673,0.327,,,,,,,
27,1715295000000,1146626.0,4130146.852,1.8719,0.6518,0.3482,1.412,0.5854,0.4146,2.0248,0.6694,0.3306,,,,,,,
28,1715295300000,1147061.0,4138596.088,1.8785,0.6526,0.3474,1.4121,0.5854,0.4146,2.0479,0.6719,0.3281,,,,,,,
29,1715295600000,1146911.0,4135761.066,1.8785,0.6526,0.3474,1.4131,0.5856,0.4144,2.046,0.6717,0.3283,,,,,,,
30,1715295900000,1147451.0,4137708.306,1.8694,0.6515,0.3485,1.4114,0.5853,0.4147,2.0628,0.6735,0.3265,,,,,,,
31,1715296200000,1146933.0,4126218.27241248,1.8539,0.6496,0.3504,1.4113,0.5853,0.4147,2.0497,0.6721,0.3279,,,,,,,
32,1715296500000,1146666.0,4119970.938,1.845,0.6485,0.3515,1.411,0.5852,0.4148,2.046,0.6717,0.3283,,,,,,,
33,1715296800000,1146447.0,4119657.87461616,1.8645,0.6509,0.3491,1.4103,0.5851,0.4149,2.0479,0.6719,0.3281,,,,,,,
34,1715297100000,1145936.0,4115056.176,1.8514,0.6493,0.3507,1.411,0.5852,0.4148,2.0266,0.6696,0.3304,,,,,,,
35,1715297400000,1145553.0,4116993.38424351,1.8539,0.6496,0.3504,1.4109,0.5852,0.4148,2.0358,0.6706,0.3294,,,,,,,
36,1715297700000,1145229.0,4107936.423,1.8474,0.6488,0.3512,1.4101,0.5851,0.4149,2.0358,0.6706,0.3294,,,,,,,
37,1715298000000,1145861.0,4107539.280175,1.8514,0.6493,0.3507,1.4088,0.5849,0.4151,2.0377,0.6708,0.3292,,,,,,,
38,1715298300000,1145974.0,4108230.20020456,1.8531,0.6495,0.3505,1.4087,0.5848,0.4152,2.0395,0.671,0.329,,,,,,,
39,1715298600000,1146574.0,4112871.77730858,1.849,0.649,0.351,1.4088,0.5849,0.4151,2.0404,0.6711,0.3289,,,,,,,
