,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,10461794.2,61131069.46842238,2.2031,0.6878,0.3122,2.0667,0.6739,0.3261,2.5562,0.7188,0.2812,,,,,,,
1,1715287200000,10461362.6,61188509.8474,2.2051,0.688,0.312,2.0667,0.6739,0.3261,2.5549,0.7187,0.2813,,,,,,,
2,1715287500000,10438171.9,61021552.9274,2.2113,0.6886,0.3114,2.0644,0.6737,0.3263,2.5587,0.719,0.281,,,,,,,
3,1715287800000,10437836.5,61019592.179,2.2113,0.6886,0.3114,2.0659,0.6738,0.3262,2.5575,0.7189,0.2811,,,,,,,
4,1715288100000,10435980.8,60987871.7952,2.2123,0.6887,0.3113,2.067,0.674,0.326,2.5562,0.7188,0.2812,,,,,,,
5,1715288400000,10435660.1,61006338.91742352,2.2154,0.689,0.311,2.067,0.6739,0.3261,2.5625,0.7193,0.2807,,,,,,,
6,1715288700000,10429404.0,61104436.170897,2.2196,0.6894,0.3106,2.064,0.6736,0.3264,2.5689,0.7198,0.2802,,,,,,,
7,1715289000000,10432211.3,61178688.42765685,2.2185,0.6893,0.3107,2.0639,0.6736,0.3264,2.5663,0.7196,0.2804,,,,,,,
8,1715289300000,10428817.0,61001372.51172398,2.2185,0.6893,0.3107,2.0624,0.6735,0.3265,2.5663,0.7196,0.2804,,,,,,,
9,1715289600000,10425862.4,60970443.3152,2.2144,0.6889,0.3111,2.0625,0.6735,0.3265,2.5625,0.7193,0.2807,,,,,,,
10,1715289900000,10418275.1,60842726.584,2.2237,0.6898,0.3102,2.0596,0.6732,0.3268,2.5778,0.7205,0.2795,,,,,,,
11,1715290200000,10413350.2,60793138.4676,2.2227,0.6897,0.3103,2.0595,0.6731,0.3269,2.5765,0.7204,0.2796,,,,,,,
12,1715290500000,10416310.0,60847493.4896509,2.2227,0.6897,0.3103,2.0598,0.6732,0.3268,2.5702,0.7199,0.2801,,,,,,,
13,1715290800000,10412825.0,60820968.13892925,2.2227,0.6897,0.3103,2.0598,0.6732,0.3268,2.5714,0.72,0.28,,,,,,,
14,1715291100000,10406062.4,60781810.4784,2.2268,0.6901,0.3099,2.0629,0.6735,0.3265,2.5778,0.7205,0.2795,,,,,,,
15,1715291400000,10404590.7,60776336.48827726,2.2279,0.6902,0.3098,2.0627,0.6735,0.3265,2.5778,0.7205,0.2795,,,,,,,
16,1715291700000,10407079.9,60850196.1753,2.2331,0.6907,0.3093,2.0615,0.6734,0.3266,2.5868,0.7212,0.2788,,,,,,,
17,1715292000000,10405354.1,60822660.22223011,2.2342,0.6908,0.3092,2.062,0.6734,0.3266,2.5881,0.7213,0.2787,,,,,,,
18,1715292300000,10415028.6,60895744.45345231,2.2289,0.6903,0.3097,2.0593,0.6731,0.3269,2.5829,0.7209,0.2791,,,,,,,
19,1715292600000,10411328.7,60908499.14941592,2.2248,0.6899,0.3101,2.0599,0.6732,0.3268,2.5689,0.7198,0.2802,,,,,,,
20,1715292900000,10404996.8,61011995.32769369,2.2227,0.6897,0.3103,2.059,0.6731,0.3269,2.5651,0.7195,0.2805,,,,,,,
21,1715293200000,10405219.2,61057826.2656,2.2206,0.6895,0.3105,2.0583,0.673,0.327,2.5651,0.7195,0.2805,,,,,,,
22,1715293500000,10401820.0,60996793.8192184,2.2216,0.6896,0.3104,2.0569,0.6729,0.3271,2.5727,0.7201,0.2799,,,,,,,
