timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,47853583.00000000,4514823.33240363,3.2248,0.7633,0.2367,1.6527,0.6230,0.3770,3.1034,0.7563,0.2437,-0.0010,0.0944,-0.00009579
1715287200000,47851018.00000000,4521921.20100000,3.2017,0.7620,0.2380,1.6496,0.6226,0.3774,3.0883,0.7554,0.2446,-0.0014,0.0944,-0.00013269
1715287500000,47861204.00000000,4522883.77800000,3.2052,0.7622,0.2378,1.6498,0.6226,0.3774,3.0883,0.7554,0.2446,-0.0019,0.0944,-0.00017680
1715287800000,47881232.00000000,4521399.36070704,3.1999,0.7619,0.2381,1.6466,0.6222,0.3778,3.0933,0.7557,0.2443,-0.0007,0.0945,-0.00006830
1715288100000,47903405.00000000,4524533.12826790,3.2176,0.7629,0.2371,1.6441,0.6218,0.3782,3.1068,0.7565,0.2435,-0.0009,0.0945,-0.00008369
1715288400000,47900064.00000000,4531346.05440000,3.2034,0.7621,0.2379,1.6423,0.6215,0.3785,3.0950,0.7558,0.2442,-0.0007,0.0946,-0.00006798
1715288700000,47810754.00000000,4537681.84785942,3.1999,0.7619,0.2381,1.6378,0.6209,0.3791,3.1442,0.7587,0.2413,0.0010,0.0950,0.00009423
1715289000000,47747028.00000000,4531347.18010044,3.2427,0.7643,0.2357,1.6336,0.6203,0.3797,3.2034,0.7621,0.2379,-0.0026,0.0948,-0.00025049
1715289300000,47767914.00000000,4533175.03860000,3.2626,0.7654,0.2346,1.6395,0.6211,0.3789,3.2105,0.7625,0.2375,-0.0017,0.0948,-0.00015878
1715289600000,47759795.00000000,4519187.49983170,3.2626,0.7654,0.2346,1.6405,0.6213,0.3787,3.1859,0.7611,0.2389,-0.0023,0.0946,-0.00022075
1715289900000,47719326.00000000,4511887.56454278,3.2699,0.7658,0.2342,1.6386,0.6210,0.3790,3.1964,0.7617,0.2383,-0.0009,0.0946,-0.00008886
1715290200000,47686874.00000000,4513282.70214962,3.2699,0.7658,0.2342,1.6389,0.6211,0.3789,3.1999,0.7619,0.2381,-0.0018,0.0946,-0.00017181
1715290500000,47692244.00000000,4521224.73120000,3.2753,0.7661,0.2339,1.6408,0.6213,0.3787,3.1929,0.7615,0.2385,-0.0014,0.0947,-0.00012932
1715290800000,47701440.00000000,4518810.83681280,3.2753,0.7661,0.2339,1.6467,0.6222,0.3778,3.1806,0.7608,0.2392,-0.0012,0.0947,-0.00011287
1715291100000,47666367.00000000,4520297.86867134,3.2535,0.7649,0.2351,1.6391,0.6211,0.3789,3.1701,0.7602,0.2398,0.0001,0.0949,0.00001419
1715291400000,47663374.00000000,4522954.38997754,3.2535,0.7649,0.2351,1.6392,0.6211,0.3789,3.1719,0.7603,0.2397,-0.0011,0.0948,-0.00010364
1715291700000,47656553.00000000,4528946.63094559,3.2283,0.7635,0.2365,1.6372,0.6208,0.3792,3.1597,0.7596,0.2404,0.0007,0.0951,0.00006945
1715292000000,47663612.00000000,4529138.92643988,3.2355,0.7639,0.2361,1.6380,0.6209,0.3791,3.1632,0.7598,0.2402,-0.0013,0.0949,-0.00012062
1715292300000,47686967.00000000,4530261.86500000,3.3141,0.7682,0.2318,1.6408,0.6213,0.3787,3.2017,0.7620,0.2380,-0.0013,0.0949,-0.00012118
1715292600000,47635016.00000000,4523016.22172400,3.3253,0.7688,0.2312,1.6398,0.6212,0.3788,3.2123,0.7626,0.2374,-0.0012,0.0949,-0.00011054
1715292900000,47627665.00000000,4522006.27204175,3.3178,0.7684,0.2316,1.6366,0.6207,0.3793,3.2123,0.7626,0.2374,-0.0014,0.0949,-0.00012836
1715293200000,47651205.00000000,4525160.94442125,3.3197,0.7685,0.2315,1.6350,0.6205,0.3795,3.2123,0.7626,0.2374,-0.0007,0.0949,-0.00006227
1715293500000,47636845.00000000,4516707.94251835,3.3253,0.7688,0.2312,1.6355,0.6206,0.3794,3.2123,0.7626,0.2374,-0.0012,0.0948,-0.00011441
1715293800000,47655184.00000000,4522476.96160000,3.3197,0.7685,0.2315,1.6332,0.6202,0.3798,3.2141,0.7627,0.2373,-0.0010,0.0949,-0.00009222
1715294100000,47660263.00000000,4522958.95870000,3.3497,0.7701,0.2299,1.6361,0.6207,0.3793,3.2265,0.7634,0.2366,-0.0014,0.0949,-0.00012917
1715294400000,47649331.00000000,4536216.31120000,3.3290,0.7690,0.2310,1.6325,0.6201,0.3799,3.2409,0.7642,0.2358,-0.0012,0.0951,-0.00011011
1715294700000,47826019.00000000,4562602.21260000,3.3290,0.7690,0.2310,1.6285,0.6196,0.3804,3.2301,0.7636,0.2364,-0.0015,0.0953,-0.00014473
1715295000000,47577057.00000000,4557846.37780725,3.3271,0.7689,0.2311,1.6344,0.6204,0.3796,3.2463,0.7645,0.2355,-0.0010,0.0957,-0.00009785
1715295300000,47626800.00000000,4563223.72428000,3.3253,0.7688,0.2312,1.6384,0.6210,0.3790,3.2301,0.7636,0.2364,-0.0007,0.0958,-0.00006781
1715295600000,47575815.00000000,4553005.49550000,3.3384,0.7695,0.2305,1.6376,0.6209,0.3791,3.2373,0.7640,0.2360,-0.0008,0.0957,-0.00008141
1715295900000,47567643.00000000,4540698.27087753,3.3764,0.7715,0.2285,1.6328,0.6202,0.3798,3.2863,0.7667,0.2333,-0.0025,0.0954,-0.00024068
1715296200000,47619674.00000000,4542916.89960000,3.3745,0.7714,0.2286,1.6329,0.6202,0.3798,3.2845,0.7666,0.2334,-0.0026,0.0953,-0.00024470
1715296500000,47567042.00000000,4530589.98481922,3.3821,0.7718,0.2282,1.6344,0.6204,0.3796,3.2808,0.7664,0.2336,-0.0012,0.0953,-0.00011368
1715296800000,47504366.00000000,4525629.31355990,3.3995,0.7727,0.2273,1.6310,0.6199,0.3801,3.3103,0.7680,0.2320,-0.0006,0.0953,-0.00006178
1715297100000,47516933.00000000,4528363.71490000,3.3687,0.7711,0.2289,1.6323,0.6201,0.3799,3.2900,0.7669,0.2331,-0.0015,0.0952,-0.00014148
