,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,75435075.0,52910161.605,1.8058,0.6436,0.3564,2.0216,0.6691,0.3309,1.9568,0.6618,0.3382,,,,,,,
1,1715287200000,75364200.0,53072741.034054,1.8106,0.6442,0.3558,2.0365,0.6707,0.3293,1.9533,0.6614,0.3386,,,,,,,
2,1715287500000,75509605.0,53219344.03118755,1.8082,0.6439,0.3561,2.0375,0.6708,0.3292,1.9516,0.6612,0.3388,,,,,,,
3,1715287800000,75414760.0,53017429.2209356,1.8074,0.6438,0.3562,2.0387,0.6709,0.3291,1.9438,0.6603,0.3397,,,,,,,
4,1715288100000,75341653.0,53168604.5221,1.8058,0.6436,0.3564,2.026,0.6695,0.3305,1.9542,0.6615,0.3385,,,,,,,
5,1715288400000,75349350.0,53148741.518205,1.8098,0.6441,0.3559,2.0286,0.6698,0.3302,1.9577,0.6619,0.3381,,,,,,,
6,1715288700000,75408575.0,53570251.68,1.8145,0.6447,0.3553,2.0203,0.6689,0.3311,1.949,0.6609,0.3391,,,,,,,
7,1715289000000,75432917.0,53870115.943882,1.8043,0.6434,0.3566,2.0257,0.6695,0.3305,1.9472,0.6607,0.3393,,,,,,,
8,1715289300000,75095015.0,53355008.1575,1.7832,0.6407,0.3593,2.0419,0.6713,0.3287,1.9412,0.66,0.34,,,,,,,
9,1715289600000,75084058.0,53242181.36269858,1.7755,0.6397,0.3603,2.0329,0.6703,0.3297,1.936,0.6594,0.3406,,,,,,,
10,1715289900000,75046671.0,53010540.63459315,1.7724,0.6393,0.3607,2.0368,0.6707,0.3293,1.93,0.6587,0.3413,,,,,,,
11,1715290200000,75124061.0,52962463.005,1.767,0.6386,0.3614,2.0439,0.6715,0.3285,1.9155,0.657,0.343,,,,,,,
12,1715290500000,75153190.0,52940771.8756028,1.7701,0.639,0.361,2.051,0.6722,0.3278,1.9044,0.6557,0.3443,,,,,,,
13,1715290800000,75091479.0,52864401.216,1.7732,0.6394,0.3606,2.0478,0.6719,0.3281,1.9129,0.6567,0.3433,,,,,,,
14,1715291100000,75041424.0,52799145.9264,1.7816,0.6405,0.3595,2.0504,0.6722,0.3278,1.9283,0.6585,0.3415,,,,,,,
15,1715291400000,75129625.0,52996437.475,1.7747,0.6396,0.3604,2.0505,0.6722,0.3278,1.9223,0.6578,0.3422,,,,,,,
16,1715291700000,75085298.0,53152534.05841728,1.777,0.6399,0.3601,2.0502,0.6722,0.3278,1.924,0.658,0.342,,,,,,,
17,1715292000000,75109958.0,53088168.22304842,1.7809,0.6404,0.3596,2.051,0.6722,0.3278,1.9231,0.6579,0.3421,,,,,,,
18,1715292300000,75371006.0,53417593.59265208,1.777,0.6399,0.3601,2.0454,0.6716,0.3284,1.9214,0.6577,0.3423,,,,,,,
