,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,610624611.0,26752435.10104149,2.639,0.7252,0.2748,1.5923,0.6142,0.3858,3.1425,0.7586,0.2414,,,,,,,
1,1715287500000,611249152.0,26778825.34912,2.643,0.7255,0.2745,1.5933,0.6144,0.3856,3.1408,0.7585,0.2415,,,,,,,
2,1715287800000,611175352.0,26771625.64308552,2.6271,0.7243,0.2757,1.5932,0.6144,0.3856,3.1477,0.7589,0.2411,,,,,,,
3,1715288100000,610880261.0,26742273.05129782,2.6258,0.7242,0.2758,1.5931,0.6144,0.3856,3.1356,0.7582,0.2418,,,,,,,
4,1715288400000,610861485.0,26788499.6530554,2.6284,0.7244,0.2756,1.5935,0.6144,0.3856,3.1374,0.7583,0.2417,,,,,,,
5,1715288700000,610836773.0,26873446.19301304,2.6271,0.7243,0.2757,1.5935,0.6144,0.3856,3.1494,0.759,0.241,,,,,,,
6,1715289000000,611095505.0,26982372.0373205,2.6166,0.7235,0.2765,1.5989,0.6152,0.3848,3.1408,0.7585,0.2415,,,,,,,
7,1715289300000,611371817.0,26892748.36887835,2.6284,0.7244,0.2756,1.6059,0.6163,0.3837,3.1271,0.7577,0.2423,,,,,,,
8,1715289600000,611141652.0,26823007.10628,2.635,0.7249,0.2751,1.6078,0.6165,0.3835,3.1408,0.7585,0.2415,,,,,,,
9,1715289900000,611064451.0,26801286.82086,2.635,0.7249,0.2751,1.5957,0.6147,0.3853,3.1494,0.759,0.241,,,,,,,
10,1715290200000,611402487.0,26793827.45916885,2.639,0.7252,0.2748,1.5963,0.6148,0.3852,3.158,0.7595,0.2405,,,,,,,
11,1715290500000,611244608.0,26790851.16864,2.639,0.7252,0.2748,1.5977,0.6151,0.3849,3.158,0.7595,0.2405,,,,,,,
12,1715290800000,610958241.0,26783254.57436451,2.6364,0.725,0.275,1.5989,0.6152,0.3848,3.1563,0.7594,0.2406,,,,,,,
13,1715291100000,610918310.0,26770440.3442,2.6456,0.7257,0.2743,1.6033,0.6159,0.3841,3.158,0.7595,0.2405,,,,,,,
14,1715291400000,610869185.0,26786613.76225,2.647,0.7258,0.2742,1.6036,0.6159,0.3841,3.1736,0.7604,0.2396,,,,,,,
15,1715291700000,610108952.0,26843829.91585584,2.6417,0.7254,0.2746,1.6031,0.6158,0.3842,3.1771,0.7606,0.2394,,,,,,,
16,1715292000000,609238243.0,26767326.95012239,2.6245,0.7241,0.2759,1.6077,0.6165,0.3835,3.1545,0.7593,0.2407,,,,,,,
17,1715292300000,608946129.0,26813048.96805381,2.6062,0.7227,0.2773,1.6058,0.6162,0.3838,3.1288,0.7578,0.2422,,,,,,,
18,1715292600000,609279658.0,26836685.19846964,2.5958,0.7219,0.2781,1.6078,0.6165,0.3835,3.1152,0.757,0.243,,,,,,,
19,1715292900000,610471105.0,26920835.6049983,2.5945,0.7218,0.2782,1.5959,0.6148,0.3852,3.1017,0.7562,0.2438,,,,,,,
20,1715293200000,609460574.0,26962535.79376,2.5829,0.7209,0.2791,1.5952,0.6147,0.3853,3.1085,0.7566,0.2434,,,,,,,
21,1715293500000,609374500.0,26975497.86624,2.5817,0.7208,0.2792,1.5922,0.6142,0.3858,3.0866,0.7553,0.2447,,,,,,,
22,1715293800000,608613438.0,26983491.47330238,2.5881,0.7213,0.2787,1.5912,0.6141,0.3859,3.0883,0.7554,0.2446,,,,,,,
23,1715294100000,610091882.0,27076097.35623752,2.5804,0.7207,0.2793,1.5806,0.6125,0.3875,3.1,0.7561,0.2439,,,,,,,
24,1715294400000,615983506.0,27503663.5429,2.4965,0.714,0.286,1.5605,0.6095,0.3905,3.0984,0.756,0.244,,,,,,,
25,1715294700000,616520004.0,27604239.28469712,2.4904,0.7135,0.2865,1.5695,0.6108,0.3892,3.0371,0.7523,0.2477,,,,,,,
26,1715295000000,617883536.0,27736791.93104,2.488,0.7133,0.2867,1.5749,0.6116,0.3884,3.0323,0.752,0.248,,,,,,,
27,1715295300000,618307909.0,27774391.27228,2.4928,0.7137,0.2863,1.5813,0.6126,0.3874,3.0371,0.7523,0.2477,,,,,,,
28,1715295600000,618009000.0,27729705.38478,2.4807,0.7127,0.2873,1.5835,0.6129,0.3871,3.0323,0.752,0.248,,,,,,,
29,1715295900000,615456421.0,27547927.87698736,2.4819,0.7128,0.2872,1.5831,0.6129,0.3871,3.029,0.7518,0.2482,,,,,,,
30,1715296200000,613805334.0,27431844.25614096,2.4722,0.712,0.288,1.5807,0.6125,0.3875,3.0177,0.7511,0.2489,,,,,,,
31,1715296500000,613431888.0,27408136.75584,2.4819,0.7128,0.2872,1.5867,0.6134,0.3866,3.0048,0.7503,0.2497,,,,,,,
32,1715296800000,612500111.0,27335879.95393,2.4892,0.7134,0.2866,1.5874,0.6135,0.3865,3.0,0.75,0.25,,,,,,,
33,1715297100000,610562230.0,27194441.7242,2.4722,0.712,0.288,1.5907,0.614,0.386,3.0064,0.7504,0.2496,,,,,,,
34,1715297400000,611267281.0,27225844.69574,2.4674,0.7116,0.2884,1.5877,0.6136,0.3864,2.9872,0.7492,0.2508,,,,,,,
35,1715297700000,610541795.0,27169109.8775,2.459,0.7109,0.2891,1.5932,0.6144,0.3856,2.9936,0.7496,0.2504,,,,,,,
36,1715298000000,609963565.0,27082382.286,2.5063,0.7148,0.2852,1.5902,0.6139,0.3861,2.9888,0.7493,0.2507,,,,,,,
37,1715298300000,609677683.0,27045302.01788,2.5088,0.715,0.285,1.5894,0.6138,0.3862,3.0274,0.7517,0.2483,,,,,,,
38,1715298600000,609479850.0,27164516.9145,2.5051,0.7147,0.2853,1.5896,0.6138,0.3862,3.0258,0.7516,0.2484,,,,,,,
39,1715298900000,608888655.0,27115754.16195945,2.5002,0.7143,0.2857,1.5885,0.6137,0.3863,3.0225,0.7514,0.2486,,,,,,,
40,1715299200000,608141765.0,27057844.7819449,2.51,0.7151,0.2849,1.5898,0.6139,0.3861,3.0241,0.7515,0.2485,,,,,,,
41,1715299500000,607803119.0,26953928.86067112,2.5137,0.7154,0.2846,1.5879,0.6136,0.3864,3.0323,0.752,0.248,,,,,,,
42,1715299800000,607187505.0,27007700.2224,2.5249,0.7163,0.2837,1.5872,0.6135,0.3865,3.0437,0.7527,0.2473,,,,,,,
43,1715300100000,607323530.0,27056263.2615,2.5373,0.7173,0.2827,1.5898,0.6139,0.3861,3.0437,0.7527,0.2473,,,,,,,
44,1715300400000,607092430.0,27033825.9079,2.5373,0.7173,0.2827,1.5908,0.614,0.386,3.0502,0.7531,0.2469,,,,,,,
45,1715300700000,607410691.0,27005479.32186,2.5361,0.7172,0.2828,1.591,0.614,0.386,3.0535,0.7533,0.2467,,,,,,,
46,1715301000000,607620168.0,27014792.66928,2.5361,0.7172,0.2828,1.5936,0.6144,0.3856,3.0617,0.7538,0.2462,,,,,,,
47,1715301300000,607088927.0,26991173.69442,2.5373,0.7173,0.2827,1.5941,0.6145,0.3855,3.0568,0.7535,0.2465,,,,,,,
48,1715301600000,606923419.0,26970602.48590837,2.5386,0.7174,0.2826,1.5948,0.6146,0.3854,3.0519,0.7532,0.2468,,,,,,,
49,1715301900000,606594855.0,26965598.01391275,2.5323,0.7169,0.2831,1.5941,0.6145,0.3855,3.0469,0.7529,0.2471,,,,,,,
50,1715302200000,606331092.0,26881015.93630788,2.5199,0.7159,0.2841,1.5961,0.6148,0.3852,3.0388,0.7524,0.2476,,,,,,,
51,1715302500000,605915917.0,26940675.82027341,2.5075,0.7149,0.2851,1.5954,0.6147,0.3853,2.9825,0.7489,0.2511,,,,,,,
52,1715302800000,606041738.0,26944615.67148,2.5075,0.7149,0.2851,1.5953,0.6147,0.3853,2.973,0.7483,0.2517,,,,,,,
53,1715303100000,605196893.0,26943365.67636,2.5039,0.7146,0.2854,1.5936,0.6144,0.3856,2.9698,0.7481,0.2519,,,,,,,
54,1715303400000,604550258.0,26824801.772847,2.5063,0.7148,0.2852,1.5947,0.6146,0.3854,2.9698,0.7481,0.2519,,,,,,,
55,1715303700000,603767480.0,26764728.6176844,2.5039,0.7146,0.2854,1.5964,0.6149,0.3851,2.9857,0.7491,0.2509,,,,,,,
56,1715304000000,603523170.0,26844710.6016,2.5063,0.7148,0.2852,1.5968,0.6149,0.3851,2.9683,0.748,0.252,,,,,,,
57,1715304300000,604198873.0,26918413.19762552,2.5112,0.7152,0.2848,1.6033,0.6159,0.3841,2.9635,0.7477,0.2523,,,,,,,
58,1715304600000,605329817.0,27044804.4979626,2.471,0.7119,0.2881,1.6038,0.6159,0.3841,2.9557,0.7472,0.2528,,,,,,,
59,1715304900000,605307681.0,27096168.57151149,2.465,0.7114,0.2886,1.6012,0.6156,0.3844,2.9231,0.7451,0.2549,,,,,,,
60,1715305200000,604929885.0,27163928.8378101,2.4868,0.7132,0.2868,1.6039,0.616,0.384,2.9216,0.745,0.255,,,,,,,
61,1715305500000,605084898.0,27145427.60935764,2.4843,0.713,0.287,1.606,0.6163,0.3837,2.9432,0.7464,0.2536,,,,,,,
62,1715305800000,604760351.0,27117454.13884,2.488,0.7133,0.2867,1.6045,0.6161,0.3839,2.9277,0.7454,0.2546,,,,,,,
63,1715306100000,604638078.0,27131851.91752464,2.5026,0.7145,0.2855,1.5944,0.6146,0.3854,2.9324,0.7457,0.2543,,,,,,,
