,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,25015042.0,14013426.5284,1.1529,0.5355,0.4645,1.1988,0.5452,0.4548,1.1445,0.5337,0.4663,,,,,,,
1,1715287200000,25017643.0,14049908.3088,1.164,0.5379,0.4621,1.1954,0.5445,0.4555,1.1349,0.5316,0.4684,,,,,,,
2,1715287500000,24979164.0,13998310.26664308,1.1725,0.5397,0.4603,1.1963,0.5447,0.4553,1.1538,0.5357,0.4643,,,,,,,
3,1715287800000,24930433.0,13987629.78957718,1.1763,0.5405,0.4595,1.1984,0.5451,0.4549,1.139,0.5325,0.4675,,,,,,,
4,1715288100000,24936290.0,13970967.921285,1.1744,0.5401,0.4599,1.1981,0.5451,0.4549,1.1478,0.5344,0.4656,,,,,,,
5,1715288400000,24937879.0,13971954.19558765,1.1734,0.5399,0.4601,1.1974,0.5449,0.4551,1.1473,0.5343,0.4657,,,,,,,
6,1715288700000,24964893.0,14012925.75623718,1.1777,0.5408,0.4592,1.1951,0.5444,0.4556,1.1584,0.5367,0.4633,,,,,,,
7,1715289000000,24853242.0,13987718.49404646,1.1834,0.542,0.458,1.197,0.5448,0.4552,1.1636,0.5378,0.4622,,,,,,,
8,1715289300000,24849093.0,13912345.19086248,1.1815,0.5416,0.4584,1.2014,0.5457,0.4543,1.1654,0.5382,0.4618,,,,,,,
9,1715289600000,24848314.0,13890207.526,1.1839,0.5421,0.4579,1.2035,0.5462,0.4538,1.1589,0.5368,0.4632,,,,,,,
10,1715289900000,24800033.0,13850444.19800203,1.1867,0.5427,0.4573,1.2018,0.5458,0.4542,1.1622,0.5375,0.4625,,,,,,,
11,1715290200000,24700044.0,13780154.5476,1.1863,0.5426,0.4574,1.2081,0.5471,0.4529,1.1478,0.5344,0.4656,,,,,,,
12,1715290500000,24655731.0,13761200.77972476,1.1839,0.5421,0.4579,1.2076,0.547,0.453,1.1478,0.5344,0.4656,,,,,,,
13,1715290800000,24637024.0,13764705.3088,1.1872,0.5428,0.4572,1.2062,0.5467,0.4533,1.1432,0.5334,0.4666,,,,,,,
14,1715291100000,24606902.0,13771387.55012296,1.1844,0.5422,0.4578,1.2037,0.5462,0.4538,1.1668,0.5385,0.4615,,,,,,,
15,1715291400000,24583539.0,13776573.95525448,1.1877,0.5429,0.4571,1.2037,0.5462,0.4538,1.1654,0.5382,0.4618,,,,,,,
16,1715291700000,24557543.0,13769798.19449709,1.1853,0.5424,0.4576,1.2019,0.5459,0.4541,1.1678,0.5387,0.4613,,,,,,,
17,1715292000000,24540397.0,13750229.84307,1.1603,0.5371,0.4629,1.2026,0.546,0.454,1.1636,0.5378,0.4622,,,,,,,
18,1715292300000,24486819.0,13729759.4133,1.1455,0.5339,0.4661,1.1991,0.5453,0.4547,1.1432,0.5334,0.4666,,,,,,,
19,1715292600000,24255690.0,13725359.4290367,1.1697,0.5391,0.4609,1.187,0.5428,0.4572,1.1345,0.5315,0.4685,,,,,,,
20,1715292900000,24232969.0,13744076.35378484,1.1664,0.5384,0.4616,1.1804,0.5414,0.4586,1.1612,0.5373,0.4627,,,,,,,
21,1715293200000,24274341.0,13703653.43960886,1.1668,0.5385,0.4615,1.1812,0.5415,0.4585,1.1547,0.5359,0.4641,,,,,,,
22,1715293500000,24259130.0,13667883.4960122,1.1501,0.5349,0.4651,1.18,0.5413,0.4587,1.1556,0.5361,0.4639,,,,,,,
23,1715293800000,24340163.0,13738578.88523573,1.1487,0.5346,0.4654,1.179,0.5411,0.4589,1.1299,0.5305,0.4695,,,,,,,
24,1715294100000,24357089.0,13709033.87871772,1.1496,0.5348,0.4652,1.1812,0.5415,0.4585,1.1295,0.5304,0.4696,,,,,,,
