,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,50897089.0,14397829.6128268,2.8183,0.7381,0.2619,1.1975,0.5449,0.4551,2.7722,0.7349,0.2651,,,,,,,
1,1715287200000,50849414.0,14388858.67958,2.8052,0.7372,0.2628,1.1959,0.5446,0.4554,2.7636,0.7343,0.2657,,,,,,,
2,1715287500000,50823560.0,14371829.3744128,2.8139,0.7378,0.2622,1.1944,0.5443,0.4557,2.7707,0.7348,0.2652,,,,,,,
3,1715287800000,50762211.0,14360535.07418754,2.827,0.7387,0.2613,1.1933,0.5441,0.4559,2.7779,0.7353,0.2647,,,,,,,
4,1715288100000,50801784.0,14390381.56925952,2.8373,0.7394,0.2606,1.1923,0.5439,0.4561,2.7879,0.736,0.264,,,,,,,
5,1715288400000,50764187.0,14410450.0693648,2.8388,0.7395,0.2605,1.1953,0.5445,0.4555,2.7908,0.7362,0.2638,,,,,,,
6,1715288700000,50807737.0,14470551.57497,2.8226,0.7384,0.2616,1.1958,0.5446,0.4554,2.7779,0.7353,0.2647,,,,,,,
7,1715289000000,50848053.0,14525254.81998,2.8124,0.7377,0.2623,1.1979,0.545,0.455,2.7636,0.7343,0.2657,,,,,,,
8,1715289300000,50779554.0,14496832.45701348,2.811,0.7376,0.2624,1.1956,0.5446,0.4554,2.7679,0.7346,0.2654,,,,,,,
9,1715289600000,50730208.0,14463804.76045216,2.7994,0.7368,0.2632,1.1935,0.5441,0.4559,2.7481,0.7332,0.2668,,,,,,,
10,1715289900000,50777976.0,14544750.01396416,2.785,0.7358,0.2642,1.1906,0.5435,0.4565,2.7439,0.7329,0.2671,,,,,,,
11,1715290200000,50851406.0,14561679.96810282,2.7764,0.7352,0.2648,1.1956,0.5445,0.4555,2.7175,0.731,0.269,,,,,,,
12,1715290500000,50785800.0,14512492.820046,2.8023,0.737,0.263,1.1957,0.5446,0.4554,2.7495,0.7333,0.2667,,,,,,,
13,1715290800000,50775562.0,14501383.7234074,2.7965,0.7366,0.2634,1.1949,0.5444,0.4556,2.7665,0.7345,0.2655,,,,,,,
14,1715291100000,50700404.0,14484244.02293604,2.8023,0.737,0.263,1.1907,0.5435,0.4565,2.7608,0.7341,0.2659,,,,,,,
15,1715291400000,50707516.0,14489165.62184,2.8052,0.7372,0.2628,1.1907,0.5435,0.4565,2.7679,0.7346,0.2654,,,,,,,
16,1715291700000,50696374.0,14550532.58584672,2.8023,0.737,0.263,1.1897,0.5433,0.4567,2.775,0.7351,0.2649,,,,,,,
17,1715292000000,50726917.0,14528189.0288,2.7951,0.7365,0.2635,1.1895,0.5433,0.4567,2.7707,0.7348,0.2652,,,,,,,
18,1715292300000,50804235.0,14595746.8096665,2.7893,0.7361,0.2639,1.1882,0.543,0.457,2.7453,0.733,0.267,,,,,,,
19,1715292600000,50783367.0,14626004.79059526,2.8008,0.7369,0.2631,1.1861,0.5426,0.4574,2.7481,0.7332,0.2668,,,,,,,
20,1715292900000,50829767.0,14657371.23846332,2.7922,0.7363,0.2637,1.1853,0.5424,0.4576,2.758,0.7339,0.2661,,,,,,,
21,1715293200000,50832290.0,14740347.4542,2.7936,0.7364,0.2636,1.1843,0.5422,0.4578,2.7764,0.7352,0.2648,,,,,,,
22,1715293500000,51124392.0,15012926.17534512,2.7175,0.731,0.269,1.1728,0.5398,0.4602,2.6969,0.7295,0.2705,,,,,,,
23,1715293800000,51548306.0,15304692.0514,2.69,0.729,0.271,1.1637,0.5378,0.4622,2.7355,0.7323,0.2677,,,,,,,
24,1715294100000,52359924.0,15360830.90388,2.6846,0.7286,0.2714,1.183,0.5419,0.4581,2.6617,0.7269,0.2731,,,,,,,
25,1715294400000,52287910.0,15440962.8316896,2.6738,0.7278,0.2722,1.1732,0.5399,0.4601,2.69,0.729,0.271,,,,,,,
26,1715294700000,52408594.0,15471541.03474,2.6738,0.7278,0.2722,1.1753,0.5403,0.4597,2.6819,0.7284,0.2716,,,,,,,
27,1715295000000,52264721.0,15495444.48208,2.6643,0.7271,0.2729,1.1719,0.5396,0.4604,2.6955,0.7294,0.2706,,,,,,,
28,1715295300000,52812901.0,15727431.05652025,2.647,0.7258,0.2742,1.1655,0.5382,0.4618,2.6873,0.7288,0.2712,,,,,,,
29,1715295600000,53189615.0,15897152.03045885,2.6258,0.7242,0.2758,1.1597,0.537,0.463,2.6697,0.7275,0.2725,,,,,,,
30,1715295900000,53156142.0,15763453.9101,2.6792,0.7282,0.2718,1.1653,0.5382,0.4618,2.7272,0.7317,0.2683,,,,,,,
31,1715296200000,53207524.0,15626517.72356,2.712,0.7306,0.2694,1.1635,0.5378,0.4622,2.7651,0.7344,0.2656,,,,,,,
32,1715296500000,53227648.0,15639347.53536,2.7092,0.7304,0.2696,1.1696,0.5391,0.4609,2.7425,0.7328,0.2672,,,,,,,
33,1715296800000,53169142.0,15776879.50566,2.6887,0.7289,0.2711,1.169,0.539,0.461,2.7355,0.7323,0.2677,,,,,,,
34,1715297100000,52954985.0,15594013.4677483,2.7064,0.7302,0.2698,1.1639,0.5379,0.4621,2.7327,0.7321,0.2679,,,,,,,
35,1715297400000,52879833.0,15585858.55984131,2.6982,0.7296,0.2704,1.1627,0.5376,0.4624,2.7313,0.732,0.268,,,,,,,
36,1715297700000,52984813.0,15607506.94116971,2.686,0.7287,0.2713,1.1641,0.5379,0.4621,2.6928,0.7292,0.2708,,,,,,,
37,1715298000000,53026825.0,15538980.798,2.701,0.7298,0.2702,1.1642,0.5379,0.4621,2.7216,0.7313,0.2687,,,,,,,
38,1715298300000,52636516.0,15394500.77240928,2.7133,0.7307,0.2693,1.1616,0.5374,0.4626,2.7272,0.7317,0.2683,,,,,,,
39,1715298600000,52630752.0,15494493.3888,2.6955,0.7294,0.2706,1.159,0.5368,0.4632,2.6819,0.7284,0.2716,,,,,,,
40,1715298900000,52554563.0,15419494.06892236,2.7037,0.73,0.27,1.1585,0.5367,0.4633,2.6928,0.7292,0.2708,,,,,,,
41,1715299200000,52583190.0,15402142.1829,2.7147,0.7308,0.2692,1.1587,0.5368,0.4632,2.7202,0.7312,0.2688,,,,,,,
42,1715299500000,53454068.0,15579453.25077728,2.7793,0.7354,0.2646,1.152,0.5353,0.4647,2.7908,0.7362,0.2638,,,,,,,
43,1715299800000,53558233.0,15713590.83802279,2.7552,0.7337,0.2663,1.1471,0.5343,0.4657,2.7523,0.7335,0.2665,,,,,,,
44,1715300100000,53400717.0,15763891.6584,2.701,0.7298,0.2702,1.1507,0.535,0.465,2.6982,0.7296,0.2704,,,,,,,
45,1715300400000,53355102.0,15788308.23282,2.6792,0.7282,0.2718,1.1472,0.5343,0.4657,2.6914,0.7291,0.2709,,,,,,,
46,1715300700000,53335664.0,15865226.61344,2.6738,0.7278,0.2722,1.1482,0.5345,0.4655,2.7051,0.7301,0.2699,,,,,,,
47,1715301000000,53317303.0,15840392.64150798,2.6657,0.7272,0.2728,1.1461,0.534,0.466,2.7244,0.7315,0.2685,,,,,,,
48,1715301300000,53632481.0,15963171.64484,2.6403,0.7253,0.2747,1.1482,0.5345,0.4655,2.7106,0.7305,0.2695,,,,,,,
49,1715301600000,53930834.0,16053052.04844,2.6193,0.7237,0.2763,1.1457,0.534,0.466,2.6778,0.7281,0.2719,,,,,,,
50,1715301900000,54200930.0,16220734.5434813,2.6062,0.7227,0.2773,1.1452,0.5339,0.4661,2.6765,0.728,0.272,,,,,,,
51,1715302200000,54293407.0,16219612.40718,2.6364,0.725,0.275,1.1444,0.5337,0.4663,2.7064,0.7302,0.2698,,,,,,,
52,1715302500000,54293612.0,16170367.99101444,2.6232,0.724,0.276,1.1488,0.5346,0.4654,2.6887,0.7289,0.2711,,,,,,,
53,1715302800000,54273232.0,16178307.72688,2.6258,0.7242,0.2758,1.1484,0.5345,0.4655,2.6928,0.7292,0.2708,,,,,,,
54,1715303100000,54431662.0,16338896.77076092,2.6657,0.7272,0.2728,1.1464,0.5341,0.4659,2.6914,0.7291,0.2709,,,,,,,
55,1715303400000,54322156.0,16268824.62136148,2.6443,0.7256,0.2744,1.1464,0.5341,0.4659,2.6617,0.7269,0.2731,,,,,,,
56,1715303700000,54484692.0,16329062.1924,2.6536,0.7263,0.2737,1.1454,0.5339,0.4661,2.6403,0.7253,0.2747,,,,,,,
57,1715304000000,54485241.0,16353745.08615,2.655,0.7264,0.2736,1.1422,0.5332,0.4668,2.6969,0.7295,0.2705,,,,,,,
58,1715304300000,54416018.0,16406435.41276198,2.6377,0.7251,0.2749,1.1401,0.5327,0.4673,2.6805,0.7283,0.2717,,,,,,,
59,1715304600000,55037071.0,16781659.87509547,2.5423,0.7177,0.2823,1.1375,0.5322,0.4678,2.453,0.7104,0.2896,,,,,,,
60,1715304900000,55264122.0,16872136.4466,2.5014,0.7144,0.2856,1.1374,0.5321,0.4679,2.4495,0.7101,0.2899,,,,,,,
61,1715305200000,54917003.0,16631065.18852,2.5199,0.7159,0.2841,1.1425,0.5332,0.4668,2.4282,0.7083,0.2917,,,,,,,
62,1715305500000,55161962.0,16748749.2953132,2.4977,0.7141,0.2859,1.1398,0.5327,0.4673,2.4376,0.7091,0.2909,,,,,,,
63,1715305800000,55828704.0,17122584.24004032,2.5448,0.7179,0.2821,1.1395,0.5326,0.4674,2.413,0.707,0.293,,,,,,,
64,1715306100000,55906448.0,17130853.79616,2.4686,0.7117,0.2883,1.1501,0.5349,0.4651,2.4188,0.7075,0.2925,,,,,,,
65,1715306400000,56064950.0,17282877.509936,2.4412,0.7094,0.2906,1.1611,0.5373,0.4627,2.3602,0.7024,0.2976,,,,,,,
66,1715306700000,57270478.0,17680021.37951498,2.471,0.7119,0.2881,1.1655,0.5382,0.4618,2.3523,0.7017,0.2983,,,,,,,
67,1715307000000,57255194.0,17718241.0021549,2.459,0.7109,0.2891,1.1654,0.5382,0.4618,2.3636,0.7027,0.2973,,,,,,,
68,1715307300000,57449701.0,17835599.77767992,2.44,0.7093,0.2907,1.1574,0.5365,0.4635,2.3356,0.7002,0.2998,,,,,,,
69,1715307600000,58040887.0,18110235.04539189,2.4258,0.7081,0.2919,1.147,0.5342,0.4658,2.3478,0.7013,0.2987,,,,,,,
70,1715307900000,57980448.0,17945528.46048,2.4662,0.7115,0.2885,1.1466,0.5342,0.4658,2.3501,0.7015,0.2985,,,,,,,
71,1715308200000,58881278.0,18265058.40226588,2.4447,0.7097,0.2903,1.1583,0.5367,0.4633,2.2938,0.6964,0.3036,,,,,,,
72,1715308500000,59013710.0,18391666.9817825,2.4471,0.7099,0.2901,1.1539,0.5357,0.4643,2.2808,0.6952,0.3048,,,,,,,
73,1715308800000,59298254.0,18449588.51440578,2.4388,0.7092,0.2908,1.1501,0.5349,0.4651,2.2798,0.6951,0.3049,,,,,,,
74,1715309100000,59362456.0,18488436.9212,2.4188,0.7075,0.2925,1.1491,0.5347,0.4653,2.2499,0.6923,0.3077,,,,,,,
75,1715309400000,59305963.0,18451864.26819,2.4141,0.7071,0.2929,1.1519,0.5353,0.4647,2.231,0.6905,0.3095,,,,,,,
76,1715309700000,59576774.0,18564122.7784,2.4048,0.7063,0.2937,1.1549,0.5359,0.4641,2.2196,0.6894,0.3106,,,,,,,
77,1715310000000,59673095.0,18459871.93825,2.4072,0.7065,0.2935,1.1568,0.5363,0.4637,2.2185,0.6893,0.3107,,,,,,,
78,1715310300000,60224373.0,18617907.80995893,2.4141,0.7071,0.2929,1.1579,0.5366,0.4634,2.198,0.6873,0.3127,,,,,,,
79,1715310600000,59968011.0,18466549.30734,2.4095,0.7067,0.2933,1.1608,0.5372,0.4628,2.1606,0.6836,0.3164,,,,,,,
80,1715310900000,59809608.0,18310711.4892,2.4783,0.7125,0.2875,1.1763,0.5405,0.4595,2.3212,0.6989,0.3011,,,,,,,
81,1715311200000,59856808.0,18381509.17254696,2.4795,0.7126,0.2874,1.1787,0.541,0.459,2.3311,0.6998,0.3002,,,,,,,
82,1715311500000,59934740.0,18412251.2023526,2.4831,0.7129,0.2871,1.1804,0.5414,0.4586,2.3102,0.6979,0.3021,,,,,,,
83,1715311800000,59878143.0,18460911.70960686,2.4916,0.7136,0.2864,1.1791,0.5411,0.4589,2.3289,0.6996,0.3004,,,,,,,
84,1715312100000,59823726.0,18410104.98202194,2.4965,0.714,0.286,1.178,0.5409,0.4591,2.3223,0.699,0.301,,,,,,,
85,1715312400000,59844597.0,18341172.08856,2.5002,0.7143,0.2857,1.177,0.5407,0.4593,2.3223,0.699,0.301,,,,,,,
86,1715312700000,59616333.0,18196693.32159,2.4916,0.7136,0.2864,1.1812,0.5415,0.4585,2.3047,0.6974,0.3026,,,,,,,
87,1715313000000,59499302.0,18147287.11,2.5261,0.7164,0.2836,1.1868,0.5427,0.4573,2.3322,0.6999,0.3001,,,,,,,
88,1715313300000,59512723.0,18149176.75886731,2.5474,0.7181,0.2819,1.1891,0.5432,0.4568,2.3602,0.7024,0.2976,,,,,,,
89,1715313600000,59498699.0,18193984.00490307,2.5224,0.7161,0.2839,1.1829,0.5419,0.4581,2.3434,0.7009,0.2991,,,,,,,
90,1715313900000,59449518.0,18223167.7616724,2.5499,0.7183,0.2817,1.1849,0.5423,0.4577,2.3784,0.704,0.296,,,,,,,
91,1715314200000,59460644.0,18245469.47568444,2.5486,0.7182,0.2818,1.1829,0.5419,0.4581,2.3967,0.7056,0.2944,,,,,,,
92,1715314500000,59475216.0,18236579.77946976,2.5461,0.718,0.282,1.1803,0.5414,0.4586,2.3967,0.7056,0.2944,,,,,,,
93,1715314800000,59431608.0,18316504.81512936,2.5323,0.7169,0.2831,1.1783,0.5409,0.4591,2.391,0.7051,0.2949,,,,,,,
94,1715315100000,59320897.0,18250264.38212937,2.5323,0.7169,0.2831,1.1818,0.5417,0.4583,2.4495,0.7101,0.2899,,,,,,,
95,1715315400000,59459471.0,18375947.13417116,2.5311,0.7168,0.2832,1.1767,0.5406,0.4594,2.4566,0.7107,0.2893,,,,,,,
