timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,3773663.00000000,4792552.01000000,2.1456,0.6821,0.3179,2.1890,0.6864,0.3136,2.0826,0.6756,0.3244,-0.0008,1.269,-0.00099825
1715287200000,3773309.50000000,4791320.14101185,2.1447,0.6820,0.3180,2.1860,0.6861,0.3139,2.0807,0.6754,0.3246,-0.0002,1.268,-0.00025102
1715287500000,3768714.50000000,4776619.95812574,2.1556,0.6831,0.3169,2.1844,0.6860,0.3140,2.0960,0.6770,0.3230,-0.0002,1.268,-0.00020999
1715287800000,3770968.10000000,4780935.51270583,2.1666,0.6842,0.3158,2.1825,0.6858,0.3142,2.0722,0.6745,0.3255,-0.0017,1.266,-0.00221043
1715288100000,3779856.70000000,4791257.71528039,2.1466,0.6822,0.3178,2.1859,0.6861,0.3139,2.0544,0.6726,0.3274,-0.0008,1.270,-0.00103642
1715288400000,3781893.20000000,4804090.33463238,2.1299,0.6805,0.3195,2.1936,0.6869,0.3131,2.0239,0.6693,0.3307,0.0000,1.276,-0.00002199
1715288700000,3785530.90000000,4830511.86566387,2.1546,0.6830,0.3170,2.1856,0.6861,0.3139,2.0488,0.6720,0.3280,0.0011,1.280,0.00139925
1715289000000,3791161.90000000,4848896.07010000,2.1437,0.6819,0.3181,2.1875,0.6863,0.3137,2.0441,0.6715,0.3285,-0.0001,1.277,-0.00011559
1715289300000,3782628.90000000,4832441.71959244,2.1646,0.6840,0.3160,2.1894,0.6865,0.3135,2.0656,0.6738,0.3262,0.0008,1.278,0.00103289
1715289600000,3783358.10000000,4831763.02541492,2.1646,0.6840,0.3160,2.1949,0.6870,0.3130,2.0628,0.6735,0.3265,-0.0004,1.280,-0.00047005
1715289900000,3780667.50000000,4837597.40904810,2.1786,0.6854,0.3146,2.1994,0.6874,0.3126,2.0703,0.6743,0.3257,-0.0016,1.279,-0.00211200
1715290200000,3779560.50000000,4840879.60824645,2.1716,0.6847,0.3153,2.2056,0.6881,0.3119,2.0731,0.6746,0.3254,-0.0015,1.277,-0.00190586
1715290500000,3770350.20000000,4818507.55560000,2.1817,0.6857,0.3143,2.2093,0.6884,0.3116,2.0722,0.6745,0.3255,-0.0023,1.274,-0.00289787
1715290800000,3766803.50000000,4800935.10331584,2.1949,0.6870,0.3130,2.2095,0.6884,0.3116,2.0769,0.6750,0.3250,-0.0016,1.275,-0.00209674
1715291100000,3769273.50000000,4807213.25517578,2.1878,0.6863,0.3137,2.2037,0.6879,0.3121,2.0769,0.6750,0.3250,-0.0001,1.276,-0.00017626
1715291400000,3766124.50000000,4801808.73750000,2.1898,0.6865,0.3135,2.2049,0.6880,0.3120,2.0675,0.6740,0.3260,-0.0010,1.277,-0.00123595
1715291700000,3756322.00000000,4796823.19400000,2.2000,0.6875,0.3125,2.2046,0.6879,0.3121,2.0769,0.6750,0.3250,-0.0008,1.277,-0.00104494
1715292000000,3756373.20000000,4794021.22404524,2.1556,0.6831,0.3169,2.2101,0.6885,0.3115,2.0562,0.6728,0.3272,0.0003,1.280,0.00040944
1715292300000,3756816.90000000,4805069.15967940,2.1437,0.6819,0.3181,2.2029,0.6878,0.3122,2.0488,0.6720,0.3280,-0.0010,1.279,-0.00130949
1715292600000,3760340.40000000,4809475.37160000,2.1447,0.6820,0.3180,2.2011,0.6876,0.3124,2.0516,0.6723,0.3277,0.0001,1.283,0.00007958
1715292900000,3764477.30000000,4829630.20416087,2.1486,0.6824,0.3176,2.2120,0.6887,0.3113,2.0525,0.6724,0.3276,-0.0020,1.280,-0.00255413
1715293200000,3757499.80000000,4817114.74360000,2.1496,0.6825,0.3175,2.2107,0.6885,0.3115,2.0460,0.6717,0.3283,-0.0010,1.279,-0.00133719
1715293500000,3760890.30000000,4812264.85954941,2.1646,0.6840,0.3160,2.1870,0.6862,0.3138,2.0713,0.6744,0.3256,-0.0011,1.278,-0.00144726
1715293800000,3773360.60000000,4822354.84680000,2.1516,0.6827,0.3173,2.1892,0.6864,0.3136,2.0451,0.6716,0.3284,-0.0006,1.277,-0.00076814
1715294100000,3775784.20000000,4824621.08198190,2.1827,0.6858,0.3142,2.1925,0.6868,0.3132,2.0647,0.6737,0.3263,-0.0006,1.279,-0.00070755
1715294400000,3776694.60000000,4833106.40167345,2.1716,0.6847,0.3153,2.1820,0.6857,0.3143,2.0656,0.6738,0.3262,-0.0007,1.282,-0.00086086
1715294700000,3787280.70000000,4858593.44996426,2.1766,0.6852,0.3148,2.1840,0.6859,0.3141,2.0600,0.6732,0.3268,0.0003,1.283,0.00040912
1715295000000,3789647.70000000,4860604.26222271,2.1417,0.6817,0.3183,2.1794,0.6855,0.3145,2.0331,0.6703,0.3297,-0.0008,1.279,-0.00105792
