timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,179260406.00000000,19611203.14305984,2.2436,0.6917,0.3083,1.6992,0.6295,0.3705,2.4294,0.7084,0.2916,-0.0007,0.10955,-0.00007675
1715287200000,179358398.00000000,19648712.50090000,2.2300,0.6904,0.3096,1.6989,0.6295,0.3705,2.4141,0.7071,0.2929,0.0005,0.10964,0.00005693
1715287500000,179336568.00000000,19658603.78594232,2.2279,0.6902,0.3098,1.6972,0.6292,0.3708,2.4060,0.7064,0.2936,-0.0003,0.10947,-0.00002974
1715287800000,179136258.00000000,19615422.04236258,2.2331,0.6907,0.3093,1.6978,0.6293,0.3707,2.4153,0.7072,0.2928,0.0000,0.10944,-0.00000390
1715288100000,179131700.00000000,19605627.79740400,2.2436,0.6917,0.3083,1.6979,0.6293,0.3707,2.4235,0.7079,0.2921,-0.0009,0.10956,-0.00010341
1715288400000,179024718.00000000,19627131.48431352,2.2300,0.6904,0.3096,1.6935,0.6287,0.3713,2.4247,0.7080,0.2920,0.0000,0.10994,0.00000158
1715288700000,178793095.00000000,19653308.89203760,2.2051,0.6880,0.3120,1.6974,0.6293,0.3707,2.4118,0.7069,0.2931,0.0003,0.11019,0.00003628
1715289000000,178678820.00000000,19685703.13745760,2.1980,0.6873,0.3127,1.6985,0.6294,0.3706,2.4002,0.7059,0.2941,-0.0013,0.11005,-0.00014137
1715289300000,178412694.00000000,19651512.39014772,2.1827,0.6858,0.3142,1.7027,0.6300,0.3700,2.3647,0.7028,0.2972,-0.0001,0.10977,-0.00000639
1715289600000,178479495.00000000,19593478.96110000,2.1867,0.6862,0.3138,1.7027,0.6300,0.3700,2.3659,0.7029,0.2971,-0.0004,0.10977,-0.00004030
1715289900000,178257134.00000000,19569950.54333330,2.1827,0.6858,0.3142,1.7031,0.6301,0.3699,2.3750,0.7037,0.2963,-0.0019,0.10953,-0.00020461
