,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,9130755.0,2878160.4333102,3.529,0.7792,0.2208,1.4233,0.5873,0.4127,2.7439,0.7329,0.2671,,,,,,,
1,1715287200000,9130358.0,2885869.04840274,3.5269,0.7791,0.2209,1.4238,0.5874,0.4126,2.7425,0.7328,0.2672,,,,,,,
2,1715287500000,9130202.0,2885143.832,3.531,0.7793,0.2207,1.4237,0.5874,0.4126,2.7453,0.733,0.267,,,,,,,
3,1715287800000,9127289.0,2884552.8191329,3.531,0.7793,0.2207,1.4246,0.5876,0.4124,2.7495,0.7333,0.2667,,,,,,,
4,1715288100000,9112899.0,2880587.3739,3.5496,0.7802,0.2198,1.4239,0.5874,0.4126,2.7908,0.7362,0.2638,,,,,,,
5,1715288400000,9108287.0,2880118.86283394,3.5372,0.7796,0.2204,1.4255,0.5877,0.4123,2.7693,0.7347,0.2653,,,,,,,
6,1715288700000,9123388.0,2897961.72277248,3.5517,0.7803,0.2197,1.4288,0.5883,0.4117,2.7327,0.7321,0.2679,,,,,,,
7,1715289000000,9120302.0,2900256.036,3.531,0.7793,0.2207,1.4279,0.5881,0.4119,2.723,0.7314,0.2686,,,,,,,
8,1715289300000,9118040.0,2897151.896638,3.5208,0.7788,0.2212,1.4285,0.5882,0.4118,2.7216,0.7313,0.2687,,,,,,,
9,1715289600000,9120990.0,2890441.731,3.529,0.7792,0.2208,1.4277,0.5881,0.4119,2.7397,0.7326,0.2674,,,,,,,
10,1715289900000,9121162.0,2888672.0054,3.5579,0.7806,0.2194,1.4279,0.5881,0.4119,2.7467,0.7331,0.2669,,,,,,,
11,1715290200000,9119614.0,2885807.4622951,3.5558,0.7805,0.2195,1.4271,0.588,0.412,2.7552,0.7337,0.2663,,,,,,,
12,1715290500000,9122712.0,2884995.27064992,3.5641,0.7809,0.2191,1.4268,0.5879,0.4121,2.7622,0.7342,0.2658,,,,,,,
13,1715290800000,9123359.0,2885741.80749904,3.5579,0.7806,0.2194,1.4274,0.588,0.412,2.7594,0.734,0.266,,,,,,,
14,1715291100000,9128620.0,2890121.092,3.5558,0.7805,0.2195,1.4262,0.5878,0.4122,2.7665,0.7345,0.2655,,,,,,,
15,1715291400000,9128732.0,2890321.7812492,3.5269,0.7791,0.2209,1.4261,0.5878,0.4122,2.7594,0.734,0.266,,,,,,,
16,1715291700000,9126939.0,2896636.16207946,3.5126,0.7784,0.2216,1.4256,0.5877,0.4123,2.7453,0.733,0.267,,,,,,,
17,1715292000000,9127570.0,2894945.6477743,3.5147,0.7785,0.2215,1.4262,0.5878,0.4122,2.7369,0.7324,0.2676,,,,,,,
18,1715292300000,9117760.0,2893977.024,3.4623,0.7759,0.2241,1.4235,0.5874,0.4126,2.7106,0.7305,0.2695,,,,,,,
19,1715292600000,9115323.0,2894768.6211591,3.4843,0.777,0.223,1.4223,0.5872,0.4128,2.7439,0.7329,0.2671,,,,,,,
20,1715292900000,9119545.0,2904602.8059168,3.4743,0.7765,0.2235,1.4209,0.5869,0.4131,2.7078,0.7303,0.2697,,,,,,,
21,1715293200000,9156980.0,2919596.394183,3.4603,0.7758,0.2242,1.4132,0.5856,0.4144,2.686,0.7287,0.2713,,,,,,,
22,1715293500000,9154200.0,2916860.600544,3.4924,0.7774,0.2226,1.4126,0.5855,0.4145,2.6982,0.7296,0.2704,,,,,,,
23,1715293800000,9158488.0,2921145.9979644,3.5045,0.778,0.222,1.4103,0.5851,0.4149,2.73,0.7319,0.2681,,,,,,,
24,1715294100000,9149622.0,2917814.4558,3.5228,0.7789,0.2211,1.4103,0.5851,0.4149,2.7651,0.7344,0.2656,,,,,,,
25,1715294400000,9148787.0,2924867.2039,3.531,0.7793,0.2207,1.4112,0.5853,0.4147,2.7622,0.7342,0.2658,,,,,,,
