,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,5719804.0,4524164.42767176,2.2144,0.6889,0.3111,1.4271,0.588,0.412,1.8711,0.6517,0.3483,,,,,,,
1,1715287500000,5724360.0,4523389.272,2.2092,0.6884,0.3116,1.4216,0.587,0.413,1.8835,0.6532,0.3468,,,,,,,
2,1715287800000,5732426.0,4531859.6600095,2.2103,0.6885,0.3115,1.4217,0.5871,0.4129,1.8802,0.6528,0.3472,,,,,,,
3,1715288100000,5722110.0,4524608.8493235,2.1969,0.6872,0.3128,1.4212,0.587,0.413,1.9095,0.6563,0.3437,,,,,,,
4,1715288400000,5723550.0,4529088.842922,2.1939,0.6869,0.3131,1.4219,0.5871,0.4129,1.9163,0.6571,0.3429,,,,,,,
5,1715288700000,5736149.0,4554377.02850584,2.1686,0.6844,0.3156,1.4227,0.5872,0.4128,1.8893,0.6539,0.3461,,,,,,,
6,1715289000000,5736783.0,4565325.65830653,2.1596,0.6835,0.3165,1.4198,0.5867,0.4133,1.8769,0.6524,0.3476,,,,,,,
7,1715289300000,5745448.0,4561885.712,2.1437,0.6819,0.3181,1.4155,0.586,0.414,1.8653,0.651,0.349,,,,,,,
8,1715289600000,5741371.0,4555091.56501066,2.1556,0.6831,0.3169,1.4188,0.5866,0.4134,1.8604,0.6504,0.3496,,,,,,,
9,1715289900000,5735039.0,4543871.3997,2.1746,0.685,0.315,1.4184,0.5865,0.4135,1.8694,0.6515,0.3485,,,,,,,
10,1715290200000,5741029.0,4546320.8651,2.1969,0.6872,0.3128,1.4185,0.5865,0.4135,1.8835,0.6532,0.3468,,,,,,,
11,1715290500000,5740019.0,4543803.00101311,2.2268,0.6901,0.3099,1.4195,0.5867,0.4133,1.9138,0.6568,0.3432,,,,,,,
12,1715290800000,5738916.0,4554860.21097864,2.2268,0.6901,0.3099,1.4234,0.5874,0.4126,1.9095,0.6563,0.3437,,,,,,,
13,1715291100000,5751477.0,4570698.7719,2.1949,0.687,0.313,1.4198,0.5867,0.4133,1.8736,0.652,0.348,,,,,,,
14,1715291400000,5765533.0,4580715.9685,2.1756,0.6851,0.3149,1.413,0.5856,0.4144,1.8802,0.6528,0.3472,,,,,,,
15,1715291700000,5754012.0,4581877.11837108,2.1636,0.6839,0.3161,1.408,0.5847,0.4153,1.8662,0.6511,0.3489,,,,,,,
16,1715292000000,5762024.0,4585994.9016,2.1766,0.6852,0.3148,1.4097,0.585,0.415,1.896,0.6547,0.3453,,,,,,,
17,1715292300000,5765339.0,4587152.7710448,2.1427,0.6818,0.3182,1.4028,0.5838,0.4162,1.8645,0.6509,0.3491,,,,,,,
18,1715292600000,5742730.0,4565470.35,2.1716,0.6847,0.3153,1.4056,0.5843,0.4157,1.9087,0.6562,0.3438,,,,,,,
19,1715292900000,5734779.0,4565134.57914672,2.1686,0.6844,0.3156,1.4035,0.5839,0.4161,1.9053,0.6558,0.3442,,,,,,,
20,1715293200000,5730494.0,4563765.4216,2.1807,0.6856,0.3144,1.407,0.5845,0.4155,1.9274,0.6584,0.3416,,,,,,,
21,1715293500000,5719381.0,4552086.27975121,2.1486,0.6824,0.3176,1.4015,0.5836,0.4164,1.9172,0.6572,0.3428,,,,,,,
22,1715293800000,5709965.0,4562618.39391565,2.1686,0.6844,0.3156,1.4018,0.5836,0.4164,1.9386,0.6597,0.3403,,,,,,,
23,1715294100000,5705155.0,4557848.3295,2.1516,0.6827,0.3173,1.4017,0.5836,0.4164,1.9223,0.6578,0.3422,,,,,,,
24,1715294400000,5704154.0,4563323.2,2.1676,0.6843,0.3157,1.4065,0.5845,0.4155,1.9078,0.6561,0.3439,,,,,,,
25,1715294700000,5710332.0,4580525.79701064,2.199,0.6874,0.3126,1.407,0.5845,0.4155,1.9334,0.6591,0.3409,,,,,,,
26,1715295000000,5713380.0,4594700.196,2.1918,0.6867,0.3133,1.4062,0.5844,0.4156,1.9317,0.6589,0.3411,,,,,,,
27,1715295300000,5718869.0,4602312.09821266,2.2175,0.6892,0.3108,1.4142,0.5858,0.4142,1.9455,0.6605,0.3395,,,,,,,
28,1715295600000,5724395.0,4602153.3490033,2.201,0.6876,0.3124,1.4126,0.5855,0.4145,1.9369,0.6595,0.3405,,,,,,,
29,1715295900000,5720991.0,4584230.0883,2.2123,0.6887,0.3113,1.4133,0.5856,0.4144,1.9542,0.6615,0.3385,,,,,,,
30,1715296200000,5698878.0,4558532.5122,2.2404,0.6914,0.3086,1.4164,0.5862,0.4138,1.978,0.6642,0.3358,,,,,,,
31,1715296500000,5698952.0,4549804.4907112,2.2289,0.6903,0.3097,1.414,0.5858,0.4142,1.9922,0.6658,0.3342,,,,,,,
32,1715296800000,5731367.0,4589105.5569,2.2383,0.6912,0.3088,1.4168,0.5862,0.4138,1.994,0.666,0.334,,,,,,,
33,1715297100000,5730451.0,4581002.87032302,2.2415,0.6915,0.3085,1.4162,0.5861,0.4139,1.9851,0.665,0.335,,,,,,,
34,1715297400000,5730047.0,4583060.85618838,2.251,0.6924,0.3076,1.4189,0.5866,0.4134,1.9895,0.6655,0.3345,,,,,,,
35,1715297700000,5725542.0,4573651.1229468,2.2541,0.6927,0.3073,1.4196,0.5867,0.4133,1.9886,0.6654,0.3346,,,,,,,
36,1715298000000,5712289.0,4555633.19144472,2.2425,0.6916,0.3084,1.4193,0.5867,0.4133,1.9967,0.6663,0.3337,,,,,,,
37,1715298300000,5689877.0,4532556.0182,2.2626,0.6935,0.3065,1.4215,0.587,0.413,1.9958,0.6662,0.3338,,,,,,,
38,1715298600000,5683652.0,4537327.65226052,2.2873,0.6958,0.3042,1.4243,0.5875,0.4125,2.0294,0.6699,0.3301,,,,,,,
39,1715298900000,5679683.0,4531734.83600111,2.296,0.6966,0.3034,1.4202,0.5868,0.4132,2.0432,0.6714,0.3286,,,,,,,
40,1715299200000,5684335.0,4537236.197,2.2733,0.6945,0.3055,1.4181,0.5865,0.4135,2.0414,0.6712,0.3288,,,,,,,
41,1715299500000,5706411.0,4533743.5395,2.2873,0.6958,0.3042,1.4167,0.5862,0.4138,2.0294,0.6699,0.3301,,,,,,,
42,1715299800000,5701978.0,4540719.7177947,2.3411,0.7007,0.2993,1.4322,0.5889,0.4111,2.0414,0.6712,0.3288,,,,,,,
43,1715300100000,5701970.0,4534055.1566965,2.33,0.6997,0.3003,1.4229,0.5873,0.4127,2.0798,0.6753,0.3247,,,,,,,
44,1715300400000,5698460.0,4530845.546,2.3167,0.6985,0.3015,1.4234,0.5874,0.4126,2.0694,0.6742,0.3258,,,,,,,
45,1715300700000,5702043.0,4523990.42444088,2.3156,0.6984,0.3016,1.4236,0.5874,0.4126,2.0779,0.6751,0.3249,,,,,,,
46,1715301000000,5705842.0,4532150.3006,2.3124,0.6981,0.3019,1.4258,0.5878,0.4122,2.0731,0.6746,0.3254,,,,,,,
47,1715301300000,5711725.0,4544716.48586375,2.2841,0.6955,0.3045,1.4284,0.5882,0.4118,2.0423,0.6713,0.3287,,,,,,,
48,1715301600000,5712803.0,4545364.45687969,2.2712,0.6943,0.3057,1.4285,0.5882,0.4118,2.0404,0.6711,0.3289,,,,,,,
49,1715301900000,5725085.0,4567551.76192215,2.2658,0.6938,0.3062,1.4286,0.5882,0.4118,2.0111,0.6679,0.3321,,,,,,,
50,1715302200000,5747207.0,4590868.9516,2.1949,0.687,0.313,1.4289,0.5883,0.4117,1.9499,0.661,0.339,,,,,,,
51,1715302500000,5742214.0,4580536.37290638,2.2175,0.6892,0.3108,1.4347,0.5893,0.4107,1.9499,0.661,0.339,,,,,,,
52,1715302800000,5743279.0,4580839.3304,2.2144,0.6889,0.3111,1.4309,0.5886,0.4114,1.9638,0.6626,0.3374,,,,,,,
53,1715303100000,5748958.0,4590822.13240048,2.2072,0.6882,0.3118,1.4321,0.5888,0.4112,1.9789,0.6643,0.3357,,,,,,,
54,1715303400000,5754332.0,4594834.102,2.2362,0.691,0.309,1.4234,0.5874,0.4126,2.0102,0.6678,0.3322,,,,,,,
55,1715303700000,5746567.0,4591277.17032,2.2279,0.6902,0.3098,1.4241,0.5875,0.4125,1.986,0.6651,0.3349,,,,,,,
56,1715304000000,5751054.0,4606019.1486,2.2383,0.6912,0.3088,1.4257,0.5877,0.4123,1.986,0.6651,0.3349,,,,,,,
57,1715304300000,5762019.0,4621824.97588119,2.2573,0.693,0.307,1.4242,0.5875,0.4125,2.0066,0.6674,0.3326,,,,,,,
58,1715304600000,5758936.0,4616363.0976,2.252,0.6925,0.3075,1.4238,0.5874,0.4126,2.0012,0.6668,0.3332,,,,,,,
59,1715304900000,5771571.0,4640201.1033534,2.231,0.6905,0.3095,1.4325,0.5889,0.4111,1.9869,0.6652,0.3348,,,,,,,
60,1715305200000,5774684.0,4661725.16814804,2.2216,0.6896,0.3104,1.4329,0.589,0.411,1.9904,0.6656,0.3344,,,,,,,
61,1715305500000,5770357.0,4643983.3136,2.2383,0.6912,0.3088,1.4317,0.5888,0.4112,1.9665,0.6629,0.3371,,,,,,,
62,1715305800000,5765669.0,4641940.1119,2.2123,0.6887,0.3113,1.43,0.5885,0.4115,1.9895,0.6655,0.3345,,,,,,,
63,1715306100000,5764772.0,4643217.04483416,2.2227,0.6897,0.3103,1.4321,0.5888,0.4112,1.978,0.6642,0.3358,,,,,,,
64,1715306400000,5764303.0,4647181.0786,2.2489,0.6922,0.3078,1.4679,0.5948,0.4052,1.9691,0.6632,0.3368,,,,,,,
65,1715306700000,5772209.0,4657039.11659658,2.2394,0.6913,0.3087,1.467,0.5946,0.4054,1.9455,0.6605,0.3395,,,,,,,
66,1715307000000,5760051.0,4642601.106,2.2072,0.6882,0.3118,1.468,0.5948,0.4052,1.9412,0.66,0.34,,,,,,,
67,1715307300000,5754574.0,4633007.5274,2.2154,0.689,0.311,1.4632,0.594,0.406,1.9394,0.6598,0.3402,,,,,,,
68,1715307600000,5750079.0,4624780.60459098,2.2227,0.6897,0.3103,1.4622,0.5939,0.4061,1.949,0.6609,0.3391,,,,,,,
69,1715307900000,5759523.0,4636991.9673,2.2289,0.6903,0.3097,1.4641,0.5942,0.4058,1.9691,0.6632,0.3368,,,,,,,
70,1715308200000,5762369.0,4636689.58198941,2.2425,0.6916,0.3084,1.4661,0.5945,0.4055,1.9603,0.6622,0.3378,,,,,,,
71,1715308500000,5763624.0,4632703.2777732,2.2478,0.6921,0.3079,1.4659,0.5945,0.4055,1.9869,0.6652,0.3348,,,,,,,
72,1715308800000,5752030.0,4619455.293,2.2595,0.6932,0.3068,1.467,0.5946,0.4054,2.0039,0.6671,0.3329,,,,,,,
73,1715309100000,5757408.0,4634359.41698208,2.2605,0.6933,0.3067,1.4672,0.5947,0.4053,2.0057,0.6673,0.3327,,,,,,,
74,1715309400000,5750886.0,4618536.5466,2.23,0.6904,0.3096,1.4655,0.5944,0.4056,1.994,0.666,0.334,,,,,,,
75,1715309700000,5789490.0,4653592.062,2.2573,0.693,0.307,1.463,0.594,0.406,2.0003,0.6667,0.3333,,,,,,,
76,1715310000000,5785757.0,4654433.68210856,2.1969,0.6872,0.3128,1.4642,0.5942,0.4058,1.9516,0.6612,0.3388,,,,,,,
77,1715310300000,5835857.0,4693000.98998335,2.1969,0.6872,0.3128,1.4639,0.5941,0.4059,1.9551,0.6616,0.3384,,,,,,,
78,1715310600000,5832972.0,4685389.76392596,2.2031,0.6878,0.3122,1.4624,0.5939,0.4061,1.9146,0.6569,0.3431,,,,,,,
79,1715310900000,5814464.0,4658548.5568,2.2165,0.6891,0.3109,1.4585,0.5933,0.4067,1.9446,0.6604,0.3396,,,,,,,
80,1715311200000,5822264.0,4676914.9215236,2.2478,0.6921,0.3079,1.457,0.593,0.407,1.97,0.6633,0.3367,,,,,,,
81,1715311500000,5821020.0,4676025.366,2.2352,0.6909,0.3091,1.4564,0.5929,0.4071,1.9647,0.6627,0.3373,,,,,,,
82,1715311800000,5823921.0,4678956.88442562,2.2478,0.6921,0.3079,1.4573,0.5931,0.4069,1.9603,0.6622,0.3378,,,,,,,
83,1715312100000,5819474.0,4670709.8324,2.2616,0.6934,0.3066,1.4591,0.5934,0.4066,1.9638,0.6626,0.3374,,,,,,,
