,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,1699125.0,20471058.0,1.7972,0.6425,0.3575,1.4898,0.5984,0.4016,2.1686,0.6844,0.3156,,,,,,,
1,1715287500000,1700158.0,20487135.69954172,1.7972,0.6425,0.3575,1.4894,0.5983,0.4017,2.1626,0.6838,0.3162,,,,,,,
2,1715287800000,1699540.0,20458650.2795776,1.7847,0.6409,0.3591,1.4911,0.5986,0.4014,2.1476,0.6823,0.3177,,,,,,,
3,1715288100000,1701381.0,20442722.25999762,1.7855,0.641,0.359,1.4906,0.5985,0.4015,2.1546,0.683,0.317,,,,,,,
4,1715288400000,1703441.0,20462445.85840471,1.7949,0.6422,0.3578,1.4936,0.599,0.401,2.1827,0.6858,0.3142,,,,,,,
5,1715288700000,1708608.0,20621189.952,1.7878,0.6413,0.3587,1.4915,0.5986,0.4014,2.1736,0.6849,0.3151,,,,,,,
6,1715289000000,1709758.0,20618830.49924824,1.7655,0.6384,0.3616,1.49,0.5984,0.4016,2.1536,0.6829,0.3171,,,,,,,
7,1715289300000,1709766.0,20625053.68236024,1.7624,0.638,0.362,1.4902,0.5984,0.4016,2.1576,0.6833,0.3167,,,,,,,
8,1715289600000,1709195.0,20602636.53,1.7579,0.6374,0.3626,1.4906,0.5985,0.4015,2.1447,0.682,0.318,,,,,,,
9,1715289900000,1709126.0,20610350.434,1.764,0.6382,0.3618,1.4897,0.5984,0.4016,2.1456,0.6821,0.3179,,,,,,,
10,1715290200000,1709851.0,20583186.338,1.7586,0.6375,0.3625,1.4897,0.5984,0.4016,2.1368,0.6812,0.3188,,,,,,,
11,1715290500000,1708496.0,20596867.5807048,1.7617,0.6379,0.3621,1.4888,0.5982,0.4018,2.124,0.6799,0.3201,,,,,,,
12,1715290800000,1707310.0,20602956.6811255,1.7609,0.6378,0.3622,1.4887,0.5982,0.4018,2.1368,0.6812,0.3188,,,,,,,
13,1715291100000,1706854.0,20600020.926,1.7594,0.6376,0.3624,1.4892,0.5983,0.4017,2.1338,0.6809,0.3191,,,,,,,
14,1715291400000,1707557.0,20599967.648,1.7571,0.6373,0.3627,1.489,0.5982,0.4018,2.1289,0.6804,0.3196,,,,,,,
15,1715291700000,1707109.0,20611634.066,1.7617,0.6379,0.3621,1.4883,0.5981,0.4019,2.1368,0.6812,0.3188,,,,,,,
16,1715292000000,1705467.0,20612922.95575614,1.7571,0.6373,0.3627,1.487,0.5979,0.4021,2.1486,0.6824,0.3176,,,,,,,
17,1715292300000,1704512.0,20608799.36798016,1.7541,0.6369,0.3631,1.4893,0.5983,0.4017,2.1319,0.6807,0.3193,,,,,,,
18,1715292600000,1703987.0,20609699.02846109,1.7601,0.6377,0.3623,1.4895,0.5983,0.4017,2.1546,0.683,0.317,,,,,,,
19,1715292900000,1706133.0,20641149.57226179,1.767,0.6386,0.3614,1.4885,0.5982,0.4018,2.1556,0.6831,0.3169,,,,,,,
20,1715293200000,1706419.0,20697456.63670685,1.764,0.6382,0.3618,1.4878,0.598,0.402,2.1506,0.6826,0.3174,,,,,,,
21,1715293500000,1706350.0,20689493.75,1.7541,0.6369,0.3631,1.4862,0.5978,0.4022,2.1447,0.682,0.318,,,,,,,
22,1715293800000,1707294.0,20741438.69292222,1.7541,0.6369,0.3631,1.4858,0.5977,0.4023,2.1456,0.6821,0.3179,,,,,,,
23,1715294100000,1708386.0,20785932.462,1.751,0.6365,0.3635,1.486,0.5977,0.4023,2.1437,0.6819,0.3181,,,,,,,
24,1715294400000,1708640.0,20871493.3968064,1.748,0.6361,0.3639,1.487,0.5979,0.4021,2.1299,0.6805,0.3195,,,,,,,
