,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,17488321.0,3993637.18075704,3.2248,0.7633,0.2367,2.1952,0.687,0.313,2.3738,0.7036,0.2964,,,,,,,
1,1715287200000,17481931.0,3995205.65445333,3.2123,0.7626,0.2374,2.1955,0.6871,0.3129,2.3693,0.7032,0.2968,,,,,,,
2,1715287500000,17472947.0,3991334.10052392,3.2123,0.7626,0.2374,2.1969,0.6872,0.3128,2.3659,0.7029,0.2971,,,,,,,
3,1715287800000,17454322.0,3986567.1448,3.2017,0.762,0.238,2.1966,0.6872,0.3128,2.367,0.703,0.297,,,,,,,
4,1715288100000,17465420.0,3990848.47,3.2141,0.7627,0.2373,2.1951,0.687,0.313,2.3704,0.7033,0.2967,,,,,,,
5,1715288400000,17478682.0,3992305.05647272,3.2176,0.7629,0.2371,2.1998,0.6875,0.3125,2.399,0.7058,0.2942,,,,,,,
6,1715288700000,17481924.0,4001612.4036,3.2123,0.7626,0.2374,2.2022,0.6877,0.3123,2.3887,0.7049,0.2951,,,,,,,
7,1715289000000,17479201.0,4005549.78202492,3.2088,0.7624,0.2376,2.203,0.6878,0.3122,2.3921,0.7052,0.2948,,,,,,,
8,1715289300000,17495637.0,4005663.53181318,3.2088,0.7624,0.2376,2.2018,0.6877,0.3123,2.3956,0.7055,0.2945,,,,,,,
9,1715289600000,17502432.0,4001528.520864,3.1911,0.7614,0.2386,2.2002,0.6875,0.3125,2.3921,0.7052,0.2948,,,,,,,
10,1715289900000,17507487.0,3999614.99280303,3.1982,0.7618,0.2382,2.2,0.6875,0.3125,2.3944,0.7054,0.2946,,,,,,,
11,1715290200000,17513650.0,3997648.0602135,3.207,0.7623,0.2377,2.2017,0.6877,0.3123,2.4025,0.7061,0.2939,,,,,,,
12,1715290500000,17516259.0,4000194.37368324,3.2159,0.7628,0.2372,2.2021,0.6877,0.3123,2.406,0.7064,0.2936,,,,,,,
13,1715290800000,17516246.0,4000710.5864,3.2123,0.7626,0.2374,2.2051,0.688,0.312,2.399,0.7058,0.2942,,,,,,,
14,1715291100000,17515135.0,4003959.861,3.2123,0.7626,0.2374,2.2048,0.688,0.312,2.4014,0.706,0.294,,,,,,,
15,1715291400000,17513160.0,4002427.814028,3.2105,0.7625,0.2375,2.2052,0.688,0.312,2.4002,0.7059,0.2941,,,,,,,
16,1715291700000,17504011.0,4005148.94478531,3.1911,0.7614,0.2386,2.2048,0.688,0.312,2.3898,0.705,0.295,,,,,,,
